permit_type,name_of_facility,geoid,tract_latitude,tract_longitude,lat,lon
HLINHOMECARE,ADDUS HOME CARE - COLUMBIA,45079003100,+34.0078902,-081.0307786,34.00835946,-81.03301842
HLINHOMECARE,ADDUS HOME CARE - GREENVILLE,45045004400,+34.8479697,-082.3501653,34.85308098,-82.35793308
HLINHOMECARE,ADDUS HOME CARE - N CHARLESTON,45019003107,+32.9600374,-080.1009931,32.92978966,-80.07148403
HLINHOMECARE,ADDUS HOME CARE - ROCK HILL,45091060803,+34.9607591,-081.0222741,34.9655376,-81.03254216
HLINHOMECARE,ADDUS HOME CARE - SUMTER,45085001802,+33.9284520,-080.5360489,33.95586443,-80.40004187
HLINHOMECARE,ADDUS HOMECARE- AUGUSTA,"",,,33.508957,-82.083964
HLINHOMECARE,ADMINISTER IN HOME CARE,45083022007,+34.9036817,-081.9662257,34.911226,-81.983397
HLADULTDAYCARE,ADULT DAYCARE 41,45019004608,+32.8973520,-079.7890349,32.87989077,-79.80853518
HLPSADOUTPATIENT,ADULT DRUG COURT TREATMENT,45007012300,+34.5134656,-082.6052554,34.50308318,-82.6507019
HLADULTDAYCARE,ADULT ENRICHMENT CENTERS OF FORT MILL,45091061101,+35.0203157,-080.9347880,35.020094,-80.927939
HLADULTDAYCARE,ADULT ENRICHMENT CENTERS OF YORK,45091061602,+34.9921871,-081.2207561,34.98825653,-81.22123954
HLINHOMECARE,ADVANCE HOME CARE MANAGEMENT,45041001100,+34.1907523,-079.7961389,34.194447,-79.777452
HLINHOMECARE,ADVANCED HEALTHCARE STAFFING SOLUTIONS LLC,45041001100,+34.1907523,-079.7961389,34.196183,-79.783169
HLHOMEHEALTH,ADVANCED HOME HEALTH,45091060804,+34.9707405,-081.0072752,34.974403,-81.026994
HLINHOMECARE,ADVANCED TOTAL CARE,45079011412,+34.0874725,-080.9065740,34.101637,-80.909811
HLINHOMECARE,AEROFLOW INC,45083023202,+34.9056795,-082.1772299,34.88586651,-82.15599477
HLINHOMECARE,AFFINITY HOME CARE,45091060700,+34.9606397,-081.0380086,34.953402,-81.044591
HLINHOMECARE,AFFINITY HOME CARE SOLUTIONS,45075011700,+33.3176401,-080.8857594,33.245479,-80.815554
HLINHOMECARE,AGAPE HOME CARE,45047970400,+34.1698568,-082.2054546,34.191021,-82.160886
HLHOSPICEFACILITY,AGAPE HOSPICE HOUSE OF THE MIDLANDS,45079010403,+34.0221797,-081.0849436,34.014291,-81.070386
HLHOSPICEPROGRAM,AGAPE HOSPICE OF THE LOW COUNTRY,45019003115,+32.9798853,-080.0611887,32.97825771,-80.06415169
HLHOSPICEFACILITY,AGAPE HOUSE OF LEXINGTON,45063021030,+33.9818300,-081.2111492,33.977434,-81.220706
HLTATTOOFAC,AGGRESSIVE INK 3,45007012002,+34.4883851,-082.7367187,34.48183169,-82.66371637
HLBODYPIERCINGFAC,AGGRESSIVE INK III BODY PIERCING,45007012002,+34.4883851,-082.7367187,34.48183169,-82.66371637
HLADULTDAYCARE,AGING GRACEFULLY SENIOR CARE/GRACEFUL EMBRACE DEVELOPMENTAL DAY PROGRAM,45035010815,+32.9645311,-080.1462027,32.97056282,-80.14258616
HLPSADOUTPATIENT,AIKEN COUNTY COMMISSION ON ALCOHOL AND DRUG ABUSE,45003021300,+33.5673561,-081.7526423,33.56487032,-81.77106279
HLRENALDIALYSIS,AIKEN DIALYSIS,45003021300,+33.5673561,-081.7526423,33.57410139,-81.75904939
HLHOSPITAL,AIKEN REGIONAL MEDICAL CENTERS,45003021300,+33.5673561,-081.7526423,33.5707339,-81.76249303
HLINHOMECARE,AJM HOMECARE SERVICES,45033970400,+34.3943810,-079.3862993,34.41794367,-79.37403381
HLRESIDENTIALCARE,ALDERSGATE AT THE OAKS,45075010600,+33.4186687,-080.7840432,33.42385988,-80.85059391
HLRESIDENTIALCARE,A'LELIA RESIDENTIAL CARE,45013000100,+32.5821594,-080.7263936,32.61899455,-80.73506288
HLHEARINGAIDSPEC,"ALEXANDER, MALLORY E.",45083022802,+35.0145298,-082.0963419,35.027181,-82.094557
HLRESIDENTIALCARE,ALEXANDER'S GOLDEN STARR COMMUNITY CARE HOME,45075010300,+33.4385177,-080.4719225,33.44531602,-80.51165525
HLADULTDAYCARE,ALICE'S CLUBHOUSE MT P,45019004607,+32.7958351,-079.8922487,32.81102703,-79.85295885
HLINHOMECARE,ALL ABOUT CARE,45083021200,+34.9509248,-081.9167596,34.951176,-81.931398
HLADULTDAYCARE,ALL ABOUT OUR SENIORS,45045002504,+34.9441768,-082.2341056,34.942754,-82.251029
HLINHOMECARE,ALL ABOUT YOU HOME CARE INC,45051070200,+33.8580120,-079.0476531,33.833175,-79.04759
HLINHOMECARE,ALL HEARTS HOMECARE LLC,45045002812,+34.8035511,-082.2698565,34.82213677,-82.28991841
HLINHOMECARE,ALL IN LOVE CARE,45045002505,+34.9340064,-082.2349844,34.937167,-82.226294
HLINHOMECARE,ALL QUALITY HEALTH CARE AGENCY,45041002201,+33.8669969,-079.7884800,33.874875,-79.755249
HLHOSPICEPROGRAM,ALL SEASONS HOSPICE,45063021112,+34.0793287,-081.1703013,34.07940226,-81.17879583
HLINHOMECARE,ALL WAYS CARING HOME CARE,45045001809,+34.8671767,-082.3392350,34.868567,-82.349301
HLINHOMECARE,ALL WAYS CARING HOMECARE AIKEN,45003021300,+33.5673561,-081.7526423,33.5620815,-81.7218175
HLINHOMECARE,ALL WAYS CARING HOMECARE ANDERSON,45007000200,+34.5217065,-082.6449925,34.51426399,-82.64885541
HLINHOMECARE,ALL WAYS CARING HOMECARE CHARLESTON,45019002604,+32.8222997,-080.0002429,32.820369,-79.993173
HLINHOMECARE,ALL WAYS CARING HOMECARE COLUMBIA,45063020511,+34.0486881,-081.1314404,34.04494994,-81.13300057
HLINHOMECARE,ALL WAYS CARING HOMECARE MYRTLE BEACH,45051050500,+33.7168113,-078.8665665,33.730783,-78.857056
HLINHOMECARE,ALL WAYS CARING HOMECARE ROCK HILL SC,45091060700,+34.9606397,-081.0380086,34.96012804,-81.04064702
HLINHOMECARE,ALL WAYS CARING HOMECARE SPARTANBURG,45083021200,+34.9509248,-081.9167596,34.93850399,-81.90317371
HLINHOMECARE,ALL WAYS CARING HOMECARE-FLORENCE,45041000201,+34.1991944,-079.8244682,34.19785951,-79.80636965
HLINHOMECARE,ALL YOUR NEEDS HOME CARE SERVICES,45075011400,+33.5011636,-080.8687913,33.49205155,-80.86263917
HLINHOMECARE,ALLCARE LIVING SERVICES INC,45015020714,+33.0273185,-080.1382363,33.04048436,-80.13540491
HLINHOMECARE,ALLCAREGIVERS INC,45063021014,+34.0271617,-081.1847195,34.01300223,-81.17239465
HLINHOMECARE,ALLEGIANCE HOME CARE OF THE CAROLINAS,45091060700,+34.9606397,-081.0380086,34.945224,-81.031211
HLINHOMECARE,ALLEGIANT QUALITY HOME CARE LLC,45045001000,+34.8606403,-082.4002483,34.862444,-82.399322
HLRENALDIALYSIS,ALLENDALE COUNTY DIALYSIS,45005970400,+32.8745690,-081.3241455,32.96600477,-81.24523838
HLHOSPITAL,ALLENDALE COUNTY HOSPITAL,45005970400,+32.8745690,-081.3241455,32.96579297,-81.24774218
HLINHOMECARE,ALLIANCE HEALTH AT HOME-UPSTATE,45045002803,+34.8679018,-082.2744454,34.863186,-82.274936
HLINHOMECARE,ALLIANCE HOMECARE,45007011100,+34.5562299,-082.7000331,34.532738,-82.687415
HLHOSPICEPROGRAM,ALLIANCE HOSPICE,45003020702,+33.5019859,-081.9498430,33.504475,-81.962851
HLINHOMECARE,ALLIED MEDICAL STAFFING,45035010700,+33.0271006,-080.1731660,33.02735688,-80.1726764
HLADULTDAYCARE,ALON-JAY ADULT DAY CARE,45005970200,+33.0356436,-081.4486751,33.003213,-81.2944328
HLPSADOUTPATIENT,ALPHA CENTER,45055970800,+34.2226390,-080.5951484,34.2404966,-80.59867837
HLINHOMECARE,ALPHA HEALTH SERVICES,45091061201,+34.9106162,-080.9614516,34.88122994,-80.97034056
HLINHOMECARE,ALREADY HOMECARE - CHARLESTON,45019002604,+32.8222997,-080.0002429,32.81755242,-79.99426567
HLPSADOUTPATIENT,ALTERNATIVES LIFE IMPROVEMENT CENTER,45019005500,+32.8532338,-079.9554747,32.85499331,-79.97728706
HLINHOMECARE,ALWAYS BEST CARE CHARLESTON,45019002701,+32.7976991,-080.0287926,32.798983,-80.019182
HLINHOMECARE,ALWAYS BEST CARE OF GREENVILLE/SPARTANBURG,45045002811,+34.8066326,-082.3037438,34.82185679,-82.30227752
HLINHOMECARE,ALWAYS BEST CARE OF GREENWOOD - ANDERSON,45047970500,+34.1960292,-082.1475885,34.19689239,-82.1377713
HLINHOMECARE,ALWAYS BEST CARE OF ROCK HILL,45091060501,+34.9325443,-081.0382008,34.92585933,-81.02637254
HLINHOMECARE,ALWAYS BEST CARE OF THE GRAND STRAND,45051051202,+33.6025215,-078.9823450,33.605389,-78.986617
HLINHOMECARE,ALWAYS BEST CARE OF THE MIDLANDS,45079011201,+34.0150047,-080.9762798,34.0196477,-80.98572147
HLINHOMECARE,ALWAYS THERE IN HOME CARE SC,45077010601,+34.9108023,-082.5622379,34.93568987,-82.55798006
HLINHOMECARE,ALWAYS YOUR CHOICE IN-HOME CARE,45007000300,+34.5294088,-082.6282596,34.524988,-82.633459
HLINHOMECARE,AMADA SENIOR CARE SC COASTAL,45019004607,+32.7958351,-079.8922487,32.81102703,-79.85295885
HLMIDWIFE,"AMAN, LISA",45077010501,+34.9720256,-082.5860046,34.96643385,-82.52937743
HLTATTOOFAC,AMBER ISLAND TATTOO,45077010700,+34.8679981,-082.6389058,34.86376793,-82.6578777
HLAMBULATORYSURGERY,AMBULATORY SURGERY CENTER OF SPARTANBURG,45083021500,+34.9800448,-081.9284454,34.96412556,-81.9256502
HLHOMEHEALTH,AMEDISYS HOME HEALTH CARE,45089970600,+33.6990298,-079.8814089,33.66550286,-79.8296001
HLHOMEHEALTH,AMEDISYS HOME HEALTH OF BEAUFORT,45013000902,+32.4453561,-080.6342550,32.41601683,-80.65173726
HLHOMEHEALTH,AMEDISYS HOME HEALTH OF BLUFFTON,45013002107,+32.2608068,-080.8659839,32.26389924,-80.86056451
HLHOMEHEALTH,AMEDISYS HOME HEALTH OF CAMDEN,45055970300,+34.4430660,-080.7244223,34.427763,-80.777244
HLHOMEHEALTH,AMEDISYS HOME HEALTH OF CHARLESTON,45019003115,+32.9798853,-080.0611887,32.97869361,-80.06502605
HLHOMEHEALTH,AMEDISYS HOME HEALTH OF CHARLESTON EAST,45019002614,+32.8019252,-080.0444568,32.80518971,-80.03914679
HLHOMEHEALTH,AMEDISYS HOME HEALTH OF CLINTON,45059920700,+34.4682270,-081.9191816,34.47840079,-81.93485961
HLHOMEHEALTH,AMEDISYS HOME HEALTH OF CONWAY,45051070200,+33.8580120,-079.0476531,33.833666,-79.047817
HLHOMEHEALTH,AMEDISYS HOME HEALTH OF GEORGETOWN,45043920600,+33.3933217,-079.3306841,33.3823909,-79.30521748
HLHOMEHEALTH,AMEDISYS HOME HEALTH OF LEXINGTON,45063021029,+33.9709573,-081.2466290,33.96798887,-81.23537763
HLHOMEHEALTH,AMEDISYS HOME HEALTH OF MYRTLE BEACH,45051051604,+33.5900710,-079.0642326,33.617493,-79.046808
HLHOSPICEPROGRAM,AMEDISYS HOSPICE OF COLUMBIA,45063020508,+34.0049325,-081.0988191,33.999025,-81.092486
HLHOSPICEPROGRAM,AMEDISYS HOSPICE OF SOUTH CAROLINA,45041000600,+34.1546745,-079.7528863,34.16126112,-79.75908058
HLINHOMECARE,AMERICARE HOMEMAKERS LLC,45051051406,+33.5912971,-079.0183643,33.58755295,-79.01377288
HLINHOMECARE,AMERICARE LLC,45079002500,+33.9934982,-080.9938435,33.99670491,-80.99485236
HLINHOMECARE,AMERICARE MIDLANDS HOME CARE,45063021025,+34.0423288,-081.2645246,34.01859,-81.258319
HLINHOMECARE,AMIABLE CARE SOLUTIONS LLC,45091060501,+34.9325443,-081.0382008,34.929987,-81.033716
HLHEARINGAIDSPECTEMP,"AMRHEIN, NICK",45019004611,+32.7918747,-079.8300457,32.819684,-79.815366
HLINHOMECARE,AN ANGELS TOUCH,45015020506,+33.1834737,-079.9987130,33.19630852,-79.99448822
HLINHOMECARE,AN ANGELS TOUCH HHS LLC,45045004300,+34.8417160,-082.3753525,34.844903,-82.366193
HLNURSINGCARE,ANCHOR REHABILITATION AND HEALTHCARE CENTER OF AIKEN,45003021203,+33.4860371,-081.7256873,33.50112239,-81.72501255
HLINHOMECARE,ANDERSON HOME CARE,45079010103,+34.1714304,-080.9313751,34.143514,-80.936141
HLRESIDENTIALCARE,ANDERSON OAKS ASSISTED LIVING,45051060403,+33.8209433,-079.0148447,33.82307859,-78.99511205
HLPSADOUTPATIENT,ANDERSON-OCONEE BEHAVIORAL HEALTH SERVICES,45007001000,+34.5398822,-082.6812250,34.5347012,-82.68692568
HLINHOMECARE,ANGEL ARMS IN HOME PERSONAL CARE SERVICE LLC,45049920100,+32.9411602,-081.1416812,32.878294,-81.121546
HLINHOMECARE,ANGEL CARE HOME CARE LLC,45071950202,+34.2795093,-081.5635938,34.27485164,-81.61879
HLINHOMECARE,ANGEL HEARTS,45041001505,+34.0897395,-079.7823755,34.123016,-79.779408
HLINHOMECARE,ANGEL WATCHERS,45051040101,+33.8980755,-078.6953749,33.89094,-78.691146
HLADULTDAYCARE,ANGELIC ADULT DAY CARE,45021970302,+35.0992561,-081.6011090,35.08474579,-81.6346347
HLINHOMECARE,ANGELIC HANDS OF THE CAROLINAS HOMECARE LLC,45045002812,+34.8035511,-082.2698565,34.82213677,-82.28991841
HLINHOMECARE,ANGELIC HEALTH CARE INC,45041000600,+34.1546745,-079.7528863,34.17261776,-79.76531652
HLHOSPICEPROGRAM,ANGELIC HEALTH OF SC,45051050303,+33.7568838,-078.8111818,33.760112,-78.816625
HLINHOMECARE,ANGELIC HEARTS HOMECARE AGENCY LLC,45045003705,+34.8515148,-082.4672029,34.854304,-82.456116
HLINHOMECARE,ANGELIC HELPERS,45079011000,+34.0427142,-081.0051450,34.035785,-81.013702
HLINHOMECARE,ANGELIC HOME CARE & CONCIERGE SERVICES,45019002605,+32.8034113,-079.9928200,32.7976,-79.996471
HLINHOMECARE,ANGELIC HOMECARE,45021970302,+35.0992561,-081.6011090,35.08474579,-81.6346347
HLINHOMECARE,ANGELIC IN-HOME CARE,45031010900,+34.4067730,-079.9649109,34.351512,-79.914416
HLRESIDENTIALCARE,ANGELIC'S PLACE,45085001300,+33.9165836,-080.3525729,33.9173358,-80.3563225
HLINHOMECARE,ANGEL'S BEST HOME CARE LLC,45083023102,+34.9459973,-082.1019723,34.947605,-82.0992
HLINHOMECARE,ANGEL'S IN-PLACE HOME CARE,45091061003,+35.0459807,-081.0121273,35.054373,-81.008535
HLINHOMECARE,ANGELS SITTER SERVICE,45019001902,+32.7627874,-079.9653762,32.755498,-79.972636
HLTATTOOFAC,ANIMATED CANVAS CUSTOM TATTOO,45079001600,+34.0035118,-081.0483875,34.00066807,-81.03730861
HLTATTOOFAC,ANIMATED CANVAS OF LEXINGTON,45063021034,+33.9579627,-081.1546493,33.97290559,-81.15224838
HLHOSPITAL,ANMED HEALTH CANNON,45077010402,+34.9027375,-082.7107738,34.8740158,-82.70671581
HLHOMEHEALTH,ANMED HEALTH HOME HEALTH AGENCY,45007011202,+34.5595444,-082.6008259,34.53848225,-82.62665138
HLHOSPITAL,ANMED HEALTH MEDICAL CENTER,45007000200,+34.5217065,-082.6449925,34.51138906,-82.64599896
HLAMBULATORYSURGERY,ANMED HEALTH MEDICUS SURGERY CENTER,45007000300,+34.5294088,-082.6282596,34.53553878,-82.63236406
HLHOSPITAL,ANMED HEALTH REHABILITATION HOSPITAL,45007011202,+34.5595444,-082.6008259,34.53707515,-82.62853236
HLHOSPITAL,ANMED HEALTH WOMEN'S AND CHILDREN'S HOSPITAL,45007011202,+34.5595444,-082.6008259,34.54478597,-82.62718149
HLINHOMECARE,ANNIES ANGELS HOME CARE,45045002903,+34.7787267,-082.2934095,34.787106,-82.29028
HLRESIDENTIALCARE,ANOINTED RESIDENTIAL CARE,45085001500,+33.9057056,-080.3508863,33.90927628,-80.34449769
HLRESIDENTIALCARE,ANOINTED RESIDENTIAL CARE #2,45085001500,+33.9057056,-080.3508863,33.91188496,-80.34411929
HLINHOMECARE,ANOTHER LEVEL IN-HOME CARE,45079011102,+34.0472658,-080.9686788,34.061921,-80.958184
HLRESIDENTIALCARE,ARBOR LANDING AT PAWLEYS,45043920504,+33.4176484,-079.1864379,33.420791,-79.175663
HLNURSINGCARE,ARBORETUM AT THE WOODLANDS,45045003801,+34.9286296,-082.4471966,34.93619042,-82.4440071
HLRESIDENTIALCARE,ARBORETUM AT THE WOODLANDS AT FURMAN,45045003801,+34.9286296,-082.4471966,34.93543101,-82.44419575
HLHOSPICEPROGRAM,ARCADIA HOSPICE,45013002201,+32.2799730,-080.8215798,32.292481,-80.90799
HLINHOMECARE,ARCHANGEL HOME CARE LLC,45051040102,+33.8606822,-078.6881471,33.860451,-78.66313
HLHABITATIONR15,ARCHIE DRIVE GROUP HOME,45079011404,+34.1092531,-080.9554245,34.0987006,-80.9344786
HLHOSPICEPROGRAM,ARDENT HOSPICE & PALLIATIVE CARE OF SC,45051051302,+33.5809735,-079.0076889,33.577422,-79.020384
HLINHOMECARE,ARIES HOME CARE,45019003108,+32.9160676,-080.0723760,32.929769,-80.068634
HLHEARINGAIDSPEC,"ARNDT, JENNIFER L.",45063021031,+33.9906391,-081.2175275,33.99336,-81.227569
HLHEARINGAIDSPEC,"ARNDT, MICHAEL J.",45063021025,+34.0423288,-081.2645246,34.025335,-81.223639
HLINHOMECARE,ART OF LIVING COMMUNITY & SUPPORT SERVICES,45089970600,+33.6990298,-079.8814089,33.678535,-79.829426
HLTATTOOFAC,ARTISTIC DIMENSIONS,45085000901,+33.9483910,-080.3732220,33.95164705,-80.37133988
HLTATTOOFAC,ARTISTIC INK III,45015020714,+33.0273185,-080.1382363,33.03335292,-80.16123832
HLINHOMECARE,ASH-COURT COMPANION CARE LLC,45089970502,+33.7051116,-079.7531332,33.66482147,-79.82563692
HLRESIDENTIALCARE,ASHLAN VILLAGE,45083023001,+34.9854289,-082.1621834,34.97392741,-82.14195628
HLRESIDENTIALCARE,ASHLEY GARDENS ALZHEIMER'S SPECIAL CARE CENTER,45019002614,+32.8019252,-080.0444568,32.80405608,-80.04158239
HLRESIDENTIALCARE,ASHLEY LANDING ASSISTED LIVING,45019003110,+32.8669862,-080.0576673,32.874495,-80.061808
HLRESIDENTIALCARE,ASHLEY PLACE,45047970202,+34.2259006,-082.1588209,34.23350912,-82.16100784
HLRESIDENTIALCARE,ASHLEY RIVER PLANTATION,45019002613,+32.8200495,-080.0433739,32.82246596,-80.0378161
HLINHOMECARE,ASPIRE STAFFING,45079011417,+34.1485824,-080.8993483,34.143906,-80.885937
HLINHOMECARE,ASSISTED CARE SERVICES INC,45079001100,+34.0228440,-081.0031652,34.015094,-81.004628
