clinic_name,address,specialty,hours_of_operation,lat,long,geo_method
GREENVILLE FREE MEDICAL CLINIC – GREER FREE CLINIC SATELLITE,202 Victoria Street,,,-37.806534,144.9624497,osm
GREENVILLE FREE MEDICAL CLINIC – NORTHWEST CRESCENT FREE CLINIC SATELLITE,925 N Franklin Road,,,32.6790753673469,-109.070314653061,osm
HELPING HANDS FREE MEDICAL CLINIC,1328 North Main Street,,,42.1091792857143,-76.8178705714286,osm
HELPING HANDS FREE MEDICAL CLINIC – MULLINS SATELLITE,230 South Main Street,,,42.88410535,-77.2792999043397,osm
ICNA RELIEF USA SHIFA CLINIC,1092 Johnnie Dodds Blvd Mt Pleasant,,,,,osm
LA CLINICA GRATIS/THE FREE CLINIC,929 Phoenix Street,,,34.18297905,-82.1539206171957,osm
MEDICAL MINISTRIES,7741 Dorchester Road,,,43.0635567606061,-79.1097465454546,osm
MEDICAL MINISTRIES – GREATER ST. PAUL AME CHURCH SATELLITE,633 Thomas-Kate Rd,,,33.189093,-80.486192,osm
MEDICAL MINISTRIES – NEW HOPE UMC SATELLITE,1568 Carter Road,,,32.9086352687225,-97.7440266946798,osm
MEDICAL MINISTRIES – ORANGEBURG SATELLITE,356 Lariat Rd,,,28.6384864740564,-100.421988409198,osm
MEDICAL MINISTRIES – SHADY GROVE UMC SATELLITE,9140 Charleston Hwy,,,33.9163311,-81.0739693,osm
MEDICAL MINISTRIES – ST MARK UMC SATELLITE,8502 North Rd,,,42.115975,-75.751884,osm
MEDICAL MINISTRIES – WESLEY UMC SATELLITE,3250 Ladson Road,,,32.987289263591,-80.102395258245,osm
MERCY MEDICINE FREE CLINIC – FLORENCE,500 South Coit Street,,,34.190019,-79.769801,osm
ONE80 PLACE HEALTH CLINIC,35 Walnut Street,,,41.4947331515152,-71.3200473030303,osm
ORANGEBURG-CALHOUN FREE MEDICAL CLINIC,141 Centre Street,,,31.7948876520885,-94.1743772674647,osm
PREGNANCY CENTER AND CLINIC OF THE LOW COUNTRY,1 Cardinal Road,,,42.27770505,-71.8472674333876,osm
PREGNANCY CENTER MOBILE CLINIC – BEAUFORT COUNTY,29 Plantation Park Drive,,,32.2716908,-80.8683258,osm
PREGNANCY CENTER MOBILE CLINIC – JASPER COUNTY,19725 Whyte Hardee Blvd,,,32.2803539269453,-81.0816129389258,osm
SAMARITAN HEALTH CLINIC OF PICKENS COUNTY,303 Dacusville Hwy,,,34.8425383,-82.6026264367508,osm
SAMARITAN HEALTH CLINIC OF PICKENS COUNTY – PICKENS SATELLITE,111 Hillcrest Drive,,,29.394724125,-95.2242055,osm
SMITH MEDICAL CLINIC AT BASKERVILL,116 Baskervill Dr,,,33.4631960658644,-79.1162089550348,osm
SMITH MEDICAL CLINIC AT BASKERVILL – GEORGETOWN SATELLITE,1101 Highmarket Street,,,33.371298,-79.285141,osm
ST LUKE'S FREE MEDICAL CLINIC,162 South Dean Street,,,43.6015340408163,-83.9023310816327,osm
ST LUKE'S FREE MEDICAL CLINIC – MIDDLE TYGER COMMUNITY SATELLITE,84 Groce Road,,,34.7905195023261,-85.2401429682915,osm
SUMTER UNITED MINISTRIES MEDICAL CLINIC,36 South Artillery Drive,,,33.916661,-80.360571,osm
TAYLORS FREE MEDICAL CLINIC,400 West Main Street,,,40.6917697,-73.334762700568,osm
THE FREE MEDICAL CLINIC,1875 Harden Street,,,32.0613654782609,-81.1087129130435,osm
"UNITED CHRISTIAN MINISTRIES OF ABBEVILLE COUNTY, FREE MEDICAL CLINIC",101 Center Drive,,,40.896642,-79.852598,osm
VOLUNTEERS IN MEDICINE CLINIC,15 Northridge Drive,,,41.7985073,-72.7739594,osm
WELLPARTNERS DENTAL & EYE CLINIC,2000 Hampton Street,,,37.0048574,-76.3130616,osm
WELLPARTNERS DENTAL & EYE HEALTH,2000 Hampton St,,,37.0048574,-76.3130616,osm
WELLPARTNERS DENTAL & EYE HEALTH – LEXINGTON SATELLITE,1070 S Lake Dr,,,28.9351265179643,-81.7686971168496,osm
WELLPARTNERS DENTAL & EYE HEALTH – STE 4090,2000 Hampton St,,,37.0048574,-76.3130616,osm
YORK COUNTY FREE CLINIC,410 Oakland Avenue,,,37.817895877551,-122.25505955102,osm
,,,,,,osm
,,,,,,osm
,,,,,,osm
"Data source: https://www.scfreeclinics.org/clinics/, Accessed on 05/21/2021",,,,,,osm
