OBJECTID,Permit Type,Name of Facility,Location Street,Location City,Location State,ZIP Code,Facility #,Facility Email,Admin Name & Phone,Facility Cont. Email,License / Expires,County / Ownership Type,Mailing Address,Mailing City,Mailing State,Mailing ZIP,Licensee,Licensee Business Phone,CMS Certification,,Evacuation_Zone,X,Y,Licensee County,x,y,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
7721,HLINHOMECARE,A TOUCH OF HELP,1 CHICK SPRINGS RD STE 313D,GREENVILLE,SC,29609,864-609-4456,ATOUCHOFHELP@GMAIL.COM,"JONES, NICOLE PH#: ",,IHCP-1233 / 08/31/2021,Greenville / Limited Liability,,,,,A TOUCH OF HELP LLC,864-609-4456,,,,-82.38079,34.865942,Greenville,373791.334,3859046.222,34.866052,-82.381402,1,rooftop,427,Wade Hampton Blvd,,,Greenville,SC,Greenville County,29609,US,City of Greenville
7538,HLINHOMECARE,A TOUCH OF LIFE CARE AGENCY LLC,159 COMMON WAY STE E,GREENVILLE,SC,29609,864-535-0709,ATOUCHOFLIFECA@GMAIL.COM,"HILL, LEONARD PH#: ",,IHCP-0928 / 09/30/2021,Greenville / Limited Liability,,,,,A TOUCH OF LIFE CARE AGENCY LLC,864-535-0709,,,,-82.456806,34.853782,Greenville,366823.0818,3857795.97,34.853607,-82.456652,1,rooftop,121,Commons Way,,,Greenville,SC,Greenville County,29611,US,Greenville
6584,HLINHOMECARE,A TOUCH OF LOVE HOME CARE,2710 WHITE HORSE RD,GREENVILLE,SC,29611-6145,864-908-2845,BRIDGETTE3407.BL@GMAIL.COM,"LOWDEN, BRIDGETTE PH#: 864-908-2845",BRIDGETTE3407.BL@GMAIL.COM,IHCP-0921 / 07/31/2021,Greenville / Limited Liability,,,,,LOWDEN'S HOME CARE LLC,864-520-1616,,,,-82.431036,34.804759,Greenville,369101.4859,3852325.036,34.804752,-82.431031,1,rooftop,2710,White Horse Rd,,,Greenville,SC,Greenville County,29611,US,Greenville
7509,HLINHOMECARE,A VILLAGE HOME CARE LLC,1408 RUSSELL ST STE 15,ORANGEBURG,SC,29115,803-937-5841,AVILLAGEHOMECARELLC@GMAIL.COM, PH#: ,,IHCP-1176 / 02/28/2022,Orangeburg / Limited Liability,,,,,A VILLAGE HOME CARE LLC,803-539-3055,,,,-80.861282,33.490863,Orangeburg,512886.3508,3705714.845,33.490726,-80.861419,1,rooftop,1396,Russell St,,,Orangeburg,SC,Orangeburg County,29115,US,Orangeburg
2772,HLINHOMECARE,A&T CARE - KERSHAW,207 W SUMTER ST,KERSHAW,SC,29067,803-577-1776,AMELIABARBER@ATADULTDAYCARE.US,"BARBER, AMELIA A. PH#: 803-287-6801",AMELIABARBER@ATADULTDAYCARE.US,IHCP-0583 / 08/31/2021,Lancaster / Corporation,207 W SUMTER ST,KERSHAW,SC,29067,A&T CARE,803-577-1776,,,,-80.58319006,34.54627099,Lancaster,538243.4726,3822807.005,34.546277,-80.583175,1,rooftop,207,W Sumter St,,,Kershaw,SC,Lancaster County,29067,US,Lancaster County G
5069,HLINHOMECARE,AAA CARE LLC,3505 PELHAM RD STE B,GREENVILLE,SC,29615,864-295-1949,ARICHARD429@GMAIL.COM, PH#: ,,IHCP-0185 / 06/30/2021,Greenville / Limited Liability,143 COMMONS WAY,GREENVILLE,SC,29611-3850,AAA CARE LLC,864-295-1949,,,,-82.272424,34.861192,Greenville,383690.2224,3858388.23,34.86121,-82.272427,1,rooftop,3505,C Pelham Rd,,,Greenville,SC,Greenville County,29615,US,Greenville
7890,HLINHOMECARE,AAA HEALTHCARE CONSULTANTS LLC,331 E MAIN ST STE 200,ROCK HILL,SC,29730,704-998-1494,ALLENRANDY58@ATT.NET, PH#: ,,IHCP-1170 / 10/31/2021,York / Limited Liability Limited Partnership,,,,,AAA HEALTHCARE CONSULTANTS LLC,704-998-1494,,,,-81.033716,34.929987,York,496920.7931,3865279.467,34.929834,-81.033853,1,rooftop,327,Main St W,,,Rock Hill,SC,York County,29730,US,York
36,HLHOSPITAL,ABBEVILLE AREA MEDICAL CENTER,420 THOMSON CIR,ABBEVILLE,SC,29620-5656,864-366-5011,ADMINASSISTANT@ABBEVILLEAREAMC.COM,"TURNER, HOWARD DEAN PH#: 864-366-3312",DTURNER@ABBEVILLEAREAMC.COM,HTL-0899 / 07/31/2021,Abbeville / County,420 THOMSON CIR,ABBEVILLE,SC,29620-5656,ABBEVILLE COUNTY MEMORIAL HOSPITAL,864-366-5011,421301,,,-82.38342996,34.1595649,Abbeville,372478.0014,3780712.997,34.159295,-82.38328,1,rooftop,905,Greenwood St W,,,Abbeville,SC,Abbeville County,29620,US,Abbeville County G
1332,HLRENALDIALYSIS,ABBEVILLE DIALYSIS,904 W GREENWOOD ST,ABBEVILLE,SC,29620-5687,864-459-0347,SCL_C@DAVITA.COM,"BONDS, KAREN PH#: 864-388-0045; COOK, TAMMY PH#: 864-459-0347",MEGAN.SEIFARTH@DAVITA.COM,ERD-0191 / 09/30/2021,Abbeville / Corporation,"5200 VIRGINIA WAY STE 400, LICENSING AND CERTIFICATION",BRENTWOOD,TN,37027-7569,TOTAL RENAL CARE INC,720-631-2100,,,,-82.34732932,34.18644536,Out of State,372359.4101,3780819.576,34.186083,-82.34726,1,rooftop,902,Hwy 72 E,,,Abbeville,SC,Abbeville County,29620,US,Abbeville County G
679,HLNURSINGCARE,ABBEVILLE NURSING HOME,83 THOMSON CIR,ABBEVILLE,SC,29620-5652,864-366-5122,ABBNH@WCTEL.NET,"HUGHES, ALAN L., SR. PH#: 864-366-5122",ABBNH@WCTEL.NET,NCF-0266 / 12/31/2021,Abbeville / Corporation,83 THOMSON CIR,ABBEVILLE,SC,29620-5652,ABBEVILLE NURSING HOME INC,864-366-5122,425057,,,-82.38124361,34.15938159,Abbeville,372679.2746,3780689.937,34.159618,-82.380496,1,rooftop,83,Thomson Cir,,,Abbeville,SC,Abbeville County,29620,US,Abbeville County G
1215,HLHOSPICEPROGRAM,ABBEY ROAD HOSPICE,5429 BUSH RIVER RD,COLUMBIA,SC,29212-3008,803-551-5552,SEAN@ABBEYROADHOSPICE.COM,"TAYLOR, BRAD PH#: 803-551-5552",BRAD@ABBEYROADHOSPICE.COM,HPC-0127 / 08/31/2021,Lexington / Limited Liability,5429 BUSH RIVER RD,COLUMBIA,SC,29212-3008,ABBEY ROAD HOSPICE LLC,803-551-5552,421583,,,-81.17668606,34.05503199,Lexington,483693.9456,3768271.922,34.055039,-81.176689,1,rooftop,5429,Bush River Rd,,,Columbia,SC,Lexington County,29212,US,Lexington
369,HLBODYPIERCINGFAC,ABNORMAL GIFTS,1726 E MAIN ST,EASLEY,SC,29640-3838,864-306-3004,BUSINESSWOMAN1726@ICLOUD.COM,"HALL, TERESA L. PH#: 864-386-2751",WILDFLOWER090904@GMAIL.COM,BP-0135 / 06/30/2021,Pickens / Sole Proprietorship,105 NOTTINGHAM CT,EASLEY,SC,29640,"HALL, TERESA L.",864-386-2751,,,,-82.57117222,34.8280411,Pickens,356322.33,3855098.996,34.827883,-82.571163,1,rooftop,1722,E Main St,,,Easley,SC,Pickens County,29640,US,Pickens County G
6915,HLINHOMECARE,ABOUNDING ANGELS HEALTH CARE LLC,9153C TWO NOTCH RD,COLUMBIA,SC,29223-5832,803-223-9178,ABOUNDINGANGELS@GMAIL.COM,"CARTER, CARMEN PH#: 803-223-9178",,IHCP-0279 / 08/31/2021,Richland / Sole Proprietorship,PO BOX 23659,COLUMBIA,SC,29224-3659,"BELTON, TROY D.",803-546-1170,,,,-80.92401364,34.09386819,Richland,507009.4482,3772566.582,34.094001,-80.92385,0.99,nearest_street,9140,US Hwy 1,,,Columbia,SC,Richland County,29223,US,TIGER/Line® dataset from the US Census Bureau
5826,HLINHOMECARE,ABOVE & BEYOND CARE SERVICES,103 COMMONS WAY STE C,GREENVILLE,SC,29611,864-434-0880,ABOVE.BEYONDCARESERVICES@GMAIL.COM,"FERGUSON, TAMI PH#: 864-271-7840",ABOVE.BEYONDCARESERVICES@GMAIL.COM,IHCP-0865 / 04/30/2021,Greenville / Limited Liability,,,,,TMF LLC,864-271-7840,,,,-82.455857,34.853804,Greenville,366909.8668,3857797.1,34.853797,-82.455852,1,rooftop,103,Commons Way,,,Greenville,SC,Greenville County,29611,US,Greenville
7606,HLTATTOOFAC,ABOVE ALL ELSE TATTOOS,477 E BLACKSTOCK ROAD UNIT 4,SPARTANBURG,SC,29301,864-310-4212,ABOVEALLELSETATTOOS@GMAIL.COM, PH#: ,,TF-0357 / 05/31/2022,Spartanburg / Limited Liability,,,,,ABOVE ALL ELSE TATTOOS LLC,864-310-4212,,,,-81.983397,34.911226,Spartanburg,410165.1737,3863639.709,34.911214,-81.983871,1,rooftop,454,E Blackstock Rd,,,Spartanburg,SC,Spartanburg County,29301,US,Spartanburg County G
7924,HLINHOMECARE,ABOVE AND BEYOND HOME CARE,1315 CAMP DR STE B RM 3,LANCASTER,SC,29720,803-313-5323,ABOVEANDBEYONDHHC1@GMAIL.COM, PH#: ,,IHCP-1251 / 10/31/2021,Lancaster / Limited Liability,,,,,ABOVE AND BEYOND HOME HEALTH CARE LLC,,,,,-80.74473,34.724988,Lancaster,523371.5691,3842575.628,34.725018,-80.744364,1,rooftop,1312,Camp Dr,,,Lancaster,SC,Lancaster County,29720,US,Lancaster County G
6243,HLINHOMECARE,ABOVE BEYOND HOMECARE,910 TODD AVE,NORTH AUGUSTA,SC,29841,803-343-9652,ABOVE2BEYONDHOMECARE@GMAIL.COM,"DOBBS, COREY L. PH#: 803-221-6832",,IHCP-0982 / 01/31/2022,Aiken / Sole Proprietorship,,,,,COREY L DOBBS,803-343-9652,,,,-81.933938,33.495304,Aiken,413244.7164,3706588.857,33.495298,-81.933934,1,rooftop,910,Todd Ave,,,North Augusta,SC,Aiken County,29841,US,Aiken
7919,HLINHOMECARE,ABSOLUTE CARE SOLUTIONS,100A DUNBAR ST,SPARTANBURG,SC,29306,864-316-6268,INFO@ABSOLUTECARESC.COM,"SPENCER, VICTORIA I. PH#: ",,IHCP-1353 / 11/30/2021,Spartanburg / Limited Liability,,,,,ABSOLUTE CARE SOLUTIONS LLC,864-316-6268,,,,-81.933086,34.949528,Spartanburg,414800.9242,3867843.4,34.949537,-81.93343,1,rooftop,148,W Main St,,,Spartanburg,SC,Spartanburg County,29306,US,City of Spartanburg
7495,HLINHOMECARE,ABSOLUTE HEALTH CARE LLC,1512 N IRBY ST,FLORENCE,SC,29501,803-799-0709,DBERG99999@AOL.COM, PH#: ,,IHCP-0568 / 06/30/2021,Florence / Limited Liability,601 LANCELOT DR,FLORENCE,SC,29505,ABSOLUTE HEALTH CARE LLC,803-760-2822,,,,-79.759454,34.222248,Florence,614265.9605,3787494.571,34.222254,-79.759455,1,rooftop,1512,N Irby St,,,Florence,SC,Florence County,29501,US,Florence
6394,HLINHOMECARE,ABUNDANCE HOME CARE LLC,263 COMMERCE DR UNIT 210,PAWLEYS ISLAND,SC,29585,843-235-6721,TYRHONDA.LIVINGSTON@GMAIL.COM, PH#: ,,IHCP-0268 / 07/31/2021,Georgetown / Limited Liability,72 PROFESSIONAL LN,PAWLEYS ISLAND,SC,29585,ABUNDANCE HOME CARE LLC,843-235-6721,,,B,-79.126284,33.449802,Georgetown,674153.5786,3702723.789,33.449802,-79.126283,1,rooftop,263,Commerce Dr,,,Pawleys Island,SC,Georgetown County,29585,US,Georgetown
7563,HLINHOMECARE,ABUNDANCE OF GRACE HOME CARE SERVICES,1 CHICK SPRINGS RD STE 214-A,GREENVILLE,SC,29609,864-236-1758,AOGCARE@YAHOO.COM, PH#: ,,IHCP-1192 / 04/30/2022,Greenville / Limited Liability,,,,,ABUNDANCE OF GRACE HOME CARE SERVICES LLC,864-631-6085,,,,-82.382003,34.866678,Greenville,373681.5616,3859129.348,34.866678,-82.382002,1,rooftop,1,214a Chick Springs Rd,,,Greenville,SC,Greenville County,29609,US,Greenville
5869,HLRESIDENTIALCARE,ABUNDANT LIFE ADULT CARE,260 SEMINOLE DR,ORANGEBURG,SC,29115-7622,803-662-9701,ABUNDANTLIFE260@GMAIL.COM,"PHAIRE, LONELL PH#: 803-662-9701",ABUNDANTLIFE260@GMAIL.COM,CRC-1949 / 06/30/2021,Orangeburg / Limited Liability,260 SEMINOLE DR,ORANGEBURG,SC,29115-7622,ABUNDANT LIFE ADULT CARE LLC,803-662-9701,,,,-80.854558,33.472626,Orangeburg,513513.807,3703693.715,33.472626,-80.854557,1,rooftop,260,Seminole Dr,,,Orangeburg,SC,Orangeburg County,29115,US,Orangeburg
7830,HLINHOMECARE,ABUNDANT LIFE HOME CARE SERVICES LLC,331 E MAIN ST STE 244,ROCK HILL,SC,29732,803-693-5194,YUSUFMUHAMMAD1965@GMAIL.COM,"MUHAMMAD, YUSUF PH#: 803-792-9211",YUSUFMUHAMMAD1965@GMAIL.COM,IHCP-0992 / 06/30/2021,York / Limited Liability,,,,,ABUNDANT LIFE HOME CARE SERVICES LLC,980-200-1933,,,,-81.033716,34.929987,Out of State,496920.7931,3865279.467,34.929834,-81.033853,1,rooftop,327,Main St W,,,Rock Hill,SC,York County,29730,US,York
7775,HLTATTOOFAC,ABZOLUTEINK TATTOO GALLERY,4051 B BROAD RIVER RD,COLUMBIA,SC,29210,803-605-8244,IVERYJAMES101@GMAIL.COM, PH#: ,,TF-0367 / 09/30/2021,Richland / Limited Liability,,,,,ABZOLUTEINK TATTOO GALLERY,803-605-8244,,,,-81.114691,34.062754,Richland,489416.45,3769119.961,34.062632,-81.114561,0.99,nearest_street,4080,US Hwy 176,,,Columbia,SC,Richland County,29210,US,TIGER/Line® dataset from the US Census Bureau
230,HLHABITATIONR15,ACADEMY STREET COMMUNITY RESIDENCE,241 ACADEMY ST,WILLISTON,SC,29853,803-259-7472,RBRITT@DDSN.SC.GOV,"WASHINGTON, MARY L. PH#: 803-259-7472",DIRECTOROFRES@BARNWELLSC.COM,MR15-0177 / 06/30/2021,Barnwell / State,"PO BOX 4706, DDSN C/O RUFUS BRITT",COLUMBIA,SC,29240-4706,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,803-898-9769,42G078,,,-81.41838071,33.40783941,Richland,461097.2833,3696579.747,33.407482,-81.417639,1,rooftop,371,Academy St,,,Williston,SC,Barnwell County,29853,US,Barnwell County G
7202,HLINHOMECARE,ACCESS HEALTH CARE SERVICES INC OF COLUMBIA,106 DOCTORS CIR,COLUMBIA,SC,29203-6503,803-509-8206,MSWYGERT@CAREGIVERSONDEMAND.COM, PH#: ,,IHCP-0110 / 04/30/2022,Richland / Corporation,PO BOX 3580,COLUMBIA,SC,29230-3580,ACCESS HEALTH CARE SERVICES INC,864-242-1947,,,,-81.03564955,34.03051183,Greenville,496709.0188,3765539.65,34.030788,-81.035643,0.99,nearest_street,140,Doctors Cir,,,Columbia,SC,Richland County,29203,US,TIGER/Line® dataset from the US Census Bureau
