npi,basic_organization_name,basic_organizational_subpart,basic_enumeration_date,basic_last_updated,basic_status,basic_authorized_official_credential,basic_authorized_official_first_name,basic_authorized_official_last_name,basic_authorized_official_telephone_number,basic_authorized_official_title_or_position,basic_name,basic_parent_organization_ein,basic_parent_organization_legal_business_name,basic_authorized_official_middle_name,basic_authorized_official_name_prefix,basic_authorized_official_name_suffix,basic_certification_date,basic_name_prefix,basic_first_name,basic_last_name,basic_middle_name,basic_credential,basic_sole_proprietor,basic_gender,addresses_country_code,addresses_country_name,addresses_address_purpose,addresses_address_type,addresses_address_1,addresses_address_2,addresses_city,addresses_state,addresses_postal_code,addresses_telephone_number,addresses_fax_number
1033118757,COMMUNITY PHARMACY OF CHESTER LLC,NO,2005-07-15,2018-06-16,A,,JAMES,RICHARDS,704-904-3287,VICE PRESIDENT,COMMUNITY PHARMACY OF CHESTER LLC,,,MARK,,,,,,,,,,,US,United States,LOCATION,DOM,121 CHURCH ST,"",CHESTER,SC,297062903,803-581-2102,803-581-2121
1033122635,WALGREEN CO,YES,2006-08-14,2018-01-26,A,,ALAN,NIELSEN,847-315-3523,TREASURER,WALGREEN CO,<UNAVAIL>,WALGREENS BOOTS ALLIANCE INC,T,MR.,,,,,,,,,,US,United States,LOCATION,DOM,7412 BROAD RIVER RD,"",IRMO,SC,290639662,803-749-3046,
1033136205,SAMS EAST INC,YES,2006-07-16,2013-08-07,A,,LAURA,LEVINE,479-204-8550,MGR OF GOVERNMENT CONTRACTING,SAMS EAST INC,<UNAVAIL>,WAL-MART STORES INC,,,,,,,,,,,,US,United States,LOCATION,DOM,200 PEACHWOOD CENTRE DR,"",SPARTANBURG,SC,293012586,864-595-2661,
1033212527,SOUTH CAROLINA CVS PHARMACY LLC,NO,2006-09-07,2011-12-06,A,,SUSAN,COLBERT,401-770-2751,"DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,1401 BEN SAWYER BLVD,"",MT PLEASANT,SC,294644574,843-881-1725,
1033267695,T & B INC,NO,2007-01-08,2019-05-28,A,RPH,TERRY,LEWIS,843-395-6020,"CEO, PHARMACIST",T & B INC,,,,MR.,,,,,,,,,,US,United States,LOCATION,DOM,203 S MAIN ST,"",DARLINGTON,SC,295323953,843-395-6020,843-395-2595
1033291513,SOUTH CAROLINA ONCOLOGY ASSOCIATES PA,NO,2006-10-20,2011-06-03,A,PHARM D,JAN,MONTGOMERY,803-461-3077,DIRECTOR,SOUTH CAROLINA ONCOLOGY ASSOCIATES PA,,,,,,,,,,,,,,US,United States,LOCATION,DOM,166 STONERIDGE DR,"",COLUMBIA,SC,292108239,803-461-3709,803-461-3426
1033349345,WALGREEN CO,YES,2009-07-21,2016-09-02,A,,ALAN,NIELSEN,847-315-3523,TREASURER,WALGREEN CO,<UNAVAIL>,WALGREENS BOOTS ALLIANCE INC,T,MR.,,,,,,,,,,US,United States,LOCATION,DOM,500 FINCHER ST,"",MONROE,NC,281125113,704-225-9010,
1033633730,WALGREEN CO,YES,2017-08-03,2019-02-18,A,,ALYSSA,SWEETEN,217-709-2386,MANAGER,WALGREEN CO,<UNAVAIL>,WALGREENS BOOTS ALLIANCE INC,,MR.,,,,,,,,,,US,United States,LOCATION,DOM,6950 S PINE ST,"",PACOLET,SC,293722243,864-474-1145,864-474-9973
1033635933,WALGREEN CO,YES,2017-08-22,2019-01-29,A,,ALYSSA,SWEETEN,217-709-2386,MANAGER,WALGREEN CO,<UNAVAIL>,WALGREENS BOOTS ALLIANCE INC,,,,,,,,,,,,US,United States,LOCATION,DOM,11156 ASHEVILLE HWY,"",INMAN,SC,293498931,864-472-3540,864-472-1707
1033641121,BANKS DRUG LTC LLC,NO,2017-03-29,2017-03-29,A,,LEE,BANKS,803-685-5326,PRESIDENT,BANKS DRUG LTC LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,632 E MAIN ST,"",RIDGE SPRING,SC,291299139,803-233-3557,803-250-2623
1033739024,MARUTI SQUARE INC.,NO,2020-04-20,2020-09-23,A,,DIPAN,PATEL,843-799-1211,PIC,MARUTI SQUARE INC.,,,,,,2020-08-14,,,,,,,,US,United States,LOCATION,DOM,822 PAMPLICO HWY,"",FLORENCE,SC,295056018,843-799-1211,843-799-1217
1043279789,"INTRAMED PLUS, INC.",NO,2006-03-21,2012-08-20,A,,SHELLEY,COOLEY,803-794-0200,REIMBURSEMENT DIRECTOR,"INTRAMED PLUS, INC.",,,Y,,,,,,,,,,,US,United States,LOCATION,DOM,4995 LACROSS RD,SUITE 1200,NORTH CHARLESTON,SC,294066542,843-763-2080,803-763-9916
1043313711,SOUTH CAROLINA CVS PHARMACY LLC,NO,2006-09-07,2012-02-08,A,,SUSAN,COLBERT,401-770-2751,"DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,6160 WADE HAMPTON BLVD,"",TAYLORS,SC,296875350,864-879-7146,
1043313810,SOUTH CAROLINA CVS PHARMACY LLC,NO,2006-09-07,2012-03-01,A,,SUSAN,COLBERT,401-770-2751,"DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,11211 ASHEVILLE HWY,"",INMAN,SC,293498951,864-472-2831,
1043365703,SOUTH CAROLINA DEPARTMENT OF MENTAL HEALTH,YES,2007-01-24,2011-10-18,A,M.D.,KIMBERLY,RUDD,803-737-5301,DIRECTOR OF PROFESSIONAL SERVICES,SOUTH CAROLINA DEPARTMENT OF MENTAL HEALTH,<UNAVAIL>,SOUTH CAROLINA DEPARTMENT OF MENTAL HEALTH,BUTTERFLY,,,,,,,,,,,US,United States,LOCATION,DOM,2200 HARDEN ST.,"",COLUMBIA,SC,292037107,803-737-5339,803-737-5436
1043394299,LITTLE RIVER MEDICAL CENTER PHARMACY,YES,2006-10-24,2017-07-11,A,PHARMD,KRISTOPHER,CHIPLINSKI,843-663-8031,DIRECTOR OF PHARMACY,LITTLE RIVER MEDICAL CENTER PHARMACY,<UNAVAIL>,LITTLE RIVER MEDICAL CENTER,L,DR.,,,,,,,,,,US,United States,LOCATION,DOM,4303 LIVE OAK DR,"",LITTLE RIVER,SC,295669138,843-663-8099,843-663-8131
1043394315,FAMILY HEALTH CENTER PHARMACY,NO,2006-10-24,2020-08-22,A,MD,ARTHUR,KENNEDY,803-531-6900,CHIEF EXECUTIVE OFFICER,FAMILY HEALTH CENTER PHARMACY,,,KOBINA,DR.,,,,,,,,,,US,United States,LOCATION,DOM,3310 MAGNOLIA ST,"",ORANGEBURG,SC,291151466,803-531-6900,803-531-6907
1043509045,SOUTH CAROLINA CVS PHARMACY LLC,NO,2011-03-31,2012-02-29,A,,SUSAN,COLBERT,401-770-2751,DIRECTOR PAYER RELATIONS,SOUTH CAROLINA CVS PHARMACY LLC,,,F,,,,,,,,,,,US,United States,LOCATION,DOM,2373 AUGUSTA HIGHWAY,"",LEXINGTON,SC,29072,803-951-0786,
1043517329,"PRESCRIPTIONS PLUS PHARMACY, LLC",NO,2011-02-22,2015-03-17,A,,THOMAS,BARNES,864-487-0407,PHARMACIST,"PRESCRIPTIONS PLUS PHARMACY, LLC",,,S,,,,,,,,,,,US,United States,LOCATION,DOM,311 CHESNEE HWY,"",GAFFNEY,SC,293412707,704-867-3518,
1043579824,WALGREEN CO,YES,2012-05-14,2015-11-13,A,,ALAN,NIELSEN,847-315-3523,TREASURER,WALGREEN CO,<UNAVAIL>,WALGREENS BOOTS ALLIANCE INC,T.,MR.,,,,,,,,,,US,United States,LOCATION,DOM,900 SHELBY RD,"",KINGS MOUNTAIN,NC,280862738,704-739-2127,
1043641020,HARRIS TEETER LLC,NO,2013-12-02,2018-04-23,A,,ALLISON,BREDESTEGE,513-762-1019,PHARMACY LICENSING MANAGER,HARRIS TEETER LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,9500 DORCHESTER RD,"",SUMMERVILLE,SC,294858651,843-875-2528,
1043858996,M HOLDINGS LLC,NO,2019-12-11,2019-12-11,A,RPH,JAMES,CORDAN,803-467-4350,PIC,M HOLDINGS LLC,,,,MR.,,2019-12-11,,,,,,,,US,United States,LOCATION,DOM,808 HIGHWAY 378 STE A,"",LEXINGTON,SC,290728379,803-467-4350,
1053322628,UNION FAMILY PHARMACY LLC,NO,2006-08-10,2014-08-15,A,RPH,CAREY,CHAPMAN,864-427-3700,OWNER/PIC,UNION FAMILY PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,528A RICE AVE,"",UNION,SC,293791839,864-427-3700,864-427-3900
1053345785,THE KROGER CO,NO,2006-07-10,2016-06-28,A,,ALLISON,MUENNICH,513-762-1019,MANAGER OF PHARMACY LICENSING,THE KROGER CO,,,,,,,,,,,,,,US,United States,LOCATION,DOM,3735 RENEE DR,"",MYRTLE BEACH,SC,295794109,843-236-4296,843-236-4274
1053356360,PICKLED HERRING INC,NO,2006-06-19,2021-04-05,A,PHARMD,JAMES,HERRING,910-276-1154,OWNER,PICKLED HERRING INC,,,,,,2021-04-05,,,,,,,,US,United States,LOCATION,DOM,517 LAUCHWOOD DR,"",LAURINBURG,NC,283525502,910-276-1154,910-276-0082
1053393710,"STO-PHAR,INC",NO,2005-11-17,2020-08-22,A,R.PH.,WILLIAM,STOVER,803-773-7283,PRESIDENT,"STO-PHAR,INC",,,LEWIS,,,,,,,,,,,US,United States,LOCATION,DOM,35 W LIBERTY ST,"",SUMTER,SC,291505240,803-773-7283,803-775-7908
1053402891,"KASH & KARRY PHARMACY, LLC",NO,2006-09-27,2020-08-22,A,PHARM.D,KEVAN,PAGE,864-232-6711,PHARMACIST IN CHARGE,"KASH & KARRY PHARMACY, LLC",,,,DR.,,,,,,,,,,US,United States,LOCATION,DOM,101 PETE HOLLIS BLVD,"",GREENVILLE,SC,296011107,864-232-6711,864-242-4399
1053414722,SOUTH CAROLINA CVS PHARMACY LLC,NO,2006-09-07,2012-03-01,A,,SUSAN,COLBERT,401-770-2751,"DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,205 N VAN LINGLE MUNGO BLVD,"",PAGELAND,SC,29728,843-672-2420,
1053475566,"LOW COUNTRY HEALTH CARE SYSTEM, INC",NO,2006-12-20,2020-11-11,A,,MEGAN,ANDERSON,803-632-2533,PHARMACIST,"LOW COUNTRY HEALTH CARE SYSTEM, INC",,,,,,2020-11-11,,,,,,,,US,United States,LOCATION,DOM,333 REVOLUTIONARY TRAIL,"",FARIFAX,SC,29827,803-632-2533,803-632-1537
1053594812,WALGREEN CO,YES,2007-12-14,2016-09-02,A,,ALAN,NIELSEN,847-315-3523,TREASURER,WALGREEN CO,<UNAVAIL>,WALGREENS BOOTS ALLIANCE INC,T.,MR.,,,,,,,,,,US,United States,LOCATION,DOM,2000 CELANESE RD,"",ROCK HILL,SC,297321304,803-980-0095,
1053595074,WALGREEN CO,YES,2007-12-27,2016-08-30,A,,ALAN,NIELSEN,847-315-3523,TREASURER,WALGREEN CO,<UNAVAIL>,WALGREENS BOOTS ALLIANCE INC,T,MR.,,,,,,,,,,US,United States,LOCATION,DOM,2198 SOUTHPORT RD,"",SPARTANBURG,SC,293066258,864-582-5822,
1053782615,WAL-MART STORES EAST LP,NO,2015-10-08,2017-03-30,A,,SARAH,LITTLE,479-277-2500,DIRECTOR OF HEALTHCARE CONTRACTING,WAL-MART STORES EAST LP,,,,,,,,,,,,,,US,United States,LOCATION,DOM,1401 W GEORGIA RD,"",SIMPSONVILLE,SC,296806322,864-757-7207,864-757-7206
1053788638,RPVR CORPORATION,NO,2015-08-30,2015-10-20,A,,BHAVESH,PATEL,864-442-5192,PIC,RPVR CORPORATION,,,,,,,,,,,,,,US,United States,LOCATION,DOM,121 FLEETWOOD DR,"",EASLEY,SC,296402019,864-442-5192,864-442-5193
1063434702,SOUTH CAROLINA CVS PHARMACY LLC,NO,2006-07-24,2016-11-08,A,,SUSAN,COLBERT,401-770-2751,"SR. DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,3519 CLEMSON BLVD,"",ANDERSON,SC,296211312,864-224-3972,864-932-4339
1063434710,SOUTH CAROLINA CVS PHARMACY LLC,NO,2006-07-24,2016-11-08,A,,SUSAN,COLBERT,401-770-2751,"SR. DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,694 FAIRVIEW RD,"",SIMPSONVILLE,SC,296806708,864-963-4406,864-963-4406
1063515740,SOUTH CAROLINA CVS PHARMACY LLC,NO,2006-09-07,2012-03-01,A,,SUSAN,COLBERT,401-770-2751,"DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,333 HWY 9 BYPASS,"",LANCASTER,SC,29720,803-286-8421,803-285-7263
1063581304,RANDY B BOLAND,NO,2006-11-08,2017-03-20,A,RPH,CAROLYN,BOLAND,803-829-2547,RPH,RANDY B BOLAND,,,,,,,,,,,,,,US,United States,LOCATION,DOM,7107 CHARLSTON HWY,"",BOWMAN,SC,290180398,803-829-2547,803-829-2548
1063651941,WALGREEN CO,YES,2009-02-17,2016-10-04,A,,ALAN,NIELSEN,847-315-3523,TREASURER,WALGREEN CO,<UNAVAIL>,WALGREENS BOOTS ALLIANCE INC,T,MR.,,,,,,,,,,US,United States,LOCATION,DOM,814 E MAIN ST,"",LAURENS,SC,293603535,864-984-5283,
1063695823,WALGREEN CO,YES,2007-12-14,2016-01-06,A,,ALAN,NIELSEN,847-315-3523,TREASURER,WALGREEN CO,<UNAVAIL>,WALGREENS BOOTS ALLIANCE INC,T,MR.,,,,,,,,,,US,United States,LOCATION,DOM,997 E LIBERTY ST,"",YORK,SC,297452689,803-684-3358,
1063790947,SOUTH CAROLINA CVS PHARMACY LLC,NO,2011-07-27,2011-11-10,A,,SUSAN,COLBERT,401-770-2751,DIRECTOR PAYER RELATIONS,SOUTH CAROLINA CVS PHARMACY LLC,,,F,,,,,,,,,,,US,United States,LOCATION,DOM,35 S MAIN ST,"",GREENVILLE,SC,296012708,864-370-4848,
1063876084,LOW COUNTRY HEALTH CARE SYSTEM,NO,2016-04-06,2021-05-18,A,RPH,GARNET,BARNES,803-259-5762,PHARMACIST,LOW COUNTRY HEALTH CARE SYSTEM,,,,,,2021-05-18,,,,,,,,US,United States,LOCATION,DOM,86 WREN ST,"",BARNWELL,SC,298121529,803-259-5762,803-259-3050
1063905552,WALGREEN CO,YES,2018-06-11,2019-08-14,A,,ALYSSA,SWEETEN,217-709-2386,MANAGER,WALGREEN CO,<UNAVAIL>,WALGREENS BOOTS ALLIANCE INC,,,,,,,,,,,,US,United States,LOCATION,DOM,200 RUTLEDGE AVE,"",CHARLESTON,SC,294035848,803-772-4809,
1063914372,HARRIS TEETER LLC,NO,2018-03-02,2018-04-19,A,,ALLISON,BREDESTEGE,513-762-1019,MANAGER OF PHARMACY LICENSING,HARRIS TEETER LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,1720 AUGUSTA ST,"",GREENVILLE,SC,29605,513-762-1019,
1063915643,HUB CITY PHARMACY LLC,NO,2018-03-09,2018-03-09,A,,SATISH,YELAMANCHILI,816-699-1889,OWNER,HUB CITY PHARMACY LLC,,,,MR.,,,,,,,,,,US,United States,LOCATION,DOM,1735 JOHN B WHITE SR BLVD,"",SPARTANBURG,SC,293015482,816-699-1889,
1073038691,WALGREEN CO,YES,2017-08-04,2019-01-29,A,,ALYSSA,SWEETEN,217-709-2386,MANAGER,WALGREEN CO,<UNAVAIL>,WALGREENS BOOTS ALLIANCE INC,,,,,,,,,,,,US,United States,LOCATION,DOM,2300 DECKER BLVD,"",COLUMBIA,SC,292062311,803-788-3728,803-788-4219
1073146502,GREENVILLE HEALTH CORPORATION,NO,2020-02-12,2020-04-14,A,,POLLY,MILLER,864-522-2286,VP PAYOR STRATEGIES & ALIGNMENT,GREENVILLE HEALTH CORPORATION,,,H.,,,2020-04-14,,,,,,,,US,United States,LOCATION,DOM,115 N SUMTER ST STE 220,"",SUMTER,SC,291504972,803-774-8772,864-455-8247
1073530226,WAL-MART STORES EAST LP,NO,2006-07-16,2017-02-16,A,,SARAH,LITTLE,479-277-2500,DIRECTOR OF HEALTHCARE CONTRACTING,WAL-MART STORES EAST LP,,,,,,,,,,,,,,US,United States,LOCATION,DOM,2151 E MAIN ST,"",SPARTANBURG,SC,293071441,864-529-0379,
1073616413,SOUTH CAROLINA CVS PHARMACY LLC,NO,2006-09-07,2011-12-06,A,,SUSAN,COLBERT,401-770-2751,"DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,500 KNOX ABBOTT DR,"",CAYCE,SC,290334125,803-796-3116,
