Name,address,city,state,zip,zip4,county,phone,intake_prompt,intake1,intake2,website,latitude,longitude,type_facility,sa,dt,mm,mmw,dm,bum,bmw,db,rpn,bu,nxn,vtrl,meth,hh,noop,pain,nmoa,moa,ubn,otpa,otp,cbt,dbt,tele,saca,trc,rebt,smon,smpd,smop,hi,res,op,rs,rl,rd,od,omb,odt,oit,ort,hid,hit,ct,gh,psyh,vamc,tbg,ih,stg,lccg,ddf,stag,stmh,stdh,hla,jc,carf,ncqa,coa,hfap,np,sf,md,mc,si,pi,mi,atr,fsa,ss,pa,ah,sp,co,gl,vet,adm,mf,cj,se,ad,pw,wn,mn,hv,trma,xa,dv,tay,nsc,adtx,bdtx,cdtx,mdtx,odtx,tgd,tid,ico,gco,fco,mco,twfa,bia,cmi,moti,ang,mxm,crv,relp,bc,chld,yad,adlt,fem,male,bmo,mo,du,duo,acc,acm,acu,add,baba,ccc,cmha,csaa,daut,dp,dsf,dvfp,eih,emp,haec,heoh,hivt,isc,itu,mhs,mpd,opc,sae,shb,shc,shg,smhd,ssa,ssd,stdt,ta,taec,tbs,cm,fpsy,hs,nrt,peer,stu,tcc,bsdm,nu,mu,bwn,bwon,ub,un,beri,pvtp,pvtn,vo,sumh,inpe,rpe,pc,naut,nmaut,acma,pmat,auinpe,aurpe,aupc,ulc,mhiv,mhcv,lfxd,clnd,copsu,daof,mst,noe,ofd,rc,piec,mdet,voc,hav,hbv,audo,f17,f19,f25,f28,f30,f31,f35,f36,f37,f4,f42,f43,f47,f66,f67,f70,f81,f92,n13,n18,n23,n24,n40
William Jennings Bryan Dorn Veterans Affairs Medical Center,6439 Garners Ferry Road ,Columbia,SC,29209,,Richland,803-776-4000 x7980,Intakes,803-776-4000 x7443,803-776-4000 x6397,http://www.columbiasc.va.gov/services/Mental_Health.asp,33.9768636,-80.9616678,SA,1,1,,,,1,1,1,1,1,1,1,,,,1,,,,,,1,1,1,1,1,,1,,,,,1,,,,1,1,,1,1,,,,1,,1,,,,,,,,,,1,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,,,,,1,1,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,,1,,1,1,,,,1,1,,,,,,,1,,,,1,1,1,,1,,,1,1,1,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Prisma Health Richland Springs,11 Medical Park ,Columbia,SC,29203,,Richland,803-434-4800,,,,http://www.prismahealth.org,34.0298821,-81.034154,SA,1,1,,,,1,1,1,1,1,1,,,,,,,1,,,,1,1,,1,,,1,,,1,,,,,,,,,,,1,1,,1,,,,,,,,,,,1,1,,,,,,1,1,1,1,1,1,,,,,1,,1,,,,,,,,,,,,,,,,1,1,1,,,1,,,,1,,,,1,,1,1,,,1,,,1,1,1,1,,,,,1,,,,,,1,1,1,1,,,,,,1,1,,1,1,1,,1,1,1,,1,1,1,1,,,1,1,,,1,,1,1,,1,,1,1,,1,,,1,,1,1,1,,,,,1,,,,1,1,1,,1,,,1,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Insights Educational and Treatment Services,1441 Saint Andrews Road ,Columbia,SC,29210,,Richland,803-750-8444,,,803-808-1221,http://www.insightsservices.com,34.0515907,-81.1015549,SA,1,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,1,1,,1,,,,1,,,,,,,1,1,,,,,,,,,,,,1,,1,,,,,,,,1,,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,1,,,1,1,,,,,1,,,1,,,,1,1,1,,,,,,,,,,,,,1,,,1,,1,1,,,,,1,,,,1,,,,,,,,,,,1,,,,1,,1,,,1,,1,,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia Teen Challenge ,3332 Leesburg Road Suite A,Columbia,SC,29209,,Richland,803-834-5236,,,,http://teenchallenge.cc/columbia-men/,33.9844098,-80.8948255,SA,1,,,,,,,,,,,,,1,1,,,,,,,1,,,1,1,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,,1,,1,1,,1,,,,,,,,1,1,1,1,,1,,,1,1,,,1,,,1,1,,1,,,,,1,,,1,1,,,1,1,1,,,,1,,1,1,,,,,1,1,1,1,1,,1,1,,,1,,1,,1,,1,1,1,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
William S Hall Psychiatric Institute Adolescent Recovery Program,220 Faison Drive ,Columbia,SC,29203,,Richland,803-898-1662,,,,http://www.scdmh.org,34.0823923,-80.9960791,SA,1,,,,,,,,,,,,,,,,1,,,,,1,1,,1,1,1,1,,,1,,,,,,,,,,,,1,,,1,,,,1,,,,1,,,1,,1,,,,1,1,,1,1,1,,1,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,1,1,,1,,1,1,1,1,,1,,1,,,1,1,,,,,1,,,,,,1,1,1,1,,,,,,1,1,,,1,1,,1,,,1,,,1,1,,,1,1,,,,,1,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Morris Village ,610 Faison Drive ,Columbia,SC,29203,,Richland,803-935-7100,,803-935-7101,,http://www.state.sc.us/dmh/morrisvillage/about.html,34.08419783,-80.99126986,SA,1,1,,,,1,,1,,1,1,1,,,,,,,,,,1,,1,1,1,1,,1,,1,1,,1,,1,,,,,,1,1,,,,,,,1,,,,,1,,,1,,,,,1,1,1,1,1,1,,1,,,1,,,,,,,,,,,1,1,,,,,,1,1,1,1,1,1,,,1,1,1,,1,1,,1,1,,,1,,,1,1,1,1,,,,,1,,,,1,,1,1,1,1,1,,,,1,1,,,,1,1,1,1,1,1,1,1,1,1,,,,1,1,,,,1,1,,,1,,,1,1,1,,,,,1,,,,,,,1,,,,,1,1,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
William J McCord Adolescent Treatment Facility,910 Cook Road ,Orangeburg,SC,29118,,Orangeburg,803-534-2328,,803-534-2328 x151,,http://www.tccada.com,33.535231,-80.82061,SA,1,1,,,,1,1,1,1,1,1,1,,,,,,,,,,1,,1,1,1,,1,,,1,,1,,,,,,,,1,1,1,,,1,,,,,,,1,,1,1,1,,,,,,1,1,,,1,1,,1,1,,1,,,,,,,,,1,,,,,,,,,,1,1,1,1,1,,,1,1,1,,1,1,,1,1,,,1,,1,1,1,1,1,,,,,1,,,,1,,1,1,1,1,,,1,,1,1,1,1,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,,1,1,1,1,,1,,1,1,1,1,,,1,,1,,,,,,,1,,,,,,,,,,,1,1,1,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Tri County Commission on Alcohol and Drug Abuse,910 Cook Road ,Orangeburg,SC,29118,,Orangeburg,803-536-4900,Intakes,803-536-4900 x126,803-534-2328 x143,http://www.tccada.com,33.533726,-80.820246,SA,1,,,,,1,1,,1,1,1,1,,,,,,,,,,1,,1,1,1,,1,,,,,1,,,,,1,,1,1,,,,,,,,,,,,1,,1,,1,,,,,,1,1,,,1,1,,1,1,1,1,,,,,,,1,,,,1,,,,,,,,,,,,,1,,1,1,1,1,1,1,,1,1,,,1,,1,,,1,1,,,1,,1,1,,,1,,1,1,1,1,1,1,1,,1,1,1,1,,1,,1,1,1,1,,1,1,1,1,1,1,1,1,,,1,1,1,1,,1,,1,1,1,1,,,1,,1,,,,,,,1,,,,,,,,,,,1,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Fairfield Behavioral Health Services ,178 U.S. Highway 321 Bypass North ,Winnsboro,SC,29180,,Fairfield,803-635-2335 x19,,803-635-2335 x10,,http://www.fairfieldbhs.org,34.367678,-81.1004727,SA,1,,,,,,,,,,,,,,,,,1,,,,1,,,1,1,1,,1,,,,1,,,,,1,,,1,,,,,,,,,,,,,,1,,,1,,,,,1,1,,,1,,,1,1,,1,,1,,,,,1,,1,,,,,,,,,,,,,,,1,,1,1,1,,,1,1,1,1,1,,1,,1,,,1,1,,,1,,1,,,,1,,,1,1,1,,,,1,1,,1,1,,,,1,1,,1,1,,1,1,,1,1,,1,,1,,,1,1,,,,,,,,,,1,,,,1,,,,1,,,1,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Waypoint Recovery Center Residential Location,499 Wild Hearts Road ,Cameron,SC,29030,,Calhoun,854-444-5200,,,,http://www.waypointrecoverycenter.com,33.4791285,-80.6812494,SA,1,,,,,1,1,,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,1,1,1,1,,1,1,,,1,,,1,1,1,1,,,,,1,1,,,1,,,1,1,1,1,,,,1,1,,,,,1,1,1,,,1,1,1,,,,1,1,1,,1,1,,,1,,1,,1,1,1,1,,1,,,1,,,,,,,1,,,,,1,1,,1,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Westview Behavioral Health Services ,204 Ramage Street ,Saluda,SC,29138,,Saluda,864-445-2968,,,864-445-3827,http://www.westviewbehavioral.org,34.0028529,-81.7774889,SA,1,,,,,,,,,,,,,,,,,1,,,,1,,,1,1,,1,,,,,1,,,,,1,,,1,,,,,,,,,,,,1,,1,,,1,,,,,1,1,1,1,1,1,,1,,1,,1,1,,,,,1,,1,,,1,1,1,1,1,,,,,,,,1,,1,1,1,,1,1,,,1,,,1,,1,,,1,1,,,1,,1,,,,1,,,1,1,1,,,,,1,1,,1,,1,,1,1,,,1,1,1,,,,,,1,,,,1,1,1,,,,,,,,,,1,,1,,1,,,,1,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael C Watson Treatment Facility ,2549 Main Highway ,Bamberg,SC,29003,,Bamberg,803-245-4360,,,,http://www.tccada.com,33.3030451,-81.0335257,SA,1,,,,,1,1,,1,1,1,1,,,,,,,,,,1,,1,1,1,,1,,,,,1,,,,,1,,,1,,,,,,,,,,,,1,,1,,1,,,,,,1,1,,,1,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,,1,,1,1,,,1,,1,,,1,1,,,1,,1,1,,,,,1,1,1,1,1,,,,1,1,,1,,1,,1,1,,,,1,1,1,,1,1,,1,,,1,1,1,1,,1,,1,1,1,1,,,1,,1,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHG Aiken Treatment Center ,410 University Parkway Suite 1560,Aiken,SC,29801,,Aiken,803-641-6911,,,,http://bhgrecovery.com/locations/#southcarolina,33.5727301,-81.764027,SA,1,,1,1,,1,1,,,1,,,1,,,,,,,1,1,1,,,1,,,1,,,,,1,,,,,1,,,1,,,,,,,,,,,,1,,,,1,,,,,,1,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,1,,,,1,,,,,1,1,1,1,,,1,,,,1,,,1,1,1,,,,1,1,1,1,,,1,,1,1,1,1,,,1,1,,1,1,1,1,,1,,,1,1,,,1,1,,1,,,1,,,,,,,1,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aiken Center ,1105 Gregg Highway ,Aiken,SC,29801,,Aiken,803-649-1900,,,,http://www.aikencenter.org,33.56573183,-81.77415297,SA,1,,,,,,,,,,,,,,,,,1,,,,1,,1,1,1,1,,1,,,,1,,,,,,,1,1,,,,,,,,,,1,,1,,1,,,1,,,,,1,1,,1,1,,,1,1,1,1,1,,,,,,,,1,,1,,,,,,,,,,,,,1,,1,1,1,,,,,1,1,,,1,,1,,,1,1,,,1,,1,,,,1,,,1,1,1,,1,1,,1,1,1,1,,,,1,1,1,1,1,1,1,1,,1,1,1,1,,1,,1,1,1,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westview Behavioral Health Services ,800 Main Street ,Newberry,SC,29108,,Newberry,803-276-5690,,,,http://www.westviewbehavioral.org,34.2714209,-81.6244652,SA,1,,,,,,,,,,,,,,,,,1,,,,1,,,1,1,,,,1,,,1,,,,,1,,,1,,,,,,,,,,,,1,,1,,,1,,,,,1,1,1,1,1,1,,1,,1,,1,1,,,,,1,,1,,,,,1,1,1,,,,,,,,1,,1,1,1,1,1,1,,1,1,1,,1,,1,,,1,1,,,1,,1,,,,1,,,1,1,1,,1,,,1,1,,1,,,,1,1,,,1,1,1,1,,,,,1,,1,,1,1,1,,,,,,,,,,1,,1,,1,,,,1,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axis I Center of Barnwell ,1644 Jackson Street ,Barnwell,SC,29812,,Barnwell,803-541-1245,,,,http://www.axis1.org,33.24385,-81.36602,SA,1,,,,,1,1,,1,1,1,1,,,,,,1,,,,1,,1,1,1,1,1,,,,,1,,,,,1,,1,1,,,,,,,,,,,,1,,1,,,1,,,,,1,1,,1,1,,,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1,,1,1,1,,1,1,1,1,1,,,1,,1,,,1,1,,,1,,1,,,1,1,,,1,1,1,,1,1,,1,1,1,1,,,,1,1,,,1,,1,1,,1,1,,1,,1,,1,1,1,,1,,1,,1,,,,1,,1,,1,,,,1,,,1,,,,,,,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALPHA Behavioral Health Center ,208 King Street ,Camden,SC,29020,,Kershaw,803-432-6902,,,,http://www.alphabehavioralhealthcenter.org,34.2407375,-80.598648,SA,1,,,,,1,1,,1,1,1,1,,,,,,1,,,,1,1,1,1,1,1,,1,,,,1,,,,,1,,,1,,,,,,,,,,,,1,,1,,,1,,,,,1,1,,1,1,,,1,,,,,1,,,,,1,,1,1,,,,1,1,1,,,,,,,,1,1,1,1,1,1,,1,,1,1,,,1,,1,,,1,1,,,1,,1,,,1,1,,1,1,1,1,,1,1,,1,,,1,,1,,1,1,,,,1,1,1,,1,,,1,,1,,1,1,1,,1,,1,1,1,1,1,,1,,,,1,,,,1,,,1,,,,,,,,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornerstone Edgefield,603 Augusta Road ,Edgefield,SC,29824,,Edgefield,803-637-9336,,,,http://www.cornerstonecares.org,33.7743,-81.917054,SA,1,,,,,,,,,,,,,,,,,1,,,,1,1,,1,1,,1,,,,,1,,,,,,,,1,,,,,,,,,,1,,1,,1,,,1,,,,,1,1,,1,1,,,1,,1,1,,,,,,,,,1,,,,,1,,,,,,,,,,1,,1,1,1,1,,1,1,1,,,,1,,,,,1,1,,,1,,1,,,,,,,1,1,1,,,,1,1,,,1,,,,1,1,,,1,,1,,,,1,1,1,,,,,1,1,,,,,,,,,,,,1,1,,1,,,1,,1,,1,,,,,,,1,,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumter Treatment Specialists ,1031 Broad Street ,Sumter,SC,29150,,Sumter,803-848-0035,,,,http://sumtertreatmentspecialists.com,33.9477213,-80.3738248,SA,1,,1,1,,1,1,,,1,,,1,,,,,,,1,1,1,,1,1,,,1,,,,,1,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,1,,,,,,,,,1,1,1,1,,,1,,,,,,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumter Behavioral Health Services ,441 North Main Street ,Sumter,SC,29150,,Sumter,803-775-5080,,,,http://www.sumterbhs.org,33.92819631,-80.34148664,SA,1,,,,,1,1,,1,1,1,1,,,,,,1,,,,1,,1,1,1,,,1,,,,1,,,,,1,,1,1,,,,,,,,,,,,1,,1,,,1,,,,,1,1,,1,1,1,,1,1,1,1,,,,,,,,,1,,1,,,1,,,,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,,1,,,1,1,,,,,1,1,,,1,,1,1,1,1,1,1,1,1,1,,,1,,1,,1,1,,,,1,1,1,,1,,1,1,,1,1,1,1,1,,1,,1,1,1,1,,,1,,,,1,1,,,1,1,,1,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumter Behavioral Health Services ,115 North Harvin Street ,Sumter,SC,29150,,Sumter,803-775-6815,,,803-775-5080,http://www.sumterbhs.com,33.9223873,-80.3382067,SA,1,,,,,,,,,,1,1,,,,,,1,,,,1,,1,1,1,,,1,,,1,1,1,,,,,,,1,,,,,,,,,,,,1,,1,,,1,,,,,1,1,,1,1,,,1,,1,,,,,,,,1,,,,1,1,,,,,1,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,,1,,,1,1,,,1,,1,,,1,,,,1,1,1,,1,1,,1,,,1,,1,,1,1,,1,,,1,1,,1,1,1,1,,,,1,1,,,1,,,,,1,,,1,,,1,,1,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clarendon Cty Commission on Alc Trt DBA Clarendon Behavioral Health Servs,14 North Church Street ,Manning,SC,29102,,Clarendon,803-435-2121,,,,http://www.clarendonbhs.com,33.6959659,-80.2084491,SA,1,,,,,,,,,,,,,,,,,1,,,,1,,,1,1,1,1,,,,,1,,,,,,,,1,,,,,,,,,,1,,1,,1,,,1,,,,,1,1,,1,1,,,1,1,1,1,,1,,,,,1,1,1,1,1,1,,1,1,1,1,,,,,,,1,,1,1,1,1,1,1,1,1,1,1,,1,,1,,,1,1,,,1,,1,,,1,1,,,1,1,1,,,1,,1,1,,1,1,,,1,1,,,,,1,1,,1,1,,1,,,,,1,1,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
