x,y,objectid,name,street,city,state,zip,county,mail_phone,website,open_jan,open_feb,open_mar,open_apr,open_may,open_jun,open_jul,open_aug,open_sep,open_oct,open_nov,open_dec,cash,check,credit,debit,other_pay,wic,senior,snap_ebt,snap_trans,h_bucks,geoid,tract_latitude,tract_longitude,lat,lon
-8971641.901,3921146.176,9610,St. George Farmers' Market,5866 Jim Bilton Blvd,St. George,SC,29477,DORCHESTER,8435633032,,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES,NO,YES,YES,YES,HANDLED BY INDIVIDUAL VENDOR,,45035010200,+33.1882779,-080.5663258,33.19376,-80.591576
-9015471.368,3825137.676,9612,Jasper County Farmer's Market,9935 Jacob Smart Blvd,Ridgeland,SC,29936,JASPER,(843)726-8127 or (843)717-3690,,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,YES,YES,NO,,,45053950202,+32.5364880,-080.8861724,32.4700522,-80.98781428
-9046779.207,3960915.101,9613,Whittle Farm Market,9261 Neeses Hwy,Springfield,SC,29146,ORANGEBURG,8035339683,,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,NO,YES,YES,YES,HANDLED BY INDIVIDUAL VENDOR,YES,45075011800,+33.4920648,-081.1791302,33.493378,-81.269165
-8998990.996,3965612.216,9614,Right Choice Fresh Start Farmer's Market,3310 Magnolia St.,Orangeburg,SC,29115,ORANGEBURG,803-219-7009,,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,HANDLED THROUGH OUTLET-WIDE PROGRAM,YES,45075011100,+33.5450483,-080.8457594,33.52709,-80.840004
-8974430.605,3809327.791,9616,Otis Daise Sr. & Son Produce,113 Peaches Hill Cir.,St. Helena Island,SC,29920,BEAUFORT,8432636145,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,,45013001102,+32.3630229,-080.5792222,32.35011,-80.61837
-8903863.2,3879576.999,9621,North Charleston Farmers Market,4800 Park Cir.,North Charleston,SC,29405,CHARLESTON,8437405853,http://www.northcharleston.org/residents/special-events/farmers-market,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,,YES,YES,PAY PAL,YES,YES,YES,INDIVIDUAL,YES,45019003600,+32.8778634,-079.9842690,32.8804352,-79.9860378
-8936306.75,3834577.835,9622,George And Pink Vegetable Stand,7971 Eddingsville Beach Rd.,Edisto Island,SC,29438,CHARLESTON,8438692425,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,NO,,,45019002300,+32.5734128,-080.3153210,32.540413,-80.27532
-8906695.869,3867153.128,9623,West Ashley Farmer Market,55 Sycamore Ave,Charleston,SC,29407,CHARLESTON,,http://www.charlestonfarmersmarket.com/westashley/,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,,YES,YES,YES,HANDLED BY INDIVIDUAL VENDOR,YES,45019002900,+32.7894663,-079.9838555,32.78886422,-79.99098986
-9001728.716,3960281.53,9624,Dora Farmer's Market,152 Market Street,Orangeburg,SC,29115,ORANGEBURG,,,NO,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,YES,NO,YES,,YES,INDIVIDUAL,,45075011300,+33.4824862,-080.8596624,33.488434,-80.86363
-8886754.333,3864046.293,9625,Sullivan's Island Farmer's Market,1921 I'On Ave,Sullivan'S Island,SC,29482,CHARLESTON,8438835744,http://sullivansisland-sc.com/farmersmarket.aspx,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES,,NO,NO,NO,,,45019004800,+32.7709494,-079.8311365,32.7595,-79.84218
-8904134.93,3863761.267,9626,Sunday Brunch Farmers Market,1977 Maybank Highway Pour House,James Island,SC,29412,CHARLESTON,843-580-2153,http://www.sundaybrunchfarmersmarket.com,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,,,45019001901,+32.7470539,-079.9967682,32.762455,-79.98674
-8932951.988,3888574.605,9629,Summers Corner,1609 Beech Hill Road,Summerville,SC,29483,DORCHESTER,,http://summerscorner.com,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,,YES,YES,YES,INDIVIDUAL,YES,45035010814,+32.9832119,-080.1343344,32.9888304,-80.1331216
-8916956.717,3859301.926,9631,Stono Market And Tomato Shed Cafe,842 Main Road,Johns Island,SC,29455,CHARLESTON,843-559-9999,http://www.stonofarmmarket.com,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,NO,NO,NO,,,45019002101,+32.7430103,-080.0840064,32.76281,-80.10647
-8936641.592,3834737.726,9632,Geechie Boy Mill And Market,2975 Highway 174,Edisto Island,SC,29438,CHARLESTON,843-209-5220,http://www.geechieboymill.com,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,N/A,NO,NO,NO,,,45019002300,+32.5734128,-080.3153210,32.59729715,-80.34651891
-8916284.474,3858949.612,9634,Main Road Farmers Market,155 Main Rd,Johns Island,SC,29455,CHARLESTON,843-442-9281,http://mainroadfarmersmarke.wixsite.com/main-road-market,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,,,45019005600,+32.8010357,-080.0830664,32.80058012,-80.10879246
-8990614.172,3833004.885,9635,Rest Park Farm,191 Seabrook Road,Seabrook,SC,29920,BEAUFORT,843-592-3535,http://www.certifiedscgrown.com/members/rest-park-farms/?parent_id=6912,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,,NO,NO,NO,,,45013000200,+32.5007617,-080.7468659,32.529583,-80.763626
-8970825.15,3912411.622,9636,Gruber Farm,1534 Hwy 15,St. George,SC,29477,DORCHESTER,,http://gruber-csa-farm.com/,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,,YES,YES,YES,HANDLED BY INDIVIDUAL VENDORS,,45035010200,+33.1882779,-080.5663258,33.22512,-80.54004
-8943031.684,3929543.071,9637,Hickory Bluff Berry Farm,3019 Old Gillard Road,Holy Hill,SC,29059,BERKELEY,,http://hickorybluffnurseryandberryfarm.com/,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,YES,,NO,NO,NO,,,45015020102,+33.1909851,-080.2731373,33.258644,-80.33624
-8924710.811,3898922.739,9638,Coastal Produce Market,500 North Cedar Street,Summerville,SC,29483,DORCHESTER,,http://agriculture.sc.gov/roadside-markets/coastal-produce/,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,,NO,NO,YES,HANDLED BY INDIVIDUAL VENDORS,,45035010700,+33.0271006,-080.1731660,33.02621,-80.17282
-8925567.135,3897403.754,9639,Summerville Farmers Market,218 South Main Street,Summerville,SC,29483,DORCHESTER,,http://summervillesc.gov/267/farmers-market,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,YES,YES,HANDLED BY INDIVIDUAL,,45035010700,+33.0271006,-080.1731660,33.018215,-80.176414
-9025155.304,3800368.796,9640,Hardeeville Farmers Market,205 Main Street,Hardeeville,SC,29927,JASPER,843-227-4314,,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,NO,,YES,YES,NO,,,45053950300,+32.2481288,-081.0599775,32.282692,-81.075584
-8989543.543,3784284.193,9641,The Market Village Of Wexford,1000 William Hilton Parkway,Hilton Head,SC,29928,BEAUFORT,,http://villageatwexford.com,NO,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,,YES,YES,NO,NO,,45013010300,+32.1728039,-080.7602214,32.15676,-80.75858
-8914422.707,3862842.805,9642,Blackbird Market,1808 Bohicket Road,John'S Island,SC,29455,CHARLESTON,843-559-0193,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,N/A,NO,NO,YES,OUTLET WIDE,,45019002101,+32.7430103,-080.0840064,32.715109,-80.0747488
-8903950.834,3861237.628,9643,The Town Market On James Island,871 Fort Johnson Road,James Island,SC,29412,CHARLESTON,843-471-7845,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,N/A,NO,NO,NO,,,45019002005,+32.7310699,-079.9132447,32.730595,-79.92819
-8900205.42,3861161.191,9644,Nano Farms Farm Stand,1444 Folly Rd,Charleston,SC,29412,CHARLESTON,843-471-7845,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,,,45019002003,+32.6854321,-079.9526678,32.71397541,-79.96489284
-8893002.003,3879554.168,9645,Daniel Island Farmer's Market,860 Island Park Drive  Refuel Service Station,Daniel Island,SC,29492,BERKELEY,843-971-4405,http://www.dicommunity.org,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,N/A,NO,NO,NO,,,45015020403,+32.8630475,-079.9189550,32.862988,-79.90578
-8997023.244,3856909.699,9646,Muddy Creek Farmers Market,3449 Highway 651,Cottageville,SC,29435,COLLETON,910-376-1009,,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,,,45029970700,+32.9441939,-080.4785182,32.9550869,-80.4867817
-8877866.516,3887061.303,9647,Blue Pearl Farms,9760 Randall Road,Mcclellanville,SC,29458,CHARLESTON,843-887-3554,http://bluepearlfarms.com/Home_Page.html,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,,,45019005000,+33.0393507,-079.5734552,33.095863,-79.504005
-8904790.316,3878766.829,9651,Fresh Future Farm,2008 Success St,North Charleston,SC,29405,CHARLESTON,843-804-9091,http://freshfuturefarm.org,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,"SNAP,EBT",NO,NO,YES,INDIVIDUAL VENDOR,,45019004300,+32.8501669,-079.9673955,32.853558,-79.97053
-8947593.857,3860741.425,9652,Jeremiah Fresh Produce,5225 Hwy 174,Adams Run,SC,29426,CHARLESTON,843-513-8923,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,,,45019002400,+32.7481866,-080.3518239,32.72189,-80.35039
-8915242.962,3855056.882,9653,Legare Farms,2620 Hanscombe Point Rd,John'S Island,SC,29455,CHARLESTON,8435590788,http://www.legarefarms.com,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,N/A,NO,NO,NO,,,45019002103,+32.6727041,-080.0718045,32.67869,-80.0253
-8980381.164,3917754.441,9654,Cordray Farms And Processing,6708 County Line Rd,Ravenel,SC,29410,DORCHESTER,843-766-7922,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,,,45035010801,+32.8955573,-080.2650986,32.843494,-80.27585
-9007999.238,3953572.663,9656,Livingston Farms,3371 Savannah Highway,North,SC,29112,ORANGEBURG,803-568-3165,,NO,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,45075012000,+33.6313521,-081.0559758,33.66709,-81.11076
-8892238.265,4122771.012,9660,Cheraw Farmers Market,105 Front St.,Cheraw,SC,29520,CHESTERFIELD,843-910-4478 or 843-537-8425,,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,YES,YES,NO,N/A,NO,45025950600,+34.5951251,-079.8967144,34.697075,-79.880295
-8914813.295,4074480.739,9662,Dixon Produce,448 W.Bobo Newsome Hwy,Hartsville,SC,29550,DARLINGTON,843-309-4262,,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,N/A,NO,45031010700,+34.3541929,-080.0756425,34.33919793,-80.08092849
-9091173.625,4140285.587,9663,Veggie Patch,385 Poplar St.,Jonesville,SC,29353,UNION,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,,,45087030800,+34.8417937,-081.6902672,34.826454,-81.66745
-9217274.8,4106981.997,9666,Split Creek Farm,3806 Centerville Rd.,Anderson,SC,29625,ANDERSON,8642873921,http://www.splitcreek.com,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,NO,NO,,,45007010800,+34.5681044,-082.8011252,34.580135,-82.803055
-8913710.653,4079182.823,9673,Hartsville Farmers Market,100 East Carolina Ave.,Hartsville,SC,29550,DARLINGTON,843-383-3015,https://mainstreethartsville.org/programs/farmers-markets/,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,N/A,NO,45031010600,+34.3700380,-080.0231357,34.374348,-80.07307
-9175178.158,4146215.064,9678,Swamp Rabbit Cafe And Grocery,205 Cedar Lane Rd.,Greenville,SC,29611,GREENVILLE,,http://www.swamprabbitcafe.com,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,NO,YES,,,45045002201,+34.8682367,-082.4358816,34.87056,-82.42151
-9100926.714,3983375.567,9683,Garret And Son,2334 Edgefield Hwy,Aiken,SC,29801,AIKEN,8032705664,,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,,,45003020302,+33.6120849,-081.7527523,33.635974,-81.737618
-9097441.182,3963765.218,9684,Woods Market And Garden,951 Dougherty Rd.,Aiken,SC,29803,AIKEN,8034439676,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,,,45003021203,+33.4860371,-081.7256873,33.514523,-81.72365
-9201865.995,4100712.676,9685,Concord Market,208 Concord Rd.,Anderson,SC,29621,ANDERSON,864-245-3910,,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,,,45007001100,+34.5418110,-082.6594195,34.5335,-82.66277
-9172080.962,4123695.459,9687,South Greenville Farmers Market,7788 Augusta Rd.,Piedmont,SC,29673,GREENVILLE,,,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,,,45045003303,+34.6918423,-082.3925094,34.70643,-82.391594
-8913420.409,4075756.706,9688,South 5th Street Open Air Market,1616 South 5Th St.,Hartsville,SC,29550,DARLINGTON,8433329300,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,,NO,45031010700,+34.3541929,-080.0756425,34.352055,-80.06945
-8795403.572,3973107.819,9689,Angela's Fresh Market,611 Atlantic Ave,Garden City,SC,29576,HORRY,8436515018,,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,NO,NO,NO,NO,,NO,45051051302,+33.5809735,-079.0076889,33.58393,-79.00956
-8796319.349,4001682.815,9691,Ann's Produce,720 Hwy 544,Conway,SC,29526,HORRY,8432342030,,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,N/A,NO,45051060101,+33.7554846,-079.0416290,33.7988,-79.01863
-8789271.333,3979959.758,9692,Davis Produce,5832 S.Kings Hwy,Myrtle Beach,SC,29575,HORRY,843-222-1971,,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,N/A,NO,45051051403,+33.6517690,-078.9651225,33.641197,-78.94856
-8779482.148,3990137.123,9694,Myrtle Beach Produce,609 29Th Ave. N.,Myrtle Beach,SC,29577,HORRY,843-492-5012,http://www.myrtlebeachproduce.com,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,N/A,NO,45051050500,+33.7168113,-078.8665665,33.711468,-78.866776
-8812415.13,4021253.4,9695,Mr Potato Head Produce,211 Hucks Rd.,Aynor,SC,29511,HORRY,8439975717,,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,N/A,NO,45051080200,+33.9415985,-079.2327837,33.943336,-79.16382
-9040693.339,4020014.356,9697,Bars Produce And Feed,115 Narrow Way,Lexington,SC,29073,LEXINGTON,8035439446,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,,,45063021017,+33.9403109,-081.1950024,33.934223,-81.21386
-9096424.972,4058089.247,9699,P&D Old Country Store And Market,1115 Main St.,Silverstreet,SC,29145,NEWBERRY,8035970063,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,,,45071950700,+34.2387054,-081.7797569,34.21765,-81.71485
-9127632.934,4099377.487,9701,Laurens Produce,19057 Hwy 221 N. Laurens,Laurens,SC,29360,LAURENS,864-438-9214,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,NO,NO,,,45059920502,+34.5452035,-082.0223328,34.52364,-81.995
-9267902.997,4132434.908,9702,Chattooga Belle Roadside Stand,12260 Long Creek Hwy,Westminster,SC,29693,OCONEE,(864) 647-9768,http://www.chattoogabellefarm.com,NO,NO,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,,,45073031100,+34.6726176,-083.1814126,34.671784,-83.106593
-9019210.315,4028162.67,9706,Lourie Center Seeds Of Hope Farmer's Market,1650 Park Cir.,Columbia,SC,29201,RICHLAND,8037791971,http://www.louriecentersc.com,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,NO,NO,YES,NO,,,45079002700,+33.9898359,-081.0174700,33.994938,-81.022575
-9020948.886,4031877.046,9707,SC DHEC Seeds Of Hope Farmer's Market,2600 Bull St.,Columbia,SC,29201,RICHLAND,,,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,YES,NO,,,45079000700,+34.0177977,-081.0406649,34.02250505,-81.03736037
-9012284.661,4036091.441,9709,Tree Of Life Congregation Seeds Of Hope Farmer's Market,6719 N. Trenholm Rd.,Columbia,SC,29206,RICHLAND,8037872182,http://www.tolsc.org,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,YES,NO,,,45079011102,+34.0472658,-080.9686788,34.052605,-80.95889
-9031118,4034159.892,9710,Ashland United Methodist Church Seeds Of Hope Farmer's Market,2600 Ashland Rd.,Columbia,SC,29210,LEXINGTON,8037985350,http://www.ashlandumc.org,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,YES,YES,YES,NO,YES,YES,NO,,,45063020510,+34.0357070,-081.1257529,34.040257,-81.12846
-9033371.488,4039680.89,9711,Grace United Methodist Church Seeds Of Hope Farmer's Market,410 Harbison Blvd.,Columbia,SC,29212,RICHLAND,8037321899,http://gracecolumbia.org/,NO,NO,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,YES,YES,NO,,,45079010304,+34.0792076,-081.1443462,34.08054925,-81.14970208
-9016016.806,4028525.26,9714,Shandon United Methodist Church Seeds Of Hope Farmer's Market,3407 Devine St.,Columbia,SC,29201,RICHLAND,8032568383,http://www.shandon-umc.org,NO,NO,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,NO,YES,YES,NO,,,45079002300,+34.0020465,-080.9868760,33.99746404,-80.99271395
-8805346.546,4011167.142,9729,Carrols Produce - Hwy 501,3152 Hwy 501 W.,Conway,SC,29526,HORRY,8434216294,,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,N/A,NO,45051060405,+33.7922107,-079.0120361,33.8000194,-79.0055024
-8818877.757,4031765.382,9733,Po Boys Produce,1645 Hwy 501 W.,Aynor,SC,29511,HORRY,843-358-2513,,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,HANDLED BY INDIVIDUAL VENDOR,NO,45051080102,+34.0039385,-079.2072429,34.024743,-79.223407
-9134295.168,4175285.777,9735,Ragan Orchards,2039 Hwy 292,Inman,SC,29349,SPARTANBURG,(864) 472-5778,,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,NO,YES,YES,NO,,,45083022801,+35.0670185,-082.0543873,35.083008,-82.058365
-9120077.187,4160011.788,9736,Bellews Market,240 Garner Rd.,Spartanburg,SC,29303,SPARTANBURG,(864) 585-7726,http://www.bellewsmarket.com,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,HANDLED BY INDIVIDUAL VENDOR,,45083021500,+34.9800448,-081.9284454,34.972836,-81.927284
