npi,basic_organization_name,npi_2,hours_of_operation,medicaid_id,spoken_languages,e_rx,delivery,compound,drive_thru,vaccines,handicap_access,cultural_comp_training,accepting_new_customers,website,basic_organizational_subpart,basic_enumeration_date,basic_last_updated,basic_status,basic_authorized_official_credential,basic_authorized_official_first_name,basic_authorized_official_last_name,basic_authorized_official_telephone_number,basic_authorized_official_title_or_position,basic_name,basic_parent_organization_ein,basic_parent_organization_legal_business_name,basic_authorized_official_middle_name,basic_authorized_official_name_prefix,basic_authorized_official_name_suffix,basic_certification_date,basic_name_prefix,basic_first_name,basic_last_name,basic_middle_name,basic_credential,basic_sole_proprietor,basic_gender,addresses_country_code,addresses_country_name,addresses_address_purpose,addresses_address_type,addresses_address_1,addresses_address_2,addresses_city,addresses_state,addresses_postal_code,addresses_telephone_number,addresses_fax_number,geoid,tract_latitude,tract_longitude,lat,lon
1013010875,SOUTH CAROLINA CVS PHARMACY LLC,1013010875,,745161,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy,NO,9/7/06,2/8/12,A,,SUSAN,COLBERT,401-770-2751,"DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,1080 ALICE DR,,SUMTER,SC,291502463,803-469-7150,,45085000902,+33.9307112,-080.3812259,-80.383446,33.937443
1013010883,SOUTH CAROLINA CVS PHARMACY LLC,1013010883,,742646,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy,NO,9/7/06,2/8/12,A,,SUSAN,COLBERT,401-770-2751,"DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,210 INGLES PL,,SENECA,SC,296780847,864-882-6706,,45073030602,+34.7786328,-082.9168907,-82.937744,34.70079
1013011410,WALGREEN CO,1013011410,,715812,ENG,Y,N,Y,Y,N/A,Y,Y,Y,https://www.walgreens.com/pharmacy/,YES,9/8/06,8/30/16,A,,ALAN,NIELSEN,847-315-3523,TREASURER,WALGREEN CO,<UNAVAIL>,WALGREENS BOOTS ALLIANCE INC,T,MR.,,,,,,,,,,US,United States,LOCATION,DOM,1106 JOHN C CALHOUN DR,,ORANGEBURG,SC,291156656,803-531-2079,,45075011300,+33.4824862,-080.8596624,-80.863174,33.48644
1013264670,WALGREEN CO,1013264670,,715808,ENG,Y,N,Y,Y,N/A,Y,Y,Y,https://www.walgreens.com/pharmacy/,YES,8/13/12,10/31/16,A,,ALAN,NIELSEN,847-315-3523,TREASURER,WALGREEN CO,<UNAVAIL>,WALGREENS BOOTS ALLIANCE INC,T,MR.,,,,,,,,,,US,United States,LOCATION,DOM,1110 DICK POND RD,,MYRTLE BEACH,SC,295755503,843-232-0091,,45051051403,+33.6517690,-078.9651225,-78.96324,33.630802
1013428176,LONGS DRUGSTORES OF SC INC,1013428176,,717528,ENG,Y,Y,N,N,Y,Y,Y,Y,https://longsrx.com/,YES,10/17/17,10/17/17,A,,ASHLEY,ELLIS,803-254-5884,CORPORATE COUNSEL,LONGS DRUGSTORES OF SC INC,<UNAVAIL>,LONG'S DRUGSTORES OF SC INC,,,,,,,,,,,,US,United States,LOCATION,DOM,1481 TOBIAS GADSON BLVD STE 2D,,CHARLESTON,SC,294074794,843-996-1496,,45019002613,+32.8200495,-080.0433739,-80.03027,32.809387
1013468404,HUMANA PHARMACY INC,1013468404,,716916,ENG,Y,N,N,N,Y,Y,Y,Y,https://www.hubcitypharmacy.info,NO,10/20/16,3/9/17,A,,BRIAN,DOHENY,502-476-4590,DIRECTOR,HUMANA PHARMACY INC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,2001 E GREENVILLE ST,,ANDERSON,SC,296211529,864-332-3101,,45007001100,+34.5418110,-082.6594195,-82.631256,34.543526
1013922962,INGLES MARKETS INC,1013922962,,761285,ENG,Y,N,Y,Y,Y,Y,Y,Y,www.ingles-markets.com/inside/pharmacy/pharmacy-info,NO,7/29/06,8/15/19,A,RPH,STEPHEN,CUCCHI,828-669-2941,VICE PRESIDENT OF PHARMACY,INGLES MARKETS INC,,,V,MR.,,,,,,,,,,US,United States,LOCATION,DOM,2120 E MAIN ST,,DUNCAN,SC,293349456,864-433-0422,864-433-0569,45083023403,+34.8840778,-082.0792475,-82.07156,34.88881
1013934272,WAL-MART STORES EAST LP,1013934272,,724842,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.walmart.com/cp/pharmacy/5431,NO,7/16/06,2/16/17,A,,SARAH,LITTLE,479-277-2500,DIRECTOR OF HEALTHCARE CONTRACTING,WAL-MART STORES EAST LP,,,,,,,,,,,,,,US,United States,LOCATION,DOM,2240 W DEKALB ST,,CAMDEN,SC,290202069,803-425-1691,,45055970500,+34.2954753,-080.6158639,-80.6500855,34.252314
1013972108,F.M. LINDER & SON LLC,1013972108,,732716,ENG,Y,Y,N,N,N,Y,Y,Y,,NO,4/20/06,3/22/21,A,,FRANKLIN,LINDER,912-427-4288,PHARMACIST/OWNER,F.M. LINDER & SON LLC,,,MAXWELL,MR.,,3/22/21,,,,,,,,US,United States,LOCATION,DOM,373 WASHINGTON STREET,,WALTERBORO,SC,29488,843-549-7222,,45029970500,+32.9053462,-080.6718142,-80.66387321,32.9026612
1023058468,PUBLIX SUPER MARKETS INC,1023058468,,730147,ENG,Y,N,Y,N,Y,Y,Y,Y,www.publix.com/Pharmacy,NO,6/7/06,11/18/19,A,,DAIN,RUSK,863-688-1188,VP PHARMACY,PUBLIX SUPER MARKETS INC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,45 PEMBROKE DR,,HILTON HEAD ISLAND,SC,299262262,843-689-2276,843-689-6252,45013010400,+32.1985315,-080.7550507,-80.72346,32.209423
1023104890,PUBLIX SUPER MARKETS INC,1023104890,,791282,ENG,Y,N,Y,N,Y,Y,Y,Y,www.publix.com/Pharmacy,NO,10/5/06,11/18/19,A,,DAIN,RUSK,863-688-1188,VP PHARMACY,PUBLIX SUPER MARKETS INC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,1585 CENTRAL AVE,SUITE A,SUMMERVILLE,SC,294835587,843-832-4247,843-832-4325,45035010605,+33.0070153,-080.2180399,-80.2351408,33.01280486
1023111887,SOUTH CAROLINA CVS PHARMACY LLC,1023111887,,741870,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy,NO,9/7/06,3/1/12,A,,SUSAN,COLBERT,401-770-2751,"DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,609 CHERRY RD,,ROCK HILL,SC,297323119,803-328-6111,,45091060700,+34.9606397,-081.0380086,-81.02928118,34.94551025
1023111895,SOUTH CAROLINA CVS PHARMACY LLC,1023111895,,745308,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy,NO,9/7/06,12/6/11,A,,SUSAN,COLBERT,401-770-2751,"DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,2500 BROAD ST,,CAMDEN,SC,290202225,803-432-5103,,45055970500,+34.2954753,-080.6158639,-80.60946,34.27577
1023176658,"ELGIN PHARMACY, INC.",1023176658,,72037D,ENG,Y,N,Y,N,N,Y,Y,Y,www.mygnp.com,NO,12/5/06,5/19/21,A,PHARMD,TRAISHA,CAMPFIELD,803-438-5735,PHARMACIST,"ELGIN PHARMACY, INC.",,,W.,DR.,,5/19/21,,,,,,,,US,United States,LOCATION,DOM,1107 ROSS ST.,,ELGIN,SC,29045,803-438-5735,803-438-4657,45055970903,+34.1746939,-080.8163615,-80.7944228,34.1694282
1033118757,COMMUNITY PHARMACY OF CHESTER LLC,1033118757,,765740,ENG,Y,Y,Y,N,Y,Y,Y,Y,,NO,7/15/05,6/16/18,A,,JAMES,RICHARDS,704-904-3287,VICE PRESIDENT,COMMUNITY PHARMACY OF CHESTER LLC,,,MARK,,,,,,,,,,,US,United States,LOCATION,DOM,121 CHURCH ST,,CHESTER,SC,297062903,803-581-2102,803-581-2121,45023020200,+34.7003242,-081.2195686,-81.211205,34.703568
1033122635,WALGREEN CO,1033122635,,715769,ENG,Y,N,Y,Y,N/A,Y,Y,Y,https://www.walgreens.com/pharmacy/,YES,8/14/06,1/26/18,A,,ALAN,NIELSEN,847-315-3523,TREASURER,WALGREEN CO,<UNAVAIL>,WALGREENS BOOTS ALLIANCE INC,T,MR.,,,,,,,,,,US,United States,LOCATION,DOM,7412 BROAD RIVER RD,,IRMO,SC,290639662,803-749-3046,,45079010308,+34.1264858,-081.1762180,-81.166176,34.097927
1033136205,SAMS EAST INC,1033136205,,782095,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.sAsclub.com/sAs/,YES,7/16/06,8/7/13,A,,LAURA,LEVINE,479-204-8550,MGR OF GOVERNMENT CONTRACTING,SAMS EAST INC,<UNAVAIL>,WAL-MART STORES INC,,,,,,,,,,,,US,United States,LOCATION,DOM,200 PEACHWOOD CENTRE DR,,SPARTANBURG,SC,293012586,864-595-2661,,45083021902,+34.9240100,-082.0181976,-81.99983,34.934826
1033212527,SOUTH CAROLINA CVS PHARMACY LLC,1033212527,,711316,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy,NO,9/7/06,12/6/11,A,,SUSAN,COLBERT,401-770-2751,"DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,1401 BEN SAWYER BLVD,,MT PLEASANT,SC,294644574,843-881-1725,,45019004701,+32.7801651,-079.8675218,-79.85235,32.79018
1033267695,T & B INC,1033267695,,744430,ENG,Y,Y,N,Y,N,Y,Y,Y,https://www.darlingtonfAilypharmacy.com/,NO,1/8/07,5/28/19,A,RPH,TERRY,LEWIS,843-395-6020,"CEO, PHARMACIST",T & B INC,,,,MR.,,,,,,,,,,US,United States,LOCATION,DOM,203 S MAIN ST,,DARLINGTON,SC,295323953,843-395-6020,843-395-2595,45031011100,+34.3032610,-079.8702831,-79.86984,34.30112
1033291513,SOUTH CAROLINA ONCOLOGY ASSOCIATES PA,1033291513,,779872,ENG,Y,N,Y,N,N,Y,Y,Y,www.sconcology.net/pharmacy,NO,10/20/06,6/3/11,A,PHARM D,JAN,MONTGOMERY,803-461-3077,DIRECTOR,SOUTH CAROLINA ONCOLOGY ASSOCIATES PA,,,,,,,,,,,,,,US,United States,LOCATION,DOM,166 STONERIDGE DR,,COLUMBIA,SC,292108239,803-461-3709,803-461-3426,45079010403,+34.0221797,-081.0849436,-81.07479,34.01483
1033633730,WALGREEN CO,1033633730,,717712,ENG,Y,N,N,Y,Y,Y,Y,Y,https://www.riteaid.com/pharmacy,YES,8/3/17,2/18/19,A,,ALYSSA,SWEETEN,217-709-2386,MANAGER,WALGREEN CO,<UNAVAIL>,WALGREENS BOOTS ALLIANCE INC,,MR.,,,,,,,,,,US,United States,LOCATION,DOM,6950 S PINE ST,,PACOLET,SC,293722243,864-474-1145,864-474-9973,45083023900,+34.8869316,-081.7864815,-81.76399,34.897804
1033635933,WALGREEN CO,1033635933,,717682,ENG,Y,N,N,Y,Y,Y,Y,Y,https://www.riteaid.com/pharmacy,YES,8/22/17,1/29/19,A,,ALYSSA,SWEETEN,217-709-2386,MANAGER,WALGREEN CO,<UNAVAIL>,WALGREENS BOOTS ALLIANCE INC,,,,,,,,,,,,US,United States,LOCATION,DOM,11156 ASHEVILLE HWY,,INMAN,SC,293498931,864-472-3540,864-472-1707,45083022900,+35.0471492,-082.0859382,-82.07760928,35.04003783
1033641121,BANKS DRUG LTC LLC,1033641121,,71716D,ENG,Y,Y,Y,N,Y,Y,Y,Y,https://banksdrug.com,NO,3/29/17,3/29/17,A,,LEE,BANKS,803-685-5326,PRESIDENT,BANKS DRUG LTC LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,632 E MAIN ST,,RIDGE SPRING,SC,291299139,803-233-3557,803-250-2623,45081960400,+33.8896333,-081.6851220,-81.66082358,33.84734481
1033739024,MARUTI SQUARE INC.,1033739024,,7Z1114,ENG,Y,Y,Y,Y,Y,Y,Y,Y,,NO,4/20/20,9/23/20,A,,DIPAN,PATEL,843-799-1211,PIC,MARUTI SQUARE INC.,,,,,,8/14/20,,,,,,,,US,United States,LOCATION,DOM,822 PAMPLICO HWY,,FLORENCE,SC,295056018,843-799-1211,843-799-1217,45041000600,+34.1546745,-079.7528863,-79.75547,34.16015
1043279789,"INTRAMED PLUS, INC.",1043279789,,740306,ENG,N,Y,Y,N,N,Y,Y,Y,https://www.intrAedplus.com,NO,3/21/06,8/20/12,A,,SHELLEY,COOLEY,803-794-0200,REIMBURSEMENT DIRECTOR,"INTRAMED PLUS, INC.",,,Y,,,,,,,,,,,US,United States,LOCATION,DOM,4995 LACROSS RD,SUITE 1200,NORTH CHARLESTON,SC,294066542,843-763-2080,803-763-9916,45019003111,+32.8740625,-080.0295600,-80.01567,32.881405
1043313711,SOUTH CAROLINA CVS PHARMACY LLC,1043313711,,741868,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy,NO,9/7/06,2/8/12,A,,SUSAN,COLBERT,401-770-2751,"DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,6160 WADE HAMPTON BLVD,,TAYLORS,SC,296875350,864-879-7146,,45045002604,+34.9153567,-082.2848315,-82.27475,34.936367
1043313810,SOUTH CAROLINA CVS PHARMACY LLC,1043313810,,742715,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy,NO,9/7/06,3/1/12,A,,SUSAN,COLBERT,401-770-2751,"DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,11211 ASHEVILLE HWY,,INMAN,SC,293498951,864-472-2831,,45083022900,+35.0471492,-082.0859382,-82.07754,35.03829
1043365703,SOUTH CAROLINA DEPARTMENT OF MENTAL HEALTH,1043365703,,717835,ENG,N,N,N,N,N,Y,Y,Y,http://www.state.sc.us/dmh/,YES,1/24/07,10/18/11,A,M.D.,KIMBERLY,RUDD,803-737-5301,DIRECTOR OF PROFESSIONAL SERVICES,SOUTH CAROLINA DEPARTMENT OF MENTAL HEALTH,<UNAVAIL>,SOUTH CAROLINA DEPARTMENT OF MENTAL HEALTH,BUTTERFLY,,,,,,,,,,,US,United States,LOCATION,DOM,2200 HARDEN ST.,,COLUMBIA,SC,292037107,803-737-5339,803-737-5436,45079001000,+34.0186611,-081.0204553,-81.024666,34.018543
1043394299,LITTLE RIVER MEDICAL CENTER PHARMACY,1043394299,,760725,ENG,Y,N,N,N,N,Y,Y,Y,https://lrmcenter.com/,YES,10/24/06,7/11/17,A,PHARMD,KRISTOPHER,CHIPLINSKI,843-663-8031,DIRECTOR OF PHARMACY,LITTLE RIVER MEDICAL CENTER PHARMACY,<UNAVAIL>,LITTLE RIVER MEDICAL CENTER,L,DR.,,,,,,,,,,US,United States,LOCATION,DOM,4303 LIVE OAK DR,,LITTLE RIVER,SC,295669138,843-663-8099,843-663-8131,45051040104,+33.8868648,-078.6108585,-78.599335,33.88302
1043394315,FAMILY HEALTH CENTER PHARMACY,1043394315,,717892,ENG,Y,N,N,N,N,Y,Y,Y,https://www.myfhc.org,NO,10/24/06,8/22/20,A,MD,ARTHUR,KENNEDY,803-531-6900,CHIEF EXECUTIVE OFFICER,FAMILY HEALTH CENTER PHARMACY,,,KOBINA,DR.,,,,,,,,,,US,United States,LOCATION,DOM,3310 MAGNOLIA ST,,ORANGEBURG,SC,291151466,803-531-6900,803-531-6907,45075011100,+33.5450483,-080.8457594,-80.840004,33.52709
1043509045,SOUTH CAROLINA CVS PHARMACY LLC,1043509045,,713286,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy,NO,3/31/11,2/29/12,A,,SUSAN,COLBERT,401-770-2751,DIRECTOR PAYER RELATIONS,SOUTH CAROLINA CVS PHARMACY LLC,,,F,,,,,,,,,,,US,United States,LOCATION,DOM,2373 AUGUSTA HIGHWAY,,LEXINGTON,SC,29072,803-951-0786,,45063021023,+33.9674472,-081.3124924,-81.30227,33.979862
1043517329,"PRESCRIPTIONS PLUS PHARMACY, LLC",1043517329,,713407,ENG,Y,N,Y,N,N,Y,Y,Y,,NO,2/22/11,3/17/15,A,,THOMAS,BARNES,864-487-0407,PHARMACIST,"PRESCRIPTIONS PLUS PHARMACY, LLC",,,S,,,,,,,,,,,US,United States,LOCATION,DOM,311 CHESNEE HWY,,GAFFNEY,SC,293412707,704-867-3518,,45021970201,+35.0819573,-081.7015857,-81.67644,35.10078
1043641020,HARRIS TEETER LLC,1043641020,,715182,ENG,Y,N,Y,N,Y,Y,Y,Y,www.harristeeter.com/pharmacy-services,NO,12/2/13,4/23/18,A,,ALLISON,BREDESTEGE,513-762-1019,PHARMACY LICENSING MANAGER,HARRIS TEETER LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,9500 DORCHESTER RD,,SUMMERVILLE,SC,294858651,843-875-2528,,45035010816,+32.9515227,-080.1346558,-80.14006998,32.93720051
1043858996,M HOLDINGS LLC,1043858996,,7Z1068,ENG,Y,N,Y,N,N,Y,Y,Y,,NO,12/11/19,12/11/19,A,RPH,JAMES,CORDAN,803-467-4350,PIC,M HOLDINGS LLC,,,,MR.,,12/11/19,,,,,,,,US,United States,LOCATION,DOM,808 HIGHWAY 378 STE A,,LEXINGTON,SC,290728379,803-467-4350,,45063021022,+34.0017338,-081.3138256,-81.30564757,33.99431954
1053322628,UNION FAMILY PHARMACY LLC,1053322628,,774265,ENG,Y,Y,N,N,N,N,Y,Y,https://unionfAilyrx.com,NO,8/10/06,8/15/14,A,RPH,CAREY,CHAPMAN,864-427-3700,OWNER/PIC,UNION FAMILY PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,528A RICE AVE,,UNION,SC,293791839,864-427-3700,864-427-3900,45087030100,+34.7276446,-081.6274414,-81.63787,34.719193
1053345785,THE KROGER CO,1053345785,,749842,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.kroger.com/topic/pharmacy,NO,7/10/06,6/28/16,A,,ALLISON,MUENNICH,513-762-1019,MANAGER OF PHARMACY LICENSING,THE KROGER CO,,,,,,,,,,,,,,US,United States,LOCATION,DOM,3735 RENEE DR,,MYRTLE BEACH,SC,295794109,843-236-4296,843-236-4274,45051060209,+33.7718668,-078.9473766,-78.96756,33.76001
1053393710,"STO-PHAR,INC",1053393710,,724517,ENG,Y,Y,Y,N,N,Y,Y,Y,,NO,11/17/05,8/22/20,A,R.PH.,WILLIAM,STOVER,803-773-7283,PRESIDENT,"STO-PHAR,INC",,,LEWIS,,,,,,,,,,,US,United States,LOCATION,DOM,35 W LIBERTY ST,,SUMTER,SC,291505240,803-773-7283,803-775-7908,45085001300,+33.9165836,-080.3525729,-80.34274,33.920475
