id,name,telephone,trauma,geoid,tract_latitude,tract_longitude,lat,lon
0001329569,MCLEOD LORIS,(843) 716-7000,NOT AVAILABLE,45051020200,+34.0490659,-078.8433664,34.0574707000803,-78.8988931373257
0005829605,SHRINERS' HOSPITAL FOR CHILDREN-GREENVILLE,(864) 255-7942,NOT AVAILABLE,45045002103,+34.8059127,-082.4073509,34.8172494937266,-82.4131780968796
0006429440,TIDELANDS GEORGETOWN MEMORIAL HOSPITAL,(843) 527-7000,NOT AVAILABLE,45043920302,+33.3895567,-079.2722447,33.3796426849761,-79.2845534093415
0008329576,TIDELANDS WACCAMAW COMMUNITY HOSPITAL,(843) 652-1001,NOT AVAILABLE,45043920501,+33.5608845,-079.0419987,33.5604687529487,-79.042725300821
0006529927,COASTAL CAROLINA HOSPITAL,(843) 784-8181,NOT AVAILABLE,45053950300,+32.2481288,-081.0599775,32.3150337967919,-81.0539623501872
0002329020,KERSHAWHEALTH,(803) 432-4311,NOT AVAILABLE,45055970800,+34.2226390,-080.5951484,34.2528556382735,-80.5903422910922
0002529720,MUSC HEALTH LANCASTER MEDICAL CENTER,(803) 286-1481,NOT AVAILABLE,45057010800,+34.7162854,-080.7786524,34.7176870727735,-80.7877213739772
0002229681,PRISMA HEALTH HILLCREST HOSPITAL,(864) 454-6151,NOT AVAILABLE,45045003011,+34.7317039,-082.2349019,34.7201856128998,-82.2482302043843
0003429302,CHILDREN'S REHABILITATION CENTER,(864) 577-7521,NOT AVAILABLE,45083022004,+34.9087801,-081.8635820,34.9101138003406,-81.8804473335838
0001029512,MARLBORO PARK HOSPITAL,(843) 454-8576,NOT AVAILABLE,45069960301,+34.6238660,-079.6508936,34.6362818422989,-79.6971117499585
0008429102,MCLEOD HEALTH CLARENDON,(803) 435-8463,NOT AVAILABLE,45027960701,+33.6390856,-080.2315868,33.6867129819086,-80.2115390276249
0002729488,COLLETON MEDICAL CENTER,(843) 782-2000,NOT AVAILABLE,45029970402,+32.9671267,-080.6527418,32.9228210010827,-80.6699108171147
0001929621,ANMED HEALTH NORTH WOMEN'S AND CHILDREN'S HOSPITAL,(864) 512-4801,NOT AVAILABLE,45007011202,+34.5595444,-082.6008259,34.5455714256305,-82.6288811137447
0005529472,LIEBER CORRECTIONAL INSTITUTION INFIRMARY,(803) 896-3702,NOT AVAILABLE,45035010400,+33.0372476,-080.3509226,33.085339463899,-80.2907313625627
0005329170,SOUTH CAROLINA VOCATIONAL REHABILITATION EVALUATION CENTER,(803) 896-6040,NOT AVAILABLE,45063020602,+33.9636284,-081.1190800,33.9518686602035,-81.1078839155593
0003629203,MORRIS VILLAGE,(803) 935-7100,NOT AVAILABLE,45079010806,+34.0911355,-080.9836596,34.0892990109934,-80.9869571721465
0000729325,PRISMA HEALTH LAURENS COUNTY HOSPITAL,(864) 833-9100,NOT AVAILABLE,45059920302,+34.4434477,-081.9881019,34.4814707948392,-81.9408219665623
0005629210,WILLOW LANE INFIRMARY,(803) 896-9107,NOT AVAILABLE,45079010408,+34.0695655,-081.0984227,34.0726165561654,-81.1114011154423
0010929601,REGENCY HOSPITAL OF GREENVILLE,(864) 255-1401,NOT AVAILABLE,45045002105,+34.8386720,-082.4266332,34.840686431986,-82.4214189762931
0006829405,PALMETTO LOWCOUNTRY BEHAVIORAL HEALTH,(843) 747-5830,NOT AVAILABLE,45019004400,+32.8305580,-079.9619676,32.8396479572765,-79.9750523529878
0005729169,THREE RIVERS BEHAVIORAL HEALTH,(803) 796-9911,NOT AVAILABLE,45063020506,+34.0140354,-081.1321082,34.0072910996407,-81.1181742123603
0010829720,REBOUND BEHAVIORAL HEALTH,(803) 313-3700,NOT AVAILABLE,45057011202,+34.8889877,-080.8262996,34.8620695151552,-80.802395034343
0008229926,HILTON HEAD HOSPITAL,(843) 689-8206,NOT AVAILABLE,45013010700,+32.2572090,-080.7106039,32.2240453169861,-80.7150573369576
0008629201,PRISMA HEALTH BAPTIST,(803) 296-5425,NOT AVAILABLE,45079003100,+34.0078902,-081.0307786,34.0076548218235,-81.0335312416383
0013829209,WILLIAM JENNINGS BRYAN DORN VA MEDICAL CENTER,(803) 776-4000,NOT AVAILABLE,45079011604,+33.9704856,-080.9678395,33.9751419310405,-80.9588998088066
0010229566,MCLEOD SEACOAST,(843) 390-8100,NOT AVAILABLE,45051040102,+33.8606822,-078.6881471,33.8657122349492,-78.6635457699122
0194629210,SOUTH CAROLINA SEXUALLY VIOLENT PREDATOR TREATMENT PROGRAM,(803) 545-0301,NOT AVAILABLE,45079010408,+34.0695655,-081.0984227,34.0722657822956,-81.110943475009
0183729461,ROPER ST FRANCIS BERKELEY HOSPITAL,(854) 529-3002,NOT AVAILABLE,45015020712,+33.0974243,-080.1025100,33.0688979996264,-80.0953020002384
0003229614,W J BARGE MEMORIAL HOSPITAL,(864) 770-1352,NOT AVAILABLE,45045001203,+34.8709485,-082.3647461,34.8730143388087,-82.3618463574036
0009229601,ST FRANCIS-DOWNTOWN,(864) 255-1000,NOT AVAILABLE,45045002105,+34.8386720,-082.4266332,34.8404389679894,-82.4213904224435
0009429651,PELHAM MEDICAL CENTER,(864) 530-2366,NOT AVAILABLE,45083023202,+34.9056795,-082.1772299,34.8624835831575,-82.2185912967995
0006329379,UNION MEDICAL CENTER,(864) 427-0351,NOT AVAILABLE,45087030200,+34.7080486,-081.6317056,34.7121601333655,-81.6293007886187
0010129180,FAIRFIELD MEMORIAL HOSPITAL,(803) 635-0233,NOT AVAILABLE,45039960400,+34.3646209,-081.0494245,34.3726504928223,-81.0991148564031
0009029621,ANMED HEALTH REHABILITATION HOSPITAL,(864) 716-2600,NOT AVAILABLE,45007011202,+34.5595444,-082.6008259,34.5377413939386,-82.6280326720268
0003029574,MUSC HEALTH MARION MEDICAL CENTER,(843) 431-2000,NOT AVAILABLE,45067950600,+34.1309919,-079.3264614,34.186279836005,-79.3258397848652
0007629572,GRAND STRAND REGIONAL MEDICAL CENTER,(843) 692-1100,LEVEL I,45051050303,+33.7568838,-078.8111818,33.7584394340006,-78.8201067789126
0000429944,HAMPTON REGIONAL MEDICAL CENTER,(803) 943-2771,NOT AVAILABLE,45049920200,+32.8590563,-081.0106074,32.8528480762508,-81.0900305119384
0001529646,SELF REGIONAL HEALTHCARE,(864) 725-4111,LEVEL III,45047970400,+34.1698568,-082.2054546,34.1756436157441,-82.1565781897434
0001829615,ST FRANCIS-EASTSIDE,(864) 675-4000,NOT AVAILABLE,45045001808,+34.8451301,-082.3292341,34.8512858152763,-82.3225491842955
0000129605,PRISMA HEALTH GREENVILLE MEMORIAL HOSPITAL,(864) 455-7114,"LEVEL I, LEVEL II PEDIATRIC",45045002103,+34.8059127,-082.4073509,34.8186438901656,-82.412648586732
0007229303,SPARTANBURG REGIONAL MEDICAL CENTER,(864) 560-6000,LEVEL I,45083020301,+34.9629269,-081.9384470,34.9666004540935,-81.939464492692
0009929162,TURBEVILLE CORRECTIONAL INSTITUTION INFIRMARY,(803) 896-3100,NOT AVAILABLE,45027960202,+33.8866241,-080.0817786,33.8878019371376,-80.0812247583391
0000829150,PRISMA HEALTH TUOMEY HOSPITAL,(803) 774-9000,NOT AVAILABLE,45085001300,+33.9165836,-080.3525729,33.9236113188072,-80.3427210524073
0000529621,ANMED HEALTH MEDICAL CENTER,(864) 512-1109,NOT AVAILABLE,45007000200,+34.5217065,-082.6449925,34.511484239016,-82.6464867512304
0009829409,CITADEL INFIRMARY,(843) 953-6847,NOT AVAILABLE,45019005200,+32.7984271,-079.9627055,32.7957212673745,-79.959673427089
0001229536,MCLEOD MEDICAL CENTER-DILLON,(843) 774-4111,NOT AVAILABLE,45033970300,+34.4536751,-079.4414521,34.421710590975,-79.3655324367855
0000329532,MCLEOD MEDICAL CENTER-DARLINGTON,(843) 777-1100,NOT AVAILABLE,45031011300,+34.3273952,-079.7774948,34.313330500986,-79.8398029542284
0005129010,LEE CORRECTIONAL INSTITUTION INFIRMARY,(803) 896-2400,NOT AVAILABLE,45061920301,+34.1970770,-080.2264333,34.1989012381207,-80.2259739265681
0004329827,ALLENDALE COUNTY HOSPITAL,(803) 632-3311,NOT AVAILABLE,45005970400,+32.8745690,-081.3241455,32.9655431240434,-81.2479563313499
0004129406,TRIDENT MEDICAL CENTER,(843) 847-4100,LEVEL II,45019003115,+32.9798853,-080.0611887,32.975962494976,-80.0730751091309
0001129203,PROVIDENCE HOSPITAL NORTHEAST,(803) 865-4500,NOT AVAILABLE,45079011404,+34.1092531,-080.9554245,34.1041678859911,-80.9586357696901
0003529203,CORRECT CARE OF SOUTH CAROLINA,(803) 935-0505,NOT AVAILABLE,45079010806,+34.0911355,-080.9836596,34.0756098697262,-80.9796001442427
0005229210,KIRKLAND CORRECTIONAL INSTITUTION INFIRMARY,(803) 896-8567,NOT AVAILABLE,45079010408,+34.0695655,-081.0984227,34.0737441166795,-81.0982224502369
0007529108,NEWBERRY COUNTY MEMORIAL HOSPITAL,(803) 276-7570,NOT AVAILABLE,45071950202,+34.2795093,-081.5635938,34.29042835194,-81.6064234184309
0006229303,SPARTANBURG HOSPITAL FOR RESTORATIVE CARE,(864) 560-3263,NOT AVAILABLE,45083020301,+34.9629269,-081.9384470,34.9661927803564,-81.9360638608952
0010329401,RALPH H JOHNSON VETERANS AFFAIRS MEDICAL CENTER,(843) 577-5011,NOT AVAILABLE,45019000600,+32.7850610,-079.9510689,32.7841740051327,-79.9540055939405
0004729690,SPRINGBROOK BEHAVIORAL HEALTH SYSTEM,(864) 834-8013,NOT AVAILABLE,45045003904,+34.9863586,-082.4422353,34.964071101686,-82.4547324739885
0003329526,LIGHTHOUSE CARE CENTER OF CONWAY ACUTE CARE,(843) 347-8871,NOT AVAILABLE,45051060405,+33.7922107,-079.0120361,33.7869124970436,-78.9978476108101
0010629506,MUSC HEALTH FLORENCE REHABILITATION CENTER,(843) 674-2500,NOT AVAILABLE,45041001000,+34.1911403,-079.7695503,34.1890170168309,-79.7643955827054
0010729212,PRISMA HEALTH BAPTIST PARKRIDGE,(803) 907-7011,NOT AVAILABLE,45079010304,+34.0792076,-081.1443462,34.0874379147214,-81.1600896259752
0007029621,PATRICK B HARRIS PSYCHIATRIC HOSPITAL,(864) 231-2600,NOT AVAILABLE,45007011300,+34.4693731,-082.5413588,34.4777673113287,-82.5673575723487
0003729203,G WERBER BRYAN PSYCHIATRIC HOSPITAL,(803) 935-6281,NOT AVAILABLE,45079010806,+34.0911355,-080.9836596,34.0858631588453,-80.9828722010713
0005029210,GILLIAM PSYCHIATRIC HOSPITAL,(803) 896-2271,NOT AVAILABLE,45079010408,+34.0695655,-081.0984227,34.0701263402381,-81.0985722308523
0009729118,WILLIAM J MCCORD ADOLESCENT TREATMENT FACILITY,(803) 534-2328,NOT AVAILABLE,45075011100,+33.5450483,-080.8457594,33.5358707838669,-80.8222062550401
0008529203,WILLIAM S HALL PSYCHIATRIC INSTITUTE,(803) 898-1593,NOT AVAILABLE,45079010806,+34.0911355,-080.9836596,34.0792533626659,-80.980477697664
0011029303,SPARTANBURG REHABILITATION INSTITUTE,(864) 594-9600,NOT AVAILABLE,45083021500,+34.9800448,-081.9284454,34.9896574312944,-81.9424602340274
0002929505,WOMEN'S CENTER OF CAROLINAS HOSPITAL SYSTEM,(843) 674-2500,NOT AVAILABLE,45041000600,+34.1546745,-079.7528863,34.1614199298766,-79.7531218139245
0003829406,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF CHARLESTON,(843) 820-7762,NOT AVAILABLE,45019003115,+32.9798853,-080.0611887,32.9757993187303,-80.0699784312936
0000000011,NAVAL HOSPITAL BEAUFORT,(843) 228-5600,NOT AVAILABLE,45013000800,+32.3847275,-080.6965888,32.3894646952847,-80.6822799349591
0009129824,EDGEFIELD COUNTY HOSPITAL,(803) 637-3174,NOT AVAILABLE,45037970202,+33.8472526,-081.9454445,33.7790002526683,-81.929706972313
0007929118,REGIONAL MEDICAL CENTER OF ORANGEBURG & CALHOUN COUNTIES,(803) 395-2454,NOT AVAILABLE,45075011100,+33.5450483,-080.8457594,33.5402674522681,-80.8304581720535
0002429169,LEXINGTON MEDICAL CENTER,(803) 791-2000,NOT AVAILABLE,45063020506,+34.0140354,-081.1321082,34.0059618952481,-81.1141989911583
0004229620,ABBEVILLE AREA MEDICAL CENTER,(864) 366-5011,NOT AVAILABLE,45001950500,+34.1266067,-082.3805235,34.1597195699238,-82.3830373508513
0006629801,AIKEN REGIONAL MEDICAL CENTER,(803) 641-5600,NOT AVAILABLE,45003021300,+33.5673561,-081.7526423,33.5711978918582,-81.7618029811358
0009629671,ANMED HEALTH CANNON MEMORIAL HOSPITAL,(864) 878-4791,NOT AVAILABLE,45077010402,+34.9027375,-082.7107738,34.8741442910921,-82.7071560109609
0009529650,PRISMA HEALTH GREER MEMORIAL HOSPITAL,(864) 797-8001,NOT AVAILABLE,45045002503,+34.9060735,-082.2434794,34.9200439720161,-82.2442312020817
0008729201,CONTINUECARE HOSPITAL AT PALMETTO HEALTH BAPTIST,(803) 296-5678,NOT AVAILABLE,45079003100,+34.0078902,-081.0307786,34.0067868709887,-81.0331680419891
0004529203,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF COLUMBIA,(803) 254-7777,NOT AVAILABLE,45079000500,+34.0325295,-081.0314226,34.0277480512448,-81.0285728107645
0004629506,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF FLORENCE,(843) 679-9000,NOT AVAILABLE,45041000700,+34.1875889,-079.7527189,34.1953881088018,-79.7549755800398
0003929732,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF ROCK HILL,(803) 326-3500,NOT AVAILABLE,45091060905,+34.9584300,-081.0651330,34.9586897306867,-81.0525909461418
0003129706,MUSC HEALTH CHESTER MEDICAL CENTER,(803) 581-3151,NOT AVAILABLE,45023020602,+34.7136872,-081.1207622,34.6844824171627,-81.1831532816001
0002029640,PRISMA HEALTH BAPTIST EASLEY HOSPITAL,(864) 442-7606,NOT AVAILABLE,45077010801,+34.8349715,-082.6269605,34.8406589982829,-82.606852986572
0004829690,PRISMA HEALTH NORTH GREENVILLE LONG TERM ACUTE CARE HOSPITAL,(864) 455-9224,NOT AVAILABLE,45045003904,+34.9863586,-082.4422353,34.9754693433676,-82.4559610162593
0002129672,PRISMA HEALTH OCONEE MEMORIAL HOSPITAL,(864) 885-7191,NOT AVAILABLE,45073030601,+34.7033834,-082.9775697,34.695530690145,-82.9872197902491
0000229307,SPARTANBURG MEDICAL CENTER - MARY BLACK CAMPUS,(803) 573-3034,NOT AVAILABLE,45083021403,+34.9924944,-081.9122498,34.9784081669902,-81.8955195342204
0001429203,PRISMA HEALTH RICHLAND,(803) 434-7000,"LEVEL I, LEVEL II PEDIATRIC",45079000500,+34.0325295,-081.0314226,34.0286016477594,-81.033054172442
0187529405,SHERIFF AL CANNON DETENTION CENTER,(843) 529-7300,NOT AVAILABLE,45019003900,+32.8491452,-080.0158790,32.8456629999811,-80.0135290004238
0002829526,CONWAY MEDICAL CENTER,(843) 347-8114,NOT AVAILABLE,45051060405,+33.7922107,-079.0120361,33.7855218369023,-79.0018278077805
0006729401,ROPER HOSPITAL,(843) 724-2901,NOT AVAILABLE,45019000600,+32.7850610,-079.9510689,32.782793918337,-79.9492764149239
0007829414,BON SECOURS-ST FRANCIS XAVIER HOSPITAL,(843) 402-1000,NOT AVAILABLE,45019002614,+32.8019252,-080.0444568,32.8083710668403,-80.0424576927583
0000929506,MCLEOD REGIONAL MEDICAL CENTER,(843) 777-2849,NOT AVAILABLE,45041000700,+34.1875889,-079.7527189,34.1971149708387,-79.7589747197846
0008129902,BEAUFORT MEMORIAL HOSPITAL,(843) 522-5200,NOT AVAILABLE,45013000700,+32.4169450,-080.6897104,32.4173297731756,-80.6875209713297
0001729732,PIEDMONT MEDICAL CENTER,(803) 329-1234,NOT AVAILABLE,45091060905,+34.9584300,-081.0651330,34.9566094490664,-81.0517737397447
0007429505,MUSC HEALTH FLORENCE MEDICAL CENTER,(843) 674-2500,NOT AVAILABLE,45041000600,+34.1546745,-079.7528863,34.1600661508804,-79.7520554022912
0008829464,EAST COOPER MEDICAL CENTER,(843) 416-6210,NOT AVAILABLE,45019004606,+32.8232078,-079.8820580,32.8211808662128,-79.8505535181366
0005429550,CAROLINA PINES REGIONAL MEDICAL CENTER,(843) 339-2100,NOT AVAILABLE,45031010400,+34.3642401,-080.2761274,34.3498188641741,-80.1041200238657
0187429910,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF BLUFFTON,(843) 836-8200,NOT AVAILABLE,45013002105,+32.2787090,-080.9215404,32.2857406611038,-80.9404857684135
0192329566,TIDELANDS HEALTH REHABILITATION HOSPITAL AT LITTLE RIVER AN,(843) 366-4000,NOT AVAILABLE,45051040103,+33.8802992,-078.6541160,33.8664189997081,-78.6602050000493
