contaminant_name,media,site_name,epa_id,city,county,state,zip_code,site_location,latitude,longitude,region,npl_status,superfund_alternative_agreement,federal_facility,operable_unit_number,sequence_id,decision_document_type,actual_completion_date,fiscal_year,geoid,tract_latitude,tract_longitude,lat,lon
MERCURY,Groundwater,ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,45011970100,+33.3910823,-081.3942081,-81.398875,33.39387
NICKEL,Groundwater,ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,45011970100,+33.3910823,-081.3942081,-81.398875,33.39387
NICKEL,Sediment,ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,45011970100,+33.3910823,-081.3942081,-81.398875,33.39387
NICKEL,Sludge,ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,45011970100,+33.3910823,-081.3942081,-81.398875,33.39387
NICKEL,Soil,ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,45011970100,+33.3910823,-081.3942081,-81.398875,33.39387
NICKEL,Surface Water,ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,45011970100,+33.3910823,-081.3942081,-81.398875,33.39387
TETRACHLOROETHENE,Groundwater,ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,45011970100,+33.3910823,-081.3942081,-81.398875,33.39387
TRICHLOROETHENE,Groundwater,ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,45011970100,+33.3910823,-081.3942081,-81.398875,33.39387
ZINC,Sediment,ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,45011970100,+33.3910823,-081.3942081,-81.398875,33.39387
ZINC,Sludge,ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,45011970100,+33.3910823,-081.3942081,-81.398875,33.39387
ZINC,Soil,ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,45011970100,+33.3910823,-081.3942081,-81.398875,33.39387
ZINC,Surface Water,ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,45011970100,+33.3910823,-081.3942081,-81.398875,33.39387
"1,1,2,2-TETRACHLOROETHANE",Groundwater,AQUA-TECH ENVIRONMENTAL INC (GROCE LABS),SCD058754789,GREER,SPARTANBURG,SC,29651,340 Robinson Road,34.9328,-82.1725,4,Currently on the Final NPL,N,N,1,1,Record of Decision,9/30/03,2003,45083023202,+34.9056795,-082.1772299,-82.1725,34.9328
"1,1-DICHLOROETHENE",Groundwater,AQUA-TECH ENVIRONMENTAL INC (GROCE LABS),SCD058754789,GREER,SPARTANBURG,SC,29651,340 Robinson Road,34.9328,-82.1725,4,Currently on the Final NPL,N,N,1,1,Record of Decision,9/30/03,2003,45083023202,+34.9056795,-082.1772299,-82.1725,34.9328
AROCLOR 1242,Soil,AQUA-TECH ENVIRONMENTAL INC (GROCE LABS),SCD058754789,GREER,SPARTANBURG,SC,29651,340 Robinson Road,34.9328,-82.1725,4,Currently on the Final NPL,N,N,1,1,Record of Decision,9/30/03,2003,45083023202,+34.9056795,-082.1772299,-82.1725,34.9328
BENZENE,Groundwater,AQUA-TECH ENVIRONMENTAL INC (GROCE LABS),SCD058754789,GREER,SPARTANBURG,SC,29651,340 Robinson Road,34.9328,-82.1725,4,Currently on the Final NPL,N,N,1,1,Record of Decision,9/30/03,2003,45083023202,+34.9056795,-082.1772299,-82.1725,34.9328
CHLOROETHENE (VINYL CHLORIDE),Groundwater,AQUA-TECH ENVIRONMENTAL INC (GROCE LABS),SCD058754789,GREER,SPARTANBURG,SC,29651,340 Robinson Road,34.9328,-82.1725,4,Currently on the Final NPL,N,N,1,1,Record of Decision,9/30/03,2003,45083023202,+34.9056795,-082.1772299,-82.1725,34.9328
"CIS-1,2-DICHLOROETHENE",Groundwater,AQUA-TECH ENVIRONMENTAL INC (GROCE LABS),SCD058754789,GREER,SPARTANBURG,SC,29651,340 Robinson Road,34.9328,-82.1725,4,Currently on the Final NPL,N,N,1,1,Record of Decision,9/30/03,2003,45083023202,+34.9056795,-082.1772299,-82.1725,34.9328
IRON,Soil,AQUA-TECH ENVIRONMENTAL INC (GROCE LABS),SCD058754789,GREER,SPARTANBURG,SC,29651,340 Robinson Road,34.9328,-82.1725,4,Currently on the Final NPL,N,N,1,1,Record of Decision,9/30/03,2003,45083023202,+34.9056795,-082.1772299,-82.1725,34.9328
LEAD,Soil,AQUA-TECH ENVIRONMENTAL INC (GROCE LABS),SCD058754789,GREER,SPARTANBURG,SC,29651,340 Robinson Road,34.9328,-82.1725,4,Currently on the Final NPL,N,N,1,1,Record of Decision,9/30/03,2003,45083023202,+34.9056795,-082.1772299,-82.1725,34.9328
MERCURY,Soil,AQUA-TECH ENVIRONMENTAL INC (GROCE LABS),SCD058754789,GREER,SPARTANBURG,SC,29651,340 Robinson Road,34.9328,-82.1725,4,Currently on the Final NPL,N,N,1,1,Record of Decision,9/30/03,2003,45083023202,+34.9056795,-082.1772299,-82.1725,34.9328
TETRACHLOROETHENE,Groundwater,AQUA-TECH ENVIRONMENTAL INC (GROCE LABS),SCD058754789,GREER,SPARTANBURG,SC,29651,340 Robinson Road,34.9328,-82.1725,4,Currently on the Final NPL,N,N,1,1,Record of Decision,9/30/03,2003,45083023202,+34.9056795,-082.1772299,-82.1725,34.9328
THALLIUM,Soil,AQUA-TECH ENVIRONMENTAL INC (GROCE LABS),SCD058754789,GREER,SPARTANBURG,SC,29651,340 Robinson Road,34.9328,-82.1725,4,Currently on the Final NPL,N,N,1,1,Record of Decision,9/30/03,2003,45083023202,+34.9056795,-082.1772299,-82.1725,34.9328
TRICHLOROETHENE,Groundwater,AQUA-TECH ENVIRONMENTAL INC (GROCE LABS),SCD058754789,GREER,SPARTANBURG,SC,29651,340 Robinson Road,34.9328,-82.1725,4,Currently on the Final NPL,N,N,1,1,Record of Decision,9/30/03,2003,45083023202,+34.9056795,-082.1772299,-82.1725,34.9328
TRICHLOROETHENE,Soil,AQUA-TECH ENVIRONMENTAL INC (GROCE LABS),SCD058754789,GREER,SPARTANBURG,SC,29651,340 Robinson Road,34.9328,-82.1725,4,Currently on the Final NPL,N,N,1,1,Record of Decision,9/30/03,2003,45083023202,+34.9056795,-082.1772299,-82.1725,34.9328
2-METHYLNAPHTHALENE,Groundwater,BEAUNIT CORP. (CIRCULAR KNIT & DYEING PLANT),SCD000447268,FOUNTAIN INN,GREENVILLE,SC,29644,206 GEORGIA AVE,34.698061,-82.216111,4,Currently on the Final NPL,N,N,1,1,Record of Decision,9/29/95,1995,45045003101,+34.7043385,-082.2045941,-82.19889996,34.6912995
ARSENIC,Soil,BEAUNIT CORP. (CIRCULAR KNIT & DYEING PLANT),SCD000447268,FOUNTAIN INN,GREENVILLE,SC,29644,206 GEORGIA AVE,34.698061,-82.216111,4,Currently on the Final NPL,N,N,1,1,Record of Decision,9/29/95,1995,45045003101,+34.7043385,-082.2045941,-82.19889996,34.6912995
BENZENE,Groundwater,BEAUNIT CORP. (CIRCULAR KNIT & DYEING PLANT),SCD000447268,FOUNTAIN INN,GREENVILLE,SC,29644,206 GEORGIA AVE,34.698061,-82.216111,4,Currently on the Final NPL,N,N,1,1,Record of Decision,9/29/95,1995,45045003101,+34.7043385,-082.2045941,-82.19889996,34.6912995
BERYLLIUM,Groundwater,BEAUNIT CORP. (CIRCULAR KNIT & DYEING PLANT),SCD000447268,FOUNTAIN INN,GREENVILLE,SC,29644,206 GEORGIA AVE,34.698061,-82.216111,4,Currently on the Final NPL,N,N,1,1,Record of Decision,9/29/95,1995,45045003101,+34.7043385,-082.2045941,-82.19889996,34.6912995
CHROMIUM,Groundwater,BEAUNIT CORP. (CIRCULAR KNIT & DYEING PLANT),SCD000447268,FOUNTAIN INN,GREENVILLE,SC,29644,206 GEORGIA AVE,34.698061,-82.216111,4,Currently on the Final NPL,N,N,1,1,Record of Decision,9/29/95,1995,45045003101,+34.7043385,-082.2045941,-82.19889996,34.6912995
MANGANESE,Groundwater,BEAUNIT CORP. (CIRCULAR KNIT & DYEING PLANT),SCD000447268,FOUNTAIN INN,GREENVILLE,SC,29644,206 GEORGIA AVE,34.698061,-82.216111,4,Currently on the Final NPL,N,N,1,1,Record of Decision,9/29/95,1995,45045003101,+34.7043385,-082.2045941,-82.19889996,34.6912995
NAPHTHALENE,Groundwater,BEAUNIT CORP. (CIRCULAR KNIT & DYEING PLANT),SCD000447268,FOUNTAIN INN,GREENVILLE,SC,29644,206 GEORGIA AVE,34.698061,-82.216111,4,Currently on the Final NPL,N,N,1,1,Record of Decision,9/29/95,1995,45045003101,+34.7043385,-082.2045941,-82.19889996,34.6912995
NICKEL,Soil,BEAUNIT CORP. (CIRCULAR KNIT & DYEING PLANT),SCD000447268,FOUNTAIN INN,GREENVILLE,SC,29644,206 GEORGIA AVE,34.698061,-82.216111,4,Currently on the Final NPL,N,N,1,1,Record of Decision,9/29/95,1995,45045003101,+34.7043385,-082.2045941,-82.19889996,34.6912995
ALUMINUM,Groundwater,BREWER GOLD MINE,SCD987577913,JEFFERSON,CHESTERFIELD,SC,29718,299 Miller Street,34.652194,-80.411472,4,Currently on the Final NPL,N,N,1,2,Record of Decision,9/30/14,2014,45025950200,+34.6454671,-080.3337693,-80.3895397,34.6498886
ALUMINUM,Surface Water,BREWER GOLD MINE,SCD987577913,JEFFERSON,CHESTERFIELD,SC,29718,299 Miller Street,34.652194,-80.411472,4,Currently on the Final NPL,N,N,1,2,Record of Decision,9/30/14,2014,45025950200,+34.6454671,-080.3337693,-80.3895397,34.6498886
ANTIMONY,Groundwater,BREWER GOLD MINE,SCD987577913,JEFFERSON,CHESTERFIELD,SC,29718,299 Miller Street,34.652194,-80.411472,4,Currently on the Final NPL,N,N,1,2,Record of Decision,9/30/14,2014,45025950200,+34.6454671,-080.3337693,-80.3895397,34.6498886
ANTIMONY,Surface Water,BREWER GOLD MINE,SCD987577913,JEFFERSON,CHESTERFIELD,SC,29718,299 Miller Street,34.652194,-80.411472,4,Currently on the Final NPL,N,N,1,2,Record of Decision,9/30/14,2014,45025950200,+34.6454671,-080.3337693,-80.3895397,34.6498886
ARSENIC,Groundwater,BREWER GOLD MINE,SCD987577913,JEFFERSON,CHESTERFIELD,SC,29718,299 Miller Street,34.652194,-80.411472,4,Currently on the Final NPL,N,N,1,2,Record of Decision,9/30/14,2014,45025950200,+34.6454671,-080.3337693,-80.3895397,34.6498886
ARSENIC,Surface Water,BREWER GOLD MINE,SCD987577913,JEFFERSON,CHESTERFIELD,SC,29718,299 Miller Street,34.652194,-80.411472,4,Currently on the Final NPL,N,N,1,2,Record of Decision,9/30/14,2014,45025950200,+34.6454671,-080.3337693,-80.3895397,34.6498886
CADMIUM,Groundwater,BREWER GOLD MINE,SCD987577913,JEFFERSON,CHESTERFIELD,SC,29718,299 Miller Street,34.652194,-80.411472,4,Currently on the Final NPL,N,N,1,2,Record of Decision,9/30/14,2014,45025950200,+34.6454671,-080.3337693,-80.3895397,34.6498886
CADMIUM,Surface Water,BREWER GOLD MINE,SCD987577913,JEFFERSON,CHESTERFIELD,SC,29718,299 Miller Street,34.652194,-80.411472,4,Currently on the Final NPL,N,N,1,2,Record of Decision,9/30/14,2014,45025950200,+34.6454671,-080.3337693,-80.3895397,34.6498886
COPPER,Groundwater,BREWER GOLD MINE,SCD987577913,JEFFERSON,CHESTERFIELD,SC,29718,299 Miller Street,34.652194,-80.411472,4,Currently on the Final NPL,N,N,1,2,Record of Decision,9/30/14,2014,45025950200,+34.6454671,-080.3337693,-80.3895397,34.6498886
COPPER,Surface Water,BREWER GOLD MINE,SCD987577913,JEFFERSON,CHESTERFIELD,SC,29718,299 Miller Street,34.652194,-80.411472,4,Currently on the Final NPL,N,N,1,2,Record of Decision,9/30/14,2014,45025950200,+34.6454671,-080.3337693,-80.3895397,34.6498886
CYANIDE,Groundwater,BREWER GOLD MINE,SCD987577913,JEFFERSON,CHESTERFIELD,SC,29718,299 Miller Street,34.652194,-80.411472,4,Currently on the Final NPL,N,N,1,2,Record of Decision,9/30/14,2014,45025950200,+34.6454671,-080.3337693,-80.3895397,34.6498886
CYANIDE,Surface Water,BREWER GOLD MINE,SCD987577913,JEFFERSON,CHESTERFIELD,SC,29718,299 Miller Street,34.652194,-80.411472,4,Currently on the Final NPL,N,N,1,2,Record of Decision,9/30/14,2014,45025950200,+34.6454671,-080.3337693,-80.3895397,34.6498886
IRON,Groundwater,BREWER GOLD MINE,SCD987577913,JEFFERSON,CHESTERFIELD,SC,29718,299 Miller Street,34.652194,-80.411472,4,Currently on the Final NPL,N,N,1,2,Record of Decision,9/30/14,2014,45025950200,+34.6454671,-080.3337693,-80.3895397,34.6498886
IRON,Surface Water,BREWER GOLD MINE,SCD987577913,JEFFERSON,CHESTERFIELD,SC,29718,299 Miller Street,34.652194,-80.411472,4,Currently on the Final NPL,N,N,1,2,Record of Decision,9/30/14,2014,45025950200,+34.6454671,-080.3337693,-80.3895397,34.6498886
LEAD,Groundwater,BREWER GOLD MINE,SCD987577913,JEFFERSON,CHESTERFIELD,SC,29718,299 Miller Street,34.652194,-80.411472,4,Currently on the Final NPL,N,N,1,2,Record of Decision,9/30/14,2014,45025950200,+34.6454671,-080.3337693,-80.3895397,34.6498886
LEAD,Surface Water,BREWER GOLD MINE,SCD987577913,JEFFERSON,CHESTERFIELD,SC,29718,299 Miller Street,34.652194,-80.411472,4,Currently on the Final NPL,N,N,1,2,Record of Decision,9/30/14,2014,45025950200,+34.6454671,-080.3337693,-80.3895397,34.6498886
MERCURY,Groundwater,BREWER GOLD MINE,SCD987577913,JEFFERSON,CHESTERFIELD,SC,29718,299 Miller Street,34.652194,-80.411472,4,Currently on the Final NPL,N,N,1,2,Record of Decision,9/30/14,2014,45025950200,+34.6454671,-080.3337693,-80.3895397,34.6498886
MERCURY,Surface Water,BREWER GOLD MINE,SCD987577913,JEFFERSON,CHESTERFIELD,SC,29718,299 Miller Street,34.652194,-80.411472,4,Currently on the Final NPL,N,N,1,2,Record of Decision,9/30/14,2014,45025950200,+34.6454671,-080.3337693,-80.3895397,34.6498886
NICKEL,Groundwater,BREWER GOLD MINE,SCD987577913,JEFFERSON,CHESTERFIELD,SC,29718,299 Miller Street,34.652194,-80.411472,4,Currently on the Final NPL,N,N,1,2,Record of Decision,9/30/14,2014,45025950200,+34.6454671,-080.3337693,-80.3895397,34.6498886
NICKEL,Surface Water,BREWER GOLD MINE,SCD987577913,JEFFERSON,CHESTERFIELD,SC,29718,299 Miller Street,34.652194,-80.411472,4,Currently on the Final NPL,N,N,1,2,Record of Decision,9/30/14,2014,45025950200,+34.6454671,-080.3337693,-80.3895397,34.6498886
SELENIUM,Groundwater,BREWER GOLD MINE,SCD987577913,JEFFERSON,CHESTERFIELD,SC,29718,299 Miller Street,34.652194,-80.411472,4,Currently on the Final NPL,N,N,1,2,Record of Decision,9/30/14,2014,45025950200,+34.6454671,-080.3337693,-80.3895397,34.6498886
SELENIUM,Surface Water,BREWER GOLD MINE,SCD987577913,JEFFERSON,CHESTERFIELD,SC,29718,299 Miller Street,34.652194,-80.411472,4,Currently on the Final NPL,N,N,1,2,Record of Decision,9/30/14,2014,45025950200,+34.6454671,-080.3337693,-80.3895397,34.6498886
ZINC,Groundwater,BREWER GOLD MINE,SCD987577913,JEFFERSON,CHESTERFIELD,SC,29718,299 Miller Street,34.652194,-80.411472,4,Currently on the Final NPL,N,N,1,2,Record of Decision,9/30/14,2014,45025950200,+34.6454671,-080.3337693,-80.3895397,34.6498886
ZINC,Surface Water,BREWER GOLD MINE,SCD987577913,JEFFERSON,CHESTERFIELD,SC,29718,299 Miller Street,34.652194,-80.411472,4,Currently on the Final NPL,N,N,1,2,Record of Decision,9/30/14,2014,45025950200,+34.6454671,-080.3337693,-80.3895397,34.6498886
"1,1,1-TRICHLOROETHANE",Groundwater,"CAROLAWN, INC.",SCD980558316,FORT LAWN,CHESTER,SC,29714,5602 Ponderosa Street,34.686111,-80.94305,4,Currently on the Final NPL,N,N,1,1,Record of Decision,9/27/89,1989,45023020800,+34.7511502,-080.9358989,-80.90228699,34.7007225
"1,1-DICHLOROETHANE",Groundwater,"CAROLAWN, INC.",SCD980558316,FORT LAWN,CHESTER,SC,29714,5602 Ponderosa Street,34.686111,-80.94305,4,Currently on the Final NPL,N,N,1,1,Record of Decision,9/27/89,1989,45023020800,+34.7511502,-080.9358989,-80.90228699,34.7007225
"1,1-DICHLOROETHENE",Groundwater,"CAROLAWN, INC.",SCD980558316,FORT LAWN,CHESTER,SC,29714,5602 Ponderosa Street,34.686111,-80.94305,4,Currently on the Final NPL,N,N,1,1,Record of Decision,9/27/89,1989,45023020800,+34.7511502,-080.9358989,-80.90228699,34.7007225
ACETONE,Groundwater,"CAROLAWN, INC.",SCD980558316,FORT LAWN,CHESTER,SC,29714,5602 Ponderosa Street,34.686111,-80.94305,4,Currently on the Final NPL,N,N,1,1,Record of Decision,9/27/89,1989,45023020800,+34.7511502,-080.9358989,-80.90228699,34.7007225
"CIS-1,2-DICHLOROETHENE",Groundwater,"CAROLAWN, INC.",SCD980558316,FORT LAWN,CHESTER,SC,29714,5602 Ponderosa Street,34.686111,-80.94305,4,Currently on the Final NPL,N,N,1,1,Record of Decision,9/27/89,1989,45023020800,+34.7511502,-080.9358989,-80.90228699,34.7007225
LEAD,Groundwater,"CAROLAWN, INC.",SCD980558316,FORT LAWN,CHESTER,SC,29714,5602 Ponderosa Street,34.686111,-80.94305,4,Currently on the Final NPL,N,N,1,1,Record of Decision,9/27/89,1989,45023020800,+34.7511502,-080.9358989,-80.90228699,34.7007225
"TRANS-1,2-DICHLOROETHENE",Groundwater,"CAROLAWN, INC.",SCD980558316,FORT LAWN,CHESTER,SC,29714,5602 Ponderosa Street,34.686111,-80.94305,4,Currently on the Final NPL,N,N,1,1,Record of Decision,9/27/89,1989,45023020800,+34.7511502,-080.9358989,-80.90228699,34.7007225
"1,1,1-TRICHLOROETHANE",Groundwater,ELMORE WASTE DISPOSAL,SCD980839542,GREER,SPARTANBURG,SC,29651,107 South Main Street,34.935905,-82.216599,4,Currently on the Final NPL,N,N,1,1,Record of Decision,4/26/93,1993,45045002505,+34.9340064,-082.2349844,-82.2272119,34.9381361
ARSENIC,Soil,ELMORE WASTE DISPOSAL,SCD980839542,GREER,SPARTANBURG,SC,29651,107 South Main Street,34.935905,-82.216599,4,Currently on the Final NPL,N,N,1,1,Record of Decision,4/26/93,1993,45045002505,+34.9340064,-082.2349844,-82.2272119,34.9381361
BENZENE,Groundwater,ELMORE WASTE DISPOSAL,SCD980839542,GREER,SPARTANBURG,SC,29651,107 South Main Street,34.935905,-82.216599,4,Currently on the Final NPL,N,N,1,1,Record of Decision,4/26/93,1993,45045002505,+34.9340064,-082.2349844,-82.2272119,34.9381361
BERYLLIUM,Groundwater,ELMORE WASTE DISPOSAL,SCD980839542,GREER,SPARTANBURG,SC,29651,107 South Main Street,34.935905,-82.216599,4,Currently on the Final NPL,N,N,1,1,Record of Decision,4/26/93,1993,45045002505,+34.9340064,-082.2349844,-82.2272119,34.9381361
BERYLLIUM,Soil,ELMORE WASTE DISPOSAL,SCD980839542,GREER,SPARTANBURG,SC,29651,107 South Main Street,34.935905,-82.216599,4,Currently on the Final NPL,N,N,1,1,Record of Decision,4/26/93,1993,45045002505,+34.9340064,-082.2349844,-82.2272119,34.9381361
CADMIUM,Groundwater,ELMORE WASTE DISPOSAL,SCD980839542,GREER,SPARTANBURG,SC,29651,107 South Main Street,34.935905,-82.216599,4,Currently on the Final NPL,N,N,1,1,Record of Decision,4/26/93,1993,45045002505,+34.9340064,-082.2349844,-82.2272119,34.9381361
CADMIUM,Soil,ELMORE WASTE DISPOSAL,SCD980839542,GREER,SPARTANBURG,SC,29651,107 South Main Street,34.935905,-82.216599,4,Currently on the Final NPL,N,N,1,1,Record of Decision,4/26/93,1993,45045002505,+34.9340064,-082.2349844,-82.2272119,34.9381361
CHLOROETHENE (VINYL CHLORIDE),Groundwater,ELMORE WASTE DISPOSAL,SCD980839542,GREER,SPARTANBURG,SC,29651,107 South Main Street,34.935905,-82.216599,4,Currently on the Final NPL,N,N,1,1,Record of Decision,4/26/93,1993,45045002505,+34.9340064,-082.2349844,-82.2272119,34.9381361
CHROMIUM,Groundwater,ELMORE WASTE DISPOSAL,SCD980839542,GREER,SPARTANBURG,SC,29651,107 South Main Street,34.935905,-82.216599,4,Currently on the Final NPL,N,N,1,1,Record of Decision,4/26/93,1993,45045002505,+34.9340064,-082.2349844,-82.2272119,34.9381361
CHROMIUM,Soil,ELMORE WASTE DISPOSAL,SCD980839542,GREER,SPARTANBURG,SC,29651,107 South Main Street,34.935905,-82.216599,4,Currently on the Final NPL,N,N,1,1,Record of Decision,4/26/93,1993,45045002505,+34.9340064,-082.2349844,-82.2272119,34.9381361
"CIS-1,2-DICHLOROETHENE",Groundwater,ELMORE WASTE DISPOSAL,SCD980839542,GREER,SPARTANBURG,SC,29651,107 South Main Street,34.935905,-82.216599,4,Currently on the Final NPL,N,N,1,1,Record of Decision,4/26/93,1993,45045002505,+34.9340064,-082.2349844,-82.2272119,34.9381361
DICHLOROMETHANE (METHYLENE CHLORIDE),Groundwater,ELMORE WASTE DISPOSAL,SCD980839542,GREER,SPARTANBURG,SC,29651,107 South Main Street,34.935905,-82.216599,4,Currently on the Final NPL,N,N,1,1,Record of Decision,4/26/93,1993,45045002505,+34.9340064,-082.2349844,-82.2272119,34.9381361
LEAD,Groundwater,ELMORE WASTE DISPOSAL,SCD980839542,GREER,SPARTANBURG,SC,29651,107 South Main Street,34.935905,-82.216599,4,Currently on the Final NPL,N,N,1,1,Record of Decision,4/26/93,1993,45045002505,+34.9340064,-082.2349844,-82.2272119,34.9381361
LEAD,Soil,ELMORE WASTE DISPOSAL,SCD980839542,GREER,SPARTANBURG,SC,29651,107 South Main Street,34.935905,-82.216599,4,Currently on the Final NPL,N,N,1,1,Record of Decision,4/26/93,1993,45045002505,+34.9340064,-082.2349844,-82.2272119,34.9381361
MANGANESE,Groundwater,ELMORE WASTE DISPOSAL,SCD980839542,GREER,SPARTANBURG,SC,29651,107 South Main Street,34.935905,-82.216599,4,Currently on the Final NPL,N,N,1,1,Record of Decision,4/26/93,1993,45045002505,+34.9340064,-082.2349844,-82.2272119,34.9381361
