Clinic Name,Address,Specialty,Hours of Operation,lat...3,long...4,geo_method,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
COMMUNITY MEDICAL CLINIC OF KERSHAW COUNTY LUGOFF SATELLITE,"1165 US-1 S, Lugoff, SC, 29078",,,34.21744878,-80.69770133,Google Maps,34.217697,-80.697648,0.99,nearest_street,800,Carolina Dr,,,Lugoff,SC,Kershaw County,29078,US,TIGER/Line® dataset from the US Census Bureau
DILLON COUNTY FREE MEDICAL CLINIC,310 East Washington Street,,,34.41920912,-79.36709012,Google Maps,34.419365,-79.366635,0.98,nearest_street,356,E Jefferson St,,,Dillon,SC,Dillon County,29536,US,TIGER/Line® dataset from the US Census Bureau
DREAM CENTER CLINIC,5505 North Rhett Avenue,,,32.8995939,-79.98569116,osm,32.899754,-79.985597,0.99,nearest_street,5558,State Rd S-10-60,,,Charleston,SC,Charleston County,29406,US,TIGER/Line® dataset from the US Census Bureau
EDISTO INDIAN FREE CLINIC,1125 Ridge Rd,,,33.067127,-80.377413,osm,33.067,-80.37737,1,rooftop,1141,Ridge Rd,,,Ridgeville,SC,Dorchester County,29472,US,Dorchester
FREE MEDICAL CLINIC OF CHEROKEE COUNTY,499 W Rutledge Ave,,,35.07128291,-81.65972378,Google Maps,35.071126,-81.661113,0.99,rooftop,524,W Rutledge Ave,,,Gaffney,SC,Cherokee County,29341,US,Cherokee County G
FREE MEDICAL CLINIC OF DARLINGTON COUNTY,203 Grove Street,,,34.30225264,-79.87033265,Google Maps,34.302109,-79.870399,1,rooftop,117,Main St,,,Darlington,SC,Darlington County,29532,US,Darlington
FREE MEDICAL CLINIC OF DARLINGTON COUNTY – HARTSVILLE SATELLITE,500 West Carolina Avenue,,,34.37226968,-80.08347029,Google Maps,34.372442,-80.083505,1,rooftop,513,Home Ave,,,Hartsville,SC,Darlington County,29550,US,Darlington
"FREE MEDICAL CLINIC OF NEWBERRY COUNTY, INC.",2568 Kinard Street,,,34.29028458,-81.60481257,Google Maps,34.289872,-81.604176,1,rooftop,2704,Kinard St,,,Newberry,SC,Newberry County,29108,US,Newberry
FRIENDSHIP MEDICAL CLINIC & PHARMACY,1396 SC-544,,,33.78333577,-79.02138016,Google Maps,33.783688,-79.021667,1,rooftop,1250,Hwy 544,,,Conway,SC,Horry County,29526,US,Horry
GOOD NEIGHBOR FREE MEDICAL CLINIC OF BEAUFORT,30 Professional Village Circle,,,32.41879295,-80.65178721,Google Maps,32.418717,-80.651438,1,rooftop,2,Miller Dr W,,,Beaufort,SC,Beaufort County,29907,US,Beaufort
GOOD SAMARITAN CLINIC,1316 Leaphart Street,,,33.99887519,-81.07889374,Google Maps,33.99889,-81.078928,1,rooftop,801,Seminole Dr,,,West Columbia,SC,Lexington County,29169,US,Lexington
GOOD SAMARITAN CLINIC – CHAPIN SATELLITE,1808 Chapin Road,,,34.17430564,-81.36458241,Google Maps,34.173871,-81.364662,1,rooftop,323,Courtland Road Ext,,,Chapin,SC,Lexington County,29036,US,Lexington
GOOD SAMARITAN CLINIC – CHARLESTON SATELLITE,1786 SC-174,,,32.57510937,-80.28805406,osm,32.575228,-80.287741,1,rooftop,1764,Highway 174,,,Edisto Island,SC,Charleston County,29438,US,Charleston
GOOD SAMARITAN CLINIC – COLUMBIA SATELLITE,7915 Old Percival Road,,,34.06449363,-80.9109414,Google Maps,34.064303,-80.910778,0.99,nearest_street,1666,Teakwood Ln,,,Columbia,SC,Richland County,29223,US,TIGER/Line® dataset from the US Census Bureau
GOOD SAMARITAN MEDICAL CLINIC,139 Church Street,,,34.49962989,-82.01856274,Google Maps,34.499267,-82.018464,1,rooftop,269,W Laurens St,,,Laurens,SC,Laurens County,29360,US,Laurens
GOOD SHEPHERD FREE MEDICAL CLINIC OF LAURENS COUNTY,245 Human Services Road,,,34.48510523,-81.93639648,osm,34.485501,-81.936642,1,rooftop,219,Human Services Rd,,,Clinton,SC,Laurens County,29325,US,Laurens
GREATER GREENWOOD UNITED MINISTRY,1404 Edgefield Street,,,34.17425028,-82.15483856,Google Maps,34.174142,-82.154267,1,rooftop,230,Sloan Ave,,,Greenwood,SC,Greenwood County,29646,US,Greenwood
GREENVILLE FREE MEDICAL CLINIC,600 Arlington Avenue Greenville,,,34.842327,-82.41797,census,34.842173,-82.418108,1,rooftop,601,Arlington Ave,,,Greenville,SC,Greenville County,29601,US,City of Greenville
GREENVILLE FREE MEDICAL CLINIC – GOLDEN STRIP FREE CLINIC SATELLITE,1101 Howard Street,,,34.71770941,-82.21813326,Google Maps,34.716828,-82.217879,0.99,rooftop,1102,Howard Dr,,,Simpsonville,SC,Greenville County,29681,US,Greenville
GREENVILLE FREE MEDICAL CLINIC – GREER FREE CLINIC SATELLITE,202 Victoria Street,,,34.937744,-82.22637,census,34.937835,-82.226389,1,rooftop,117,Trade St,,,Greer,SC,Greenville County,29651,US,Greenville
GREENVILLE FREE MEDICAL CLINIC – NORTHWEST CRESCENT FREE CLINIC SATELLITE,925 N Franklin Road,,,34.89250355,-82.42317262,Google Maps,34.892833,-82.422889,1,rooftop,916,N Franklin Rd,,,Greenville,SC,Greenville County,29617,US,Greenville
HELPING HANDS FREE MEDICAL CLINIC,1328 North Main Street,,,34.19365423,-79.3972221,osm,34.193055,-79.397289,0.98,nearest_street,149,Rob Ct,,,Marion,SC,Marion County,29571,US,TIGER/Line® dataset from the US Census Bureau
HELPING HANDS FREE MEDICAL CLINIC – MULLINS SATELLITE,230 South Main Street,,,34.20091386,-79.25347955,Google Maps,34.201934,-79.251761,0.97,nearest_street,398,S Park St,,,Mullins,SC,Marion County,29574,US,TIGER/Line® dataset from the US Census Bureau
ICNA RELIEF USA SHIFA CLINIC,1092 Johnnie Dodds Blvd Mt Pleasant,,,32.81508856,-79.85948195,Google Maps,32.81554,-79.858657,0.98,nearest_street,894,Bowman Rd,,,Mount Pleasant,SC,Charleston County,29464,US,TIGER/Line® dataset from the US Census Bureau
LA CLINICA GRATIS/THE FREE CLINIC,929 Phoenix Street,,,34.18468831,-82.15393858,Google Maps,34.18459,-82.153926,1,rooftop,302,Taggart Ave,,,Greenwood,SC,Greenwood County,29646,US,Greenwood
MEDICAL MINISTRIES,7741 Dorchester Road,,,32.90518903,-80.0848731,census,32.905209,-80.0852,0.99,nearest_street,4691,Purcell Dr,,,North Charleston,SC,Charleston County,29418,US,TIGER/Line® dataset from the US Census Bureau
MEDICAL MINISTRIES – GREATER ST. PAUL AME CHURCH SATELLITE,633 Thomas-Kate Rd,,,33.20394509,-80.48524961,Google Maps,33.204175,-80.485488,1,rooftop,664,Thomas Kate Rd,,,Dorchester,SC,Dorchester County,29437,US,Dorchester
MEDICAL MINISTRIES – NEW HOPE UMC SATELLITE,1568 Carter Road,,,33.02509259,-80.33688595,Google Maps,33.02499,-80.337086,1,rooftop,1447,Carter Rd,,,Ridgeville,SC,Dorchester County,29472,US,Dorchester
MEDICAL MINISTRIES – ORANGEBURG SATELLITE,356 Lariat Rd,,,33.46296054,-80.94296632,Google Maps,33.45975,-80.939942,0.95,nearest_street,3598,US Hwy 601,,,Orangeburg,SC,Orangeburg County,29115,US,TIGER/Line® dataset from the US Census Bureau
MEDICAL MINISTRIES – SHADY GROVE UMC SATELLITE,9140 Charleston Hwy,,,33.28130251,-80.5927385,Google Maps,33.280481,-80.592549,0.99,rooftop,9131,Charleston Hwy,,,Bowman,SC,Dorchester County,29018,US,Dorchester
MEDICAL MINISTRIES – ST MARK UMC SATELLITE,8502 North Rd,,,33.61808002,-81.0915469,Google Maps,33.616267,-81.089283,0.96,nearest_street,298,Derrick St,,,North,SC,Orangeburg County,29112,US,TIGER/Line® dataset from the US Census Bureau
MEDICAL MINISTRIES – WESLEY UMC SATELLITE,3250 Ladson Road,,,32.98917643,-80.1019979,Google Maps,32.989762,-80.10183,1,rooftop,9657,Highway 78,,,Ladson,SC,Charleston County,29456,US,Charleston
MERCY MEDICINE FREE CLINIC – FLORENCE,500 South Coit Street,,,34.190019,-79.769801,osm,34.189985,-79.769555,1,rooftop,500,S Coit St,,,Florence,SC,Florence County,29501,US,Florence
ONE80 PLACE HEALTH CLINIC,35 Walnut Street,,,32.799738,-79.94379,osm,32.799752,-79.943781,1,rooftop,33,Walnut St,,,Charleston,SC,Charleston County,29403,US,City of Charleston
ORANGEBURG-CALHOUN FREE MEDICAL CLINIC,141 Centre Street,,,33.49322011,-80.86106581,Google Maps,33.49328,-80.861051,1,rooftop,1520,Amelia St,,,Orangeburg,SC,Orangeburg County,29115,US,Orangeburg
PREGNANCY CENTER AND CLINIC OF THE LOW COUNTRY,1 Cardinal Road,,,32.22133,-80.704956,census,32.221036,-80.704945,1,rooftop,30,Mathews Dr,,,Hilton Head Island,SC,Beaufort County,29926,US,Hilton Head Island
PREGNANCY CENTER MOBILE CLINIC – BEAUFORT COUNTY,29 Plantation Park Drive,,,32.27315708,-80.86873681,Google Maps,32.272763,-80.868559,1,rooftop,38,Plantation Park Dr,,,Bluffton,SC,Beaufort County,29910,US,Beaufort
PREGNANCY CENTER MOBILE CLINIC – JASPER COUNTY,19725 Whyte Hardee Blvd,,,32.28120819,-81.08265684,Google Maps,32.28204,-81.082324,0.99,rooftop,20551,Whyte Hardee Blvd,,,Hardeeville,SC,Jasper County,29927,US,Jasper County G
SAMARITAN HEALTH CLINIC OF PICKENS COUNTY,303 Dacusville Hwy,,,34.842197,-82.60205,census,34.842506,-82.602635,1,rooftop,303,Dacusville Hwy,,,Easley,SC,Pickens County,29640,US,Pickens County G
SAMARITAN HEALTH CLINIC OF PICKENS COUNTY – PICKENS SATELLITE,111 Hillcrest Drive,,,34.8354209,-82.6089212,Google Maps,34.835542,-82.608763,1,rooftop,114,Hillcrest Dr,,,Easley,SC,Pickens County,29640,US,Pickens County G
SMITH MEDICAL CLINIC AT BASKERVILL,116 Baskervill Dr,,,33.46326476,-79.11309188,census,33.463582,-79.112967,1,rooftop,139,Harborreef Dr,,,Pawleys Island,SC,Georgetown County,29585,US,Georgetown County G
SMITH MEDICAL CLINIC AT BASKERVILL – GEORGETOWN SATELLITE,1101 Highmarket Street,,,33.371346,-79.285065,census,33.371567,-79.284846,1,rooftop,306,Wood St,,,Georgetown,SC,Georgetown County,29440,US,Georgetown County G
ST LUKE'S FREE MEDICAL CLINIC,162 South Dean Street,,,34.95357652,-81.92674414,Google Maps,34.95332,-81.927007,1,rooftop,184,N Dean St,,,Spartanburg,SC,Spartanburg County,29302,US,City of Spartanburg
ST LUKE'S FREE MEDICAL CLINIC – MIDDLE TYGER COMMUNITY SATELLITE,84 Groce Road,,,34.94917153,-82.12193014,Google Maps,34.949259,-82.121578,1,rooftop,3,Church St,,,Lyman,SC,Spartanburg County,29365,US,Spartanburg County G
SUMTER UNITED MINISTRIES MEDICAL CLINIC,36 South Artillery Drive,,,33.91826328,-80.36102831,Google Maps,33.918048,-80.361115,1,rooftop,28,S Artillery Dr,,,Sumter,SC,Sumter County,29150,US,Sumter
TAYLORS FREE MEDICAL CLINIC,400 West Main Street,,,34.92068158,-82.31065362,Google Maps,34.921095,-82.31101,1,rooftop,3429,Wade Hampton Blvd,,,Taylors,SC,Greenville County,29687,US,Greenville
THE FREE MEDICAL CLINIC,1875 Harden Street,,,34.01609815,-81.02428831,Google Maps,34.016328,-81.02369,0.98,nearest_street,2020,Harden St,,,Columbia,SC,Richland County,29205,US,TIGER/Line® dataset from the US Census Bureau
"UNITED CHRISTIAN MINISTRIES OF ABBEVILLE COUNTY, FREE MEDICAL CLINIC",101 Center Drive,,,34.158817,-82.38098,census,34.159618,-82.380496,0.99,rooftop,83,Thomson Cir,,,Abbeville,SC,Abbeville County,29620,US,Abbeville County G
VOLUNTEERS IN MEDICINE CLINIC,15 Northridge Drive,,,32.21965898,-80.70657264,Google Maps,32.220691,-80.705508,0.99,rooftop,30,Mathews Dr,,,Hilton Head Island,SC,Beaufort County,29926,US,Beaufort
WELLPARTNERS DENTAL & EYE CLINIC,2000 Hampton Street,,,34.01078148,-81.02212443,Google Maps,34.010998,-81.021749,0.98,nearest_street,2043,Taylor St,,,Columbia,SC,Richland County,29204,US,TIGER/Line® dataset from the US Census Bureau
WELLPARTNERS DENTAL & EYE HEALTH,2000 Hampton St,,,34.01078148,-81.02212443,Google Maps,34.010998,-81.021749,0.98,nearest_street,2043,Taylor St,,,Columbia,SC,Richland County,29204,US,TIGER/Line® dataset from the US Census Bureau
WELLPARTNERS DENTAL & EYE HEALTH – LEXINGTON SATELLITE,1070 S Lake Dr,,,33.95417058,-81.23444488,osm,33.95391,-81.234546,1,rooftop,1068,S Lake Dr,,,Lexington,SC,Lexington County,29073,US,Lexington
WELLPARTNERS DENTAL & EYE HEALTH – STE 4090,2000 Hampton St,,,34.01078148,-81.02212443,osm,34.010998,-81.021749,0.98,nearest_street,2043,Taylor St,,,Columbia,SC,Richland County,29204,US,TIGER/Line® dataset from the US Census Bureau
YORK COUNTY FREE CLINIC,410 Oakland Avenue,,,34.93736875,-81.02657511,census,34.9374,-81.026606,1,rooftop,517,College Ave,,,Rock Hill,SC,York County,29730,US,York
,,,,,,,0,0,0,,,,,,,,,,,
,,,,,,,0,0,0,,,,,,,,,,,
,,,,,,,0,0,0,,,,,,,,,,,
"Data source: https://www.scfreeclinics.org/clinics/, Accessed on 05/21/2021",,,,,,,0,0,0,,,,,,,,,,,
