clinic_name,address,specialty,hours_of_operation,geo_method,geometry,intersection,geoid
"FREE MEDICAL CLINIC OF NEWBERRY COUNTY, INC.",2568 Kinard Street,,,Google Maps,-81.60481257|34.29028458,755,45071950202
FRIENDSHIP MEDICAL CLINIC & PHARMACY,1396 SC-544,,,Google Maps,-79.02138016|33.78333577,438,45051060101
GOOD NEIGHBOR FREE MEDICAL CLINIC OF BEAUFORT,30 Professional Village Circle,,,Google Maps,-80.65178721|32.41879295,5,45013000902
GOOD SAMARITAN CLINIC,1316 Leaphart Street,,,Google Maps,-81.07889374|33.99887519,1040,45063020509
GOOD SAMARITAN CLINIC – CHAPIN SATELLITE,1808 Chapin Road,,,Google Maps,-81.36458241|34.17430564,375,45063021204
GOOD SAMARITAN CLINIC – CHARLESTON SATELLITE,1786 SC-174,,,osm,-80.28805406|32.57510937,663,45019002300
GOOD SAMARITAN CLINIC – COLUMBIA SATELLITE,7915 Old Percival Road,,,Google Maps,-80.9109414|34.06449363,583,45079011305
GOOD SAMARITAN MEDICAL CLINIC,139 Church Street,,,Google Maps,-82.01856274|34.49962989,270,45059920400
GOOD SHEPHERD FREE MEDICAL CLINIC OF LAURENS COUNTY,245 Human Services Road,,,osm,-81.93639648|34.48510523,266,45059920700
GREATER GREENWOOD UNITED MINISTRY,1404 Edgefield Street,,,Google Maps,-82.15483856|34.17425028,869,45047970800
GREENVILLE FREE MEDICAL CLINIC,600 Arlington Avenue Greenville,,,census,-82.41797|34.842327,64,45045000500
GREENVILLE FREE MEDICAL CLINIC – GOLDEN STRIP FREE CLINIC SATELLITE,1101 Howard Street,,,Google Maps,-82.21813326|34.71770941,749,45045003011
GREENVILLE FREE MEDICAL CLINIC – GREER FREE CLINIC SATELLITE,202 Victoria Street,,,census,-82.22637|34.937744,143,45045002505
GREENVILLE FREE MEDICAL CLINIC – NORTHWEST CRESCENT FREE CLINIC SATELLITE,925 N Franklin Road,,,Google Maps,-82.42317262|34.89250355,186,45045002301
HELPING HANDS FREE MEDICAL CLINIC,1328 North Main Street,,,osm,-79.3972221|34.19365423,456,45067950200
HELPING HANDS FREE MEDICAL CLINIC – MULLINS SATELLITE,230 South Main Street,,,Google Maps,-79.25347955|34.20091386,407,45067950500
ICNA RELIEF USA SHIFA CLINIC,1092 Johnnie Dodds Blvd Mt Pleasant,,,Google Maps,-79.85948195|32.81508856,94,45019004606
LA CLINICA GRATIS/THE FREE CLINIC,929 Phoenix Street,,,Google Maps,-82.15393858|34.18468831,859,45047970500
MEDICAL MINISTRIES,7741 Dorchester Road,,,census,-80.0848731|32.90518903,671,45019003108
MEDICAL MINISTRIES – GREATER ST. PAUL AME CHURCH SATELLITE,633 Thomas-Kate Rd,,,Google Maps,-80.48524961|33.20394509,880,45035010300
MEDICAL MINISTRIES – NEW HOPE UMC SATELLITE,1568 Carter Road,,,Google Maps,-80.33688595|33.02509259,856,45035010400
MEDICAL MINISTRIES – ORANGEBURG SATELLITE,356 Lariat Rd,,,Google Maps,-80.94296632|33.46296054,962,45075011600
MEDICAL MINISTRIES – SHADY GROVE UMC SATELLITE,9140 Charleston Hwy,,,Google Maps,-80.5927385|33.28130251,880,45035010300
MEDICAL MINISTRIES – ST MARK UMC SATELLITE,8502 North Rd,,,Google Maps,-81.0915469|33.61808002,963,45075012000
MEDICAL MINISTRIES – WESLEY UMC SATELLITE,3250 Ladson Road,,,Google Maps,-80.1019979|32.98917643,86,45019003106
MERCY MEDICINE FREE CLINIC – FLORENCE,500 South Coit Street,,,osm,-79.769801|34.190019,1084,45041001000
ONE80 PLACE HEALTH CLINIC,35 Walnut Street,,,osm,-79.94379|32.799738,857,45019005300
ORANGEBURG-CALHOUN FREE MEDICAL CLINIC,141 Centre Street,,,Google Maps,-80.86106581|33.49322011,948,45075011400
PREGNANCY CENTER AND CLINIC OF THE LOW COUNTRY,1 Cardinal Road,,,census,-80.704956|32.22133,44,45013010800
PREGNANCY CENTER MOBILE CLINIC – BEAUFORT COUNTY,29 Plantation Park Drive,,,Google Maps,-80.86873681|32.27315708,753,45013002107
PREGNANCY CENTER MOBILE CLINIC – JASPER COUNTY,19725 Whyte Hardee Blvd,,,Google Maps,-81.08265684|32.28120819,649,45053950300
SAMARITAN HEALTH CLINIC OF PICKENS COUNTY,303 Dacusville Hwy,,,census,-82.60205|34.842197,1024,45077010801
SAMARITAN HEALTH CLINIC OF PICKENS COUNTY – PICKENS SATELLITE,111 Hillcrest Drive,,,Google Maps,-82.6089212|34.8354209,1024,45077010801
SMITH MEDICAL CLINIC AT BASKERVILL,116 Baskervill Dr,,,census,-79.11309188|33.46326476,533,45043920503
SMITH MEDICAL CLINIC AT BASKERVILL – GEORGETOWN SATELLITE,1101 Highmarket Street,,,census,-79.285065|33.371346,255,45043920302
ST LUKE'S FREE MEDICAL CLINIC,162 South Dean Street,,,Google Maps,-81.92674414|34.95357652,842,45083021200
ST LUKE'S FREE MEDICAL CLINIC – MIDDLE TYGER COMMUNITY SATELLITE,84 Groce Road,,,Google Maps,-82.12193014|34.94917153,855,45083023102
SUMTER UNITED MINISTRIES MEDICAL CLINIC,36 South Artillery Drive,,,Google Maps,-80.36102831|33.91826328,412,45085001300
TAYLORS FREE MEDICAL CLINIC,400 West Main Street,,,Google Maps,-82.31065362|34.92068158,14,45045002604
THE FREE MEDICAL CLINIC,1875 Harden Street,,,Google Maps,-81.02428831|34.01609815,484,45079003100
"UNITED CHRISTIAN MINISTRIES OF ABBEVILLE COUNTY, FREE MEDICAL CLINIC",101 Center Drive,,,census,-82.38098|34.158817,299,45001950500
VOLUNTEERS IN MEDICINE CLINIC,15 Northridge Drive,,,Google Maps,-80.70657264|32.21965898,44,45013010800
WELLPARTNERS DENTAL & EYE CLINIC,2000 Hampton Street,,,Google Maps,-81.02212443|34.01078148,484,45079003100
WELLPARTNERS DENTAL & EYE HEALTH,2000 Hampton St,,,Google Maps,-81.02212443|34.01078148,484,45079003100
WELLPARTNERS DENTAL & EYE HEALTH – LEXINGTON SATELLITE,1070 S Lake Dr,,,osm,-81.23444488|33.95417058,658,45063021009
WELLPARTNERS DENTAL & EYE HEALTH – STE 4090,2000 Hampton St,,,osm,-81.02212443|34.01078148,484,45079003100
YORK COUNTY FREE CLINIC,410 Oakland Avenue,,,census,-81.02657511|34.93736875,459,45091060102
