name,phone,geoid,tract_latitude,tract_longitude,lat,lon
Santee/Wateree Mental Health Center Lee County Clinic,803-484-9414,45061920200,+34.2712347,-080.3181752,34.228375,-80.257515
Catawba Community Mental Health Center Chester Clinic,803-581-8311,45023020602,+34.7136872,-081.1207622,34.6887701,-81.1915863
Beckman Center for Mental Health Greenwood Offices,864-223-8331,45047970800,+34.1118770,-082.1861034,34.1688048,-82.1547476
Beckman Center for Mental Health Laurens Clinic,864-938-0912,45059920700,+34.4682270,-081.9191816,34.4819399,-81.9352671
Catawba Community Mental Health Center Lancaster Clinic,803-285-7456,45057010600,+34.6743516,-080.7400025,34.7022833,-80.7457958
Beckman Center for Mental Health McCormick Clinic,864-465-2412,45065920200,+33.9241259,-082.2468990,33.9106194,-82.2941398
Spartanburg Area Mental Health Center Union Mental Mental Health Center,864-427-1224,45087030100,+34.7276446,-081.6274414,34.7156363,-81.6435349
Coastal Empire Community MH Ctr Hampton County Mental Health Clinic,803-943-2828,45049920200,+32.8590563,-081.0106074,32.854723,-81.090566
Colleton Medical Center,843-782-2380,45029970402,+32.9671267,-080.6527418,32.923153,-80.66984
Coastal Empire Community MH Ctr Colleton County Area Office,843-549-1551,45029970500,+32.9053462,-080.6718142,32.9150564,-80.6791371
Pee Dee Mental Health Center Hartsville Clinic,843-332-4141,45031010700,+34.3541929,-080.0756425,34.3635086,-80.0646245
Rebound Behavioral Health,803-313-3700,45057011202,+34.8889877,-080.8262996,34.8630169,-80.8029127
Beckman Center for Mental Health Abbeville Clinic,864-459-9671,45001950500,+34.1266067,-082.3805235,34.1781719,-82.3790147
Catawba Community Mental Health Center Catawba Family Center,803-329-3177,45091060200,+34.9282234,-081.0056196,34.9327896,-80.9992743
New Hope Carolinas Inc,803-328-9300,45091060700,+34.9606397,-081.0380086,34.950516,-81.040136
Catawba Community Mental Health Center York Adult Services,803-327-2012,45091060905,+34.9584300,-081.0651330,34.954053,-81.0503655
Piedmont Medical Center Center for Psychiatry,803-329-1234,45091060905,+34.9584300,-081.0651330,34.956853,-81.05266
Waccamaw Center for Mental Health Williamsburg Clinic,843-354-5453,45089970501,+33.6474741,-079.7149055,33.660651,-79.820402
Willowglen Academy Psych Residential Treatment Fac,843-201-4888,45089970600,+33.6990298,-079.8814089,33.716016,-79.810205
Pee Dee Mental Health Center Lake City Clinic,843-394-7600,45041002000,+33.8753636,-079.6769366,33.8892453,-79.7643012
Berkeley Community Mental Health Ctr,843-761-8282 x370,45015020506,+33.1834737,-079.9987130,33.1970381,-79.9915257
William Jennings Bryan Dorn VAMC Florence Clinic,843-292-8383 x6823,45041000201,+34.1991944,-079.8244682,34.2208479,-79.800825
McLeod Behavioral Health Services,843-395-4200,45031011300,+34.3273952,-079.7774948,34.3133249,-79.8399159
Palmetto Summerville Behavioral Health,843-851-5015 x2201,45035010813,+32.9767187,-080.1609388,32.9656108,-80.1609559
Charleston/Dorchester CDMHC Dorchester County Mental Health,843-873-5063,45035010813,+32.9767187,-080.1609388,32.959879,-80.1618489
Pee Dee Mental Health Center Executive Offices,843-317-4089,45041001000,+34.1911403,-079.7695503,34.195306,-79.764989
Pee Dee Mental Health Center Florence County Clinic,843-317-4073,45041001000,+34.1911403,-079.7695503,34.1965837,-79.7651334
Precision Beh and Medical Group LLC,843-407-5959,45041001000,+34.1911403,-079.7695503,34.1975711,-79.7646078
Trident Medical Center Lowcountry Transitions,843-843-3010,45019003115,+32.9798853,-080.0611887,32.9765421,-80.0736317
Greater Greenville Mental Health Simpsonville Clinic,864-963-3421,45045003011,+34.7317039,-082.2349019,34.7220931,-82.2494172
Tri County Mental Health Center Chesterfield Clinic,843-623-2229,45025950400,+34.7255811,-080.1008750,34.7288105,-80.0545637
Spartanburg Medical Center Mary Black,864-573-3725,45083021403,+34.9924944,-081.9122498,34.9783003,-81.8951782
Spartanburg Area Mental Health Center Spartanburg Mental Health Clinic,864-585-0366,45083020301,+34.9629269,-081.9384470,34.9626889,-81.9422878
Spartanburg Area Mental Health Center Cherokee Mental Health Clinic,864-487-2710,45021970301,+35.0852653,-081.6728558,35.076934,-81.647113
Coastal Empire Community MH Ctr Jasper County Mental Health Clinic,843-726-8030,45053950202,+32.5364880,-080.8861724,32.4960362,-80.9843662
Carolina Center for Behavioral Health,864-235-2335,45045002808,+34.8429987,-082.2609847,34.8650705,-82.2291509
Charleston/Dorchester MH Center Charleston Clinic,843-414-2351,45019002613,+32.8200495,-080.0433739,32.814377,-80.046196
First Responder Support Team First Responder Support Team,843-212-8980,45019002614,+32.8019252,-080.0444568,32.8068124,-80.0360757
William Jennings Bryan Dorn VAMC Anderson County Clinic,864-224-5450,45007011202,+34.5595444,-082.6008259,34.5724668,-82.6226687
Greater Greenville Mental Health Greer Clinic,864-879-2111,45045002507,+34.9637370,-082.2399111,34.9522671,-82.2355083
William Jennings Bryan Dorn VAMC Greenville Clinic,864-299-1600,45045002103,+34.8059127,-082.4073509,34.8149371,-82.4161956
Marshall I Pickens Hospital Greenville Memorial Medical Campus,864-455-8988,45045002103,+34.8059127,-082.4073509,34.8192557,-82.411677
Anderson/Oconee/Pickens MH Center Anderson Adult Clinic,864-260-2220,45007001000,+34.5398822,-082.6812250,34.530977,-82.684651
Greater Greenville Mental Health Greenville Clinic,864-241-1040,45045000500,+34.8376715,-082.4115284,34.8397763,-82.4147551
Tri County Community Mental Health Ctr Marlboro County Clinic,843-454-0841,45069960200,+34.5638971,-079.7572819,34.6344271,-79.6992158
Children and Adolescent Services William E Pascoe Clinic,864-716-2316,45007001000,+34.5398822,-082.6812250,34.54829,-82.693065
Ralph H Johnson VAMC Mental Health Service Line,843-789-7316,45019000600,+32.7850610,-079.9510689,32.7841197,-79.9540689
Medical University of South Carolina Institute of Psychiatry,843-792-9888,45019000600,+32.7850610,-079.9510689,32.786329,-79.950084
Charleston Dorchester Mental Health Tri County Crisis Stabilization Center,843-953-2390,45019000600,+32.7850610,-079.9510689,32.7827262,-79.9523457
Beaufort Memorial Hospital Mental Health Services,843-522-5200 x5269,45013000700,+32.4169450,-080.6897104,32.4170217,-80.6875651
Coastal Empire Community MH Center Beaufort Mental Health Clinic,843-524-8899,45013000700,+32.4169450,-080.6897104,32.4122705,-80.6879551
Windwood Farm Home for Children,843-884-5342 x12226,45019005000,+33.0393507,-079.5734552,32.936696,-79.725809
Pee Dee Mental Health Center Marion County Clinic,843-431-1100,45067950100,+34.1486832,-079.5130376,34.164618,-79.397404
SpringBrook Behavioral Health System,864-834-8013,45045003904,+34.9863586,-082.4422353,34.9640587,-82.4547541
Anderson/Oconee/Pickens Comm MH Ctr Pickens Clinic,864-878-6830,45077010803,+34.8134035,-082.6260189,34.8288818,-82.6075037
Tri County Mental Health Center Dillon Clinic,843-774-3351,45033970300,+34.4536751,-079.4414521,34.4391417,-79.3666674
Waccamaw Center for Mental Health Georgetown County Clinic,843-546-6107,45043920600,+33.3933217,-079.3306841,33.3845318,-79.2996794
Greater Greenville Mental Health Foothills Family Resources,864-836-1100,45045004101,+35.0374840,-082.5065924,35.0270734,-82.4941209
Coastal Empire Community MH Ctr Hilton Head Mental Health Clinic,843-681-4865,45013010800,+32.2397676,-080.6876677,32.229703,-80.688447
Anderson/Oconee/Pickens Comm MH Ctr Oconee Clinic,864-885-0157,45073030800,+34.6414943,-082.9517476,34.6840896,-82.9862331
Waccamaw Mental Health Center Horry County Clinic,843-347-4888,45051060405,+33.7922107,-079.0120361,33.787434,-78.998733
Lighthouse Behavioral Health Hospital,843-347-8871,45051060405,+33.7922107,-079.0120361,33.7877719,-78.998025
Waccamaw Center for Mental Health South Strand Clinic,843-492-2795,45051051601,+33.6597535,-079.0227565,33.6340583,-79.0110862
Grand Strand Behavioral Health Servs,843-839-6112,45051051502,+33.6708235,-078.9839079,33.6676422,-78.9716869
