npi,basic_organization_name,latitude,longitude,address,city,state,zip,county,country,match_indicator,match_type,tiger_line_id,tiger_side,state_fips,county_fips,census_tract,census_block
1013922962,INGLES MARKETS INC,34.888433,-82.071798,2098 E Main St,Duncan,SC,29334,Spartanburg County,US,Match,Non_Exact,19500501,L,45,083,023406,2007
1013934272,WAL-MART STORES EAST LP,34.251179,-80.645569,1612 State Rd S-28-130,Camden,SC,29020,Kershaw County,US,No_Match,,,,,,,
1013972108,F.M. LINDER & SON LLC,32.90263,-80.663781,322 E Washington St,Walterboro,SC,29488,Colleton County,US,Match,Non_Exact,19156048,L,45,029,970502,1009
1023058468,PUBLIX SUPER MARKETS INC,32.20943,-80.723436,59 Pembroke Dr,Hilton Head Island,SC,29926,Beaufort County,US,Match,Exact,87629268,L,45,013,010400,1035
1023104890,PUBLIX SUPER MARKETS INC,33.013165,-80.234626,1581 Central Ave,Summerville,SC,29483,Dorchester County,US,No_Match,,,,,,,
1023111887,SOUTH CAROLINA CVS PHARMACY LLC,34.945396,-81.029502,1039 Charlotte Ave,Rock Hill,SC,29732,York County,US,Match,Exact,19791152,L,45,091,060700,2008
1023111895,SOUTH CAROLINA CVS PHARMACY LLC,34.275731,-80.609468,2504 US Hwy 521,Camden,SC,29020,Kershaw County,US,No_Match,,,,,,,
1023176658,"ELGIN PHARMACY, INC.",34.168484,-80.793527,1406 State Rd S-28-102,Elgin,SC,29045,Kershaw County,US,No_Match,,,,,,,
1033118757,COMMUNITY PHARMACY OF CHESTER LLC,34.703544,-81.211218,125 Church St,Chester,SC,29706,Chester County,US,Match,Exact,635515013,L,45,023,020200,4018
1033122635,WALGREEN CO,34.097924,-81.166193,7447 US Hwy 176,Irmo,SC,29063,Richland County,US,No_Match,,,,,,,
1033136205,SAMS EAST INC,34.935172,-81.999445,151 Peachwood Centre Dr,Spartanburg,SC,29301,Spartanburg County,US,Match,Exact,19493737,L,45,083,021902,3000
1033212527,SOUTH CAROLINA CVS PHARMACY LLC,32.790264,-79.852391,1401 State Hwy 703,Mount Pleasant,SC,29464,Charleston County,US,No_Match,,,,,,,
1033267695,T & B INC,34.301215,-79.870188,202 Main St,Darlington,SC,29532,Darlington County,US,Match,Non_Exact,78399280,L,45,031,011100,2016
1033291513,SOUTH CAROLINA ONCOLOGY ASSOCIATES PA,34.014879,-81.075188,169 Stoneridge Dr,Columbia,SC,29210,Richland County,US,Match,Exact,604769435,R,45,079,010403,2050
1033633730,WALGREEN CO,34.897935,-81.76368,6951 S Pine St,Pacolet,SC,29372,Spartanburg County,US,Match,Non_Exact,640603498,L,45,083,023902,2044
1033635933,WALGREEN CO,35.039882,-82.07765,201 Gallman Rd,Inman,SC,29349,Spartanburg County,US,Match,Exact,19462163,L,45,083,022901,2058
1033641121,BANKS DRUG LTC LLC,33.847481,-81.660533,104 Crawford Ln,Ridge Spring,SC,29129,Saluda County,US,Match,Exact,65526138,R,45,081,960400,3011
1033739024,MARUTI SQUARE INC.,34.159658,-79.75581,702 Pamplico Hwy,Florence,SC,29505,Florence County,US,Match,Exact,640542535,R,45,041,000600,3007
1043279789,"INTRAMED PLUS, INC.",32.879733,-80.016919,NA I 26,North Charleston,SC,29418,Charleston County,US,No_Match,,,,,,,
1043313711,SOUTH CAROLINA CVS PHARMACY LLC,34.935957,-82.274504,6130 Wade Hampton Blvd,Taylors,SC,29687,Greenville County,US,Match,Exact,632588912,R,45,045,002604,1001
1043313810,SOUTH CAROLINA CVS PHARMACY LLC,35.038594,-82.077374,11150 Asheville Hwy,Inman,SC,29349,Spartanburg County,US,No_Match,,,,,,,
1043365703,SOUTH CAROLINA DEPARTMENT OF MENTAL HEALTH,34.018278,-81.024552,2200 Harden St,Columbia,SC,29205,Richland County,US,No_Match,,,,,,,
1043394299,LITTLE RIVER MEDICAL CENTER PHARMACY,33.88321,-78.598588,4303 Live Oak Rd,Little River,SC,29566,Horry County,US,Match,Non_Exact,638020431,R,45,051,040104,1041
1043394315,FAMILY HEALTH CENTER PHARMACY,33.527166,-80.839743,1 Magnolia St,Orangeburg,SC,29115,Orangeburg County,US,No_Match,,,,,,,
1043509045,SOUTH CAROLINA CVS PHARMACY LLC,33.979394,-81.30258,2373 Augusta Hwy,Lexington,SC,29072,Lexington County,US,Match,Exact,70085913,R,45,063,021023,1000
1043517329,"PRESCRIPTIONS PLUS PHARMACY, LLC",35.100426,-81.676772,305 Chesnee Hwy,Gaffney,SC,29341,Cherokee County,US,Match,Exact,624329967,L,45,021,970201,3013
1043641020,HARRIS TEETER LLC,32.937492,-80.139928,9580 Old Glory Ln,Summerville,SC,29485,Dorchester County,US,Match,Exact,178486108,L,45,035,010821,1003
1043858996,M HOLDINGS LLC,33.993468,-81.305692,808 Highway 378,Lexington,SC,29072,Lexington County,US,No_Match,,,,,,,
1053322628,UNION FAMILY PHARMACY LLC,34.71946,-81.638343,528 Rice Ave,Union,SC,29379,Union County,US,Match,Exact,604738611,L,45,087,030100,1008
1053345785,THE KROGER CO,33.759824,-78.968057,3710 Renee Dr,Myrtle Beach,SC,29579,Horry County,US,Match,Exact,648172890,L,45,051,060209,2018
1053393710,"STO-PHAR,INC",33.920623,-80.342683,21 W Liberty St,Sumter,SC,29150,Sumter County,US,Match,Non_Exact,202689510,R,45,085,001300,2013
1053402891,"KASH & KARRY PHARMACY, LLC",34.862528,-82.40726,8 James St,Greenville,SC,29609,Greenville County,US,Match,Exact,38299751,R,45,045,000900,1004
1053414722,SOUTH CAROLINA CVS PHARMACY LLC,34.776359,-80.382981,507 Hazel Blakeney,Pageland,SC,29728,Chesterfield County,US,Match,Non_Exact,14342768,R,45,025,950101,2017
1053475566,"LOW COUNTRY HEALTH CARE SYSTEM, INC",32.965392,-81.253649,185 Pond Ln,Fairfax,SC,29827,Allendale County,US,Match,Exact,19037990,L,45,005,970500,4023
1053594812,WALGREEN CO,34.976697,-81.006333,1907 Aldersgate Rd,Rock Hill,SC,29732,York County,US,No_Match,,,,,,,
1053595074,WALGREEN CO,34.921271,-81.886703,2204 Southport Rd,Spartanburg,SC,29302,Spartanburg County,US,Match,Exact,19501477,L,45,083,022004,1006
1053782615,WAL-MART STORES EAST LP,34.72302,-82.295199,1409 W Georgia Rd,Simpsonville,SC,29680,Greenville County,US,Match,Non_Exact,620932869,R,45,045,003017,2007
1053788638,RPVR CORPORATION,34.839963,-82.60555,109 Fleetwood Dr,Easley,SC,29640,Pickens County,US,Match,Exact,26188517,L,45,077,010805,1025
1063434702,SOUTH CAROLINA CVS PHARMACY LLC,34.549709,-82.674327,3498 Clemson Blvd,Anderson,SC,29621,Anderson County,US,Tie,,,,,,,
1063434710,SOUTH CAROLINA CVS PHARMACY LLC,34.705253,-82.25853,698 Fairview Rd,Simpsonville,SC,29680,Greenville County,US,Match,Exact,38331448,L,45,045,003013,2029
1063515740,SOUTH CAROLINA CVS PHARMACY LLC,34.731771,-80.765783,414 Hwy 9th Byp,Lancaster,SC,29720,Lancaster County,US,No_Match,,,,,,,
1063581304,RANDY B BOLAND,33.348473,-80.681811,7105 Charleston Hwy,Bowman,SC,29018,Orangeburg County,US,Match,Exact,19223517,R,45,075,010500,2017
1063651941,WALGREEN CO,34.493793,-81.986251,810 E Main St,Laurens,SC,29360,Laurens County,US,Tie,,,,,,,
1063695823,WALGREEN CO,34.988381,-81.210324,198 Cooperative Way,York,SC,29745,York County,US,No_Match,,,,,,,
1063790947,SOUTH CAROLINA CVS PHARMACY LLC,34.850957,-82.399096,1 H N Main St,Greenville,SC,29601,Greenville County,US,Match,Exact,38300991,L,45,045,000200,1013
1063876084,LOW COUNTRY HEALTH CARE SYSTEM,33.255595,-81.362624,811 Reynolds Rd,Barnwell,SC,29812,Barnwell County,US,Match,Exact,19068449,L,45,011,970300,4032
1063905552,WALGREEN CO,32.788591,-79.946699,201 Rutledge Ave,Charleston,SC,29403,Charleston County,US,Match,Exact,108807224,L,45,019,000600,1002
1063914372,HARRIS TEETER LLC,34.828532,-82.399069,1703 Augusta St,Greenville,SC,29605,Greenville County,US,Match,Exact,38329430,L,45,045,004200,2004
1063915643,HUB CITY PHARMACY LLC,34.922298,-81.982911,1707 John B White Sr Blvd,Spartanburg,SC,29301,Spartanburg County,US,Match,Exact,19466229,L,45,083,022007,1006
1073038691,WALGREEN CO,34.05375,-80.946846,2304 Decker Blvd,Columbia,SC,29206,Richland County,US,Match,Exact,71861331,L,45,079,011304,4009
1073146502,GREENVILLE HEALTH CORPORATION,33.924198,-80.34276,NA US 521,Sumter,SC,29150,Sumter County,US,No_Match,,,,,,,
1073530226,WAL-MART STORES EAST LP,34.975284,-81.878122,2161 E Main St,Spartanburg,SC,29307,Spartanburg County,US,No_Match,,,,,,,
1073616413,SOUTH CAROLINA CVS PHARMACY LLC,33.984605,-81.056413,501 Knox Abbott Dr,Cayce,SC,29033,Lexington County,US,Match,Exact,70065947,L,45,063,020201,2000
1073616751,SOUTH CAROLINA CVS PHARMACY LLC,34.445615,-82.387942,400 E Greer St,Honea Path,SC,29654,Anderson County,US,Match,Non_Exact,25437203,R,45,007,011502,1043
1073789111,INGLES MARKETS INC,35.028004,-81.895874,2388 Chesnee Hwy,Spartanburg,SC,29303,Spartanburg County,US,Match,Exact,642939409,R,45,083,021402,2006
1073917043,ST FRANCIS HOSPITAL INC,34.804549,-82.318298,75 Innovation Dr,Greenville,SC,29607,Greenville County,US,Match,Exact,627757838,R,45,045,002811,2053
1083139745,WALGREEN CO,33.914022,-81.133291,709 Main St,West Columbia,SC,29170,Lexington County,US,Match,Exact,70073711,R,45,063,020703,3032
1083171185,MEDICAL UNIVERSITY HOSPITAL AUTHORITY,32.878799,-80.013148,4900 Lacross Rd,Charleston,SC,29406,Charleston County,US,No_Match,,,,,,,
1083619464,"ORANGE CUT RATE DRUG STORE, INC",33.48925,-80.864577,1150 Russell St,Orangeburg,SC,29115,Orangeburg County,US,Match,Exact,19249433,R,45,075,011300,1034
1083631238,WAL-MART STORES EAST LP,34.69879,-79.931952,1037 Chesterfield Hwy,Cheraw,SC,29520,Chesterfield County,US,Match,Exact,600594664,L,45,025,950503,1022
1083632822,WAL-MART STORES EAST LP,34.708232,-82.759696,1283 18 Mile Rd,Central,SC,29630,Pickens County,US,Match,Exact,26185131,R,45,077,011105,1040
1083632889,WAL-MART STORES EAST LP,34.696964,-81.192083,1557 State Hwy 97,Chester,SC,29706,Chester County,US,No_Match,,,,,,,
1083675391,TIMMONSVILLE DRUG INC,34.134849,-79.937728,314 E Market St,Timmonsville,SC,29161,Florence County,US,Tie,,,,,,,
1083711584,"SOUTH CAROLINA CVS PHARMACY, L.L.C.",33.569893,-79.034945,3560 Old Kings Hwy,Murrells Inlet,SC,29576,Georgetown County,US,Match,Non_Exact,638642021,L,45,043,920511,2000
1083717763,SOUTH CAROLINA CVS PHARMACY LLC,34.825772,-82.394139,14 McPherson Ln,Greenville,SC,29605,Greenville County,US,Match,Exact,38301685,R,45,045,004200,2013
1083727630,HUBBARD YOUNG PHARMACY INC,34.686885,-82.835514,400 College Ave 1,Clemson,SC,29631,Pickens County,US,Match,Exact,26163831,R,45,077,011205,2010
1083801286,IRMO DRUG INC,34.08915,-81.174559,1009 Lake Murray Blvd,Irmo,SC,29063,Lexington County,US,Match,Exact,70083601,R,45,063,021112,1014
1083964829,PUBLIX SUPER MARKETS INC,35.061657,-80.965094,940 103 Gold Hill Rd,Fort Mill,SC,29708,York County,US,No_Match,,,,,,,
1093018228,SOUTH CAROLINA CVS PHARMACY LLC,34.748972,-82.045494,405 N Main St,Woodruff,SC,29388,Spartanburg County,US,Match,Non_Exact,19520112,R,45,083,023602,1032
1093064172,FAMILY PHARMACY LLC,34.178638,-82.023721,300 Cambridge St N,Ninety Six,SC,29666,Greenwood County,US,Match,Exact,50807486,R,45,047,970702,2026
1093141970,CLINTON DISCOUNT PHARMACY LLC,34.476008,-81.880631,310 N Broad St,Clinton,SC,29325,Laurens County,US,Tie,,,,,,,
1093720161,WALGREEN CO,33.94563,-80.372488,1003 Broad St,Sumter,SC,29150,Sumter County,US,Match,Exact,202704510,R,45,085,000901,1046
1093720187,WALGREEN CO,33.944525,-81.168578,1023 Old Barnwell Rd,West Columbia,SC,29170,Lexington County,US,Match,Non_Exact,70052686,R,45,063,021043,1009
1093732257,WAL-MART STORES EAST LP,33.995449,-81.223599,5559 Sunset Blvd,Lexington,SC,29072,Lexington County,US,Match,Exact,628063109,R,45,063,021031,3002
1093755431,PUBLIX SUPER MARKETS INC,34.096151,-81.159069,7330 Broad River Rd,Irmo,SC,29063,Richland County,US,Match,Exact,640029066,R,45,079,010315,1042
1093812596,"SOUTH CAROLINA CVS PHARMACY, L.L.C.",34.903262,-82.387988,1118 State Park Rd,Greenville,SC,29609,Greenville County,US,Match,Exact,615490529,R,45,045,002304,2000
1093942906,WAL-MART STORES EAST LP,34.126101,-81.228661,1151 US Hwy 76,Irmo,SC,29063,Richland County,US,No_Match,,,,,,,
1093988214,WALGREEN CO.,33.504294,-81.900223,4398 Jefferson Davis Hwy,Beech Island,SC,29842,Aiken County,US,Match,Exact,65004056,L,45,003,021003,1042
1104069707,MEDS & MORE LLC,34.057077,-78.892664,3914 Main St,Loris,SC,29569,Horry County,US,Match,Exact,639631647,L,45,051,020202,1090
1104114388,WALGREEN CO,34.788308,-82.482847,11099 Anderson Rd,Piedmont,SC,29673,Anderson County,US,Match,Exact,645419851,R,45,007,010103,4025
1104275403,SANDHILLS MEDICAL FOUNDATION,34.46219,-80.259035,475 7th,McBee,SC,29101,Chesterfield County,US,No_Match,,,,,,,
1104343623,WALGREEN CO,33.764969,-79.019362,1927 Hwy 544,Conway,SC,29526,Horry County,US,Match,Non_Exact,647275040,R,45,051,060406,1000
1104458173,GOVINDA LLC,35.030108,-81.968426,2527 Boiling Springs Rd,Boiling Springs,SC,29316,Spartanburg County,US,Match,Exact,19530669,L,45,083,022406,2001
1104831056,INGLES MARKETS INC,35.0032,-82.004061,1093 Springfield Rd,Boiling Springs,SC,29316,Spartanburg County,US,Match,Exact,19492292,R,45,083,021803,3011
1104843366,WAL-MART STORES EAST LP,34.704561,-81.632552,503 S Duncan Byp,Union,SC,29379,Union County,US,Tie,,,,,,,
1104883107,FOWLER PHARMACY INC,34.618871,-79.684776,312 N Marlboro St,Bennettsville,SC,29512,Marlboro County,US,Match,Non_Exact,25850514,R,45,069,960301,2011
1104902147,SOUTH CAROLINA DEPTARTMENT OF MENTAL HEALTH,34.478338,-82.569418,100 Highway 252,Anderson,SC,29621,Anderson County,US,Match,Non_Exact,638843160,R,45,007,011301,2004
1104924141,PIGGLY WIGGLY OF WESTMART INC,33.94599,-80.373183,NA US 76 Business,Sumter,SC,29150,Sumter County,US,No_Match,,,,,,,
1104929975,SOUTH CAROLINA CVS PHARMACY LLC,34.962371,-82.210618,1119 Apalache St,Greer,SC,29651,Spartanburg County,US,Match,Exact,19459808,R,45,083,023301,1007
1104994938,PH & F INC,34.984754,-81.218798,1007 Creekside Medical Dr,York,SC,29745,York County,US,Match,Exact,645271815,R,45,091,061602,5000
1114020971,SOUTH CAROLINA CVS PHARMACY LLC,34.47464,-82.652662,108 Highway 28th Byp,Anderson,SC,29624,Anderson County,US,No_Match,,,,,,,
1114020989,SOUTH CAROLINA CVS PHARMACY LLC,32.870979,-81.114812,700 US Hwy 278,Hampton,SC,29924,Hampton County,US,No_Match,,,,,,,
1114108735,BANKS PHARMACY,33.777276,-81.930753,439 Bauskett,Edgefield,SC,29824,Edgefield County,US,Match,Non_Exact,55834474,L,45,037,970204,4009
1114114501,TANDEM HEALTH SC,33.943893,-80.343335,938 N Main St,Sumter,SC,29150,Sumter County,US,Match,Non_Exact,202670765,L,45,085,000800,3011
1114152204,"SOUTH CAROLINA CVS PHARMACY, L.L.C.",32.974803,-80.060516,8937 US Hwy 78,Charleston,SC,29406,Charleston County,US,No_Match,,,,,,,
1114203973,WALGREEN CO,32.859442,-79.794702,NA US 17,Mount Pleasant,SC,29466,Charleston County,US,No_Match,,,,,,,
1114251337,"HAWTHORNE LUGOFF PHARMACY, LLC",34.236314,-80.666483,150 State Rd S-28-142,Lugoff,SC,29078,Kershaw County,US,No_Match,,,,,,,
1114306735,WAL-MART STORES EAST LP,34.921093,-81.886343,199 Cedar Springs Rd,Spartanburg,SC,29302,Spartanburg County,US,Match,Exact,19528176,L,45,083,022101,2048
1114325800,GREENVILLE HEALTH CORPORATION,34.815872,-82.414326,975 W Faris Rd,Greenville,SC,29605,Greenville County,US,Match,Non_Exact,38343377,L,45,045,002103,2021
1114497435,"PUBLIX SUPER MARKETS, INC.",32.788043,-79.957709,170 UT Lockwood Blvd,Charleston,SC,29403,Charleston County,US,Match,Non_Exact,618707360,L,45,019,001100,3016
1114545936,"R PH NOW, LLC",33.386463,-79.288216,1040 N Fraser St,Georgetown,SC,29440,Georgetown County,US,Match,Non_Exact,638642299,R,45,043,920302,2022
1114967551,PUBLIX SUPER MARKETS INC,33.00672,-80.044966,211 St James Ave,Goose Creek,SC,29445,Berkeley County,US,No_Match,,,,,,,
1124045398,WAL-MART STORES EAST LP,33.830457,-78.670875,554 N Hwy 17,North Myrtle Beach,SC,29582,Horry County,US,No_Match,,,,,,,
1124069612,PUBLIX SUPER MARKETS INC,34.837617,-82.364313,225 S Pleasantburg Dr,Greenville,SC,29607,Greenville County,US,Tie,,,,,,,
1124121611,SOUTH CAROLINA CVS PHARMACY LLC,33.506642,-80.85003,NA US 21 Business,Orangeburg,SC,29115,Orangeburg County,US,No_Match,,,,,,,
1124121991,SOUTH CAROLINA CVS PHARMACY LLC,34.732764,-82.254098,307 SE Main St,Simpsonville,SC,29681,Greenville County,US,Tie,,,,,,,
1124122932,"SOUTH CAROLINA CVS PHARMACY, L.L.C.",34.835919,-82.35217,1 Commercial Dr,Greenville,SC,29607,Greenville County,US,Match,Exact,38366755,L,45,045,004400,2039
1124382478,FAMILY PHYSICIANS OF SPARTANBURG PHARMACY,34.91465,-82.01024,2986 Reidville Rd,Spartanburg,SC,29301,Spartanburg County,US,Match,Exact,19493637,R,45,083,021902,4015
1124469473,THE KROGER CO,32.186977,-80.720445,43 Shelter Cove Ln,Hilton Head Island,SC,29928,Beaufort County,US,Match,Exact,612418764,L,45,013,011100,1012
1124672662,"PROXSYS RX - SC, LLC",33.786814,-79.002834,153 Lander Dr,Conway,SC,29526,Horry County,US,No_Match,,,,,,,
1134131352,CORAM HEALTHCARE/CAROLINA HOME THERAPEUTICS,34.015915,-81.08592,NA I 126,Columbia,SC,29210,Richland County,US,No_Match,,,,,,,
1134222805,SOUTH CAROLINA CVS PHARMACY LLC,33.52304,-81.954277,101 Nutgrove Dr,North Augusta,SC,29841,Aiken County,US,Match,Non_Exact,635513033,R,45,003,020701,3035
1134222904,SOUTH CAROLINA CVS PHARMACY LLC,34.965324,-81.930615,NA US 176,Spartanburg,SC,29303,Spartanburg County,US,No_Match,,,,,,,
1134577331,WAL-MART STORES EAST LP,33.944652,-81.16932,1049 State Rd S-32-104,West Columbia,SC,29170,Lexington County,US,No_Match,,,,,,,
1134668395,"MOSS COMPOUNDING PHARMACY, LLC",34.198203,-79.820657,2508 Hoffmeyer Rd,Florence,SC,29501,Florence County,US,Match,Exact,647414010,L,45,041,000201,2059
1134680762,SOUTH CAROLINA CVS PHARMACY LLC,32.308927,-80.976385,14 Mark Cummings Rd,Hardeeville,SC,29927,Jasper County,US,No_Match,,,,,,,
1134696230,"HOLY CITY PHARMACY, LLC",32.7593,-79.97377,350 Folly Rd,Charleston,SC,29412,Charleston County,US,No_Match,,,,,,,
1134770753,"JTJ MEDICAL SUPPLY, INC.",34.008749,-81.024096,1500 Gregg St,Columbia,SC,29201,Richland County,US,Match,Exact,71820782,R,45,079,003100,1019
1144231713,LEES INLET APOTHECARY INC,33.570962,-79.026244,3545 Bus 17,Murrells Inlet,SC,29576,Georgetown County,US,No_Match,,,,,,,
1144254871,THE KROGER CO,34.116118,-80.886217,9632 Mill Field Rd,Columbia,SC,29223,Richland County,US,Match,Exact,71826812,L,45,079,011419,2020
1144298282,"ROCHE PHARMACY, INC.",34.502084,-81.61458,50 Main St,Whitmire,SC,29178,Newberry County,US,No_Match,,,,,,,
1144306713,"LYMAN DRUG, INC.",34.955211,-82.120718,130 Spartanburg Hwy 130,Lyman,SC,29365,Spartanburg County,US,Match,Exact,647215595,R,45,083,023104,2005
1144323817,SOUTH CAROLINA CVS PHARMACY LLC,34.201135,-79.247406,498 US Hwy 76,Mullins,SC,29574,Marion County,US,No_Match,,,,,,,
1144323916,SOUTH CAROLINA CVS PHARMACY LLC,34.160572,-82.38314,901 W Greenwood St,Abbeville,SC,29620,Abbeville County,US,No_Match,,,,,,,
1144362229,WAGENER DRUG CO INC,33.653705,-81.361657,196 Lee St N,Wagener,SC,29164,Aiken County,US,Match,Exact,64980193,R,45,003,021700,3055
1144572850,HARRIS TEETER LLC,32.783251,-79.991333,924 Savannah Hwy,Charleston,SC,29407,Charleston County,US,Match,Exact,647143179,R,45,019,002900,1070
1144743170,WALGREEN CO,35.020897,-81.962464,2104 Boiling Springs Rd,Boiling Springs,SC,29316,Spartanburg County,US,Match,Exact,645286700,L,45,083,022406,3012
1144744848,WALGREEN CO,34.701196,-82.476549,920 Anderson St,Piedmont,SC,29673,Anderson County,US,Match,Exact,25448459,L,45,007,010200,2020
1144840026,"SALUBRIUS PHARMACY, LLC",34.780597,-82.473936,112 Halter Dr,Piedmont,SC,29673,Anderson County,US,Match,Exact,25496260,L,45,007,010105,1025
1154330926,LAUREL PHARMACY INC.,34.017722,-81.015197,2 Harper St,Columbia,SC,29204,Richland County,US,Match,Exact,604769337,R,45,079,001000,1008
1154343804,SOUTH CAROLINA CVS PHARMACY LLC,32.935088,-80.038251,7394 US Hwy 78,Charleston,SC,29406,Charleston County,US,No_Match,,,,,,,
1154343895,SOUTH CAROLINA CVS PHARMACY LLC,34.831564,-82.306002,1113 Woodruff Rd,Greenville,SC,29607,Greenville County,US,Match,Exact,647215955,R,45,045,002811,2003
1154365468,"MAIN STREET PHARMACIES OF SOUTH CAROLINA, LLC",34.245815,-80.616764,1011 US Hwy 1,Camden,SC,29020,Kershaw County,US,No_Match,,,,,,,
1154400752,"PROPP DRUGS,INC.",34.518304,-82.650869,1501 N Fant St,Anderson,SC,29621,Anderson County,US,Match,Non_Exact,25478736,L,45,007,000200,2013
1154424828,SOUTH CAROLINA CVS PHARMACY LLC,32.969002,-80.20119,105 Owens Cir,Summerville,SC,29483,Dorchester County,US,Match,Exact,178460546,R,45,035,010505,1036
1154424836,SOUTH CAROLINA CVS PHARMACY LLC,35.143259,-81.861473,106 W Manning St,Chesnee,SC,29323,Spartanburg County,US,Tie,,,,,,,
1154586063,"SOUTH CAROLINA CVS PHARMACY, L.L.C.",34.704964,-82.98971,1449 Blue Ridge Blvd,Seneca,SC,29672,Oconee County,US,Match,Exact,636639370,L,45,073,030601,1012
1154588101,PLANTATION PHARMACY AT WAPPOO ROAD INC,32.787274,-80.020224,1760 Pearlott St,Charleston,SC,29407,Charleston County,US,Match,Exact,108803158,R,45,019,002802,1001
1154803831,"OAKS PHARMACY, LLC",34.552036,-82.630401,2119 Highway 81 N,Anderson,SC,29621,Anderson County,US,Match,Non_Exact,25453995,L,45,007,011201,1041
1154859494,"MCP OF SUMTER, INC.",33.919081,-80.366735,776 A W Liberty St,Sumter,SC,29150,Sumter County,US,Match,Exact,202679176,R,45,085,001300,1021
1164449310,WAL-MART STORES EAST LP,33.502023,-81.958706,1207 Knox Ave,North Augusta,SC,29841,Aiken County,US,Match,Exact,640692070,R,45,003,020702,1007
1164508941,"PRESCRIPTION SHOP,INC.",34.515164,-82.649272,1201 N Fant St,Anderson,SC,29621,Anderson County,US,Match,Non_Exact,25451223,L,45,007,000200,2023
1164525507,SOUTH CAROLINA CVS PHARMACY LLC,32.792421,-79.988816,904 St Andrews Blvd,Charleston,SC,29407,Charleston County,US,No_Match,,,,,,,
1164525606,SOUTH CAROLINA CVS PHARMACY LLC,32.97206,-80.019585,1044 Red Bank Rd,Goose Creek,SC,29445,Berkeley County,US,No_Match,,,,,,,
