OBJECTID,Permit Type,Name of Facility,Location Street,Location City,Location State,ZIP Code,Facility #,Facility Email,Admin Name & Phone,Facility Cont. Email,License / Expires,County / Ownership Type,Mailing Address,Mailing City,Mailing State,Mailing ZIP,Licensee,Licensee Business Phone,CMS Certification,County,Evacuation_Zone,X,Y,Licensee County,x,y
5743,HLINHOMECARE,A MOTHERS CHOICE HOME CARE,1030 OAKLAND AVE STE 104,ROCK HILL,SC,29732,803-233-2077,AMCHOMEHEALTHCARE@GMAIL.COM, PH#: ,,IHCP-0347 / 05/31/2021,York / Limited Liability,2260 CROSSPOINTE DR STE 201,ROCK HILL,SC,29730-8261,A MOTHERS CHOICE HOME HEALTHCARE,803-554-7114,,York,,-81.031274,34.944432,York,497144.3731,3866881.215
6886,HLINHOMECARE,A NEW JOURNEY HEALTHCARE AND SENIOR SERVICES,410 W LIBERTY ST STE 201,SUMTER,SC,29150-4865,803-305-1489,JOURNEYNEW201@GMAIL.COM,"MCCLERKLIN, CHRISTOPER PH#: 803-305-1489",JOURNEYNEW201@GMAIL.COM,IHCP-0151 / 05/31/2021,Sumter / Limited Liability,410 W LIBERTY ST STE 201,SUMTER,SC,29150-4865,A NEW JOURNEY HEALTHCARE AND SENIOR SERVICES LLC,803-445-4907,,Sumter,,-80.35127019,33.92052012,Sumter,559965.0176,3753532.91
8108,HLINHOMECARE,A NURSE NEXTDOOR SENIOR CARE SERVICES,8790 SHADOWGLEN DR,NORTH CHARLESTON,SC,29420,843-597-5588,ANURSENEXTDOOR06@GMAIL.COM, PH#: ,,IHCP-1408 / 02/28/2022,Charleston / Limited Liability,,,,,A NURSE NEXTDOOR SENIOR CARE SERVICES LLC,843-597-5588,,Charleston,E,-80.120883,32.933894,Charleston,582186.0866,3644301.248
8045,HLINHOMECARE,A PLUS HOME CARE SOLUTIONS,203 OAKMONT AVE UNIT C,LADSON,SC,29456,843-718-5814,APLUSHOMECARESOLUTIONS@GMAIL.COM,"WHEELER, AMY PH#: 843-718-5814",,IHCP-1231 / 01/31/2022,Dorchester / Limited Liability,,,,,A PLUS HOME CARE SOLUTIONS LLC,843-718-5814,,Dorchester,D,-80.145578,32.967122,Dorchester,579847.4786,3647966.08
4800,HLINHOMECARE,A REMEDY HOME CARE,199 SPARTANBURG HWY,LYMAN,SC,29365,864-804-3002,MIRANDA@REMEDYHOMECARESC.COM, PH#: ,,IHCP-0717 / 05/31/2021,Spartanburg / Limited Liability,7281 NEW CUT RD,INMAN,SC,29349,A REMEDY HOME CARE LLC,864-804-3002,,Spartanburg,,-82.119798,34.956182,Spartanburg,397759.958,3868756.264
8137,HLINHOMECARE,A ROSE IS STILL A ROSE HOME CARE,78 BOXWOOD LN,WALTERBORO,SC,29488,414-499-7378,SLIDDELL57@GMAIL.COM, PH#: ,,IHCP-1198 / 01/31/2022,Colleton / Limited Liability,,,,,A ROSE IS STILL A ROSE HOME CARE,414-499-7378,,Colleton,B,-80.63691,32.787431,Colleton,533999.6229,3627780.292
7679,HLINHOMECARE,A STEP ABOVE IN HOME CARE,533 OXFORD ST STE C,SUMTER,SC,29150-3333,803-774-4035,CWASTEPABOVE@YAHOO.COM,"WITHERSPOON, CLAUDETTE PH#: 803-774-4035",,IHCP-0348 / 09/30/2021,Sumter / Limited Liability,533A OXFORD ST STE A,SUMTER,SC,29150-3333,A STEP ABOVE IN HOME CARE LLC,803-774-4035,,Sumter,,-80.36881,33.934449,Sumter,558334.3334,3755067.243
7721,HLINHOMECARE,A TOUCH OF HELP,1 CHICK SPRINGS RD STE 313D,GREENVILLE,SC,29609,864-609-4456,ATOUCHOFHELP@GMAIL.COM,"JONES, NICOLE PH#: ",,IHCP-1233 / 08/31/2021,Greenville / Limited Liability,,,,,A TOUCH OF HELP LLC,864-609-4456,,Greenville,,-82.38079,34.865942,Greenville,373791.334,3859046.222
7538,HLINHOMECARE,A TOUCH OF LIFE CARE AGENCY LLC,159 COMMON WAY STE E,GREENVILLE,SC,29609,864-535-0709,ATOUCHOFLIFECA@GMAIL.COM,"HILL, LEONARD PH#: ",,IHCP-0928 / 09/30/2021,Greenville / Limited Liability,,,,,A TOUCH OF LIFE CARE AGENCY LLC,864-535-0709,,Greenville,,-82.456806,34.853782,Greenville,366823.0818,3857795.97
6584,HLINHOMECARE,A TOUCH OF LOVE HOME CARE,2710 WHITE HORSE RD,GREENVILLE,SC,29611-6145,864-908-2845,BRIDGETTE3407.BL@GMAIL.COM,"LOWDEN, BRIDGETTE PH#: 864-908-2845",BRIDGETTE3407.BL@GMAIL.COM,IHCP-0921 / 07/31/2021,Greenville / Limited Liability,,,,,LOWDEN'S HOME CARE LLC,864-520-1616,,Greenville,,-82.431036,34.804759,Greenville,369101.4859,3852325.036
7509,HLINHOMECARE,A VILLAGE HOME CARE LLC,1408 RUSSELL ST STE 15,ORANGEBURG,SC,29115,803-937-5841,AVILLAGEHOMECARELLC@GMAIL.COM, PH#: ,,IHCP-1176 / 02/28/2022,Orangeburg / Limited Liability,,,,,A VILLAGE HOME CARE LLC,803-539-3055,,Orangeburg,,-80.861282,33.490863,Orangeburg,512886.3508,3705714.845
2772,HLINHOMECARE,A&T CARE - KERSHAW,207 W SUMTER ST,KERSHAW,SC,29067,803-577-1776,AMELIABARBER@ATADULTDAYCARE.US,"BARBER, AMELIA A. PH#: 803-287-6801",AMELIABARBER@ATADULTDAYCARE.US,IHCP-0583 / 08/31/2021,Lancaster / Corporation,207 W SUMTER ST,KERSHAW,SC,29067,A&T CARE,803-577-1776,,Lancaster,,-80.58319006,34.54627099,Lancaster,538243.4726,3822807.005
5069,HLINHOMECARE,AAA CARE LLC,3505 PELHAM RD STE B,GREENVILLE,SC,29615,864-295-1949,ARICHARD429@GMAIL.COM, PH#: ,,IHCP-0185 / 06/30/2021,Greenville / Limited Liability,143 COMMONS WAY,GREENVILLE,SC,29611-3850,AAA CARE LLC,864-295-1949,,Greenville,,-82.272424,34.861192,Greenville,383690.2224,3858388.23
7890,HLINHOMECARE,AAA HEALTHCARE CONSULTANTS LLC,331 E MAIN ST STE 200,ROCK HILL,SC,29730,704-998-1494,ALLENRANDY58@ATT.NET, PH#: ,,IHCP-1170 / 10/31/2021,York / Limited Liability Limited Partnership,,,,,AAA HEALTHCARE CONSULTANTS LLC,704-998-1494,,York,,-81.033716,34.929987,York,496920.7931,3865279.467
36,HLHOSPITAL,ABBEVILLE AREA MEDICAL CENTER,420 THOMSON CIR,ABBEVILLE,SC,29620-5656,864-366-5011,ADMINASSISTANT@ABBEVILLEAREAMC.COM,"TURNER, HOWARD DEAN PH#: 864-366-3312",DTURNER@ABBEVILLEAREAMC.COM,HTL-0899 / 07/31/2021,Abbeville / County,420 THOMSON CIR,ABBEVILLE,SC,29620-5656,ABBEVILLE COUNTY MEMORIAL HOSPITAL,864-366-5011,421301,Abbeville,,-82.38342996,34.1595649,Abbeville,372478.0014,3780712.997
1332,HLRENALDIALYSIS,ABBEVILLE DIALYSIS,904 W GREENWOOD ST,ABBEVILLE,SC,29620-5687,864-459-0347,SCL_C@DAVITA.COM,"BONDS, KAREN PH#: 864-388-0045; COOK, TAMMY PH#: 864-459-0347",MEGAN.SEIFARTH@DAVITA.COM,ERD-0191 / 09/30/2021,Abbeville / Corporation,"5200 VIRGINIA WAY STE 400, LICENSING AND CERTIFICATION",BRENTWOOD,TN,37027-7569,TOTAL RENAL CARE INC,720-631-2100,,Abbeville,,-82.34732932,34.18644536,Out of State,372359.4101,3780819.576
679,HLNURSINGCARE,ABBEVILLE NURSING HOME,83 THOMSON CIR,ABBEVILLE,SC,29620-5652,864-366-5122,ABBNH@WCTEL.NET,"HUGHES, ALAN L., SR. PH#: 864-366-5122",ABBNH@WCTEL.NET,NCF-0266 / 12/31/2021,Abbeville / Corporation,83 THOMSON CIR,ABBEVILLE,SC,29620-5652,ABBEVILLE NURSING HOME INC,864-366-5122,425057,Abbeville,,-82.38124361,34.15938159,Abbeville,372679.2746,3780689.937
1215,HLHOSPICEPROGRAM,ABBEY ROAD HOSPICE,5429 BUSH RIVER RD,COLUMBIA,SC,29212-3008,803-551-5552,SEAN@ABBEYROADHOSPICE.COM,"TAYLOR, BRAD PH#: 803-551-5552",BRAD@ABBEYROADHOSPICE.COM,HPC-0127 / 08/31/2021,Lexington / Limited Liability,5429 BUSH RIVER RD,COLUMBIA,SC,29212-3008,ABBEY ROAD HOSPICE LLC,803-551-5552,421583,Lexington,,-81.17668606,34.05503199,Lexington,483693.9456,3768271.922
369,HLBODYPIERCINGFAC,ABNORMAL GIFTS,1726 E MAIN ST,EASLEY,SC,29640-3838,864-306-3004,BUSINESSWOMAN1726@ICLOUD.COM,"HALL, TERESA L. PH#: 864-386-2751",WILDFLOWER090904@GMAIL.COM,BP-0135 / 06/30/2021,Pickens / Sole Proprietorship,105 NOTTINGHAM CT,EASLEY,SC,29640,"HALL, TERESA L.",864-386-2751,,Pickens,,-82.57117222,34.8280411,Pickens,356322.33,3855098.996
6915,HLINHOMECARE,ABOUNDING ANGELS HEALTH CARE LLC,9153C TWO NOTCH RD,COLUMBIA,SC,29223-5832,803-223-9178,ABOUNDINGANGELS@GMAIL.COM,"CARTER, CARMEN PH#: 803-223-9178",,IHCP-0279 / 08/31/2021,Richland / Sole Proprietorship,PO BOX 23659,COLUMBIA,SC,29224-3659,"BELTON, TROY D.",803-546-1170,,Richland,,-80.92401364,34.09386819,Richland,507009.4482,3772566.582
5826,HLINHOMECARE,ABOVE & BEYOND CARE SERVICES,103 COMMONS WAY STE C,GREENVILLE,SC,29611,864-434-0880,ABOVE.BEYONDCARESERVICES@GMAIL.COM,"FERGUSON, TAMI PH#: 864-271-7840",ABOVE.BEYONDCARESERVICES@GMAIL.COM,IHCP-0865 / 04/30/2021,Greenville / Limited Liability,,,,,TMF LLC,864-271-7840,,Greenville,,-82.455857,34.853804,Greenville,366909.8668,3857797.1
7606,HLTATTOOFAC,ABOVE ALL ELSE TATTOOS,477 E BLACKSTOCK ROAD UNIT 4,SPARTANBURG,SC,29301,864-310-4212,ABOVEALLELSETATTOOS@GMAIL.COM, PH#: ,,TF-0357 / 05/31/2022,Spartanburg / Limited Liability,,,,,ABOVE ALL ELSE TATTOOS LLC,864-310-4212,,Spartanburg,,-81.983397,34.911226,Spartanburg,410165.1737,3863639.709
7924,HLINHOMECARE,ABOVE AND BEYOND HOME CARE,1315 CAMP DR STE B RM 3,LANCASTER,SC,29720,803-313-5323,ABOVEANDBEYONDHHC1@GMAIL.COM, PH#: ,,IHCP-1251 / 10/31/2021,Lancaster / Limited Liability,,,,,ABOVE AND BEYOND HOME HEALTH CARE LLC,,,Lancaster,,-80.74473,34.724988,Lancaster,523371.5691,3842575.628
6243,HLINHOMECARE,ABOVE BEYOND HOMECARE,910 TODD AVE,NORTH AUGUSTA,SC,29841,803-343-9652,ABOVE2BEYONDHOMECARE@GMAIL.COM,"DOBBS, COREY L. PH#: 803-221-6832",,IHCP-0982 / 01/31/2022,Aiken / Sole Proprietorship,,,,,COREY L DOBBS,803-343-9652,,Aiken,,-81.933938,33.495304,Aiken,413244.7164,3706588.857
7919,HLINHOMECARE,ABSOLUTE CARE SOLUTIONS,100A DUNBAR ST,SPARTANBURG,SC,29306,864-316-6268,INFO@ABSOLUTECARESC.COM,"SPENCER, VICTORIA I. PH#: ",,IHCP-1353 / 11/30/2021,Spartanburg / Limited Liability,,,,,ABSOLUTE CARE SOLUTIONS LLC,864-316-6268,,Spartanburg,,-81.933086,34.949528,Spartanburg,414800.9242,3867843.4
7495,HLINHOMECARE,ABSOLUTE HEALTH CARE LLC,1512 N IRBY ST,FLORENCE,SC,29501,803-799-0709,DBERG99999@AOL.COM, PH#: ,,IHCP-0568 / 06/30/2021,Florence / Limited Liability,601 LANCELOT DR,FLORENCE,SC,29505,ABSOLUTE HEALTH CARE LLC,803-760-2822,,Florence,,-79.759454,34.222248,Florence,614265.9605,3787494.571
6394,HLINHOMECARE,ABUNDANCE HOME CARE LLC,263 COMMERCE DR UNIT 210,PAWLEYS ISLAND,SC,29585,843-235-6721,TYRHONDA.LIVINGSTON@GMAIL.COM, PH#: ,,IHCP-0268 / 07/31/2021,Georgetown / Limited Liability,72 PROFESSIONAL LN,PAWLEYS ISLAND,SC,29585,ABUNDANCE HOME CARE LLC,843-235-6721,,Georgetown,B,-79.126284,33.449802,Georgetown,674153.5786,3702723.789
7563,HLINHOMECARE,ABUNDANCE OF GRACE HOME CARE SERVICES,1 CHICK SPRINGS RD STE 214-A,GREENVILLE,SC,29609,864-236-1758,AOGCARE@YAHOO.COM, PH#: ,,IHCP-1192 / 04/30/2022,Greenville / Limited Liability,,,,,ABUNDANCE OF GRACE HOME CARE SERVICES LLC,864-631-6085,,Greenville,,-82.382003,34.866678,Greenville,373681.5616,3859129.348
5869,HLRESIDENTIALCARE,ABUNDANT LIFE ADULT CARE,260 SEMINOLE DR,ORANGEBURG,SC,29115-7622,803-662-9701,ABUNDANTLIFE260@GMAIL.COM,"PHAIRE, LONELL PH#: 803-662-9701",ABUNDANTLIFE260@GMAIL.COM,CRC-1949 / 06/30/2021,Orangeburg / Limited Liability,260 SEMINOLE DR,ORANGEBURG,SC,29115-7622,ABUNDANT LIFE ADULT CARE LLC,803-662-9701,,Orangeburg,,-80.854558,33.472626,Orangeburg,513513.807,3703693.715
7830,HLINHOMECARE,ABUNDANT LIFE HOME CARE SERVICES LLC,331 E MAIN ST STE 244,ROCK HILL,SC,29732,803-693-5194,YUSUFMUHAMMAD1965@GMAIL.COM,"MUHAMMAD, YUSUF PH#: 803-792-9211",YUSUFMUHAMMAD1965@GMAIL.COM,IHCP-0992 / 06/30/2021,York / Limited Liability,,,,,ABUNDANT LIFE HOME CARE SERVICES LLC,980-200-1933,,York,,-81.033716,34.929987,Out of State,496920.7931,3865279.467
7775,HLTATTOOFAC,ABZOLUTEINK TATTOO GALLERY,4051 B BROAD RIVER RD,COLUMBIA,SC,29210,803-605-8244,IVERYJAMES101@GMAIL.COM, PH#: ,,TF-0367 / 09/30/2021,Richland / Limited Liability,,,,,ABZOLUTEINK TATTOO GALLERY,803-605-8244,,Richland,,-81.114691,34.062754,Richland,489416.45,3769119.961
230,HLHABITATIONR15,ACADEMY STREET COMMUNITY RESIDENCE,241 ACADEMY ST,WILLISTON,SC,29853,803-259-7472,RBRITT@DDSN.SC.GOV,"WASHINGTON, MARY L. PH#: 803-259-7472",DIRECTOROFRES@BARNWELLSC.COM,MR15-0177 / 06/30/2021,Barnwell / State,"PO BOX 4706, DDSN C/O RUFUS BRITT",COLUMBIA,SC,29240-4706,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,803-898-9769,42G078,Barnwell,,-81.41838071,33.40783941,Richland,461097.2833,3696579.747
7202,HLINHOMECARE,ACCESS HEALTH CARE SERVICES INC OF COLUMBIA,106 DOCTORS CIR,COLUMBIA,SC,29203-6503,803-509-8206,MSWYGERT@CAREGIVERSONDEMAND.COM, PH#: ,,IHCP-0110 / 04/30/2022,Richland / Corporation,PO BOX 3580,COLUMBIA,SC,29230-3580,ACCESS HEALTH CARE SERVICES INC,864-242-1947,,Richland,,-81.03564955,34.03051183,Greenville,496709.0188,3765539.65
6864,HLINHOMECARE,ACCESS HEALTH CARE SERVICES INC OF GREENVILLE,1901 LAURENS RD STE G,GREENVILLE,SC,29607-5186,864-242-1947,BBOYD@CAREGIVERSONDEMAND.COM, PH#: ,,IHCP-0206 / 06/30/2021,Greenville / Corporation,PO BOX 16645,GREENVILLE,SC,29606,ACCESS HEALTH CARE SERVICES INC,864-242-1947,,Greenville,,-82.35605002,34.83923432,Greenville,376012.6047,3856053.289
7912,HLINHOMECARE,ACCESS HEALTH CARE SERVICES OF CHARLESTON,2070 NORTHBROOK BLVD STE A-1,NORTH CHARLESTON,SC,29406,843-724-9581,MSWYGERT@CAREGIVERSONDEMAND.COM,"SWYGERT, MARILYN PH#: 803-509-8206",MSWYGERT@CAREGIVERSONDEMAND.COM,IHCP-0603 / 08/31/2021,Charleston / Corporation,,,,,ACCESS HEALTH CARE SERVICES INC,803-509-8206,,Charleston,B,-80.04052,32.949258,Richland,589683.7049,3646070.147
2855,HLINHOMECARE,ACCESS HEALTH SERVICES OF ROCK HILL,2424 INDIA HOOK RD STE 100,ROCK HILL,SC,29732-1278,803-328-0437,MSWYGERT@CAREGIVERSONDEMAND.COM,"SWYGERT, MARILYN PH#: 803-509-8206",MSWYGERT@CAREGIVERSONDEMAND.COM,IHCP-0633 / 10/31/2021,York / Corporation,PO BOX 3580,COLUMBIA,SC,29203,ACCESS HEALTH CARE SERVICES INC,803-509-8206,,York,,-81.0267113,34.97427542,Richland,497561.787,3870190.638
7178,HLTATTOOFAC,ACES HIGH TATTOO,704-H SEABOARD ST,MYRTLE BEACH,SC,29577-6513,843-839-1262,TATTOOS@USA.COM,"BOUGOR, BROCK PH#: ",,TF-0332 / 02/28/2022,Horry / Limited Liability,,,,,ACES HIGH TATTOO LLC,843-839-1262,,Horry,B,-78.9065439,33.70761309,Horry,694002.6982,3731704.87
182,HLRESIDENTIALCARE,ACLINE PLACE,200 S ACLINE ST,LAKE CITY,SC,29560-2635,843-394-5677,DJOHNSON@FCDSN.ORG,"UWAGBAI, LINDA G. PH#: 843-394-5677",LUWAGBAI@FCDSN.ORG,CRC-1257 / 01/31/2022,Florence / State,1211 E NATIONAL CEMETERY RD,FLORENCE,SC,29506-3240,FLORENCE COUNTY DISABILITIES AND SPECIAL NEEDS BOARD,843-667-5007,,Florence,,-79.75396593,33.87595697,Florence,615239.001,3749100.996
6357,HLINHOMECARE,ACTIKARE,10415 BROAD RIVER RD STE B,IRMO,SC,29063,803-238-2968,AYONG@ACTIKARE.COM, PH#: ,,IHCP-0355 / 05/31/2021,Richland / Limited Liability,354 POETS WALK,IRMO,SC,29063,ALIGNED CONSULTING LLC,803-238-2968,,Richland,,-81.205723,34.118969,Richland,481028.5219,3775366.311
7065,HLINHOMECARE,ACTI-KARE RESPONSIVE IN-HOME CARE-HILTON HEAD,2 CORPUS CHRISTI PL STE 200,HILTON HEAD ISLAND,SC,29928,843-996-1497,NBRANCHE@ACTIKARE.COM,"BRANCHE, NATALIE PH#: 843-683-1513",NBRACHE@GMAIL.COM,IHCP-0837 / 04/30/2021,Beaufort / Limited Liability,,,,,11:11 ROSE LLC,843-683-1583,,Beaufort,A,-80.76135202,32.15535121,Beaufort,522503.5155,3557680.357
6972,HLADULTDAYCARE,ACTIVE DAY OF BOILING SPRINGS,230 GILES DR,BOILING SPRINGS,SC,29316-6036,864-599-7342,CONTRACTS@ACTIVEDAY.COM,"STROUD, LYNN PH#: 864-599-7342",BOILINGSPRINGS@ACTIVEDAY.COM,ADC-0413 / 11/30/2021,Spartanburg / Corporation,,,,,ACTIVE SC ONE INC,215-642-6600,,Spartanburg,,-81.97818603,35.037542,Out of State,410778.2038,3877643.625
2833,HLADULTDAYCARE,ACTIVE DAY OF CHARLESTON,1954 ASHLEY RIVER RD STE K,CHARLESTON,SC,29407,843-762-5291,CONTRACTS@ACTIVEDAY.COM,"HYMAN, JOVAN PH#: 843-762-5291",JHYMAN@ACTIVEDAY.COM,ADC-0130 / 10/31/2021,Charleston / Corporation,6 NESHAMINY INTERPLEX STE 401,FEASTERVILLE TREVOSE,PA,19053-6964,ACTIVE SC ONE INC,215-642-6600,,Charleston,A,-80.02235592,32.80820555,Out of State,591526.3684,3630448.039
892,HLADULTDAYCARE,ACTIVE DAY OF GEORGETOWN,2902 HIGHMARKET ST,GEORGETOWN,SC,29440-2918,843-546-2055,CONTRACTS@ACTIVEDAY.COM,"BROWN, SHELLEY PH#: 843-546-5134",,ADC-0208 / 07/31/2021,Georgetown / Corporation,6 NESHAMINY INTERPLEX STE 401,FEASTERVILLE TREVOSE,PA,19053,ACTIVE SC ONE INC,215-642-6600,,Georgetown,B,-79.31087129,33.38585529,Out of State,657110.0084,3695338.812
6778,HLADULTDAYCARE,ACTIVE DAY OF GRAND STRAND,3880 HOUNDSFIELD AVE,MYRTLE BEACH,SC,29577-5792,843-626-8501,CONTRACTS@ACTIVEDAY.COM,"ASHMON, WAIDES PH#: 843-626-8501",WASHMON@ACTIVEDAY.COM,ADC-0129 / 10/31/2021,Horry / Corporation,6 NESHAMINY INTERPLEX STE 401,TREVOSE,PA,19053-6964,ACTIVE SC ONE INC,215-642-6600,,Horry,B,-78.86657095,33.72736325,Out of State,697662.3948,3733971.091
