cleanup_name,brownfields_id,frs_id,geoid,tract_latitude,tract_longitude,lat,lon
312 N IRBY STREET,111096,110040821439,45041000900,+34.2077622,-079.7859632,34.20088694,-79.76854689
320 SOUTH HUDSON STREET,146581,110054365218,45045000700,+34.8504139,-082.4126907,34.84994,-82.41004
322 MEADOW ST.,199181,110070247851,45045000700,+34.8504139,-082.4126907,34.854275,-82.41189
331 SOUTH HUDSON STREET,62001,110038716413,45045000700,+34.8504139,-082.4126907,34.85045262,-82.40957981
342 S RON MCNAIR BLVD,241579,110070790093,45041002201,+33.8669969,-079.7884800,33.8709,-79.76156
40 RUTHERFORD STREET,62002,110038717065,45045001000,+34.8606403,-082.4002483,34.85948,-82.404526
4000 RIVER DRIVE,126423,110043637552,45079010502,+34.0302758,-081.0638159,34.027247,-81.062936
410 W MAIN STREET,241577,110070790091,45041002201,+33.8669969,-079.7884800,33.87830477,-79.76871453
4525 KING KENNEDY STREET,208141,110067367174,45087030600,+34.6087329,-081.4943191,34.593388,-81.46853
46 LOIS AVENUE,223621,110070247613,45045000800,+34.8493143,-082.4271138,34.84872,-82.43068
4821 VIRGINIA PROPERTY,166702,110056364713,45019003400,+32.8958105,-079.9746618,32.882175,-79.97416
500 VANBOKLEN STREET,130182,110043637749,45079012000,+33.9116689,-080.6752843,33.8833694,-80.687507
502 JENKINS STREET,235312,110070247628,45045000500,+34.8376715,-082.4115284,34.837357,-82.41461
5041 DURANT AVENUE,177201,110063009275,45019003400,+32.8958105,-079.9746618,32.88728,-79.97849
5112 JULIUS DIXON LANE,98761,110039059032,45079010600,+34.0595573,-081.0263513,34.051903,-81.03937
538 HIGHWAY 1,235292,110070164264,45025950600,+34.5951251,-079.8967144,34.686348,-79.897964
556 PERRY AVENUE,223601,110070247612,45045000800,+34.8493143,-082.4271138,34.848106,-82.42789
601 CATAWBA STREET SITE,111156,110040823124,45079002800,+33.9821485,-081.0333383,33.986336,-81.0371
622/624 GREEN AVENUE,111173,110042301595,45045000500,+34.8376715,-082.4115284,34.836044,-82.41291
700 EAST STONE AVENUE,14782,110061025215,45045000100,+34.8566121,-082.3891798,34.85802,-82.38508
700/706 GREEN AVENUE,14773,110039546792,45045002108,+34.8289154,-082.4158114,34.832977,-82.414925
711 W. WASHINGTON ST.,223581,110070247611,45045002303,+34.8728159,-082.4105209,34.863455,-82.418341
806 GREEN AVENUE PROPERTY,132024,110043638150,45045002108,+34.8289154,-082.4158114,34.83357245,-82.41413371
818 DIXIE AVENUE,122761,110043083187,45079010600,+34.0595573,-081.0263513,34.05171,-81.03946
8547 W WASHINGTON ST,242268,,45045000200,+34.8478319,-082.3974862,34.8507678,-82.3990726
916-924 GERVAIS STREET PROPERTIES,124857,110045012446,45079001600,+34.0035118,-081.0483875,34.00068684,-81.0377382
ADDITIONAL CSX RAIL LINE,14780,110039546881,45045000700,+34.8504139,-082.4126907,34.8487299,-82.4040922
ADEN BONDED WAREHOUSE,110083,110044215006,45083020400,+34.9541386,-081.9489874,34.9549041,-81.9482149
AIKEN HOSPITAL,244452,,45003021400,+33.5732059,-081.7228476,33.55737,-81.709076
AIKEN LANDFILL,241155,110070671423,45003021601,+33.5657978,-081.6608854,33.572709,-81.7003272
ALICIA AUTOMOTIVE COMPANY,22321,110017115085,45045003303,+34.6918423,-082.3925094,34.67275,-82.39861
ALLEN'S GARAGE,182541,110063699289,45005970300,+33.0551986,-081.2151634,33.03601238,-81.22179058
ALLENDALE COUNTY NURSING HOME,240473,110070605142,45005970200,+33.0356436,-081.4486751,33.02276,-81.31164
AMERICAN HOUSE SPINNING,236783,110002178688,45077011101,+34.7346996,-082.8081851,34.717552,-82.78925
AMERICAN THREAD,241471,110070675674,45091061801,+35.1252818,-081.2174193,35.11623,-81.22464
AMTRAK STATION & CSX RIGHT-OF-WAY,150022,110054625704,45019003300,+32.8846062,-080.0074054,32.873615,-79.996704
ANDERSON MILL,14575,110039556539,45007012300,+34.5134656,-082.6052554,34.50038014,-82.64951876
ANDERSON MILL SITE - RAILROAD CIRCLE,244769,,45007000700,+34.4939131,-082.6616905,34.505985,-82.65502
ANDERSON UNIVERSITY,218861,110069442482,45007012300,+34.5134656,-082.6052554,34.50635,-82.62266
ARG PROPERTIES,222561,110070004514,45045000800,+34.8493143,-082.4271138,34.851727,-82.42368
ARKWRIGHT MILL,12471,110039536776,45075010900,+33.5692930,-080.9216953,33.612167,-80.952705
ARKWRIGHT MILLS,15851,110038748889,45083021001,+34.9324506,-081.9235445,34.926826,-81.93024
ASHLEY SHORES PROPERTY,165581,110059721430,45019003900,+32.8491452,-080.0158790,32.8457691,-79.9918798
BABCOCK CENTER¿S DAVID E. STEWART FACILITY,128522,110043455640,45079000300,+34.0467069,-081.0624544,34.05822408,-81.04821101
BARNETT PROPERTY,177863,110064402720,45045002303,+34.8728159,-082.4105209,34.87126,-82.40718
BEAUMONT - LAND TRACT,134901,110044214276,45083021500,+34.9800448,-081.9284454,34.963284,-81.926926
BEAUMONT - MILL TRACT,110087,110044215024,45083022302,+35.0814772,-081.8434782,35.089215,-81.848479
BELL BUOY SEAFOOD SITE,136969,110046370217,45029970800,+32.6282954,-080.5036583,32.491997,-80.331474
BETHEL AME CHURCH/RENAISSANCE FOUNDATION,111151,110040823099,45079003100,+34.0078902,-081.0307786,34.006107,-81.033844
BIBB COMPANY,10385,110038692527,45001950600,+34.1246804,-082.5850722,34.0970541,-82.5783798
BIG D'S RESTAURANT,15855,110038703793,45019004400,+32.8305580,-079.9619676,32.812458,-79.95488
BILLY YOUNG IGA,204001,110067152805,45005970200,+33.0356436,-081.4486751,33.00855105,-81.30606548
BIRT PROPERTIES,165321,110059721412,45019003700,+32.8671057,-079.9825338,32.86724,-79.98494
BLUFFTON LANDFILL,58881,110038758546,45013002106,+32.2494167,-080.9091717,32.2301949,-80.9123011
BLULAND LLC,210542,110070164157,45025950600,+34.5951251,-079.8967144,34.69119055,-79.88343199
BOBBY JONES GROC,22604,110017041887,45055970800,+34.2226390,-080.5951484,34.24163,-80.600624
BOMAR AVENUE DUMP,12472,110039536794,45075010900,+33.5692930,-080.9216953,33.612167,-80.952705
BOOZER LUMBER COMPANY,111153,110002371380,45079011702,+33.9347890,-080.9620891,33.95359,-80.95825
BRENNAN BUILDING,123224,110043637400,45079003100,+34.0078902,-081.0307786,34.001507,-81.03362
BRINKLEY STATION,163625,110056253290,45003022100,+33.3147374,-081.8384557,33.323977,-81.782082
BROAD ST. PARKING GARAGE,206785,110070247863,45045000200,+34.8478319,-082.3974862,34.848592,-82.3975977
BROWN PARK,210521,110070164156,45025950600,+34.5951251,-079.8967144,34.688736,-79.87887
BUCKEYE TERMINALS LLC CHARLESTON NORTH TERMINAL,150021,110006180827,45019003400,+32.8958105,-079.9746618,32.88923,-79.97284
BUCKS GROCERY,22421,110017195667,45055970700,+34.1764818,-080.5520579,34.18758685,-80.47572258
BUFFALO MILL,208101,110067367156,45087030400,+34.7566760,-081.6377010,34.72215,-81.67853
BUSH RECYCLING,15416,110038702543,45041000900,+34.2077622,-079.7859632,34.203285,-79.76727
C E PHILLIPS FARMS,126122,110046425203,45085000500,+33.9541683,-080.0572590,33.99399,-80.04569
C H RAGSDALES GROCERY,25302,110017150107,45039960100,+34.4273558,-081.3174179,34.418392,-81.3996492
C&C GARAGE,14781,110061025260,45045000200,+34.8478319,-082.3974862,34.84803481,-82.40009999
CAMPBELLS SERVICE,16073,110017145695,45003022100,+33.3147374,-081.8384557,33.32666345,-81.79045927
CANNON ROOFING PROPERTY,115383,110017012757,45083021200,+34.9509248,-081.9167596,34.94907,-81.92379
CAROLINA MILLING PROPERTY,11964,110039555111,45059920400,+34.4928213,-082.0269534,34.498113,-82.014513
CARRIAGE HOUSE,239150,110070556168,45059920700,+34.4682270,-081.9191816,34.475105,-81.88132
CARRIGGS SEAFOOD,11845,110015361339,45019004400,+32.8305580,-079.9619676,32.8161,-79.95244
CENTRAL CONCRETE & PLASTER,229541,110070057738,45083022201,+34.9833807,-081.8364339,34.9913016,-81.84473749
CENTRAL GARAGE,229321,110016983610,45077011102,+34.7109098,-082.7563613,34.721817,-82.78484
CENTRAL LAUNDROMAT,229542,110070057672,45077011102,+34.7109098,-082.7563613,34.7103951,-82.7918186
CENTRAL ROLLER MILL,239730,110070629028,45077011101,+34.7346996,-082.8081851,34.723137,-82.798065
CERTAINTEED,172821,110017203523,45019003900,+32.8491452,-080.0158790,32.84212,-80.0087
CHARLESTON COUNTY LANDFILL,11843,110039547773,45075010900,+33.5692930,-080.9216953,33.612167,-80.952705
CHARLESTON OIL CO INC,11846,110020007927,45019004400,+32.8305580,-079.9619676,32.823868,-79.95264
CHERAW BI-LO,235297,110070164266,45025950600,+34.5951251,-079.8967144,34.689884,-79.89803
CHERAW COMMUNITY CENTER,228147,110070164190,45025950502,+34.7080062,-079.9249608,34.70316,-79.887665
CHESTER PAVILION,242160,110070789881,45023020200,+34.7003242,-081.2195686,34.704677,-81.21408017
CHESTERFIELD HIGHWAY TRACT,228146,110070164189,45025950502,+34.7080062,-079.9249608,34.6996851,-79.934281
CHEVROLET DEALERSHIP,244477,,45077010402,+34.9027375,-082.7107738,34.888824,-82.71001
CHICORA TANK FARM PROPERTY,110723,110043424871,45019004300,+32.8501669,-079.9673955,32.8477803,-79.9671835
CHIQUOLA INDUSTRIAL PRODUCTS GROUP LLC,239928,110002198595,45007011500,+34.4662024,-082.4055574,34.45121606,-82.3922546
CITY MARKET ARTS & ANTIQUES,132401,110043638310,45079001600,+34.0035118,-081.0483875,34.00062983,-81.04083324
CITY OF LAKE CITY WASTEWATER SITE,232881,,45041002202,+33.8389294,-079.7194929,33.874863,-79.750496
CITY PARK WETLANDS,227902,110070247564,45045000700,+34.8504139,-082.4126907,34.85467,-82.41258
CLEVELAND PARK AND CITY ZOO,225741,110070004571,45045004200,+34.8345704,-082.3904774,34.846016,-82.38777
CLEVELAND PARK STABLES,225621,110070004642,45045004200,+34.8345704,-082.3904774,34.840977,-82.386311
CMMC - BUILDING 13,163961,110059721305,45019005500,+32.8532338,-079.9554747,32.8609697,-79.9653275
COASTAL LUMBER,238465,110002233529,45029970500,+32.9053462,-080.6718142,32.9298855,-80.6894036
COKER COLLEGE PROPERTY,145443,110046370672,45031010600,+34.3700380,-080.0231357,34.376102,-80.0676
COLITE INDUSTRIES,111142,110040823062,45063020601,+33.9745750,-081.0894477,33.98608,-81.07688171
COLLETON COUNTY DOWNTOWN PROPERTIES,238609,110070789695,45029970500,+32.9053462,-080.6718142,32.90358921,-80.66791029
COLUMBIA COLLEGE PARCELS A & B,61861,110038716360,45079000200,+34.0408728,-081.0377278,34.04601969,-81.03318272
COMMERCIAL PROPERTY 805 S MAIN ST,134058,110070258566,45007000600,+34.4882459,-082.6349474,34.49873,-82.64912
CONE MILL,106763,110040217459,45045000900,+34.8607575,-082.4098233,34.86322,-82.4090915
CONESTEE FOUNDATION,223561,110070004538,45045002901,+34.7895220,-082.3456019,34.770781,-82.348521
COOK STREET LANDFILL (SUMTER INERT),18241,110038701973,45085001500,+33.9057056,-080.3508863,33.90697804,-80.35862358
CORNER OF HAYWOOD AND HALTON RDS.,199161,110070247850,45045004400,+34.8479697,-082.3501653,34.83676783,-82.34595117
COTTON FACTORY,15125,110060913230,45091060501,+34.9325443,-081.0382008,34.92974536,-81.02724438
COUNCIL ON AGING,243249,,45003021400,+33.5732059,-081.7228476,33.565376,-81.729004
CREASON BUILDING,133944,110045010983,45079003100,+34.0078902,-081.0307786,34.00242,-81.03221
CSX,134902,110044214285,45083020800,+34.9367442,-081.9385301,34.948105,-81.936066
CSX RAIL LINE/SWAMP RABBIT,14772,110039546774,45045000700,+34.8504139,-082.4126907,34.8487299,-82.4040922
CURTIS YOUNG PROPERTY,107181,110043424862,45079000300,+34.0467069,-081.0624544,34.05172,-81.04526
CURTISS-WRIGHT HANGER,133557,110045010545,45079002602,+33.9798771,-081.0027441,33.9778511,-81.0015119
"DEWEY DUCKETT, JR.",114901,110043082473,45079000300,+34.0467069,-081.0624544,34.05086,-81.04466
DICKS MOTOR SERVICE,71661,110017014130,45005970300,+33.0551986,-081.2151634,33.033735,-81.23482
DILMAR OIL PROPERTY,125341,110070258561,45033970300,+34.4536751,-079.4414521,34.435593,-79.383068
DRAKE ST. PROPERTY,67361,110038718000,45079011603,+33.9850728,-080.9522562,33.98250947,-80.95843323
DUGGAN TRUST PROPERTY,137562,110045013105,45019003105,+32.9118630,-080.0314105,32.9151629,-80.0391931
EAST NORTH STREET,206744,110070247858,"",+34.8631405,-082.3765112,34.861167,-82.37132
EASTER SEALS BUILDING,122263,110043637188,45079000900,+34.0295244,-081.0156371,34.028896,-81.02598
ELKAY INDUSTRIES,10365,110015336992,45055970500,+34.2954753,-080.6158639,34.269433,-80.602891
EMMANUEL CHURCH,130261,110043637767,45079001000,+34.0186611,-081.0204553,34.0216555,-81.0230189
EXPRESS CAB PROPERTY,163962,110059721314,45019005400,+32.8200646,-079.9429888,32.828644,-79.95208
FAIRFAX COMMUNITY BUILDING,240474,110070605144,45005970400,+32.8745690,-081.3241455,32.961063,-81.24026
FAIRFAX DIMENSIONS,237324,110070789446,45005970400,+32.8745690,-081.3241455,32.95883,-81.236972
FAIRFOREST WAY PROPERTIES,146621,110054365227,45045002901,+34.7895220,-082.3456019,34.787777,-82.3495
FAIRGROUNDS,110081,110044214999,45083021600,+34.9766538,-081.9550681,34.95845547,-81.95311738
FARMER'S GRAIN & SUPPLY DEVELOPMENT TRACT,240434,110070605123,45005970300,+33.0551986,-081.2151634,33.0963,-81.20993
FEED AND SEED SITE,74701,110038760070,45091060300,+34.9144554,-081.0197342,34.9216705,-81.01390724
FEWELL PROPERTY,73061,110040478872,45091060501,+34.9325443,-081.0382008,34.92812492,-81.02769822
FLY ASH LANDFILL AT FORMER RIEGEL MILL,18261,110038748399,45047970102,+34.3181322,-082.2696150,34.399048,-82.24454
FORMER BC COMPONENTS,18222,110038748380,45079010407,+34.0504530,-081.0900867,34.050555,-81.1025904
FORMER BEATTIE PLANT,223521,110070004628,45045003101,+34.7043385,-082.2045941,34.696365,-82.23022
FORMER BELK PROPERTY,149968,110054625679,45089970600,+33.6990298,-079.8814089,33.66476,-79.82892
FORMER BI-LO SHOPPING CENTER,244350,,45055970800,+34.2226390,-080.5951484,34.245033,-80.6174
FORMER BOBBIN MANUFACTURER,223481,110070004535,45045002302,+34.8811322,-082.4173125,34.887302,-82.40739
FORMER BUTLER HIGH SCHOOL,131681,110043638007,45031010700,+34.3541929,-080.0756425,34.3641411,-80.0714517
FORMER CHERAW RECYCLING CENTER,228142,110070164185,45025950600,+34.5951251,-079.8967144,34.692966,-79.87921
FORMER CITY HALL PROPERTY,150002,110054625697,45019003111,+32.8740625,-080.0295600,32.879021,-80.013239
FORMER COAL TIPPLE SITE,177223,110063009300,45019005400,+32.8200646,-079.9429888,32.8225693,-79.9462119
FORMER COMMERCIAL PRINTER,222581,110070004515,45045002303,+34.8728159,-082.4105209,34.8675808,-82.4044255
FORMER DEE'S SERVICE STATION,133504,110045010536,45019004300,+32.8501669,-079.9673955,32.85645,-79.96917
FORMER DHEC BUILDING,241560,110070790036,45041002201,+33.8669969,-079.7884800,33.87224,-79.75642
FORMER FOX THEATER,114221,110041720279,45079003100,+34.0078902,-081.0307786,34.00683,-81.036
FORMER FOX THEATER (NICKLODEON),229342,110070117630,45079003100,+34.0078902,-081.0307786,34.00683,-81.036
FORMER FREIGHT DEPOT PROPERTY,58861,110038758537,45047970500,+34.1960292,-082.1475885,34.1903705,-82.1602772
FORMER GARAGE SITE,126021,110070258560,45031011400,+34.2667090,-079.8343225,34.291915,-79.863415
FORMER GETTYS MIDDLE SCHOOL,242444,110070790002,45077010804,+34.8226519,-082.5830564,34.83132,-82.58243
FORMER GLOBE SERVICE STATION,134070,110017034868,45007000700,+34.4939131,-082.6616905,34.492737,-82.64997
FORMER GREEN PLAZA,235311,110070247627,45045000900,+34.8607575,-082.4098233,34.861435,-82.40705
FORMER GREENWOOD MILLS FOUNDRY,58841,110038758528,45047970800,+34.1118770,-082.1861034,34.16929,-82.14272
FORMER MAIN AND TAYLOR SHOES SITE,229343,110070117655,45079003100,+34.0078902,-081.0307786,34.006924,-81.036026
FORMER MARGARINE FACTORY,223401,110070004533,45045002304,+34.8877798,-082.3940491,34.88558972,-82.40506241
FORMER MCCORYS STORE BUILDING,229341,110043637632,45079003100,+34.0078902,-081.0307786,34.006058,-81.035645
FORMER MIXSON SERVICE STATION,240689,110070616039,45005970200,+33.0356436,-081.4486751,33.003372,-81.31521
FORMER NEWSOME CHEVROLET SITE,146761,110054146946,45079002603,+33.9782377,-080.9881560,33.9879857,-80.98294
FORMER OAKLAND AVENUE STATION,31241,110038751758,45091060501,+34.9325443,-081.0382008,34.930904,-81.02449
FORMER OFFICE BUILDING,238573,110070507862,45081960202,+33.9835560,-081.7334123,34.0016,-81.77157
FORMER PICKENS RAIL DEPOT,227781,110070069107,45077010502,+34.9029715,-082.6597995,34.88364,-82.70267
FORMER POE MILL,223541,110070004537,45045000900,+34.8607575,-082.4098233,34.8586445,-82.4046842
FORMER PORTER STREET MANUFACTURING SITE,208161,110067367183,45087030200,+34.7080486,-081.6317056,34.709663,-81.62013
FORMER RACO STATION,130865,110043692475,45079001600,+34.0035118,-081.0483875,33.99836,-81.04301
FORMER RIZER FORD DEALERSHIP,237322,110070384790,45029970500,+32.9053462,-080.6718142,32.903084,-80.66616
FORMER SDS MEDICAL WASTE INCINERATOR SITE,67461,110038718359,45049920200,+32.8590563,-081.0106074,32.871056,-81.09834
FORMER SHAW INDUSTRIES,168343,110067033953,45005970400,+32.8745690,-081.3241455,32.9723671,-81.2753094
FORMER SHAW INDUSTRIES SITE,137450,110059657045,45005970400,+32.8745690,-081.3241455,32.984776,-81.27471
FORMER SPRINGS INDUSTRIES MILL,242876,,45057010200,+34.5820726,-080.5578749,34.54828715,-80.58067574
FORMER SPRINGSTEEN PLANT PROPERTY,107061,110040217468,45023020300,+34.7207553,-081.2148403,34.705006,-81.20712
FORMER TIRE REPAIR FACILITY,223441,110070004534,45045002303,+34.8728159,-082.4105209,34.8675808,-82.4044255
FORMER WELLINGTON LEISURE PRODUCTS,56341,110038756842,45087030800,+34.8417937,-081.6902672,34.8344619,-81.6851463
FORMER WILLIAMS COTTON WAREHOUSE,93581,110040478907,45091060501,+34.9325443,-081.0382008,34.92847,-81.02483
FORMER WOODSIDE MILL PROPERTY,227721,110070117638,45045002201,+34.8682367,-082.4358816,34.8563361,-82.4247852
FURMAN HALL PROPERTY,177867,110067153573,45045002304,+34.8877798,-082.3940491,34.881393,-82.4039845
GARDNER PROPERTY,244356,,45055970800,+34.2226390,-080.5951484,34.245773,-80.61632
GARNERS FERRY ROAD PROPERTIES,127741,110061014414,45079011607,+33.9539740,-080.9388575,33.94545905,-80.91288417
GARRET'S SERVICE STATION PROPERTY,11963,110039555077,45059920400,+34.4928213,-082.0269534,34.50625,-82.024376
GERVAIS ST. PROPERTY,111157,110070068441,45079002900,+33.9936414,-081.0372080,33.99984,-81.038246
GIVENS PROPERTY,73041,110040478863,45091060501,+34.9325443,-081.0382008,34.92809433,-81.0276691
GOSSETT STREET,10386,110015330480,45007011902,+34.4625078,-082.6216538,34.47703078,-82.64646893
GRANITE PLANT TRACT,131341,110043692536,45003020400,+33.5687354,-081.8385837,33.56681,-81.813684
GRANITEVILLE LAGOONS,110088,110045009496,45003020400,+33.5687354,-081.8385837,33.59468678,-81.84412719
GREAT FALLS RAIL TRAIL,244668,,45023021000,+34.5721311,-080.9053042,34.56909114,-80.89798193
GREENVILLE FURNITURE COMPANY,182561,110067153056,45045002303,+34.8728159,-082.4105209,34.87016031,-82.40531414
GREENVILLE GOODWILL,222601,110070069076,45045002304,+34.8877798,-082.3940491,34.88241,-82.40486
GREENVILLE TRANSIT AUTHORITY (GTA),14770,110039546756,45045000700,+34.8504139,-082.4126907,34.8487299,-82.4040922
GREENWAY - N. PLEASANTBURG DR. TO MILLENNIUM BLVD,198621,110070247844,45045002811,+34.8066326,-082.3037438,34.81372295,-82.32448999
GREENWOOD MILL # 5,160881,110001666812,45047970400,+34.1698568,-082.2054546,34.191666,-82.16873
GREGG PLANT TRACT,131161,110043692493,45003020400,+33.5687354,-081.8385837,33.56681,-81.813684
GRENDEL MILL,167361,110056364982,45047970301,+34.2232322,-082.1807949,34.1978508,-82.1511648
HALL I PROPERTY,168541,110059721902,45019004400,+32.8305580,-079.9619676,32.823006,-79.95373
HALL PROPERTY,11965,110039555148,45059920400,+34.4928213,-082.0269534,34.49871,-82.00939
HAMPTON STREET UTILITY ALLEY,199561,110066849913,45091060501,+34.9325443,-081.0382008,34.924797,-81.02576
HANOVER PROPERTY,171224,110059722322,45019000900,+32.7976264,-079.9287806,32.79666,-79.93817
HARTNESS PROPERTY,177845,110067153467,45045002303,+34.8728159,-082.4105209,34.878174,-82.40449
HARTSVILLE OIL MILL PROPERTY,145442,110046370574,45031010600,+34.3700380,-080.0231357,34.3732663,-80.0672833
HARVESTER’S OUTREACH MINISTRIES,223421,110070004626,45045002302,+34.8811322,-082.4173125,34.876507,-82.41698
HAWTHORNE GREEN HOUSING SITE,223501,110070004536,45045003904,+34.9863586,-082.4422353,34.970848,-82.430628
HEALTH-TEX,13580,110039530709,45083022202,+34.9887462,-081.7972162,35.024097,-81.813385
HENLEY SITE,177864,110067153546,45045002303,+34.8728159,-082.4105209,34.867416,-82.40449
HENRY WILSON STATION,22341,110038696596,45061920302,+34.1505544,-080.2166106,34.10486905,-80.16347073
