clinic_name,specialty,hours_of_operation,geoid,tract_latitude,tract_longitude,lat,lon
COMMUNITY MEDICAL CLINIC OF KERSHAW COUNTY – REFUGE BAPTIST CHURCH SATELLITE,,,45055970602,+34.3673741,-080.6043918,34.41983624,-80.53546948
COMMUNITY MEDICAL CLINIC OF KERSHAW COUNTY LUGOFF SATELLITE,,,45055970403,+34.2183873,-080.6619753,34.21744878,-80.69770133
DILLON COUNTY FREE MEDICAL CLINIC,,,45033970300,+34.4536751,-079.4414521,34.41920912,-79.36709012
DREAM CENTER CLINIC,,,45019003400,+32.8958105,-079.9746618,32.8995939,-79.98569116
EDISTO INDIAN FREE CLINIC,,,45035010400,+33.0372476,-080.3509226,33.067127,-80.377413
FREE MEDICAL CLINIC OF CHEROKEE COUNTY,,,45021970201,+35.0819573,-081.7015857,35.07128291,-81.65972378
FREE MEDICAL CLINIC OF DARLINGTON COUNTY,,,45031011100,+34.3032610,-079.8702831,34.30225264,-79.87033265
FREE MEDICAL CLINIC OF DARLINGTON COUNTY – HARTSVILLE SATELLITE,,,45031010500,+34.3693401,-080.0874346,34.37226968,-80.08347029
"FREE MEDICAL CLINIC OF NEWBERRY COUNTY, INC.",,,45071950202,+34.2795093,-081.5635938,34.29028458,-81.60481257
FRIENDSHIP MEDICAL CLINIC & PHARMACY,,,45051060101,+33.7554846,-079.0416290,33.78333577,-79.02138016
GOOD NEIGHBOR FREE MEDICAL CLINIC OF BEAUFORT,,,45013000902,+32.4453561,-080.6342550,32.41879295,-80.65178721
GOOD SAMARITAN CLINIC,,,45063020509,+34.0041109,-081.0744651,33.99887519,-81.07889374
GOOD SAMARITAN CLINIC – CHAPIN SATELLITE,,,45063021204,+34.1597134,-081.3343000,34.17430564,-81.36458241
GOOD SAMARITAN CLINIC – CHARLESTON SATELLITE,,,45019002300,+32.5734128,-080.3153210,32.57510937,-80.28805406
GOOD SAMARITAN CLINIC – COLUMBIA SATELLITE,,,45079011305,+34.0553078,-080.9267630,34.06449363,-80.9109414
GOOD SAMARITAN MEDICAL CLINIC,,,45059920400,+34.4928213,-082.0269534,34.49962989,-82.01856274
GOOD SHEPHERD FREE MEDICAL CLINIC OF LAURENS COUNTY,,,45059920700,+34.4682270,-081.9191816,34.48510523,-81.93639648
GREATER GREENWOOD UNITED MINISTRY,,,45047970800,+34.1118770,-082.1861034,34.17425028,-82.15483856
GREENVILLE FREE MEDICAL CLINIC,,,45045000500,+34.8376715,-082.4115284,34.842327,-82.41797
GREENVILLE FREE MEDICAL CLINIC – GOLDEN STRIP FREE CLINIC SATELLITE,,,45045003011,+34.7317039,-082.2349019,34.71770941,-82.21813326
GREENVILLE FREE MEDICAL CLINIC – GREER FREE CLINIC SATELLITE,,,45045002505,+34.9340064,-082.2349844,34.937744,-82.22637
GREENVILLE FREE MEDICAL CLINIC – NORTHWEST CRESCENT FREE CLINIC SATELLITE,,,45045002301,+34.8974078,-082.4242706,34.89250355,-82.42317262
HELPING HANDS FREE MEDICAL CLINIC,,,45067950200,+34.2489777,-079.3850692,34.19365423,-79.3972221
HELPING HANDS FREE MEDICAL CLINIC – MULLINS SATELLITE,,,45067950500,+34.1533161,-079.2355042,34.20091386,-79.25347955
ICNA RELIEF USA SHIFA CLINIC,,,45019004606,+32.8232078,-079.8820580,32.81508856,-79.85948195
LA CLINICA GRATIS/THE FREE CLINIC,,,45047970500,+34.1960292,-082.1475885,34.18468831,-82.15393858
MEDICAL MINISTRIES,,,45019003108,+32.9160676,-080.0723760,32.90518903,-80.0848731
MEDICAL MINISTRIES – GREATER ST. PAUL AME CHURCH SATELLITE,,,45035010300,+33.1819144,-080.4332330,33.20394509,-80.48524961
MEDICAL MINISTRIES – NEW HOPE UMC SATELLITE,,,45035010400,+33.0372476,-080.3509226,33.02509259,-80.33688595
MEDICAL MINISTRIES – ORANGEBURG SATELLITE,,,45075011600,+33.4474787,-080.9233131,33.46296054,-80.94296632
MEDICAL MINISTRIES – SHADY GROVE UMC SATELLITE,,,45035010300,+33.1819144,-080.4332330,33.28130251,-80.5927385
MEDICAL MINISTRIES – ST MARK UMC SATELLITE,,,45075012000,+33.6313521,-081.0559758,33.61808002,-81.0915469
MEDICAL MINISTRIES – WESLEY UMC SATELLITE,,,45019003106,+33.0022955,-080.1401076,32.98917643,-80.1019979
MERCY MEDICINE FREE CLINIC – FLORENCE,,,45041001000,+34.1911403,-079.7695503,34.190019,-79.769801
ONE80 PLACE HEALTH CLINIC,,,45019005300,+32.8001609,-079.9443767,32.799738,-79.94379
ORANGEBURG-CALHOUN FREE MEDICAL CLINIC,,,45075011400,+33.5011636,-080.8687913,33.49322011,-80.86106581
PREGNANCY CENTER AND CLINIC OF THE LOW COUNTRY,,,45013010800,+32.2397676,-080.6876677,32.22133,-80.704956
PREGNANCY CENTER MOBILE CLINIC – BEAUFORT COUNTY,,,45013002107,+32.2608068,-080.8659839,32.27315708,-80.86873681
PREGNANCY CENTER MOBILE CLINIC – JASPER COUNTY,,,45053950300,+32.2481288,-081.0599775,32.28120819,-81.08265684
SAMARITAN HEALTH CLINIC OF PICKENS COUNTY,,,45077010801,+34.8349715,-082.6269605,34.842197,-82.60205
SAMARITAN HEALTH CLINIC OF PICKENS COUNTY – PICKENS SATELLITE,,,45077010801,+34.8349715,-082.6269605,34.8354209,-82.6089212
SMITH MEDICAL CLINIC AT BASKERVILL,,,45043920503,+33.4766920,-079.1281755,33.46326476,-79.11309188
SMITH MEDICAL CLINIC AT BASKERVILL – GEORGETOWN SATELLITE,,,45043920302,+33.3895567,-079.2722447,33.371346,-79.285065
ST LUKE'S FREE MEDICAL CLINIC,,,45083021200,+34.9509248,-081.9167596,34.95357652,-81.92674414
ST LUKE'S FREE MEDICAL CLINIC – MIDDLE TYGER COMMUNITY SATELLITE,,,45083023102,+34.9459973,-082.1019723,34.94917153,-82.12193014
SUMTER UNITED MINISTRIES MEDICAL CLINIC,,,45085001300,+33.9165836,-080.3525729,33.91826328,-80.36102831
TAYLORS FREE MEDICAL CLINIC,,,45045002604,+34.9153567,-082.2848315,34.92068158,-82.31065362
THE FREE MEDICAL CLINIC,,,45079003100,+34.0078902,-081.0307786,34.01609815,-81.02428831
"UNITED CHRISTIAN MINISTRIES OF ABBEVILLE COUNTY, FREE MEDICAL CLINIC",,,45001950500,+34.1266067,-082.3805235,34.158817,-82.38098
VOLUNTEERS IN MEDICINE CLINIC,,,45013010800,+32.2397676,-080.6876677,32.21965898,-80.70657264
WELLPARTNERS DENTAL & EYE CLINIC,,,45079003100,+34.0078902,-081.0307786,34.01078148,-81.02212443
WELLPARTNERS DENTAL & EYE HEALTH,,,45079003100,+34.0078902,-081.0307786,34.01078148,-81.02212443
WELLPARTNERS DENTAL & EYE HEALTH – LEXINGTON SATELLITE,,,45063021009,+33.9061845,-081.2781687,33.95417058,-81.23444488
WELLPARTNERS DENTAL & EYE HEALTH – STE 4090,,,45079003100,+34.0078902,-081.0307786,34.01078148,-81.02212443
YORK COUNTY FREE CLINIC,,,45091060102,+34.9430917,-081.0206451,34.93736875,-81.02657511
