ncessch,leaid,leanm05,schnam05,geoid,tract_latitude,tract_longitude,lat,lon
4.5e+11,4500001,PALMETTO UNIFIED DISTRICT,ALLENDALE CORRECTIONAL INSTITUTION,45005970400,+32.8745690,-081.3241455,32.96606,-81.24595
4.5e+11,4500001,PALMETTO UNIFIED DISTRICT,BROAD RIVER ROAD CORRECTIONAL INSTITUT,45079010408,+34.0695655,-081.0984227,34.06681,-81.11721
4.5e+11,4500002,DORCHESTER COUNTY SCHOOL DISTRICT 04,HARLEYVILLE-RIDGEVILLE ELEMENTARY,45035010300,+33.1819144,-080.4332330,33.1553,-80.37779
4.5e+11,4500002,DORCHESTER COUNTY SCHOOL DISTRICT 04,ST. GEORGE MIDDLE SCHOOL,45035010200,+33.1882779,-080.5663258,33.19355,-80.57703
4.5e+11,4500002,DORCHESTER COUNTY SCHOOL DISTRICT 04,WILLIAMS MEMORIAL ELEMENTARY,45035010200,+33.1882779,-080.5663258,33.18148,-80.58942
4.5e+11,4500002,DORCHESTER COUNTY SCHOOL DISTRICT 04,WOODLAND HIGH SCHOOL,45035010300,+33.1819144,-080.4332330,33.16503,-80.4909
4.5e+11,4500002,DORCHESTER COUNTY SCHOOL DISTRICT 04,CLAY HILL MIDDLE SCHOOL,45035010400,+33.0372476,-080.3509226,33.0955,-80.3145
4.5e+11,4500003,FELTON LAB,FELTON LABORATORY SCHOOL,45075011200,+33.4986800,-080.8440100,33.5018,-80.8534
4.5e+11,4500004,SC SCHOOL FOR DEAF AND BLIND,SC SCHOOL FOR BLIND HIGH,45083022004,+34.9087801,-081.8635820,34.91113,-81.8805
4.5e+11,4500004,SC SCHOOL FOR DEAF AND BLIND,SC SCHOOL FOR DEAF HIGH,45083022004,+34.9087801,-081.8635820,34.91113,-81.8805
4.5e+11,4500004,SC SCHOOL FOR DEAF AND BLIND,SC SCHOOL FOR DEAF ELEMENTARY,45083022004,+34.9087801,-081.8635820,34.91113,-81.8805
4.5e+11,4500004,SC SCHOOL FOR DEAF AND BLIND,SC SCHOOL FOR BLIND ELEMENTARY,45083022004,+34.9087801,-081.8635820,34.91113,-81.8805
4.5e+11,4500004,SC SCHOOL FOR DEAF AND BLIND,MULTI-HANDICAPPED SCHOOL,45083022004,+34.9087801,-081.8635820,34.91113,-81.8805
4.5e+11,4500007,GREENWOOD COUNTY CAREER CENTER,GREENWOOD CTY CAREER CTR.,45047970202,+34.2259006,-082.1588209,34.23354,-82.16363
4.5e+11,4500008,COPE AREA CAREER CENTER,COPE AREA CAREER CENTER,45075011700,+33.3176401,-080.8857594,33.37528,-81.0058
4.5e+11,4500010,R D ANDERSON APPLIED TECHNOLOGY,R D ANDERSON VOCATIONAL CENTER,45083023402,+34.8565445,-082.0193121,34.83264,-81.99151
4.5e+11,4500011,H B SWOFFORD AVC,H B SWOFFORD AVC,45083022401,+35.1476875,-082.0394651,35.12185,-82.02076
4.5e+11,4500012,MARION COUNTY SCHOOL DISTRICT 07,RAINES CENTENARY ELEMENTARY,45067950600,+34.1309919,-079.3264614,34.08685,-79.31643
4.5e+11,4500012,MARION COUNTY SCHOOL DISTRICT 07,BRITTON'S NECK ELEMENTARY,45067950800,+33.8452217,-079.2984840,33.92401,-79.34224
4.5e+11,4500012,MARION COUNTY SCHOOL DISTRICT 07,CREEK BRIDGE HIGH SCHOOL,45067950700,+34.0125717,-079.3953178,34.03763,-79.33355
4.5e+11,4500690,ABBEVILLE COUNTY SCHOOL DISTRICT,JOHN C CALHOUN ELEMENTARY,45001950600,+34.1246804,-082.5850722,34.10345,-82.59827
4.5e+11,4500690,ABBEVILLE COUNTY SCHOOL DISTRICT,WRIGHT MIDDLE SCHOOL,45001950500,+34.1266067,-082.3805235,34.1818,-82.37021
4.5e+11,4500690,ABBEVILLE COUNTY SCHOOL DISTRICT,ABBEVILLE HIGH SCHOOL,45001950400,+34.2280103,-082.3768866,34.18437,-82.37404
4.5e+11,4500690,ABBEVILLE COUNTY SCHOOL DISTRICT,DIXIE HIGH SCHOOL,45001950200,+34.3258512,-082.4084968,34.32995,-82.38582
4.5e+11,4500690,ABBEVILLE COUNTY SCHOOL DISTRICT,CALHOUN FALLS HIGH SCHOOL,45001950600,+34.1246804,-082.5850722,34.09853,-82.59741
4.5e+11,4500690,ABBEVILLE COUNTY SCHOOL DISTRICT,CHEROKEE TRAIL ELEMENTARY,45001950200,+34.3258512,-082.4084968,34.36468,-82.35434
4.5e+11,4500690,ABBEVILLE COUNTY SCHOOL DISTRICT,DIAMOND HILL ELEMENTARY,45001950300,+34.2530788,-082.5824673,34.25504,-82.56337
4.5e+11,4500690,ABBEVILLE COUNTY SCHOOL DISTRICT,LONG CANE ELEMENTARY,45001950500,+34.1266067,-082.3805235,34.18067,-82.3609
4.5e+11,4500690,ABBEVILLE COUNTY SCHOOL DISTRICT,ABBEVILLE PREMIER ACADEMY,45001950400,+34.2280103,-082.3768866,34.18680632,-82.37577809
4.5e+11,4500690,ABBEVILLE COUNTY SCHOOL DISTRICT,ABBEVILLE COUNTY VOCATIONAL CENTER,45001950400,+34.2280103,-082.3768866,34.16655,-82.41132
4.5e+11,4500690,ABBEVILLE COUNTY SCHOOL DISTRICT,WESTWOOD ELEMENTARY SCHOOL,45001950400,+34.2280103,-082.3768866,34.20002,-82.39226
4.5e+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,BELVEDERE ELEMENTARY SCHOOL,45003020602,+33.5393479,-081.9336458,33.52847,-81.93767
4.5e+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,BYRD ELEMENTARY SCHOOL,45003020400,+33.5687354,-081.8385837,33.56226,-81.84176
4.5e+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,J D LEVER ELEMENTARY,45003020200,+33.6685580,-081.6441212,33.64657,-81.67533
4.5e+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,CLEARWATER ELEMENTARY SCHOOL,45003021002,+33.5044854,-081.9155699,33.49506,-81.89526
4.5e+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,A L CORBETT MIDDLE SCHOOL,45003021700,+33.6526535,-081.4246323,33.6592,-81.4068
4.5e+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,EAST AIKEN ELEMENTARY,45003021601,+33.5657978,-081.6608854,33.54985,-81.6754
4.5e+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,GLOVERVILLE ELEMENTARY,45003021101,+33.5131735,-081.8298967,33.5239,-81.8286
4.5e+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,GREENDALE ELEMENTARY SCHOOL,45003022001,+33.4469771,-081.6399794,33.40762,-81.67895
4.5e+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,HAMMOND HILL ELEMENTARY SCHOOL,45003020801,+33.5217441,-081.9924680,33.51083,-81.9832
4.5e+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,MILLBROOK ELEMENTARY,45003021500,+33.5438340,-081.7090286,33.52561,-81.71479
4.5e+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,PINECREST/NORTH AIKEN ELEMENTARY,45003021601,+33.5657978,-081.6608854,33.57988,-81.69317
4.5e+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,NORTH AUGUSTA ELEMENTARY,45003020802,+33.4918418,-081.9708285,33.49387,-81.9671
4.5e+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,RIDGE SPRING MONETTA EL,45081960400,+33.8896333,-081.6851220,33.84834,-81.65843
4.5e+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,WARRENVILLE ELEMENTARY,45003021102,+33.5290504,-081.8045716,33.52835,-81.78782
4.5e+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,CHUKKER CREEK ELEMENTARY,45003021203,+33.4860371,-081.7256873,33.47576,-81.71921
4.5e+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,AIKEN HIGH,45003021400,+33.5732059,-081.7228476,33.57554,-81.70214
4.5e+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,PAUL KNOX MIDDLE,45003020701,+33.5232476,-081.9710806,33.52914,-81.97349
4.5e+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,NORTH AUGUSTA MIDDLE,45003020602,+33.5393479,-081.9336458,33.53941,-81.9419
4.5e+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,NORTH AUGUSTA HIGH SCHOOL,45003020701,+33.5232476,-081.9710806,33.53123,-81.96712
4.5e+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,RIDGE-SPRING MONETTA HIGH SCHO,45003020100,+33.7594321,-081.5589626,33.82208,-81.62557
4.5e+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,WAGENER SALLEY HIGH,45003021700,+33.6526535,-081.4246323,33.64679,-81.36437
4.5e+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,AIKEN COUNTY CAREER & TECHNICAL CTR,45003021101,+33.5131735,-081.8298967,33.5177,-81.8441
4.5e+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,AIKEN MIDDLE SCHOOL,45003021601,+33.5657978,-081.6608854,33.57912,-81.69157
4.5e+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,KENNEDY/LLOYD CHARTER SCHOOL,45003020302,+33.6120849,-081.7527523,33.6125,-81.7089
4.5e+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,MIDLAND VALLEY PREPARATORY SCHOOL,45003020400,+33.5687354,-081.8385837,33.52998,-81.84346
4.5e+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,AIKEN PERFORMING ARTS ACADEMY (CHARTER),45003020302,+33.6120849,-081.7527523,33.6125,-81.7089
4.5e+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,MOSSY CREEK ELEMENTARY SCHOOL,45003020701,+33.5232476,-081.9710806,33.5427,-81.9603
4.5e+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,AIKEN ELEMENTARY,45003021102,+33.5290504,-081.8045716,33.51492,-81.78901
4.5e+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,CYRIL B BUSBEE ELEMENTARY,45003021700,+33.6526535,-081.4246323,33.64783,-81.3641
4.5e+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,JEFFERSON ELEMENTARY SCHOOL,45003021001,+33.5096425,-081.8696608,33.50141,-81.85529
4.5e+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,LANGLEY BATH CLEARWATER MIDDLE,45003021001,+33.5096425,-081.8696608,33.50352,-81.86608
4.5e+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,LEAVELLE MCCAMPBELL MIDDLE,45003020400,+33.5687354,-081.8385837,33.567,-81.80712
4.5e+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,MINNIE B KENNEDY MIDDLE SCHOOL,45003021500,+33.5438340,-081.7090286,33.52568,-81.71408
4.5e+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,MIDLAND VALLEY HIGH SCHOOL,45003021001,+33.5096425,-081.8696608,33.52239,-81.87083
4.5e+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,NEW ELLENTON MIDDLE SCHOOL,45003022001,+33.4469771,-081.6399794,33.4072,-81.6849
4.5e+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,OAKWOOD- WINDSOR EL,45003021900,+33.4808781,-081.5175166,33.51447,-81.57574
4.5e+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,SCHOFIELD MIDDLE SCHOOL,45003021400,+33.5732059,-081.7228476,33.5734,-81.717
4.5e+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,SOUTH AIKEN HIGH SCHOOL,45003021500,+33.5438340,-081.7090286,33.52521,-81.71552
4.5e+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,JACKSON MIDDLE SCHOOL,45003022100,+33.3147374,-081.8384557,33.3415,-81.79314
4.5e+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,SILVER BLUFF HIGH,45003022002,+33.4164848,-081.7462502,33.39697,-81.7556
4.5e+11,4500720,AIKEN COUNTY SCHOOL DISTRICT,REDCLIFFE ELEMENTARY SCHOOL,45003022100,+33.3147374,-081.8384557,33.37335,-81.82361
4.5e+11,4500750,ALLENDALE COUNTY SCHOOL DISTRICT,ALLENDALE-FAIRFAX HIGH SCHOOL,45005970200,+33.0356436,-081.4486751,32.9894,-81.2815
4.5e+11,4500750,ALLENDALE COUNTY SCHOOL DISTRICT,ALLENDALE ELEMENTARY,45005970200,+33.0356436,-081.4486751,33.0189,-81.3162
4.5e+11,4500750,ALLENDALE COUNTY SCHOOL DISTRICT,FAIRFAX ELEMENTARY SCHOOL,45005970400,+32.8745690,-081.3241455,32.9518,-81.2297
4.5e+11,4500750,ALLENDALE COUNTY SCHOOL DISTRICT,ALLENDALE-FAIRFAX MIDDLE,45005970400,+32.8745690,-081.3241455,32.9612,-81.2404
4.5e+11,4500760,ANDERSON CAREER TECHNOLGY CENTER,CAREER/TECH CTR ANDERSON 1 & 2,45007010402,+34.5777621,-082.5046973,34.6053,-82.49867
4.5e+11,4500780,ANDERSON COUNTY SCHOOL DISTRICT 01,CEDAR GROVE ELEMENTARY,45007010401,+34.6216670,-082.4858460,34.59187,-82.49365
4.5e+11,4500780,ANDERSON COUNTY SCHOOL DISTRICT 01,CONCRETE PRIMARY SCHOOL,45007010103,+34.7838001,-082.5142370,34.79577,-82.5084
4.5e+11,4500780,ANDERSON COUNTY SCHOOL DISTRICT 01,PELZER ELEMENTARY,45007010300,+34.6570078,-082.4929075,34.64301,-82.46265
4.5e+11,4500780,ANDERSON COUNTY SCHOOL DISTRICT 01,WEST PELZER ELEMENTARY,45007010300,+34.6570078,-082.4929075,34.65371,-82.4585
4.5e+11,4500780,ANDERSON COUNTY SCHOOL DISTRICT 01,SPEARMAN ELEMENTARY SCHOOL,45007010500,+34.6393655,-082.5726968,34.68202,-82.54637
4.5e+11,4500780,ANDERSON COUNTY SCHOOL DISTRICT 01,PALMETTO MIDDLE SCHOOL,45007010300,+34.6570078,-082.4929075,34.64509,-82.48231
4.5e+11,4500780,ANDERSON COUNTY SCHOOL DISTRICT 01,PALMETTO HIGH,45007010300,+34.6570078,-082.4929075,34.64517,-82.48199
4.5e+11,4500780,ANDERSON COUNTY SCHOOL DISTRICT 01,WREN HIGH SCHOOL,45007010102,+34.7312026,-082.5183665,34.72111,-82.54342
4.5e+11,4500780,ANDERSON COUNTY SCHOOL DISTRICT 01,HUNT MEADOWS ELEMENTARY,45007010104,+34.7232770,-082.5844651,34.74477,-82.57575
4.5e+11,4500780,ANDERSON COUNTY SCHOOL DISTRICT 01,POWDERSVILLE ELEMENTARY,45007010104,+34.7232770,-082.5844651,34.74477,-82.57575
4.5e+11,4500780,ANDERSON COUNTY SCHOOL DISTRICT 01,WREN MIDDLE SCHOOL,45007010102,+34.7312026,-082.5183665,34.72632,-82.54709
4.5e+11,4500780,ANDERSON COUNTY SCHOOL DISTRICT 01,PALMETTO ELEMENTARY,45007010401,+34.6216670,-082.4858460,34.63047,-82.46877
4.5e+11,4500780,ANDERSON COUNTY SCHOOL DISTRICT 01,WREN ELEMENTARY,45007010102,+34.7312026,-082.5183665,34.71827,-82.54768
4.5e+11,4500780,ANDERSON COUNTY SCHOOL DISTRICT 01,POWDERSVILLE MIDDLE,45007010103,+34.7838001,-082.5142370,34.79437,-82.48761
4.5e+11,4500810,ANDERSON COUNTY SCHOOL DISTRICT 02,BELTON ELEMENTARY,45007011401,+34.5142174,-082.5030071,34.51607,-82.49299
4.5e+11,4500810,ANDERSON COUNTY SCHOOL DISTRICT 02,MARSHALL PRIMARY SCHOOL,45007011401,+34.5142174,-082.5030071,34.52425,-82.50352
4.5e+11,4500810,ANDERSON COUNTY SCHOOL DISTRICT 02,HONEA PATH ELEMENTARY,45007011500,+34.4662024,-082.4055574,34.4468,-82.4048
4.5e+11,4500810,ANDERSON COUNTY SCHOOL DISTRICT 02,WRIGHT ELEMENTARY SCHOOL,45007011600,+34.3903398,-082.5160908,34.40144,-82.52513
4.5e+11,4500810,ANDERSON COUNTY SCHOOL DISTRICT 02,BELTON HONEA PATH HIGH,45007011500,+34.4662024,-082.4055574,34.47163,-82.42969
4.5e+11,4500810,ANDERSON COUNTY SCHOOL DISTRICT 02,BELTON MIDDLE SCHOOL,45007011401,+34.5142174,-082.5030071,34.51569,-82.51045
4.5e+11,4500810,ANDERSON COUNTY SCHOOL DISTRICT 02,HONEA PATH MIDDLE SCHOOL,45007011500,+34.4662024,-082.4055574,34.44944,-82.39898
4.5e+11,4500840,ANDERSON COUNTY SCHOOL DISRTICT 03,IVA ELEMENTARY,45007011700,+34.3109700,-082.6793835,34.31274,-82.64154
4.5e+11,4500840,ANDERSON COUNTY SCHOOL DISRTICT 03,STARR ELEMENTARY,45007012200,+34.3981509,-082.7484339,34.37686,-82.69598
4.5e+11,4500840,ANDERSON COUNTY SCHOOL DISRTICT 03,STARR IVA MIDDLE SCHOOL,45007012200,+34.3981509,-082.7484339,34.38226,-82.7251
4.5e+11,4500840,ANDERSON COUNTY SCHOOL DISRTICT 03,CRESCENT HIGH SCHOOL,45007011700,+34.3109700,-082.6793835,34.33257,-82.68215
4.5e+11,4500870,ANDERSON COUNTY SCHOOL DISTRICT 04,LA FRANCE ELEMENTARY,45007010700,+34.6422416,-082.7791119,34.6121,-82.7613
4.5e+11,4500870,ANDERSON COUNTY SCHOOL DISTRICT 04,PENDLETON ELEMENTARY SCHOOL,45007010700,+34.6422416,-082.7791119,34.6536,-82.77013
4.5e+11,4500870,ANDERSON COUNTY SCHOOL DISTRICT 04,TOWNVILLE ELEMENTARY,45007010900,+34.5210374,-082.8802369,34.54551,-82.89599
4.5e+11,4500870,ANDERSON COUNTY SCHOOL DISTRICT 04,PENDLETON HIGH SCHOOL,45007010700,+34.6422416,-082.7791119,34.60905,-82.7893
4.5e+11,4500870,ANDERSON COUNTY SCHOOL DISTRICT 04,RIVERSIDE MIDDLE SCHOOL,45007010700,+34.6422416,-082.7791119,34.65322,-82.79404
4.5e+11,4500900,ANDERSON COUNTY SCHOOL DISTRICT 05,CENTERVILLE ELEMENTARY SCHOOL,45007012001,+34.5165948,-082.7136730,34.53072,-82.70497
4.5e+11,4500900,ANDERSON COUNTY SCHOOL DISTRICT 05,CONCORD ELEMENTARY,45007001100,+34.5418110,-082.6594195,34.53674,-82.65633
4.5e+11,4500900,ANDERSON COUNTY SCHOOL DISTRICT 05,HOMELAND PARK ELEMENTARY,45007011901,+34.4562906,-082.6632407,34.46408,-82.65557
4.5e+11,4500900,ANDERSON COUNTY SCHOOL DISTRICT 05,NEVITT FOREST ELEMENTARY,45007000500,+34.4911674,-082.6046235,34.49286,-82.60345
4.5e+11,4500900,ANDERSON COUNTY SCHOOL DISTRICT 05,SOUTH FANT STREET FAMILY EDUCATION CTR,45007000600,+34.4882459,-082.6349474,34.48919,-82.64421
4.5e+11,4500900,ANDERSON COUNTY SCHOOL DISTRICT 05,VARENNES ELEMENTARY,45007011901,+34.4562906,-082.6632407,34.45202,-82.69687
4.5e+11,4500900,ANDERSON COUNTY SCHOOL DISTRICT 05,WHITEHALL ELEMENTARY,45007001000,+34.5398822,-082.6812250,34.52949,-82.68046
4.5e+11,4500900,ANDERSON COUNTY SCHOOL DISTRICT 05,CALHOUN ACADEMY OF THE ARTS,45007000300,+34.5294088,-082.6282596,34.52463,-82.62612
4.5e+11,4500900,ANDERSON COUNTY SCHOOL DISTRICT 05,T L HANNA HIGH SCHOOL,45007011202,+34.5595444,-082.6008259,34.56489,-82.62599
4.5e+11,4500900,ANDERSON COUNTY SCHOOL DISTRICT 05,LAKESIDE MIDDLE SCHOOL,45007012001,+34.5165948,-082.7136730,34.50471,-82.68498
4.5e+11,4500900,ANDERSON COUNTY SCHOOL DISTRICT 05,MCCANTS MIDDLE SCHOOL,45007000300,+34.5294088,-082.6282596,34.52416,-82.63098
4.5e+11,4500900,ANDERSON COUNTY SCHOOL DISTRICT 05,SOUTHWOOD MIDDLE SCHOOL,45007000700,+34.4939131,-082.6616905,34.49088,-82.66132
4.5e+11,4500900,ANDERSON COUNTY SCHOOL DISTRICT 05,WESTSIDE HIGH SCHOOL,45007000800,+34.5151855,-082.6815651,34.52085,-82.69216
4.5e+11,4500900,ANDERSON COUNTY SCHOOL DISTRICT 05,MIDWAY ELEMENTARY SCHOOL,45007011202,+34.5595444,-082.6008259,34.5576,-82.6158
4.5e+11,4500900,ANDERSON COUNTY SCHOOL DISTRICT 05,MCLEES ELEMENTARY SCHOOL,45007012002,+34.4883851,-082.7367187,34.47402,-82.75463
4.5e+11,4500900,ANDERSON COUNTY SCHOOL DISTRICT 05,NEW PROSPECT ELEMENTARY SCHOOL,45007012001,+34.5165948,-082.7136730,34.505,-82.70321
4.5e+11,4500930,BAMBERG COUNTY SCHOOL DISTRICT 01,RICHARD CARROLL ELEMENTARY,45009960200,+33.2528574,-080.9598246,33.30479,-81.03612
4.5e+11,4500930,BAMBERG COUNTY SCHOOL DISTRICT 01,BAMBERG EHRHARDT HIGH,45009960200,+33.2528574,-080.9598246,33.3055,-81.0283
4.5e+11,4500930,BAMBERG COUNTY SCHOOL DISTRICT 01,BAMBERG-EHRHARDT MIDDLE SCHOOL,45009960200,+33.2528574,-080.9598246,33.30297,-81.031
4.5e+11,4500930,BAMBERG COUNTY SCHOOL DISTRICT 01,EHRHARDT ELEMENTARY,45009960400,+33.1236266,-080.9867065,33.1012,-81.0319
4.5e+11,4500960,BAMBERG COUNTY SCHOOL DISTRICT 02,DENMARK OLAR HIGH SCHOOL,45009960100,+33.3261599,-081.1667580,33.32675,-81.14103
4.5e+11,4500960,BAMBERG COUNTY SCHOOL DISTRICT 02,DENMARK-OLAR MIDDLE SCHOOL,45009960100,+33.3261599,-081.1667580,33.32675,-81.14103
4.5e+11,4500960,BAMBERG COUNTY SCHOOL DISTRICT 02,DENMARK-OLAR ELEMENTARY SCHOOL,45009960100,+33.3261599,-081.1667580,33.3094,-81.1302
4.5e+11,4500980,BARNWELL COUNTY CAREER CENTER,BARNWELL CO AVC,45011970200,+33.3685118,-081.2762976,33.31718,-81.34575
4.5e+11,4501020,BARNWELL COUNTY SCHOOL DISTRICT 19,MACEDONIA ELEMENTARY SCHOOL,45011970200,+33.3685118,-081.2762976,33.37008,-81.26817
4.5e+11,4501020,BARNWELL COUNTY SCHOOL DISTRICT 19,BLACKVILLE HILDA JR. HIGH SCHOOL,45011970200,+33.3685118,-081.2762976,33.3574,-81.2822
4.5e+11,4501020,BARNWELL COUNTY SCHOOL DISTRICT 19,BLACKVILLE-HILDA HIGH SCHOOL,45011970200,+33.3685118,-081.2762976,33.3574,-81.2822
4.5e+11,4501050,BARNWELL COUNTY SCHOOL DISTRICT 29,KELLY EDWARDS ELEMENTARY,45011970100,+33.3910823,-081.3942081,33.39834,-81.40449
4.5e+11,4501050,BARNWELL COUNTY SCHOOL DISTRICT 29,WILLISTON ELKO HIGH SCHOOL,45011970100,+33.3910823,-081.3942081,33.39735,-81.41305
4.5e+11,4501050,BARNWELL COUNTY SCHOOL DISTRICT 29,WILLISTON-ELKO MIDDLE SCHOOL,45011970100,+33.3910823,-081.3942081,33.39746,-81.41329
4.5e+11,4501080,BARNWELL COUNTY SCHOOL DISTRICT 45,BARNWELL PRIMARY SCHOOL,45011970400,+33.2281969,-081.2774271,33.24094,-81.35547
4.5e+11,4501080,BARNWELL COUNTY SCHOOL DISTRICT 45,GUINYARD-BUTLER MIDDLE SCHOOL,45011970400,+33.2281969,-081.2774271,33.24618,-81.3589
4.5e+11,4501080,BARNWELL COUNTY SCHOOL DISTRICT 45,BARNWELL HIGH SCHOOL,45011970300,+33.2731810,-081.3721662,33.22752,-81.36019
4.5e+11,4501080,BARNWELL COUNTY SCHOOL DISTRICT 45,BARNWELL ELEMENTARY SCHOOL,45011970400,+33.2281969,-081.2774271,33.2555,-81.35574
4.5e+11,4501100,BEAUFORT-JASPER CAREER CENTER,BEAUFORT JASPER ACADEMY FOR CAREER EXCEL,45053950202,+32.5364880,-080.8861724,32.4888,-80.9873
4.5e+11,4501110,BEAUFORT COUNTY SCHOOL DISTRICT,JOSEPH J. SHANKLIN SR. ELEMENTARY,45013000300,+32.4676898,-080.7840865,32.45452,-80.79445
4.5e+11,4501110,BEAUFORT COUNTY SCHOOL DISTRICT,BEAUFORT ELEMENTARY SCHOOL,45013000700,+32.4169450,-080.6897104,32.43558,-80.68188
4.5e+11,4501110,BEAUFORT COUNTY SCHOOL DISTRICT,BROAD RIVER ELEMENTARY SCHOOL,45013000501,+32.4255231,-080.7676172,32.42086,-80.75516
4.5e+11,4501110,BEAUFORT COUNTY SCHOOL DISTRICT,JAMES J DAVIS ELEMENTARY,45013000100,+32.5821594,-080.7263936,32.55627,-80.71181
4.5e+11,4501110,BEAUFORT COUNTY SCHOOL DISTRICT,DAUFUSKIE ISLAND ELEMENTARY,45013002101,+32.1187058,-080.8611777,32.10484,-80.89293
450111000943,4501110,BEAUFORT COUNTY SCHOOL DISTRICT,HILTON HEAD ELEMENTARY SCHOOL,45013010500,+32.2217262,-080.7591761,32.21948825,-80.73386658
