objectid,permit_type,name_of_facility,location_street,location_city,location_state,zip_code,facility_number,facility_email,admin_name_phone,facility_cont_email,license_expires,county_ownership_type,mailing_address,mailing_city,mailing_state,mailing_zip,licensee,licensee_business_phone,cms_certification,county,evacuation_zone,licensee_county,x_2,y_2,geoid,tract_latitude,tract_longitude,lat,lon
7606,HLTATTOOFAC,ABOVE ALL ELSE TATTOOS,477 E BLACKSTOCK ROAD UNIT 4,SPARTANBURG,SC,29301,864-310-4212,ABOVEALLELSETATTOOS@GMAIL.COM,PH#:,,TF-0357 / 05/31/2022,Spartanburg / Limited Liability,,,,,ABOVE ALL ELSE TATTOOS LLC,864-310-4212,,Spartanburg,,Spartanburg,410165.1737,3863639.709,45083022007,+34.9036817,-081.9662257,34.911226,-81.983397
7924,HLINHOMECARE,ABOVE AND BEYOND HOME CARE,1315 CAMP DR STE B RM 3,LANCASTER,SC,29720,803-313-5323,ABOVEANDBEYONDHHC1@GMAIL.COM,PH#:,,IHCP-1251 / 10/31/2021,Lancaster / Limited Liability,,,,,ABOVE AND BEYOND HOME HEALTH CARE LLC,,,Lancaster,,Lancaster,523371.5691,3842575.628,45057011002,+34.7643953,-080.6816257,34.724988,-80.74473
6243,HLINHOMECARE,ABOVE BEYOND HOMECARE,910 TODD AVE,NORTH AUGUSTA,SC,29841,803-343-9652,ABOVE2BEYONDHOMECARE@GMAIL.COM,"DOBBS, COREY L. PH#: 803-221-6832",,IHCP-0982 / 01/31/2022,Aiken / Sole Proprietorship,,,,,COREY L DOBBS,803-343-9652,,Aiken,,Aiken,413244.7164,3706588.857,45003021002,+33.5044854,-081.9155699,33.495304,-81.933938
7919,HLINHOMECARE,ABSOLUTE CARE SOLUTIONS,100A DUNBAR ST,SPARTANBURG,SC,29306,864-316-6268,INFO@ABSOLUTECARESC.COM,"SPENCER, VICTORIA I. PH#:",,IHCP-1353 / 11/30/2021,Spartanburg / Limited Liability,,,,,ABSOLUTE CARE SOLUTIONS LLC,864-316-6268,,Spartanburg,,Spartanburg,414800.9242,3867843.4,45083021200,+34.9509248,-081.9167596,34.949528,-81.933086
7495,HLINHOMECARE,ABSOLUTE HEALTH CARE LLC,1512 N IRBY ST,FLORENCE,SC,29501,803-799-0709,DBERG99999@AOL.COM,PH#:,,IHCP-0568 / 06/30/2021,Florence / Limited Liability,601 LANCELOT DR,FLORENCE,SC,29505,ABSOLUTE HEALTH CARE LLC,803-760-2822,,Florence,,Florence,614265.9605,3787494.571,45041000300,+34.2297143,-079.7387975,34.222248,-79.759454
6394,HLINHOMECARE,ABUNDANCE HOME CARE LLC,263 COMMERCE DR UNIT 210,PAWLEYS ISLAND,SC,29585,843-235-6721,TYRHONDA.LIVINGSTON@GMAIL.COM,PH#:,,IHCP-0268 / 07/31/2021,Georgetown / Limited Liability,72 PROFESSIONAL LN,PAWLEYS ISLAND,SC,29585,ABUNDANCE HOME CARE LLC,843-235-6721,,Georgetown,B,Georgetown,674153.5786,3702723.789,45043920503,+33.4766920,-079.1281755,33.449802,-79.126284
7563,HLINHOMECARE,ABUNDANCE OF GRACE HOME CARE SERVICES,1 CHICK SPRINGS RD STE 214-A,GREENVILLE,SC,29609,864-236-1758,AOGCARE@YAHOO.COM,PH#:,,IHCP-1192 / 04/30/2022,Greenville / Limited Liability,,,,,ABUNDANCE OF GRACE HOME CARE SERVICES LLC,864-631-6085,,Greenville,,Greenville,373681.5616,3859129.348,45045001101,+34.8804194,-082.3786068,34.866678,-82.382003
5869,HLRESIDENTIALCARE,ABUNDANT LIFE ADULT CARE,260 SEMINOLE DR,ORANGEBURG,SC,29115-7622,803-662-9701,ABUNDANTLIFE260@GMAIL.COM,"PHAIRE, LONELL PH#: 803-662-9701",ABUNDANTLIFE260@GMAIL.COM,CRC-1949 / 06/30/2021,Orangeburg / Limited Liability,260 SEMINOLE DR,ORANGEBURG,SC,29115-7622,ABUNDANT LIFE ADULT CARE LLC,803-662-9701,,Orangeburg,,Orangeburg,513513.807,3703693.715,45075011300,+33.4824862,-080.8596624,33.472626,-80.854558
7830,HLINHOMECARE,ABUNDANT LIFE HOME CARE SERVICES LLC,331 E MAIN ST STE 244,ROCK HILL,SC,29732,803-693-5194,YUSUFMUHAMMAD1965@GMAIL.COM,"MUHAMMAD, YUSUF PH#: 803-792-9211",YUSUFMUHAMMAD1965@GMAIL.COM,IHCP-0992 / 06/30/2021,York / Limited Liability,,,,,ABUNDANT LIFE HOME CARE SERVICES LLC,980-200-1933,,York,,Out of State,496920.7931,3865279.467,45091060501,+34.9325443,-081.0382008,34.929987,-81.033716
7775,HLTATTOOFAC,ABZOLUTEINK TATTOO GALLERY,4051 B BROAD RIVER RD,COLUMBIA,SC,29210,803-605-8244,IVERYJAMES101@GMAIL.COM,PH#:,,TF-0367 / 09/30/2021,Richland / Limited Liability,,,,,ABZOLUTEINK TATTOO GALLERY,803-605-8244,,Richland,,Richland,489416.45,3769119.961,45079010410,+34.0561676,-081.1188141,34.062754,-81.114691
230,HLHABITATIONR15,ACADEMY STREET COMMUNITY RESIDENCE,241 ACADEMY ST,WILLISTON,SC,29853,803-259-7472,RBRITT@DDSN.SC.GOV,"WASHINGTON, MARY L. PH#: 803-259-7472",DIRECTOROFRES@BARNWELLSC.COM,MR15-0177 / 06/30/2021,Barnwell / State,"PO BOX 4706, DDSN C/O RUFUS BRITT",COLUMBIA,SC,29240-4706,SC DEPARTMENT OF DISABILITIES AND SPECIAL NEEDS,803-898-9769,42G078,Barnwell,,Richland,461097.2833,3696579.747,45011970100,+33.3910823,-081.3942081,33.40783941,-81.41838071
7202,HLINHOMECARE,ACCESS HEALTH CARE SERVICES INC OF COLUMBIA,106 DOCTORS CIR,COLUMBIA,SC,29203-6503,803-509-8206,MSWYGERT@CAREGIVERSONDEMAND.COM,PH#:,,IHCP-0110 / 04/30/2022,Richland / Corporation,PO BOX 3580,COLUMBIA,SC,29230-3580,ACCESS HEALTH CARE SERVICES INC,864-242-1947,,Richland,,Greenville,496709.0188,3765539.65,45079000500,+34.0325295,-081.0314226,34.03051183,-81.03564955
6864,HLINHOMECARE,ACCESS HEALTH CARE SERVICES INC OF GREENVILLE,1901 LAURENS RD STE G,GREENVILLE,SC,29607-5186,864-242-1947,BBOYD@CAREGIVERSONDEMAND.COM,PH#:,,IHCP-0206 / 06/30/2021,Greenville / Corporation,PO BOX 16645,GREENVILLE,SC,29606,ACCESS HEALTH CARE SERVICES INC,864-242-1947,,Greenville,,Greenville,376012.6047,3856053.289,45045004400,+34.8479697,-082.3501653,34.83923432,-82.35605002
7912,HLINHOMECARE,ACCESS HEALTH CARE SERVICES OF CHARLESTON,2070 NORTHBROOK BLVD STE A-1,NORTH CHARLESTON,SC,29406,843-724-9581,MSWYGERT@CAREGIVERSONDEMAND.COM,"SWYGERT, MARILYN PH#: 803-509-8206",MSWYGERT@CAREGIVERSONDEMAND.COM,IHCP-0603 / 08/31/2021,Charleston / Corporation,,,,,ACCESS HEALTH CARE SERVICES INC,803-509-8206,,Charleston,B,Richland,589683.7049,3646070.147,45019003114,+32.9525906,-080.0509817,32.949258,-80.04052
2855,HLINHOMECARE,ACCESS HEALTH SERVICES OF ROCK HILL,2424 INDIA HOOK RD STE 100,ROCK HILL,SC,29732-1278,803-328-0437,MSWYGERT@CAREGIVERSONDEMAND.COM,"SWYGERT, MARILYN PH#: 803-509-8206",MSWYGERT@CAREGIVERSONDEMAND.COM,IHCP-0633 / 10/31/2021,York / Corporation,PO BOX 3580,COLUMBIA,SC,29203,ACCESS HEALTH CARE SERVICES INC,803-509-8206,,York,,Richland,497561.787,3870190.638,45091060804,+34.9707405,-081.0072752,34.97427542,-81.0267113
7178,HLTATTOOFAC,ACES HIGH TATTOO,704-H SEABOARD ST,MYRTLE BEACH,SC,29577-6513,843-839-1262,TATTOOS@USA.COM,"BOUGOR, BROCK PH#:",,TF-0332 / 02/28/2022,Horry / Limited Liability,,,,,ACES HIGH TATTOO LLC,843-839-1262,,Horry,B,Horry,694002.6982,3731704.87,45051050600,+33.7041378,-078.8898834,33.70761309,-78.9065439
182,HLRESIDENTIALCARE,ACLINE PLACE,200 S ACLINE ST,LAKE CITY,SC,29560-2635,843-394-5677,DJOHNSON@FCDSN.ORG,"UWAGBAI, LINDA G. PH#: 843-394-5677",LUWAGBAI@FCDSN.ORG,CRC-1257 / 01/31/2022,Florence / State,1211 E NATIONAL CEMETERY RD,FLORENCE,SC,29506-3240,FLORENCE COUNTY DISABILITIES AND SPECIAL NEEDS BOARD,843-667-5007,,Florence,,Florence,615239.001,3749100.996,45041002201,+33.8669969,-079.7884800,33.87595697,-79.75396593
6357,HLINHOMECARE,ACTIKARE,10415 BROAD RIVER RD STE B,IRMO,SC,29063,803-238-2968,AYONG@ACTIKARE.COM,PH#:,,IHCP-0355 / 05/31/2021,Richland / Limited Liability,354 POETS WALK,IRMO,SC,29063,ALIGNED CONSULTING LLC,803-238-2968,,Richland,,Richland,481028.5219,3775366.311,45079010305,+34.1045973,-081.1970626,34.118969,-81.205723
7065,HLINHOMECARE,ACTI-KARE RESPONSIVE IN-HOME CARE-HILTON HEAD,2 CORPUS CHRISTI PL STE 200,HILTON HEAD ISLAND,SC,29928,843-996-1497,NBRANCHE@ACTIKARE.COM,"BRANCHE, NATALIE PH#: 843-683-1513",NBRACHE@GMAIL.COM,IHCP-0837 / 04/30/2021,Beaufort / Limited Liability,,,,,11:11 ROSE LLC,843-683-1583,,Beaufort,A,Beaufort,522503.5155,3557680.357,45013010300,+32.1728039,-080.7602214,32.15535121,-80.76135202
