name_of_facility,latitude,longitude,address,city,state,zip,county,country,match_indicator,match_type,tiger_line_id,tiger_side,state_fips,county_fips,census_tract,census_block
ABUNDANCE HOME CARE LLC,33.449802,-79.126283,263 Commerce Dr,Pawleys Island,SC,29585,Georgetown County,US,No_Match,,,,,,,
ABUNDANCE OF GRACE HOME CARE SERVICES,34.866678,-82.382002,1 214a Chick Springs Rd,Greenville,SC,29609,Greenville County,US,Match,Exact,38299168,R,45,045,001101,4016
ABUNDANT LIFE ADULT CARE,33.472626,-80.854557,260 Seminole Dr,Orangeburg,SC,29115,Orangeburg County,US,No_Match,,,,,,,
ABUNDANT LIFE HOME CARE SERVICES LLC,34.929834,-81.033853,327 Main St W,Rock Hill,SC,29730,York County,US,No_Match,,,,,,,
ABZOLUTEINK TATTOO GALLERY,34.062632,-81.114561,4080 US Hwy 176,Columbia,SC,29210,Richland County,US,No_Match,,,,,,,
ACADEMY STREET COMMUNITY RESIDENCE,33.407482,-81.417639,371 Academy St,Williston,SC,29853,Barnwell County,US,Match,Exact,19064903,L,45,011,970101,2018
ACCESS HEALTH CARE SERVICES INC OF COLUMBIA,34.030788,-81.035643,140 Doctors Cir,Columbia,SC,29203,Richland County,US,Match,Exact,71820195,R,45,079,000500,2011
ACCESS HEALTH CARE SERVICES INC OF GREENVILLE,34.839234,-82.35605,1901 G Laurens Rd,Greenville,SC,29607,Greenville County,US,No_Match,,,,,,,
ACCESS HEALTH CARE SERVICES OF CHARLESTON,32.949227,-80.040491,1949 Northbrook Blvd,Charleston,SC,29410,Charleston County,US,No_Match,,,,,,,
ACCESS HEALTH SERVICES OF ROCK HILL,34.974282,-81.026715,2424 100 India Hook Rd,Rock Hill,SC,29732,York County,US,No_Match,,,,,,,
ACES HIGH TATTOO,33.707613,-78.906544,704 Seaboard St,Myrtle Beach,SC,29577,Horry County,US,Match,Exact,29071131,R,45,051,050600,1009
ACLINE PLACE,33.876074,-79.753817,210 N Acline St,Lake City,SC,29560,Florence County,US,Match,Non_Exact,640540282,R,45,041,002202,2012
ACTIKARE,34.118978,-81.205715,B10415 Broad River Rd,Irmo,SC,29063,Richland County,US,No_Match,,,,,,,
ACTI-KARE RESPONSIVE IN-HOME CARE-HILTON HEAD,32.155597,-80.761277,2 Corpus Christi,Hilton Head Island,SC,29928,Beaufort County,US,Match,Non_Exact,614689760,R,45,013,010300,2015
ACTIVE DAY OF BOILING SPRINGS,35.037556,-81.978189,230 Giles Dr,Boiling Springs,SC,29316,Spartanburg County,US,Match,Non_Exact,19518480,R,45,083,022406,1007
ACTIVE DAY OF CHARLESTON,32.807938,-80.022011,1954 Ashley River Rd,Charleston,SC,29407,Charleston County,US,Match,Exact,605836256,R,45,019,002612,5061
ACTIVE DAY OF GEORGETOWN,33.385862,-79.310874,2902 Highmarket St,Georgetown,SC,29440,Georgetown County,US,Match,Exact,29002770,R,45,043,920601,2006
ACTIVE DAY OF GRAND STRAND,33.727363,-78.866571,3880 Houndsfield Ave,Myrtle Beach,SC,29577,Horry County,US,Match,Exact,637237924,R,45,051,050500,1004
ACTIVE DAY OF GREENVILLE,34.868129,-82.427985,21 McBeth St,Greenville,SC,29611,Greenville County,US,Match,Exact,38343459,L,45,045,002203,3018
ACTIVE DAY OF GREER,34.925304,-82.224135,736 S Line Street Ext,Greer,SC,29651,Greenville County,US,No_Match,,,,,,,
ACTIVE DAY OF LIBERTY,34.78492,-82.69736,315 W Front St A,Liberty,SC,29657,Pickens County,US,Match,Non_Exact,26161631,R,45,077,011004,1012
ACTIVE DAY OF LOW COUNTRY,33.010972,-80.052439,104 Spring Hall Dr,Goose Creek,SC,29445,Berkeley County,US,No_Match,,,,,,,
ACTIVE DAY OF PEE DEE,34.239506,-79.799978,2120 Enterprise Dr,Florence,SC,29501,Florence County,US,Match,Exact,619506651,L,45,041,000101,2011
ACTIVE DAY OF SUMTER,33.94007,-80.318211,930 Oswego Hwy,Sumter,SC,29153,Sumter County,US,Match,Exact,640541339,L,45,085,000700,1050
ACTIVE DAY OF WINNSBORO,34.384422,-81.088408,219 N Congress St,Winnsboro,SC,29180,Fairfield County,US,Tie,,,,,,,
ACTS: OF LOVE HOME CARE AGENCY,34.153067,-80.914137,187 Lee Rd,Columbia,SC,29229,Richland County,US,Match,Exact,628053917,L,45,079,010108,2000
"ADAMS, ALEXANDER J.",33.998961,-81.268159,205 Dove Chase Trl,Lexington,SC,29072,Lexington County,US,Match,Exact,646560174,L,45,063,021048,1001
ADD LIGHT HOME CARE,33.941633,-80.372548,696 Bultman Dr,Sumter,SC,29150,Sumter County,US,Match,Exact,202670515,L,45,085,000901,2022
ADDCARE COUNSELING,34.841125,-82.410059,401 Vardry St,Greenville,SC,29601,Greenville County,US,Match,Exact,38300480,R,45,045,000500,1001
ADDISON'S COMMUNITY CARE HOME,34.086308,-80.864744,4013 State Hwy 12,Columbia,SC,29223,Richland County,US,No_Match,,,,,,,
ADDUS HOME CARE - COLUMBIA,34.009776,-81.035491,1800 Sumter St,Columbia,SC,29201,Richland County,US,Match,Exact,71820723,R,45,079,003100,2010
ADDUS HOME CARE - GREENVILLE,34.853157,-82.358303,401 N Pleasantburg Dr,Greenville,SC,29607,Greenville County,US,Tie,,,,,,,
ADDUS HOME CARE - N CHARLESTON,32.929721,-80.07153,3275 State Rd S-10-75,North Charleston,SC,29418,Charleston County,US,No_Match,,,,,,,
ADDUS HOME CARE - ROCK HILL,34.965545,-81.032546,1924 India Hook Rd,Rock Hill,SC,29732,York County,US,Match,Exact,647244826,R,45,091,060803,3008
ADDUS HOME CARE - SUMTER,33.955776,-80.400138,2630 Hardee Ct,Sumter,SC,29150,Sumter County,US,Match,Exact,202714354,L,45,085,001803,1009
ADDUS HOMECARE- AUGUSTA,33.50883,-82.084172,119 Davis Rd,Augusta,GA,30907,Columbia County,US,Match,Exact,55380448,R,13,073,030106,1022
ADMINISTER IN HOME CARE,34.911214,-81.983871,454 E Blackstock Rd,Spartanburg,SC,29301,Spartanburg County,US,Tie,,,,,,,
ADULT DAYCARE 41,32.879897,-79.808538,1572 Highway 41,Mount Pleasant,SC,29466,Charleston County,US,No_Match,,,,,,,
ADULT DRUG COURT TREATMENT,34.50309,-82.650706,100 S Main St,Anderson,SC,29624,Anderson County,US,No_Match,,,,,,,
ADULT ENRICHMENT CENTERS OF FORT MILL,35.020094,-80.927938,105 Lestina Ct,Fort Mill,SC,29715,York County,US,Match,Exact,19839684,L,45,091,061101,1020
ADULT ENRICHMENT CENTERS OF YORK,34.987937,-81.221022,6 S Pacific Ave,York,SC,29745,York County,US,No_Match,,,,,,,
ADVANCE HOME CARE MANAGEMENT,34.194328,-79.777521,606 Gregg Ave,Florence,SC,29501,Florence County,US,Match,Exact,28878223,L,45,041,001100,5016
ADVANCED HEALTHCARE STAFFING SOLUTIONS LLC,34.196183,-79.783168,908 W Evans St,Florence,SC,29501,Florence County,US,Match,Non_Exact,28877999,L,45,041,001100,5005
ADVANCED HOME HEALTH,34.974457,-81.026819,2426 India Hook Rd,Rock Hill,SC,29732,York County,US,Match,Exact,19790653,R,45,091,060804,2025
ADVANCED TOTAL CARE,34.102173,-80.911203,9566 US Hwy 1,Columbia,SC,29223,Richland County,US,No_Match,,,,,,,
AEROFLOW INC,34.885624,-82.156026,310 Business Pkwy Def,Greer,SC,29651,Spartanburg County,US,No_Match,,,,,,,
AFFINITY HOME CARE,34.953409,-81.044594,1565 Ebenezer Rd,Rock Hill,SC,29732,York County,US,Match,Exact,19790976,L,45,091,060700,1014
AFFINITY HOME CARE SOLUTIONS,33.245485,-80.815557,7709 Freedom Rd,Branchville,SC,29432,Orangeburg County,US,Match,Exact,19225983,R,45,075,011701,1038
AGAPE HOME CARE,34.191132,-82.161018,210 Main St,Greenwood,SC,29646,Greenwood County,US,Match,Exact,50821693,L,45,047,970401,1016
AGAPE HOSPICE HOUSE OF THE MIDLANDS,34.014131,-81.070622,136 Stoneridge Dr,Columbia,SC,29210,Richland County,US,Match,Exact,71859913,L,45,079,010403,2061
AGAPE HOSPICE OF THE LOW COUNTRY,32.977809,-80.064224,2698 Elms Center Rd,Charleston,SC,29406,Charleston County,US,Match,Exact,635601921,L,45,019,003115,1001
AGAPE HOUSE OF LEXINGTON,33.977057,-81.220337,128 Library Hill Ln,Lexington,SC,29072,Lexington County,US,Match,Exact,70089138,R,45,063,021030,3000
AGGRESSIVE INK 3,34.482043,-82.663264,400 Highway 28th Byp,Anderson,SC,29624,Anderson County,US,No_Match,,,,,,,
AGGRESSIVE INK III BODY PIERCING,34.482043,-82.663264,400 Highway 28th Byp,Anderson,SC,29624,Anderson County,US,No_Match,,,,,,,
AGING GRACEFULLY SENIOR CARE/GRACEFUL EMBRACE DEVELOPMENTAL DAY PROGRAM,32.970428,-80.142428,4003 Ladson Rd,Ladson,SC,29456,Dorchester County,US,Match,Exact,178460895,L,45,035,010815,2006
AIKEN COUNTY COMMISSION ON ALCOHOL AND DRUG ABUSE,33.563886,-81.770627,3730 Richland Ave W,Aiken,SC,29801,Aiken County,US,Match,Exact,65028543,L,45,003,021300,2052
AIKEN DIALYSIS,33.574169,-81.759053,775 Medical Park Dr,Aiken,SC,29801,Aiken County,US,Match,Exact,65033355,R,45,003,021300,2021
AIKEN REGIONAL MEDICAL CENTERS,33.571307,-81.761897,304 University Pkwy,Aiken,SC,29801,Aiken County,US,Match,Exact,64989726,R,45,003,021300,2000
AJM HOMECARE SERVICES,34.417845,-79.373555,100 N 1st Ave,Dillon,SC,29536,Dillon County,US,Tie,,,,,,,
ALDERSGATE AT THE OAKS,33.423757,-80.850985,1050 Methodist Oaks Dr,Orangeburg,SC,29115,Orangeburg County,US,Match,Exact,19218177,R,45,075,010602,1031
A'LELIA RESIDENTIAL CARE,32.61875,-80.734896,22 Jacob White Rd,Yemassee,SC,29945,Beaufort County,US,Match,Exact,87652511,L,45,013,000100,2070
"ALEXANDER, MALLORY E.",35.027163,-82.094535,4280 New Cut Rd,Inman,SC,29349,Spartanburg County,US,Match,Non_Exact,19486043,R,45,083,022806,3009
ALEXANDER'S GOLDEN STARR COMMUNITY CARE HOME,33.445323,-80.511658,218 Golden Starr Rd,Santee,SC,29142,Orangeburg County,US,Match,Exact,636621896,R,45,075,010304,1052
ALICE'S CLUBHOUSE MT P,32.811295,-79.853431,1070 Bowman Rd,Mount Pleasant,SC,29464,Charleston County,US,No_Match,,,,,,,
ALL ABOUT CARE,34.951185,-81.931416,145 N Church St,Spartanburg,SC,29306,Spartanburg County,US,Tie,,,,,,,
ALL ABOUT OUR SENIORS,34.942754,-82.251028,1306 W Poinsett St,Greer,SC,29650,Greenville County,US,Match,Non_Exact,38333162,L,45,045,002504,2012
ALL ABOUT YOU HOME CARE INC,33.833236,-79.047523,200 Elm St,Conway,SC,29526,Horry County,US,Match,Exact,29041018,R,45,051,070200,2096
ALL HEARTS HOMECARE LLC,34.822137,-82.289918,1200 Woodruff Rd,Greenville,SC,29607,Greenville County,US,Match,Exact,635858548,R,45,045,002805,1037
ALL IN LOVE CARE,34.937161,-82.226186,217 A Trade St,Greer,SC,29651,Greenville County,US,Match,Exact,38311055,L,45,045,002505,1010
ALL QUALITY HEALTH CARE AGENCY,33.874882,-79.755251,119 N McAllister St,Lake City,SC,29560,Florence County,US,Match,Non_Exact,28871757,R,45,041,002204,1045
ALL SEASONS HOSPICE,34.079409,-81.178799,7142 Woodrow St,Irmo,SC,29063,Lexington County,US,Match,Exact,626643110,R,45,063,021112,1027
ALL WAYS CARING HOME CARE,34.86856,-82.349296,111 Pelham Commons Blvd,Greenville,SC,29615,Greenville County,US,Match,Exact,38350813,L,45,045,001809,1011
ALL WAYS CARING HOMECARE AIKEN,33.561975,-81.721822,108 Laurens St NW,Aiken,SC,29801,Aiken County,US,Match,Exact,65032107,L,45,003,021300,3074
ALL WAYS CARING HOMECARE ANDERSON,34.514271,-82.648859,1103 N Fant St,Anderson,SC,29621,Anderson County,US,Match,Non_Exact,25451387,L,45,007,000200,2022
ALL WAYS CARING HOMECARE CHARLESTON,32.820369,-79.993172,1124 Sam Rittenberg Blvd,Charleston,SC,29407,Charleston County,US,Match,Exact,605682871,L,45,019,002604,3018
ALL WAYS CARING HOMECARE COLUMBIA,34.045167,-81.132995,449 St Andrews Rd,Columbia,SC,29210,Lexington County,US,No_Match,,,,,,,
ALL WAYS CARING HOMECARE MYRTLE BEACH,33.730592,-78.857594,1103 48th Ave N,Myrtle Beach,SC,29577,Horry County,US,No_Match,,,,,,,
ALL WAYS CARING HOMECARE ROCK HILL SC,34.960105,-81.040398,459 104 Berryman Rd,Rock Hill,SC,29730,York County,US,No_Match,,,,,,,
ALL WAYS CARING HOMECARE SPARTANBURG,34.938308,-81.903576,900 S Pine St,Spartanburg,SC,29302,Spartanburg County,US,Match,Non_Exact,19504810,R,45,083,021200,3035
ALL WAYS CARING HOMECARE-FLORENCE,34.197866,-79.806373,2111 W Jody Rd,Florence,SC,29501,Florence County,US,Match,Exact,28912754,R,45,041,000201,1023
ALL YOUR NEEDS HOME CARE SERVICES,33.491855,-80.862764,151 Docket St,Orangeburg,SC,29115,Orangeburg County,US,Match,Exact,19238731,L,45,075,011400,4016
ALLCARE LIVING SERVICES INC,33.040491,-80.135408,1675 N Main St,Summerville,SC,29486,Berkeley County,US,Match,Non_Exact,615960568,R,45,015,020714,3000
ALLCAREGIVERS INC,34.012706,-81.172402,4725 Sunset Blvd,Lexington,SC,29072,Lexington County,US,Match,Exact,635589960,R,45,063,021038,1029
ALLEGIANCE HOME CARE OF THE CAROLINAS,34.945231,-81.031213,522 North Ave,Rock Hill,SC,29732,York County,US,Match,Exact,19791133,R,45,091,060700,2014
ALLEGIANT QUALITY HOME CARE LLC,34.862444,-82.399321,210 Ul1 W Stone Ave,Greenville,SC,29609,Greenville County,US,No_Match,,,,,,,
ALLENDALE COUNTY DIALYSIS,32.966242,-81.245531,800 Boundary St W,Fairfax,SC,29827,Allendale County,US,No_Match,,,,,,,
ALLENDALE COUNTY HOSPITAL,32.96626,-81.245851,874 Boundary St W,Fairfax,SC,29827,Allendale County,US,No_Match,,,,,,,
ALLIANCE HEALTH AT HOME-UPSTATE,34.863186,-82.274935,156 B Milestone Way,Greenville,SC,29615,Greenville County,US,Match,Exact,640764531,R,45,045,002818,2003
ALLIANCE HOMECARE,34.532749,-82.687021,105 Northwest Dr,Anderson,SC,29625,Anderson County,US,Match,Exact,25510526,R,45,007,011100,2041
ALLIANCE HOSPICE,33.504278,-81.96248,1147 Georgia Ave,North Augusta,SC,29841,Aiken County,US,No_Match,,,,,,,
ALLIED MEDICAL STAFFING,33.027363,-80.172679,200 W 5th North St,Summerville,SC,29483,Dorchester County,US,Match,Non_Exact,178465868,L,45,035,010700,1031
"ALLISON, PATRICK L.",33.89379,-84.513368,1373 Belmont Ave,Smyrna,GA,30080,Cobb County,US,Match,Non_Exact,646353280,L,13,067,031122,2030
ALLPRO STAFFNET,36.298494,-86.694818,107 Cude Ln,Madison,TN,37115,Davidson County,US,Match,Exact,97182995,L,47,037,010401,3021
ALON-JAY ADULT DAY CARE,33.003222,-81.294283,625 Patterson St,Allendale,SC,29810,Allendale County,US,Match,Exact,19041028,L,45,005,970201,2020
ALPHA CENTER,34.240128,-80.598596,240 King St,Camden,SC,29020,Kershaw County,US,Match,Exact,635589674,L,45,055,970800,2018
ALPHA HEALTH SERVICES,34.881237,-80.970344,2210 Oak Pond Rd,Rock Hill,SC,29730,York County,US,No_Match,,,,,,,
ALREADY HOMECARE - CHARLESTON,32.817559,-79.994269,1180 Sam Rittenberg Blvd,Charleston,SC,29407,Charleston County,US,Match,Exact,108803546,L,45,019,002604,2036
ALTERNATIVES LIFE IMPROVEMENT CENTER,32.854802,-79.977179,3398 Lenape St,North Charleston,SC,29405,Charleston County,US,Match,Exact,108899157,L,45,019,005500,2008
ALWAYS BEST CARE CHARLESTON,32.79908,-80.018968,1052 Gardner Rd,Charleston,SC,29407,Charleston County,US,Match,Exact,108905281,R,45,019,002701,1003
ALWAYS BEST CARE OF GREENVILLE/SPARTANBURG,34.821897,-82.302159,33 Market Point Dr,Greenville,SC,29607,Greenville County,US,Match,Exact,38375785,R,45,045,002811,2007
ALWAYS BEST CARE OF GREENWOOD - ANDERSON,34.196889,-82.137772,1201 Cambridge Ave E,Greenwood,SC,29646,Greenwood County,US,Match,Exact,50805994,R,45,047,970500,2016
ALWAYS BEST CARE OF ROCK HILL,34.925866,-81.026376,146 White St E,Rock Hill,SC,29730,York County,US,No_Match,,,,,,,
ALWAYS BEST CARE OF THE GRAND STRAND,33.605067,-78.986278,725 8th Ave S,Surfside Beach,SC,29575,Horry County,US,Match,Exact,29060604,L,45,051,051202,3035
ALWAYS BEST CARE OF THE MIDLANDS,34.019875,-80.986097,3857 State Hwy 12,Columbia,SC,29204,Richland County,US,No_Match,,,,,,,
ALWAYS THERE IN HOME CARE SC,34.93569,-82.55798,2612 Earls Bridge Rd,Easley,SC,29640,Pickens County,US,Match,Exact,26177185,R,45,077,010601,1016
ALWAYS YOUR CHOICE IN-HOME CARE,34.524988,-82.633458,110 Montgomery Dr,Anderson,SC,29621,Anderson County,US,Match,Exact,25454089,R,45,007,000300,2015
AMADA SENIOR CARE SC COASTAL,32.811295,-79.853431,1070 Bowman Rd,Mount Pleasant,SC,29464,Charleston County,US,No_Match,,,,,,,
"AMAN, LISA",34.966447,-82.529371,120 Barbrey Dr,Easley,SC,29640,Pickens County,US,Match,Exact,26176899,R,45,077,010501,2034
AMBER ISLAND TATTOO,34.863781,-82.657872,316 Hayes Rd,Pickens,SC,29671,Pickens County,US,Match,Exact,26162303,L,45,077,010700,3005
AMBULATORY SURGERY CENTER OF SPARTANBURG,34.964203,-81.925247,557 Isom St,Spartanburg,SC,29303,Spartanburg County,US,Match,Exact,647221718,R,45,083,021500,3043
AMEDISYS HOME HEALTH CARE,33.665509,-79.829147,200 Hampton Ave,Kingstree,SC,29556,Williamsburg County,US,Match,Exact,29189863,R,45,089,970601,3016
AMEDISYS HOME HEALTH OF BEAUFORT,32.416017,-80.651737,35 Professional Village Cir,Beaufort,SC,29907,Beaufort County,US,Match,Exact,624112506,L,45,013,000902,2044
AMEDISYS HOME HEALTH OF BLUFFTON,32.263899,-80.860565,59 Sheridan Park Cir,Bluffton,SC,29910,Beaufort County,US,Match,Exact,87650231,L,45,013,002107,2001
AMEDISYS HOME HEALTH OF CAMDEN,34.42769,-80.77717,2217 W Rd,Camden,SC,29020,Kershaw County,US,No_Match,,,,,,,
AMEDISYS HOME HEALTH OF CHARLESTON,32.978738,-80.064965,2629 Lake Park Dr,Charleston,SC,29406,Charleston County,US,Match,Exact,108820700,L,45,019,003115,1001
AMEDISYS HOME HEALTH OF CHARLESTON EAST,32.805196,-80.03915,1027 Physicians Dr,Charleston,SC,29414,Charleston County,US,Match,Exact,617585791,L,45,019,002614,1007
AMEDISYS HOME HEALTH OF CLINTON,34.478347,-81.934938,210 Physicians Park Dr,Clinton,SC,29325,Laurens County,US,No_Match,,,,,,,
AMEDISYS HOME HEALTH OF CONWAY,33.833666,-79.047816,208 Elm St,Conway,SC,29526,Horry County,US,Match,Exact,29041018,R,45,051,070200,2096
AMEDISYS HOME HEALTH OF GEORGETOWN,33.382601,-79.304932,2512 Highmarket St,Georgetown,SC,29440,Georgetown County,US,Match,Exact,28961050,R,45,043,920601,3011
AMEDISYS HOME HEALTH OF LEXINGTON,33.967996,-81.235381,714 S Lake Dr,Lexington,SC,29072,Lexington County,US,Match,Non_Exact,647022060,L,45,063,021029,1033
AMEDISYS HOME HEALTH OF MYRTLE BEACH,33.617757,-79.047335,5605 Honeysuckle Ln,Myrtle Beach,SC,29588,Horry County,US,Match,Exact,29044739,L,45,051,051605,2015
AMEDISYS HOSPICE OF COLUMBIA,33.999318,-81.09277,1900 Sunset Blvd,West Columbia,SC,29169,Lexington County,US,Match,Exact,636057690,R,45,063,020508,2006
AMEDISYS HOSPICE OF SOUTH CAROLINA,34.161268,-79.759083,500 Pamplico Hwy,Florence,SC,29505,Florence County,US,Match,Exact,649973671,R,45,041,000600,3006
AMERICARE HOMEMAKERS LLC,33.58797,-79.013774,704 Courtney Ct,Murrells Inlet,SC,29576,Horry County,US,Match,Exact,635644550,R,45,051,051406,3011
AMERICARE LLC,33.997523,-80.99456,3300 Devine St,Columbia,SC,29205,Richland County,US,Match,Exact,604770947,R,45,079,002500,2010
AMERICARE MIDLANDS HOME CARE,34.018597,-81.258321,316 Daylily Dr,Lexington,SC,29072,Lexington County,US,Match,Non_Exact,70072771,R,45,063,021025,1014
AMIABLE CARE SOLUTIONS LLC,34.929834,-81.033853,327 Main St W,Rock Hill,SC,29730,York County,US,No_Match,,,,,,,
"AMRHEIN, NICK",32.819727,-79.815449,1614 Long Grove Dr,Mount Pleasant,SC,29464,Charleston County,US,Match,Non_Exact,619853811,R,45,019,004620,1002
AN ANGELS TOUCH,33.196315,-79.994491,219 N Hwy 52,Moncks Corner,SC,29461,Berkeley County,US,No_Match,,,,,,,
