census_tract,lila_tracts_1and10,lila_tracts_half_and10,lila_tracts_1and20,low_income_tracts,poverty_rate,median_family_income,GEOID,tract_latitude,tract_longitude
45003022100,0,0,0,0,13.6,51698,45003022100,+33.3147374,-081.8384557
45005970200,0,0,0,1,31.9,33868,45005970200,+33.0356436,-081.4486751
45005970300,0,0,0,1,11.2,44412,45005970300,+33.0551986,-081.2151634
45005970400,0,0,0,1,25.3,52964,45005970400,+32.8745690,-081.3241455
45007000200,0,0,0,0,11.2,63333,45007000200,+34.5217065,-082.6449925
45007000300,0,0,0,0,7.2,64107,45007000300,+34.5294088,-082.6282596
45007000500,1,1,1,1,24.4,30268,45007000500,+34.4911674,-082.6046235
45007000600,1,1,1,1,49.5,27440,45007000600,+34.4882459,-082.6349474
45007000700,1,1,1,1,45.3,26317,45007000700,+34.4939131,-082.6616905
45007000800,1,1,1,1,18.8,28580,45007000800,+34.5151855,-082.6815651
45007000900,0,1,0,1,25.1,33333,45007000900,+34.5201103,-082.6661004
45007001000,0,0,0,0,5.2,65600,45007001000,+34.5398822,-082.6812250
45007001100,0,0,0,0,13.4,81219,45007001100,+34.5418110,-082.6594195
45007010102,0,0,0,0,6,74719,45007010102,+34.7312026,-082.5183665
45007010103,0,0,0,0,14.7,87021,45007010103,+34.7838001,-082.5142370
45007010104,0,0,0,0,6.1,90000,45007010104,+34.7232770,-082.5844651
45007010200,0,0,0,0,4.9,65900,45007010200,+34.7136393,-082.4741527
45007010300,1,1,1,1,20.3,44956,45007010300,+34.6570078,-082.4929075
45007010401,0,0,0,0,13.6,66910,45007010401,+34.6216670,-082.4858460
45007010402,0,0,0,1,21.7,46925,45007010402,+34.5777621,-082.5046973
45007010500,0,0,0,0,7.7,69703,45007010500,+34.6393655,-082.5726968
45007010600,0,0,0,0,7.1,86688,45007010600,+34.6465816,-082.6814321
45007010700,1,1,1,1,25.4,46635,45007010700,+34.6422416,-082.7791119
45007010800,0,0,0,0,12,82629,45007010800,+34.5681044,-082.8011252
45007010900,0,0,0,0,9.1,60345,45007010900,+34.5210374,-082.8802369
45007011001,0,0,0,0,12.5,67984,45007011001,+34.4896667,-082.7909898
45007011002,0,0,0,0,7.7,68047,45007011002,+34.5383252,-082.7246007
45007011100,0,0,0,0,12.7,65339,45007011100,+34.5562299,-082.7000331
45007011201,0,0,0,0,3.6,116111,45007011201,+34.5868486,-082.6411408
45007011202,0,0,0,0,6.6,80674,45007011202,+34.5595444,-082.6008259
45007011300,0,0,0,0,12.7,62792,45007011300,+34.4693731,-082.5413588
45007011401,1,1,1,1,20.6,53242,45007011401,+34.5142174,-082.5030071
45007011402,0,0,0,1,28.4,37422,45007011402,+34.5256364,-082.4416280
45007011500,0,0,0,0,15.9,53425,45007011500,+34.4662024,-082.4055574
45007011600,0,0,0,1,9.1,52132,45007011600,+34.3903398,-082.5160908
45007011700,0,0,0,0,15.1,52949,45007011700,+34.3109700,-082.6793835
45007011800,0,0,0,1,15.9,40074,45007011800,+34.4155786,-082.6296198
45007011901,1,1,1,1,30.4,30658,45007011901,+34.4562906,-082.6632407
45007011902,0,0,0,1,20.9,36429,45007011902,+34.4625078,-082.6216538
45007012001,0,0,0,0,9.9,59885,45007012001,+34.5165948,-082.7136730
45007012002,0,0,0,0,13.2,62054,45007012002,+34.4883851,-082.7367187
45007012200,0,0,0,1,25.6,45134,45007012200,+34.3981509,-082.7484339
45007012300,1,1,1,1,26.5,33500,45007012300,+34.5134656,-082.6052554
45009960100,1,1,1,1,33.1,27601,45009960100,+33.3261599,-081.1667580
45009960200,0,0,0,1,23.9,50673,45009960200,+33.2528574,-080.9598246
45009960300,0,0,0,1,21.6,58839,45009960300,+33.1710465,-081.1518703
45009960400,0,0,0,0,14.8,54779,45009960400,+33.1236266,-080.9867065
45011970100,0,0,0,1,33.1,49856,45011970100,+33.3910823,-081.3942081
45011970200,0,0,0,1,37,30221,45011970200,+33.3685118,-081.2762976
45011970300,0,0,0,1,34.9,37038,45011970300,+33.2731810,-081.3721662
45011970400,0,0,0,0,10,63125,45011970400,+33.2281969,-081.2774271
45011970500,0,0,0,0,18.4,51161,45011970500,+33.1776388,-081.3817810
45013000100,1,1,0,1,14.3,50391,45013000100,+32.5821594,-080.7263936
45013000200,1,1,1,1,22.7,56250,45013000200,+32.5007617,-080.7468659
45013000300,1,1,1,1,6.4,44112,45013000300,+32.4676898,-080.7840865
45013000400,0,0,0,1,100,NULL,45013000400,+32.4796571,-080.7125383
45013000501,0,0,0,0,16.9,72348,45013000501,+32.4255231,-080.7676172
45013000502,1,1,1,1,23.3,52602,45013000502,+32.4178372,-080.7337269
45013000503,0,0,0,0,10.5,67575,45013000503,+32.3804562,-080.7359040
45013000600,0,1,0,1,17.9,53839,45013000600,+32.4494075,-080.6875512
45013000700,0,0,0,0,16.7,64813,45013000700,+32.4169450,-080.6897104
45013000800,1,1,1,1,16.1,46173,45013000800,+32.3847275,-080.6965888
45013000901,0,0,0,0,5.3,97991,45013000901,+32.4783136,-080.5652285
45013000902,0,0,0,0,8.3,64574,45013000902,+32.4453561,-080.6342550
45013000903,0,0,0,0,10,78625,45013000903,+32.3824780,-080.6515172
45013001000,1,1,1,1,1.1,52721,45013001000,+32.3175972,-080.6822133
45013001101,0,0,0,0,13.5,67101,45013001101,+32.4230434,-080.5098578
45013001102,0,0,0,1,25.5,51655,45013001102,+32.3630229,-080.5792222
45013001200,0,0,0,0,4.5,107619,45013001200,+32.3270113,-080.5157637
45013002101,0,0,0,0,0,140673,45013002101,+32.1187058,-080.8611777
45013002102,0,0,0,0,5.2,77807,45013002102,+32.1865732,-080.8986570
45013002103,0,0,0,0,2.4,99485,45013002103,+32.2526677,-080.9631260
45013002104,0,0,0,0,4.6,73497,45013002104,+32.2879651,-080.9713390
45013002105,0,0,0,0,5.1,73997,45013002105,+32.2787090,-080.9215404
45013002106,0,0,0,0,3.7,72173,45013002106,+32.2494167,-080.9091717
45013002107,0,0,0,0,9.3,70701,45013002107,+32.2608068,-080.8659839
45013002108,0,0,0,0,15.4,84333,45013002108,+32.2226585,-080.8256590
45013002201,0,0,0,0,7.4,96696,45013002201,+32.2799730,-080.8215798
45013002202,0,0,0,0,4.2,104219,45013002202,+32.3376045,-080.8200441
45013010100,0,0,0,0,6.8,104405,45013010100,+32.1265422,-080.8133825
45013010200,0,0,0,0,12.6,113750,45013010200,+32.1519392,-080.7893447
45013010300,0,0,0,0,2.1,105982,45013010300,+32.1728039,-080.7602214
45013010400,0,0,0,0,7.2,108111,45013010400,+32.1985315,-080.7550507
45013010500,1,1,1,1,23.7,62688,45013010500,+32.2217262,-080.7591761
45013010600,0,0,0,0,3.5,116250,45013010600,+32.2452931,-080.7347150
45013010700,0,0,0,0,2.2,104738,45013010700,+32.2572090,-080.7106039
45013010800,1,1,1,1,38.4,29107,45013010800,+32.2397676,-080.6876677
45013010900,0,0,0,0,13.3,106875,45013010900,+32.2239188,-080.6788847
45013011000,0,1,0,1,11.2,56538,45013011000,+32.1962579,-080.7074487
45013011100,0,0,0,0,6.9,88971,45013011100,+32.1776296,-080.7213883
45013011200,0,0,0,0,8.1,98393,45013011200,+32.1514615,-080.7433783
45013011300,0,0,0,0,6,90750,45013011300,+32.1398723,-080.7612122
45015020101,1,1,0,1,14.4,42027,45015020101,+33.3435539,-080.1699561
45015020102,1,1,0,1,34.9,37888,45015020102,+33.1909851,-080.2731373
45015020201,0,0,0,1,35.7,39730,45015020201,+33.3806007,-079.8905635
45015020202,1,1,0,1,23,35918,45015020202,+33.4272266,-080.0396688
45015020301,0,0,0,1,6.8,54160,45015020301,+33.2871316,-079.8280540
45015020302,0,0,0,0,8.9,61262,45015020302,+33.3018139,-079.9643439
45015020401,1,1,0,1,20.4,47974,45015020401,+33.1852078,-079.7254891
45015020403,0,0,0,0,1.7,149455,45015020403,+32.8630475,-079.9189550
45015020404,0,0,0,0,3.7,105122,45015020404,+32.9212148,-079.8905423
45015020405,1,1,0,1,14.9,56573,45015020405,+33.0127641,-079.8275141
45015020503,0,0,0,0,17.6,75625,45015020503,+33.2179689,-080.0966171
45015020504,1,1,1,1,18.9,56133,45015020504,+33.2060781,-080.0069274
45015020505,0,0,0,0,12.3,63780,45015020505,+33.1537443,-080.0382644
45015020506,0,0,0,0,14.4,65417,45015020506,+33.1834737,-079.9987130
45015020600,0,0,0,0,5.6,85368,45015020600,+33.0870933,-079.9910086
45015020707,0,0,0,0,6.6,80417,45015020707,+33.0619117,-080.0440881
45015020710,0,0,0,0,6.4,72976,45015020710,+33.0923660,-080.1901804
45015020711,0,0,0,0,6,85549,45015020711,+33.1440812,-080.1200965
45015020712,1,1,1,1,16.8,56818,45015020712,+33.0974243,-080.1025100
45015020713,0,0,0,0,8.1,72188,45015020713,+33.0714364,-080.1305502
45015020714,0,0,0,0,3.1,91615,45015020714,+33.0273185,-080.1382363
45015020715,0,0,0,0,13.5,61393,45015020715,+33.0374732,-080.1221350
45015020716,0,0,0,0,5.2,70154,45015020716,+33.0132704,-080.1087900
45015020717,1,1,1,1,16.2,53125,45015020717,+33.0290919,-080.0980921
45015020718,1,1,1,1,16,57685,45015020718,+33.0440118,-080.0903542
45015020719,0,0,0,0,14.9,66412,45015020719,+33.0289587,-080.0728450
45015020720,0,0,0,0,1.1,99318,45015020720,+33.0167927,-080.0592717
45015020721,0,0,0,0,6.1,114879,45015020721,+33.0040521,-080.0811448
45015020722,0,0,0,0,1.2,89038,45015020722,+33.0056688,-080.0620665
45015020723,0,1,0,1,14.8,49247,45015020723,+32.9972694,-080.0464023
45015020724,0,0,0,0,10.4,67813,45015020724,+32.9970058,-079.9666500
45015020725,1,1,1,1,6.6,45795,45015020725,+32.9689219,-079.9853268
45015020804,0,1,0,1,23.1,56538,45015020804,+32.9757600,-080.0134479
45015020806,1,1,1,1,22.8,47143,45015020806,+33.0181173,-080.0318503
45015020807,0,0,0,0,5.8,83363,45015020807,+33.0196636,-080.0132854
45015020808,0,0,0,0,16,64801,45015020808,+32.9946875,-080.0183186
45015020809,1,1,1,1,15.9,54766,45015020809,+32.9860445,-080.0239889
45015020810,0,1,0,1,17.7,59450,45015020810,+32.9715141,-080.0321460
45015020811,0,1,0,1,23.6,44643,45015020811,+32.9607154,-080.0113734
45015020812,0,0,0,0,4.3,102411,45015020812,+32.9414521,-080.0087427
45015020901,0,1,0,1,29.1,43429,45015020901,+32.9077134,-080.0080983
45015020903,0,0,0,0,14.9,72188,45015020903,+32.9200203,-080.0032732
45015020904,0,0,0,0,9.1,77396,45015020904,+32.9471998,-080.0320733
45015021000,0,1,0,1,19.6,43750,45015021000,+32.9304423,-079.9825020
45017950100,0,0,0,1,21.4,68115,45017950100,+33.7420117,-080.9452527
45017950200,0,0,0,0,17.9,64698,45017950200,+33.6883735,-080.8061167
45017950400,0,0,0,0,14.5,57895,45017950400,+33.6163620,-080.6418795
45019000100,0,0,0,0,19.3,142647,45019000100,+32.7721636,-079.9406132
45019000200,0,0,0,0,6.7,250001,45019000200,+32.7707910,-079.9282235
45019000400,0,0,0,1,56.9,NULL,45019000400,+32.7825377,-079.9353260
45019000500,0,1,0,1,31,120833,45019000500,+32.7792848,-079.9468711
45019000600,0,0,0,1,42.7,87813,45019000600,+32.7850610,-079.9510689
45019000700,0,0,0,1,54,171875,45019000700,+32.7893794,-079.9385460
45019000900,0,1,0,1,36.8,49083,45019000900,+32.7976264,-079.9287806
45019001000,0,0,0,1,42,79531,45019001000,+32.7919285,-079.9443325
45019001100,0,0,0,1,50.6,45966,45019001100,+32.7905077,-079.9565809
45019001500,0,0,0,0,14.7,75250,45019001500,+32.8070997,-079.9522715
45019001600,0,0,0,0,7.8,135625,45019001600,+32.8085921,-079.9624881
45019001901,0,0,0,0,12.9,69954,45019001901,+32.7470539,-079.9967682
45019001902,0,0,0,0,10.7,82941,45019001902,+32.7627874,-079.9653762
45019002002,0,0,0,0,13.2,86086,45019002002,+32.7340159,-079.9611767
45019002003,0,0,0,0,7.4,75273,45019002003,+32.6854321,-079.9526678
45019002004,0,0,0,0,4.7,103682,45019002004,+32.6626912,-079.9316597
45019002005,0,0,0,0,3.4,129375,45019002005,+32.7310699,-079.9132447
45019002006,0,0,0,0,4.8,96141,45019002006,+32.7325383,-079.9346090
45019002007,0,0,0,0,1.5,128646,45019002007,+32.7538419,-079.9174385
45019002101,0,0,0,0,2.5,74635,45019002101,+32.7430103,-080.0840064
45019002103,0,0,0,0,13.1,70500,45019002103,+32.6727041,-080.0718045
45019002104,0,0,0,0,7,190000,45019002104,+32.6164419,-080.0605945
45019002105,0,0,0,0,5.4,125260,45019002105,+32.5750134,-080.1820452
45019002200,0,0,0,1,28.4,68286,45019002200,+32.6576817,-080.1839478
45019002300,0,0,0,1,9.8,52763,45019002300,+32.5734128,-080.3153210
45019002400,0,0,0,1,17.7,46250,45019002400,+32.7481866,-080.3518239
45019002502,0,0,0,0,13.5,70054,45019002502,+32.7290527,-080.2269830
45019002604,0,0,0,0,6.1,95511,45019002604,+32.8222997,-080.0002429
45019002605,0,0,0,0,12.2,63000,45019002605,+32.8034113,-079.9928200
45019002606,0,0,0,0,5.1,107083,45019002606,+32.8193670,-079.9780481
45019002611,0,0,0,0,10.6,74119,45019002611,+32.8348212,-080.0393762
45019002612,1,1,1,1,14.2,59018,45019002612,+32.8174841,-080.0204648
45019002613,0,0,0,0,15.7,76021,45019002613,+32.8200495,-080.0433739
45019002614,0,0,0,0,13.1,72159,45019002614,+32.8019252,-080.0444568
45019002701,0,0,0,1,26.5,44275,45019002701,+32.7976991,-080.0287926
45019002702,0,1,0,1,19.5,49814,45019002702,+32.7926930,-080.0087214
45019002801,0,0,0,0,9.1,87399,45019002801,+32.7772208,-080.0378763
45019002802,0,0,0,0,8.1,96563,45019002802,+32.7748760,-080.0035774
45019002900,0,0,0,0,14.7,77273,45019002900,+32.7894663,-079.9838555
45019003000,0,0,0,0,9.4,130714,45019003000,+32.7772471,-079.9726864
45019003104,0,1,0,1,41.9,22247,45019003104,+32.9290256,-080.0392057
45019003105,0,1,0,1,39.8,33370,45019003105,+32.9118630,-080.0314105
45019003106,1,1,1,1,16.1,55172,45019003106,+33.0022955,-080.1401076
45019003107,0,0,0,1,17.4,50787,45019003107,+32.9600374,-080.1009931
45019003108,0,1,0,1,18.2,48795,45019003108,+32.9160676,-080.0723760
45019003109,1,1,1,1,21.2,43910,45019003109,+32.8942569,-080.0794055
45019003110,1,1,1,1,32.5,35000,45019003110,+32.8669862,-080.0576673
45019003111,1,1,1,1,18.7,46019,45019003111,+32.8740625,-080.0295600
45019003113,1,1,1,1,15.3,46888,45019003113,+32.9546311,-080.0729838
45019003114,0,0,0,0,17.7,65964,45019003114,+32.9525906,-080.0509817
45019003115,1,1,1,1,31,38370,45019003115,+32.9798853,-080.0611887
45019003200,1,1,1,1,9.5,47857,45019003200,+32.8989988,-080.0497394
45019003300,0,1,0,1,37.3,31866,45019003300,+32.8846062,-080.0074054
45019003400,0,1,0,1,43.3,25373,45019003400,+32.8958105,-079.9746618
45019003500,0,0,0,0,6.1,86382,45019003500,+32.8884799,-079.9908042
45019003600,0,0,0,0,12.8,83607,45019003600,+32.8778634,-079.9842690
45019003700,0,1,0,1,27,41250,45019003700,+32.8671057,-079.9825338
45019003800,0,1,0,1,40.8,35329,45019003800,+32.8584017,-079.9999603
45019003900,1,1,1,1,23.3,55395,45019003900,+32.8491452,-080.0158790
45019004000,0,1,0,1,27.3,32083,45019004000,+32.8453153,-079.9893873
45019004300,1,1,1,1,37.9,35625,45019004300,+32.8501669,-079.9673955
45019004400,1,1,1,1,32.5,31612,45019004400,+32.8305580,-079.9619676
45019004606,0,0,0,0,6.3,140493,45019004606,+32.8232078,-079.8820580
45019004607,0,0,0,0,7.2,94981,45019004607,+32.7958351,-079.8922487
45019004608,0,0,0,0,4,135014,45019004608,+32.8973520,-079.7890349
45019004609,0,0,0,0,7.5,101736,45019004609,+32.8538067,-079.7305349
45019004610,0,0,0,0,2.2,106589,45019004610,+32.8245244,-079.7688751
45019004611,0,0,0,0,5.1,118966,45019004611,+32.7918747,-079.8300457
45019004612,0,0,0,0,6.4,97869,45019004612,+32.8352937,-079.8334709
45019004613,0,0,0,0,0.3,190313,45019004613,+32.8326092,-079.8844773
45019004614,0,0,0,0,2.6,118510,45019004614,+32.8596872,-079.8708533
45019004701,0,0,0,0,8.3,107569,45019004701,+32.7801651,-079.8675218
45019004702,0,0,0,0,6.7,69750,45019004702,+32.8007285,-079.8635983
45019004800,0,0,0,0,7.7,170833,45019004800,+32.7709494,-079.8311365
45019004901,0,0,0,0,5,138750,45019004901,+32.7868965,-079.7864097
45019004902,0,0,0,0,6.2,122574,45019004902,+32.8133989,-079.7351795
45019005000,1,1,1,1,21,60938,45019005000,+33.0393507,-079.5734552
45019005100,0,0,0,0,19.7,141667,45019005100,+32.7866809,-079.9264498
45019005200,0,0,0,0,4.3,96667,45019005200,+32.7984271,-079.9627055
45019005300,0,1,0,1,36.3,31303,45019005300,+32.8001609,-079.9443767
45019005400,1,1,1,1,53,17986,45019005400,+32.8200646,-079.9429888
45019005500,0,0,0,1,30.4,26375,45019005500,+32.8532338,-079.9554747
45019005600,0,0,0,0,6.2,92635,45019005600,+32.8010357,-080.0830664
45019005700,0,0,0,0,5.5,104000,45019005700,+32.8683707,-080.1081651
45019005800,0,0,0,0,7.3,104233,45019005800,+32.8077688,-080.1815928
45021970100,0,0,0,1,14,50211,45021970100,+35.1031978,-081.7809925
45021970201,1,1,1,1,27.3,60333,45021970201,+35.0819573,-081.7015857
45021970202,0,0,0,0,10.8,77619,45021970202,+35.1437371,-081.6698882
45021970301,1,1,1,1,17.5,42500,45021970301,+35.0852653,-081.6728558
45021970302,1,1,1,1,33.2,29024,45021970302,+35.0992561,-081.6011090
45021970401,0,0,0,1,22.3,36563,45021970401,+35.1411998,-081.5456614
45021970402,0,0,0,1,28,46532,45021970402,+35.0931953,-081.4721855
45021970501,0,0,0,0,17.3,58438,45021970501,+35.0289578,-081.6208610
45021970502,1,1,1,1,32.6,29286,45021970502,+35.0611810,-081.6288145
45021970503,0,0,0,1,16.8,44539,45021970503,+35.0483928,-081.5605540
45021970601,0,0,0,0,12.5,58012,45021970601,+35.0111132,-081.6599835
45021970602,0,0,0,0,17.2,55776,45021970602,+34.9811165,-081.5634886
45021970700,0,0,0,1,23.3,54261,45021970700,+34.9391090,-081.6473053
45023020100,0,1,0,1,20,39773,45023020100,+34.7072992,-081.1976304
45023020200,1,1,1,1,29.8,51181,45023020200,+34.7003242,-081.2195686
45023020300,1,1,1,1,23.4,39250,45023020300,+34.7207553,-081.2148403
45023020400,0,0,0,1,16.7,56202,45023020400,+34.7811483,-081.2137768
45023020500,1,1,0,1,11,50184,45023020500,+34.7361525,-081.3682284
45023020601,0,0,0,0,8.4,68750,45023020601,+34.6196182,-081.2596425
45023020602,0,0,0,1,20.6,75231,45023020602,+34.7136872,-081.1207622
45023020700,0,0,0,1,22.5,73333,45023020700,+34.7364624,-081.0291076
45023020800,0,0,0,1,24.8,66118,45023020800,+34.7511502,-080.9358989
45023020900,0,0,0,1,22.8,45000,45023020900,+34.6182565,-081.0032560
45023021000,0,0,0,1,27.4,38750,45023021000,+34.5721311,-080.9053042
45025950101,0,0,0,1,21.4,42823,45025950101,+34.7587822,-080.4600952
45025950102,0,0,0,1,33,35781,45025950102,+34.7764444,-080.3532142
45025950200,1,1,0,1,23.5,45417,45025950200,+34.6454671,-080.3337693
45025950300,0,0,0,0,12.6,59605,45025950300,+34.7507742,-080.2423477
45025950400,0,0,0,1,14.2,48557,45025950400,+34.7255811,-080.1008750
45025950501,0,0,0,1,30,42794,45025950501,+34.7620024,-079.9701003
45025950502,0,0,0,0,15.3,51037,45025950502,+34.7080062,-079.9249608
45025950600,0,0,0,1,35.5,46500,45025950600,+34.5951251,-079.8967144
45025950700,1,1,0,1,20.7,56563,45025950700,+34.5637524,-080.0730840
45025950800,0,0,0,1,25.4,36481,45025950800,+34.4978789,-080.2561591
45027960100,0,0,0,1,19.3,49364,45027960100,+33.8770296,-079.9705469
45027960201,0,0,0,0,18.5,65431,45027960201,+33.7982242,-080.0401952
45027960300,0,0,0,1,21.1,45568,45027960300,+33.7733141,-080.1612095
45027960400,0,0,0,0,12.5,62727,45027960400,+33.7237211,-080.3778775
45027960500,0,0,0,1,41.1,31349,45027960500,+33.7032431,-080.2749535
45027960600,0,0,0,1,24.8,48789,45027960600,+33.6405605,-080.0946747
45027960701,0,0,0,0,15.3,59353,45027960701,+33.6390856,-080.2315868
45027960702,0,0,0,1,44.1,36615,45027960702,+33.5462791,-080.1548144
45027960703,0,0,0,0,13.4,65577,45027960703,+33.5259083,-080.2211000
45027960801,1,1,0,1,20.9,33750,45027960801,+33.6166680,-080.4129605
45027960802,0,0,0,1,29.5,46375,45027960802,+33.5022910,-080.3523575
45029970100,1,1,0,1,32.4,40978,45029970100,+33.0964204,-080.8101778
45029970200,0,0,0,0,12,50938,45029970200,+32.9765716,-080.9462173
45029970300,1,1,0,1,21.8,36973,45029970300,+32.7969954,-080.7531345
45029970401,0,0,0,1,22.4,53177,45029970401,+33.0054202,-080.7171243
45029970402,0,0,0,0,12.3,51136,45029970402,+32.9671267,-080.6527418
45029970500,0,1,0,1,27.9,40281,45029970500,+32.9053462,-080.6718142
45029970600,1,1,1,1,17.5,37079,45029970600,+32.8621886,-080.5963164
45029970700,1,1,0,1,24.1,48929,45029970700,+32.9441939,-080.4785182
45029970800,0,0,0,0,17,80515,45029970800,+32.6282954,-080.5036583
45031010100,1,1,0,1,27.3,42820,45031010100,+34.4505586,-079.8239245
45031010200,0,0,0,1,22.5,62562,45031010200,+34.4152865,-080.1901914
45031010300,0,0,0,0,9.4,58077,45031010300,+34.4025818,-080.0722686
45031010400,0,0,0,0,8.3,86037,45031010400,+34.3642401,-080.2761274
45031010500,0,0,0,0,14.4,73864,45031010500,+34.3693401,-080.0874346
45031010600,1,1,1,1,36.7,31641,45031010600,+34.3700380,-080.0231357
45031010700,1,1,1,1,36.7,31830,45031010700,+34.3541929,-080.0756425
45031010800,0,0,0,1,28.4,47381,45031010800,+34.3024008,-080.0484845
45031010900,0,0,0,0,14.9,56608,45031010900,+34.4067730,-079.9649109
45031011000,1,1,1,1,20.2,53492,45031011000,+34.3448080,-079.8819695
45031011100,0,0,0,1,19.1,43571,45031011100,+34.3032610,-079.8702831
45031011200,1,1,1,1,38.2,32854,45031011200,+34.2982794,-079.8984230
45031011300,0,0,0,1,23.4,48810,45031011300,+34.3273952,-079.7774948
45031011400,0,0,0,1,29.4,39063,45031011400,+34.2667090,-079.8343225
45031011500,0,0,0,1,16.4,49375,45031011500,+34.2146847,-080.0037918
45031011600,0,0,0,1,25.4,45417,45031011600,+34.1546333,-080.0807553
45033970100,0,0,0,1,31.4,34881,45033970100,+34.5280750,-079.4228841
45033970200,0,0,0,1,44.9,30096,45033970200,+34.4306966,-079.3074445
45033970300,1,1,1,1,21.7,60395,45033970300,+34.4536751,-079.4414521
45033970400,0,0,0,1,48.9,27624,45033970400,+34.3943810,-079.3862993
45033970500,0,0,0,1,24.8,41689,45033970500,+34.3339068,-079.2077718
45033970600,0,0,0,1,29.1,48365,45033970600,+34.3374526,-079.4823899
45035010100,0,0,0,1,15.5,50893,45035010100,+33.1480702,-080.6398107
45035010200,0,0,0,1,24.2,57022,45035010200,+33.1882779,-080.5663258
45035010300,1,1,0,1,22,46691,45035010300,+33.1819144,-080.4332330
45035010400,0,0,0,1,15.4,59453,45035010400,+33.0372476,-080.3509226
45035010501,0,0,0,0,7.8,89542,45035010501,+33.0517155,-080.2629243
45035010503,0,0,0,0,8.4,92165,45035010503,+32.9937687,-080.2777418
45035010504,0,0,0,0,15.6,65222,45035010504,+32.9855747,-080.2374595
45035010505,0,0,0,0,8,86792,45035010505,+32.9883521,-080.2059747
45035010603,0,0,0,0,8.8,80759,45035010603,+33.0468783,-080.2171274
45035010604,0,0,0,0,12.5,80625,45035010604,+33.0251456,-080.2112637
45035010605,1,1,1,1,24.3,57612,45035010605,+33.0070153,-080.2180399
45035010606,0,0,0,0,5.3,100688,45035010606,+33.0100855,-080.1895729
45035010700,0,1,0,1,32.3,50881,45035010700,+33.0271006,-080.1731660
45035010801,0,0,0,0,10.9,95156,45035010801,+32.8955573,-080.2650986
45035010807,0,0,0,0,7.7,91345,45035010807,+32.9669501,-080.1860258
45035010808,0,0,0,0,10.8,79806,45035010808,+32.9763518,-080.1774487
45035010809,0,0,0,0,13.8,89250,45035010809,+32.9987250,-080.1662810
45035010813,0,0,0,0,12,67482,45035010813,+32.9767187,-080.1609388
45035010814,0,0,0,0,5,77065,45035010814,+32.9832119,-080.1343344
