"StateFIPS","State","CensusTract","Census Tract","Year","Value","Data Comment",
"45","South Carolina","45003021900","Aiken County, SC - 45003021900","2013-2017","36.6%","",
"45","South Carolina","45003022001","Aiken County, SC - 45003022001","2013-2017","22.2%","",
"45","South Carolina","45003022002","Aiken County, SC - 45003022002","2013-2017","20.9%","",
"45","South Carolina","45003022100","Aiken County, SC - 45003022100","2013-2017","21.7%","",
"45","South Carolina","45003980100","Aiken County, SC - 45003980100","2013-2017","0.0%","",
"45","South Carolina","45005970200","Allendale County, SC - 45005970200","2013-2017","53.5%","",
"45","South Carolina","45005970300","Allendale County, SC - 45005970300","2013-2017","47.6%","",
"45","South Carolina","45005970400","Allendale County, SC - 45005970400","2013-2017","39.2%","",
"45","South Carolina","45007000200","Anderson County, SC - 45007000200","2013-2017","23.0%","",
"45","South Carolina","45007000300","Anderson County, SC - 45007000300","2013-2017","22.9%","",
"45","South Carolina","45007000500","Anderson County, SC - 45007000500","2013-2017","27.7%","",
"45","South Carolina","45007000600","Anderson County, SC - 45007000600","2013-2017","53.5%","",
"45","South Carolina","45007000700","Anderson County, SC - 45007000700","2013-2017","54.1%","",
"45","South Carolina","45007000800","Anderson County, SC - 45007000800","2013-2017","45.9%","",
"45","South Carolina","45007000900","Anderson County, SC - 45007000900","2013-2017","24.6%","",
"45","South Carolina","45007001000","Anderson County, SC - 45007001000","2013-2017","13.0%","",
"45","South Carolina","45007001100","Anderson County, SC - 45007001100","2013-2017","22.9%","",
"45","South Carolina","45007010102","Anderson County, SC - 45007010102","2013-2017","12.5%","",
"45","South Carolina","45007010103","Anderson County, SC - 45007010103","2013-2017","11.7%","",
"45","South Carolina","45007010104","Anderson County, SC - 45007010104","2013-2017","12.9%","",
"45","South Carolina","45007010200","Anderson County, SC - 45007010200","2013-2017","20.9%","",
"45","South Carolina","45007010300","Anderson County, SC - 45007010300","2013-2017","31.0%","",
"45","South Carolina","45007010401","Anderson County, SC - 45007010401","2013-2017","18.0%","",
"45","South Carolina","45007010402","Anderson County, SC - 45007010402","2013-2017","32.4%","",
"45","South Carolina","45007010500","Anderson County, SC - 45007010500","2013-2017","22.7%","",
"45","South Carolina","45007010600","Anderson County, SC - 45007010600","2013-2017","29.1%","",
"45","South Carolina","45007010700","Anderson County, SC - 45007010700","2013-2017","28.5%","",
"45","South Carolina","45007010800","Anderson County, SC - 45007010800","2013-2017","17.8%","",
"45","South Carolina","45007010900","Anderson County, SC - 45007010900","2013-2017","23.5%","",
"45","South Carolina","45007011001","Anderson County, SC - 45007011001","2013-2017","13.5%","",
"45","South Carolina","45007011002","Anderson County, SC - 45007011002","2013-2017","20.9%","",
"45","South Carolina","45007011100","Anderson County, SC - 45007011100","2013-2017","18.0%","",
"45","South Carolina","45007011201","Anderson County, SC - 45007011201","2013-2017","12.6%","",
"45","South Carolina","45007011202","Anderson County, SC - 45007011202","2013-2017","14.4%","",
"45","South Carolina","45007011300","Anderson County, SC - 45007011300","2013-2017","29.6%","",
"45","South Carolina","45007011401","Anderson County, SC - 45007011401","2013-2017","29.2%","",
"45","South Carolina","45007011402","Anderson County, SC - 45007011402","2013-2017","30.9%","",
"45","South Carolina","45007011500","Anderson County, SC - 45007011500","2013-2017","33.3%","",
"45","South Carolina","45007011600","Anderson County, SC - 45007011600","2013-2017","40.1%","",
"45","South Carolina","45007011700","Anderson County, SC - 45007011700","2013-2017","30.9%","",
"45","South Carolina","45007011800","Anderson County, SC - 45007011800","2013-2017","27.8%","",
"45","South Carolina","45007011901","Anderson County, SC - 45007011901","2013-2017","45.2%","",
"45","South Carolina","45007011902","Anderson County, SC - 45007011902","2013-2017","39.1%","",
"45","South Carolina","45007012001","Anderson County, SC - 45007012001","2013-2017","19.5%","",
"45","South Carolina","45007012002","Anderson County, SC - 45007012002","2013-2017","24.0%","",
"45","South Carolina","45007012200","Anderson County, SC - 45007012200","2013-2017","25.0%","",
"45","South Carolina","45007012300","Anderson County, SC - 45007012300","2013-2017","37.8%","",
"45","South Carolina","45009960100","Bamberg County, SC - 45009960100","2013-2017","38.9%","",
"45","South Carolina","45009960200","Bamberg County, SC - 45009960200","2013-2017","37.0%","",
"45","South Carolina","45009960300","Bamberg County, SC - 45009960300","2013-2017","39.5%","",
"45","South Carolina","45009960400","Bamberg County, SC - 45009960400","2013-2017","45.4%","",
"45","South Carolina","45011970100","Barnwell County, SC - 45011970100","2013-2017","36.6%","",
"45","South Carolina","45011970200","Barnwell County, SC - 45011970200","2013-2017","46.8%","",
"45","South Carolina","45011970300","Barnwell County, SC - 45011970300","2013-2017","34.9%","",
"45","South Carolina","45011970400","Barnwell County, SC - 45011970400","2013-2017","33.9%","",
"45","South Carolina","45011970500","Barnwell County, SC - 45011970500","2013-2017","42.1%","",
"45","South Carolina","45011980100","Barnwell County, SC - 45011980100","2013-2017","0.0%","",
"45","South Carolina","45013000100","Beaufort County, SC - 45013000100","2013-2017","32.6%","",
"45","South Carolina","45013000200","Beaufort County, SC - 45013000200","2013-2017","20.8%","",
"45","South Carolina","45013000300","Beaufort County, SC - 45013000300","2013-2017","10.0%","",
"45","South Carolina","45013000400","Beaufort County, SC - 45013000400","2013-2017","50.0%","",
"45","South Carolina","45013000501","Beaufort County, SC - 45013000501","2013-2017","27.2%","",
"45","South Carolina","45013000502","Beaufort County, SC - 45013000502","2013-2017","24.5%","",
"45","South Carolina","45013000503","Beaufort County, SC - 45013000503","2013-2017","15.3%","",
"45","South Carolina","45013000600","Beaufort County, SC - 45013000600","2013-2017","20.9%","",
"45","South Carolina","45013000700","Beaufort County, SC - 45013000700","2013-2017","17.8%","",
"45","South Carolina","45013000800","Beaufort County, SC - 45013000800","2013-2017","17.0%","",
"45","South Carolina","45013000901","Beaufort County, SC - 45013000901","2013-2017","12.9%","",
"45","South Carolina","45013000902","Beaufort County, SC - 45013000902","2013-2017","10.0%","",
"45","South Carolina","45013000903","Beaufort County, SC - 45013000903","2013-2017","18.3%","",
"45","South Carolina","45013001000","Beaufort County, SC - 45013001000","2013-2017","1.3%","",
"45","South Carolina","45013001101","Beaufort County, SC - 45013001101","2013-2017","17.7%","",
"45","South Carolina","45013001102","Beaufort County, SC - 45013001102","2013-2017","38.1%","",
"45","South Carolina","45013001200","Beaufort County, SC - 45013001200","2013-2017","3.5%","",
"45","South Carolina","45013002101","Beaufort County, SC - 45013002101","2013-2017","7.7%","",
"45","South Carolina","45013002102","Beaufort County, SC - 45013002102","2013-2017","6.7%","",
"45","South Carolina","45013002103","Beaufort County, SC - 45013002103","2013-2017","10.2%","",
"45","South Carolina","45013002104","Beaufort County, SC - 45013002104","2013-2017","7.0%","",
"45","South Carolina","45013002105","Beaufort County, SC - 45013002105","2013-2017","6.5%","",
"45","South Carolina","45013002106","Beaufort County, SC - 45013002106","2013-2017","5.2%","",
"45","South Carolina","45013002107","Beaufort County, SC - 45013002107","2013-2017","15.4%","",
"45","South Carolina","45013002108","Beaufort County, SC - 45013002108","2013-2017","6.9%","",
"45","South Carolina","45013002201","Beaufort County, SC - 45013002201","2013-2017","7.5%","",
"45","South Carolina","45013002202","Beaufort County, SC - 45013002202","2013-2017","4.5%","",
"45","South Carolina","45013010100","Beaufort County, SC - 45013010100","2013-2017","4.5%","",
"45","South Carolina","45013010200","Beaufort County, SC - 45013010200","2013-2017","11.8%","",
"45","South Carolina","45013010300","Beaufort County, SC - 45013010300","2013-2017","10.8%","",
"45","South Carolina","45013010400","Beaufort County, SC - 45013010400","2013-2017","6.1%","",
"45","South Carolina","45013010500","Beaufort County, SC - 45013010500","2013-2017","18.0%","",
"45","South Carolina","45013010600","Beaufort County, SC - 45013010600","2013-2017","4.3%","",
"45","South Carolina","45013010700","Beaufort County, SC - 45013010700","2013-2017","12.0%","",
"45","South Carolina","45013010800","Beaufort County, SC - 45013010800","2013-2017","27.1%","",
"45","South Carolina","45013010900","Beaufort County, SC - 45013010900","2013-2017","2.0%","",
"45","South Carolina","45013011000","Beaufort County, SC - 45013011000","2013-2017","12.2%","",
"45","South Carolina","45013011100","Beaufort County, SC - 45013011100","2013-2017","6.9%","",
"45","South Carolina","45013011200","Beaufort County, SC - 45013011200","2013-2017","8.4%","",
"45","South Carolina","45013011300","Beaufort County, SC - 45013011300","2013-2017","11.8%","",
"45","South Carolina","45013990100","Beaufort County, SC - 45013990100","2013-2017","0.0%","",
"45","South Carolina","45015020101","Berkeley County, SC - 45015020101","2013-2017","40.2%","",
"45","South Carolina","45015020102","Berkeley County, SC - 45015020102","2013-2017","32.1%","",
"45","South Carolina","45015020201","Berkeley County, SC - 45015020201","2013-2017","37.3%","",
"45","South Carolina","45015020202","Berkeley County, SC - 45015020202","2013-2017","39.0%","",
"45","South Carolina","45015020301","Berkeley County, SC - 45015020301","2013-2017","27.6%","",
"45","South Carolina","45015020302","Berkeley County, SC - 45015020302","2013-2017","16.2%","",
"45","South Carolina","45015020401","Berkeley County, SC - 45015020401","2013-2017","34.6%","",
"45","South Carolina","45015020403","Berkeley County, SC - 45015020403","2013-2017","5.7%","",
"45","South Carolina","45015020404","Berkeley County, SC - 45015020404","2013-2017","7.1%","",
"45","South Carolina","45015020405","Berkeley County, SC - 45015020405","2013-2017","30.7%","",
"45","South Carolina","45015020503","Berkeley County, SC - 45015020503","2013-2017","25.0%","",
"45","South Carolina","45015020504","Berkeley County, SC - 45015020504","2013-2017","35.9%","",
"45","South Carolina","45015020505","Berkeley County, SC - 45015020505","2013-2017","14.5%","",
"45","South Carolina","45015020506","Berkeley County, SC - 45015020506","2013-2017","23.9%","",
"45","South Carolina","45015020600","Berkeley County, SC - 45015020600","2013-2017","13.7%","",
"45","South Carolina","45015020707","Berkeley County, SC - 45015020707","2013-2017","7.6%","",
"45","South Carolina","45015020710","Berkeley County, SC - 45015020710","2013-2017","14.3%","",
"45","South Carolina","45015020711","Berkeley County, SC - 45015020711","2013-2017","7.5%","",
"45","South Carolina","45015020712","Berkeley County, SC - 45015020712","2013-2017","30.1%","",
"45","South Carolina","45015020713","Berkeley County, SC - 45015020713","2013-2017","11.7%","",
"45","South Carolina","45015020714","Berkeley County, SC - 45015020714","2013-2017","11.5%","",
"45","South Carolina","45015020715","Berkeley County, SC - 45015020715","2013-2017","14.9%","",
"45","South Carolina","45015020716","Berkeley County, SC - 45015020716","2013-2017","8.0%","",
"45","South Carolina","45015020717","Berkeley County, SC - 45015020717","2013-2017","22.9%","",
"45","South Carolina","45015020718","Berkeley County, SC - 45015020718","2013-2017","21.0%","",
"45","South Carolina","45015020719","Berkeley County, SC - 45015020719","2013-2017","5.7%","",
"45","South Carolina","45015020720","Berkeley County, SC - 45015020720","2013-2017","9.2%","",
"45","South Carolina","45015020721","Berkeley County, SC - 45015020721","2013-2017","7.1%","",
"45","South Carolina","45015020722","Berkeley County, SC - 45015020722","2013-2017","6.7%","",
"45","South Carolina","45015020723","Berkeley County, SC - 45015020723","2013-2017","16.3%","",
"45","South Carolina","45015020724","Berkeley County, SC - 45015020724","2013-2017","2.5%","",
"45","South Carolina","45015020725","Berkeley County, SC - 45015020725","2013-2017","1.0%","",
"45","South Carolina","45015020804","Berkeley County, SC - 45015020804","2013-2017","27.5%","",
"45","South Carolina","45015020806","Berkeley County, SC - 45015020806","2013-2017","22.9%","",
"45","South Carolina","45015020807","Berkeley County, SC - 45015020807","2013-2017","11.1%","",
"45","South Carolina","45015020808","Berkeley County, SC - 45015020808","2013-2017","16.7%","",
"45","South Carolina","45015020809","Berkeley County, SC - 45015020809","2013-2017","24.1%","",
"45","South Carolina","45015020810","Berkeley County, SC - 45015020810","2013-2017","20.2%","",
"45","South Carolina","45015020811","Berkeley County, SC - 45015020811","2013-2017","25.0%","",
"45","South Carolina","45015020812","Berkeley County, SC - 45015020812","2013-2017","4.5%","",
"45","South Carolina","45015020901","Berkeley County, SC - 45015020901","2013-2017","32.8%","",
"45","South Carolina","45015020903","Berkeley County, SC - 45015020903","2013-2017","8.1%","",
"45","South Carolina","45015020904","Berkeley County, SC - 45015020904","2013-2017","8.1%","",
"45","South Carolina","45015021000","Berkeley County, SC - 45015021000","2013-2017","25.7%","",
"45","South Carolina","45015980100","Berkeley County, SC - 45015980100","2013-2017","0.0%","",
"45","South Carolina","45017950100","Calhoun County, SC - 45017950100","2013-2017","34.4%","",
"45","South Carolina","45017950200","Calhoun County, SC - 45017950200","2013-2017","27.7%","",
"45","South Carolina","45017950400","Calhoun County, SC - 45017950400","2013-2017","39.6%","",
"45","South Carolina","45019000100","Charleston County, SC - 45019000100","2013-2017","15.9%","",
"45","South Carolina","45019000200","Charleston County, SC - 45019000200","2013-2017","2.3%","",
"45","South Carolina","45019000400","Charleston County, SC - 45019000400","2013-2017","29.9%","",
"45","South Carolina","45019000500","Charleston County, SC - 45019000500","2013-2017","7.5%","",
"45","South Carolina","45019000600","Charleston County, SC - 45019000600","2013-2017","6.6%","",
"45","South Carolina","45019000700","Charleston County, SC - 45019000700","2013-2017","19.1%","",
"45","South Carolina","45019000900","Charleston County, SC - 45019000900","2013-2017","31.2%","",
"45","South Carolina","45019001000","Charleston County, SC - 45019001000","2013-2017","15.8%","",
"45","South Carolina","45019001100","Charleston County, SC - 45019001100","2013-2017","35.4%","",
"45","South Carolina","45019001500","Charleston County, SC - 45019001500","2013-2017","28.0%","",
"45","South Carolina","45019001600","Charleston County, SC - 45019001600","2013-2017","16.5%","",
"45","South Carolina","45019001901","Charleston County, SC - 45019001901","2013-2017","11.3%","",
"45","South Carolina","45019001902","Charleston County, SC - 45019001902","2013-2017","5.3%","",
"45","South Carolina","45019002002","Charleston County, SC - 45019002002","2013-2017","9.6%","",
"45","South Carolina","45019002003","Charleston County, SC - 45019002003","2013-2017","11.6%","",
"45","South Carolina","45019002004","Charleston County, SC - 45019002004","2013-2017","5.5%","",
"45","South Carolina","45019002005","Charleston County, SC - 45019002005","2013-2017","4.1%","",
"45","South Carolina","45019002006","Charleston County, SC - 45019002006","2013-2017","15.5%","",
"45","South Carolina","45019002007","Charleston County, SC - 45019002007","2013-2017","2.2%","",
"45","South Carolina","45019002101","Charleston County, SC - 45019002101","2013-2017","12.1%","",
"45","South Carolina","45019002103","Charleston County, SC - 45019002103","2013-2017","18.3%","",
"45","South Carolina","45019002104","Charleston County, SC - 45019002104","2013-2017","1.6%","",
"45","South Carolina","45019002105","Charleston County, SC - 45019002105","2013-2017","3.8%","",
"45","South Carolina","45019002200","Charleston County, SC - 45019002200","2013-2017","25.0%","",
"45","South Carolina","45019002300","Charleston County, SC - 45019002300","2013-2017","26.0%","",
"45","South Carolina","45019002400","Charleston County, SC - 45019002400","2013-2017","29.9%","",
"45","South Carolina","45019002502","Charleston County, SC - 45019002502","2013-2017","31.4%","",
"45","South Carolina","45019002604","Charleston County, SC - 45019002604","2013-2017","13.4%","",
"45","South Carolina","45019002605","Charleston County, SC - 45019002605","2013-2017","20.3%","",
"45","South Carolina","45019002606","Charleston County, SC - 45019002606","2013-2017","6.4%","",
"45","South Carolina","45019002611","Charleston County, SC - 45019002611","2013-2017","11.8%","",
"45","South Carolina","45019002612","Charleston County, SC - 45019002612","2013-2017","23.5%","",
"45","South Carolina","45019002613","Charleston County, SC - 45019002613","2013-2017","23.1%","",
"45","South Carolina","45019002614","Charleston County, SC - 45019002614","2013-2017","10.8%","",
"45","South Carolina","45019002701","Charleston County, SC - 45019002701","2013-2017","25.0%","",
"45","South Carolina","45019002702","Charleston County, SC - 45019002702","2013-2017","28.3%","",
"45","South Carolina","45019002801","Charleston County, SC - 45019002801","2013-2017","14.8%","",
"45","South Carolina","45019002802","Charleston County, SC - 45019002802","2013-2017","10.9%","",
"45","South Carolina","45019002900","Charleston County, SC - 45019002900","2013-2017","12.4%","",
"45","South Carolina","45019003000","Charleston County, SC - 45019003000","2013-2017","6.9%","",
"45","South Carolina","45019003104","Charleston County, SC - 45019003104","2013-2017","39.9%","",
"45","South Carolina","45019003105","Charleston County, SC - 45019003105","2013-2017","40.3%","",
"45","South Carolina","45019003106","Charleston County, SC - 45019003106","2013-2017","16.9%","",
"45","South Carolina","45019003107","Charleston County, SC - 45019003107","2013-2017","27.6%","",
"45","South Carolina","45019003108","Charleston County, SC - 45019003108","2013-2017","23.6%","",
"45","South Carolina","45019003109","Charleston County, SC - 45019003109","2013-2017","25.4%","",
"45","South Carolina","45019003110","Charleston County, SC - 45019003110","2013-2017","35.3%","",
"45","South Carolina","45019003111","Charleston County, SC - 45019003111","2013-2017","34.6%","",
"45","South Carolina","45019003113","Charleston County, SC - 45019003113","2013-2017","20.1%","",
"45","South Carolina","45019003114","Charleston County, SC - 45019003114","2013-2017","7.9%","",
"45","South Carolina","45019003115","Charleston County, SC - 45019003115","2013-2017","18.7%","",
"45","South Carolina","45019003200","Charleston County, SC - 45019003200","2013-2017","0.0%","",
"45","South Carolina","45019003300","Charleston County, SC - 45019003300","2013-2017","39.3%","",
"45","South Carolina","45019003400","Charleston County, SC - 45019003400","2013-2017","47.3%","",
"45","South Carolina","45019003500","Charleston County, SC - 45019003500","2013-2017","15.7%","",
"45","South Carolina","45019003600","Charleston County, SC - 45019003600","2013-2017","25.9%","",
"45","South Carolina","45019003700","Charleston County, SC - 45019003700","2013-2017","47.9%","",
"45","South Carolina","45019003800","Charleston County, SC - 45019003800","2013-2017","44.9%","",
"45","South Carolina","45019003900","Charleston County, SC - 45019003900","2013-2017","22.1%","",
"45","South Carolina","45019004000","Charleston County, SC - 45019004000","2013-2017","43.3%","",
"45","South Carolina","45019004300","Charleston County, SC - 45019004300","2013-2017","48.1%","",
"45","South Carolina","45019004400","Charleston County, SC - 45019004400","2013-2017","47.4%","",
"45","South Carolina","45019004606","Charleston County, SC - 45019004606","2013-2017","14.4%","",
"45","South Carolina","45019004607","Charleston County, SC - 45019004607","2013-2017","13.8%","",
"45","South Carolina","45019004608","Charleston County, SC - 45019004608","2013-2017","2.7%","",
"45","South Carolina","45019004609","Charleston County, SC - 45019004609","2013-2017","4.3%","",
"45","South Carolina","45019004610","Charleston County, SC - 45019004610","2013-2017","22.3%","",
"45","South Carolina","45019004611","Charleston County, SC - 45019004611","2013-2017","9.9%","",
"45","South Carolina","45019004612","Charleston County, SC - 45019004612","2013-2017","4.7%","",
"45","South Carolina","45019004613","Charleston County, SC - 45019004613","2013-2017","0.0%","",
"45","South Carolina","45019004614","Charleston County, SC - 45019004614","2013-2017","8.0%","",
"45","South Carolina","45019004701","Charleston County, SC - 45019004701","2013-2017","9.2%","",
"45","South Carolina","45019004702","Charleston County, SC - 45019004702","2013-2017","11.7%","",
"45","South Carolina","45019004800","Charleston County, SC - 45019004800","2013-2017","5.5%","",
"45","South Carolina","45019004901","Charleston County, SC - 45019004901","2013-2017","5.6%","",
"45","South Carolina","45019004902","Charleston County, SC - 45019004902","2013-2017","5.3%","",
"45","South Carolina","45019005000","Charleston County, SC - 45019005000","2013-2017","34.9%","",
"45","South Carolina","45019005100","Charleston County, SC - 45019005100","2013-2017","19.8%","",
"45","South Carolina","45019005200","Charleston County, SC - 45019005200","2013-2017","16.0%","",
"45","South Carolina","45019005300","Charleston County, SC - 45019005300","2013-2017","49.0%","",
"45","South Carolina","45019005400","Charleston County, SC - 45019005400","2013-2017","46.7%","",
"45","South Carolina","45019005500","Charleston County, SC - 45019005500","2013-2017","67.4%","",
"45","South Carolina","45019005600","Charleston County, SC - 45019005600","2013-2017","7.6%","",
"45","South Carolina","45019005700","Charleston County, SC - 45019005700","2013-2017","6.1%","",
"45","South Carolina","45019005800","Charleston County, SC - 45019005800","2013-2017","13.8%","",
"45","South Carolina","45019990100","Charleston County, SC - 45019990100","2013-2017","0.0%","",
"45","South Carolina","45021970100","Cherokee County, SC - 45021970100","2013-2017","37.2%","",
"45","South Carolina","45021970201","Cherokee County, SC - 45021970201","2013-2017","37.8%","",
"45","South Carolina","45021970202","Cherokee County, SC - 45021970202","2013-2017","15.8%","",
"45","South Carolina","45021970301","Cherokee County, SC - 45021970301","2013-2017","36.5%","",
"45","South Carolina","45021970302","Cherokee County, SC - 45021970302","2013-2017","37.2%","",
"45","South Carolina","45021970401","Cherokee County, SC - 45021970401","2013-2017","36.9%","",
"45","South Carolina","45021970402","Cherokee County, SC - 45021970402","2013-2017","38.0%","",
"45","South Carolina","45021970501","Cherokee County, SC - 45021970501","2013-2017","38.2%","",
"45","South Carolina","45021970502","Cherokee County, SC - 45021970502","2013-2017","47.0%","",
"45","South Carolina","45021970503","Cherokee County, SC - 45021970503","2013-2017","41.0%","",
"45","South Carolina","45021970601","Cherokee County, SC - 45021970601","2013-2017","31.0%","",
"45","South Carolina","45021970602","Cherokee County, SC - 45021970602","2013-2017","31.1%","",
"45","South Carolina","45021970700","Cherokee County, SC - 45021970700","2013-2017","41.7%","",
"45","South Carolina","45023020100","Chester County, SC - 45023020100","2013-2017","47.1%","",
"45","South Carolina","45023020200","Chester County, SC - 45023020200","2013-2017","56.5%","",
"45","South Carolina","45023020300","Chester County, SC - 45023020300","2013-2017","55.8%","",
"45","South Carolina","45023020400","Chester County, SC - 45023020400","2013-2017","35.5%","",
"45","South Carolina","45023020500","Chester County, SC - 45023020500","2013-2017","47.1%","",
"45","South Carolina","45023020601","Chester County, SC - 45023020601","2013-2017","46.5%","",
"45","South Carolina","45023020602","Chester County, SC - 45023020602","2013-2017","29.5%","",
"45","South Carolina","45023020700","Chester County, SC - 45023020700","2013-2017","33.2%","",
"45","South Carolina","45023020800","Chester County, SC - 45023020800","2013-2017","25.9%","",
"45","South Carolina","45023020900","Chester County, SC - 45023020900","2013-2017","43.4%","",
"45","South Carolina","45023021000","Chester County, SC - 45023021000","2013-2017","41.2%","",
"45","South Carolina","45025950101","Chesterfield County, SC - 45025950101","2013-2017","32.4%","",
"45","South Carolina","45025950102","Chesterfield County, SC - 45025950102","2013-2017","38.8%","",
"45","South Carolina","45025950200","Chesterfield County, SC - 45025950200","2013-2017","36.5%","",
"45","South Carolina","45025950300","Chesterfield County, SC - 45025950300","2013-2017","29.4%","",
"45","South Carolina","45025950400","Chesterfield County, SC - 45025950400","2013-2017","27.7%","",
"45","South Carolina","45025950501","Chesterfield County, SC - 45025950501","2013-2017","32.9%","",
"45","South Carolina","45025950502","Chesterfield County, SC - 45025950502","2013-2017","34.2%","",
"45","South Carolina","45025950600","Chesterfield County, SC - 45025950600","2013-2017","34.1%","",
"45","South Carolina","45025950700","Chesterfield County, SC - 45025950700","2013-2017","35.3%","",
"45","South Carolina","45025950800","Chesterfield County, SC - 45025950800","2013-2017","29.3%","",
"45","South Carolina","45027960100","Clarendon County, SC - 45027960100","2013-2017","33.1%","",
"45","South Carolina","45027960201","Clarendon County, SC - 45027960201","2013-2017","31.0%","",
"45","South Carolina","45027960202","Clarendon County, SC - 45027960202","2013-2017","0.0%","",
"45","South Carolina","45027960300","Clarendon County, SC - 45027960300","2013-2017","46.5%","",
"45","South Carolina","45027960400","Clarendon County, SC - 45027960400","2013-2017","30.3%","",
"45","South Carolina","45027960500","Clarendon County, SC - 45027960500","2013-2017","35.0%","",
"45","South Carolina","45027960600","Clarendon County, SC - 45027960600","2013-2017","22.8%","",
"45","South Carolina","45027960701","Clarendon County, SC - 45027960701","2013-2017","27.7%","",
"45","South Carolina","45027960702","Clarendon County, SC - 45027960702","2013-2017","29.6%","",
"45","South Carolina","45027960703","Clarendon County, SC - 45027960703","2013-2017","23.6%","",
"45","South Carolina","45027960801","Clarendon County, SC - 45027960801","2013-2017","50.0%","",
"45","South Carolina","45027960802","Clarendon County, SC - 45027960802","2013-2017","33.8%","",
"45","South Carolina","45029970100","Colleton County, SC - 45029970100","2013-2017","39.5%","",
"45","South Carolina","45029970200","Colleton County, SC - 45029970200","2013-2017","23.4%","",
"45","South Carolina","45029970300","Colleton County, SC - 45029970300","2013-2017","26.1%","",
"45","South Carolina","45029970401","Colleton County, SC - 45029970401","2013-2017","21.6%","",
"45","South Carolina","45029970402","Colleton County, SC - 45029970402","2013-2017","15.0%","",
"45","South Carolina","45029970500","Colleton County, SC - 45029970500","2013-2017","30.6%","",
"45","South Carolina","45029970600","Colleton County, SC - 45029970600","2013-2017","16.3%","",
"45","South Carolina","45029970700","Colleton County, SC - 45029970700","2013-2017","17.0%","",
"45","South Carolina","45029970800","Colleton County, SC - 45029970800","2013-2017","17.3%","",
"45","South Carolina","45029990100","Colleton County, SC - 45029990100","2013-2017","0.0%","",
"45","South Carolina","45031010100","Darlington County, SC - 45031010100","2013-2017","45.7%","",
"45","South Carolina","45031010200","Darlington County, SC - 45031010200","2013-2017","23.4%","",
"45","South Carolina","45031010300","Darlington County, SC - 45031010300","2013-2017","25.4%","",
"45","South Carolina","45031010400","Darlington County, SC - 45031010400","2013-2017","19.9%","",
"45","South Carolina","45031010500","Darlington County, SC - 45031010500","2013-2017","15.0%","",
"45","South Carolina","45031010600","Darlington County, SC - 45031010600","2013-2017","31.1%","",
