name1,name2,street1,street2,city,state,zip,zip4,county,phone,intake_prompt,intake1,intake2,website,latitude,longitude,type_facility,mh,psy,rtcc,rtca,ores,ph,omh,cmhc,msmh,ipt,cft,gt,cbt,dbt,bmt,idd,tt,at,ect,tele,smon,smpd,smop,hi,res,phdt,op,vamc,sma,osg,lmg,tbg,ih,sf,md,mc,si,pi,mi,smha,swfs,scjj,sef,osf,clf,csbg,cmhg,vaf,cit,wi,ss,pa,ah,sp,co,gl,vet,adm,mf,cj,se,hv,trma,sed,smi,alz,ptsd,tbi,tay,ped,act,icm,cm,cdm,peer,coot,dec,es,fpsy,hs,imr,ipc,lad,nrt,nsc,prs,stu,sps,semp,sh,tpc,tcc,vrs,chld,yad,adlt,snr,itu,pvtp,pvtn,fqhc,vo,sumh,ccbhc,chlor,drope,fluph,halop,loxap,perph,pimoz,proch,thiot,thior,trifl,aripi,asena,brexp,carip,cloza,ilope,luras,olanz,olanzf,palip,queti,rispe,zipra,crt,emdr,kit,tms,peon,peoff,fg,pcf,dv,pefp,hivt,shb,shc,stdt,tbs,aot,ptm,msnh,f17,f19,f25,f28,f30,f31,f35,f36,f37,f4,f42,f43,f47,f66,f67,f70,f81,f92,n13,n18,n23,n24,n40
Bamberg County Clinic,,5573 Carolina Highway,,Denmark,SC,29042,,Bamberg,803-793-4274,,,,http://www.scdmh.org,33.323491,-81.142446,MH,1,,,,,,,1,,1,1,1,1,,1,,1,,,1,,1,,,,,1,,1,,,,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,,1,,1,,,,,1,1,,1,1,1,,1,,1,,,,1,,,1,,,1,1,,,,,,,,1,,1,,,,1,1,1,1,,,,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairfield County Clinic,Adult and Child/Adol/Family Servs,1073 U.S. Highway 321 ByPass South,,Winnsboro,SC,29180,,Fairfield,803-737-3039,Intake,803-635-4689,,http://www.scdmh.org,34.3534791,-81.0927587,MH,1,,,,,,,1,,1,,,1,,1,,1,,,1,1,,,,,,1,,1,,,,,1,1,1,1,1,1,1,,,,,1,,,1,1,1,,,1,,1,,,,,1,1,,1,1,1,1,1,,1,,,,1,,,1,,,1,1,,,,,,1,,1,1,1,,,1,1,1,1,1,,,,1,,1,,,,1,1,,,,,,,,1,,,,1,,,1,,,1,1,1,,,,,1,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Charlie Norwood VAMC,Aiken CBOC,951 Milbrook Avenue,,Aiken,SC,29803,,Aiken,706-733-0188,Intake,803-643-9016,,http://,33.5208428,-81.7200217,MH,1,,,,,,,,,1,1,1,1,,,,1,,,1,1,,,,,,1,1,,,,,,,1,1,,1,1,,,,,,,,,1,1,1,,,1,,,,1,,1,,,,1,,1,,1,,,,,1,,1,,,1,1,1,1,,,,1,1,1,1,1,1,1,,1,1,,1,1,1,,,,,1,,,,,,,,,,,,,,1,,,,1,,1,1,1,1,1,1,1,,,,,1,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Aiken/Barnwell Mental Health Center,,1135 Gregg Street,,Aiken,SC,29801,6341,Aiken,803-641-7700,,,,http://www.state.sc.us/dmh/ab/,33.5648102,-81.77353,MH,1,,,,,,,1,,1,1,1,1,1,1,1,1,,,1,1,,,,,,1,,1,,,,,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,,,1,,1,1,,,,1,1,,1,1,1,,1,,1,,,,1,,1,1,,,,1,,,,,,1,,1,,,,,,1,1,1,1,,,,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,,1,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beckman Center for Mental Health,Newberry Clinic,2043 Medical Park Drive,,Newberry,SC,29108,,Newberry,803-276-8000,,,,http://www.beckmancenter.com,34.291536,-81.6084469,MH,1,,,,,,,1,,1,1,1,1,1,,1,1,,,1,,1,,,,,1,,1,,,,,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,,,1,,1,,,,,1,,,1,1,1,,1,,1,,1,,1,,,1,,,1,1,,,,,,1,,1,1,1,,,,1,1,1,1,,,,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aiken/Barnwell Mental Health Center,The Polly Best Center,916 Reynolds Road,,Barnwell,SC,29812,6358,Barnwell,803-259-7170,Intake,,803-641-7700,http://www.state.sc.us/dmh/ab/index.html,33.256606,-81.3592551,MH,1,,,,,,,1,,1,1,1,1,,,1,1,,,1,1,,,,,,1,,1,,,,,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,,,1,,1,,,,,1,,,1,1,1,,1,,1,,1,1,1,,1,1,1,1,1,1,,,,1,1,1,1,1,,1,,1,,1,1,1,1,,,,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santee/Wateree Mental Health Center,Kershaw County Mental Health Clinic,2611 Liberty Hill Road,,Camden,SC,29020,,Kershaw,803-432-5323,,,,http://www.scdmh.net,34.27694,-80.612137,MH,1,,,,,,,1,,1,1,1,1,1,,,1,,,1,,1,,,,,1,,1,,,,,1,1,1,1,1,1,1,1,1,,,1,,1,1,1,1,,,1,1,1,,,,,1,1,,1,1,1,,1,,1,,,,1,,1,1,,,1,1,,,,,,1,,1,,1,,,,1,1,1,1,,,,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beckman Center for Mental Health,Edgefield Clinic,200 Ridge Medical Plaza,,Edgefield,SC,29824,,Edgefield,803-637-5788,,,,http://www.beckmancenter.com,33.7789656,-81.9296959,MH,1,,,,,,,1,,1,1,1,1,1,,1,1,,,1,,1,,,,,1,,1,,,,,1,1,1,1,1,1,,1,,,,,1,1,1,1,1,,,1,,1,,,,,1,,,1,1,1,,1,,1,,1,,1,,,1,,,1,1,,,,,,1,,1,,1,,,,1,1,1,1,,,,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santee/Wateree Mental Health Center,Individual Placement and Support (IPS),1175 North Guignard Drive,,Sumter,SC,29150,,Sumter,803-775-9364,,,,http://,33.9497555,-80.3810446,MH,1,,,,,,,1,,1,1,1,1,1,1,,1,,,1,1,,,,,,1,,1,,,,,1,1,1,,1,1,,1,1,,1,,1,1,1,1,,,,1,,1,1,,,,,,,1,1,1,,1,,1,,1,,1,,1,1,,1,1,,,,,,,1,,,1,,,,1,1,1,1,1,,,,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santee/Wateree Mental Health Center,Sumter Clinic,801 North Pike West,,Sumter,SC,29153,,Sumter,803-934-4371,Intakes,803-775-7898,803-775-9364,http://www.scdmh.net,33.955297,-80.367379,MH,1,,,,,,,1,,1,1,1,1,1,,,1,,,1,,1,,,,,1,,1,,,,,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,,,1,,1,,,,,1,1,,1,1,1,,1,,1,,,,1,,1,1,,,1,,,,,,,1,,1,1,,,,,1,1,1,1,,,,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William Jennings Bryan Dorn VAMC,Sumter County Clinic,407 North Salem Avenue,,Sumter,SC,29150,,Sumter,803-938-9901,,,,http://,33.9293956,-80.3504216,MH,1,,,,,,,,,1,,1,1,,1,,1,,,1,1,,,,,,1,1,,,,,,1,,,,1,,,,,,,,,,1,1,,,,,,,1,1,,,,,,1,,,,1,,,,,,1,,,,,,1,,,1,,,,,,1,,,,,,,1,1,1,,,,,1,,,,,1,1,,,,,,,,1,,,,1,,1,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aiken/Barnwell Mental Health Center,Hartzog Center,431 West Martintown Road,,North Augusta,SC,29841,,Aiken,803-278-0880,Intake,,803-641-7700,http://www.scdmh.org,33.5092227,-81.9721891,MH,1,,,,,,,1,,1,1,1,1,1,,1,1,,,1,1,,,,,,1,,1,,,,,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,,,1,,1,,,,,1,,,1,1,1,,1,,1,,1,,1,,1,1,,1,1,1,,,,,,1,1,1,,,,1,,1,1,1,1,,,,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santee/Wateree Mental Health Center,Clarendon County Clinic,215 Commerce Street,,Manning,SC,29102,2638,Clarendon,803-435-2124,Intake,,803-435-2112,http://www.scdmh.net_wateree/SWInternet/main1.asp,33.69651,-80.225491,MH,1,,,,,,,1,,1,1,1,1,1,1,1,1,,,1,,1,,,,,1,,1,,,,,1,1,1,1,1,1,1,1,1,,,1,,1,1,1,1,,,1,,1,,,,,1,1,,1,1,1,,1,,1,,,,1,,1,1,,,1,,,,,,,1,,1,,1,,,,1,1,1,1,,,,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orangeburg County Mental Health,Holly Hill Mental Health Clinic,1375 Gilway Extension,,Holly Hill,SC,29059,,Orangeburg,803-496-3410 x125,Intakes,803-496-3410 x121,803-496-3410 x122,http://scdmh.org,33.3253459,-80.4202423,MH,1,,,,,,,1,,1,1,1,1,,,,1,,,1,,1,,,,,1,,1,,,,,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,,,1,,1,,,,,1,1,,1,1,1,,1,,1,,,,1,,,1,,,1,,,,,,,,,1,,,,,,1,1,1,1,,,,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastal Empire Community MH Ctr,Allendale County Mental Health Clinic,603 Barnwell Highway,,Allendale,SC,29810,,Allendale,803-584-4636,,,,http://scdmh.org,33.029826,-81.314131,MH,1,,,,,,,1,,1,1,1,1,,,,1,,,1,1,,,,,,1,,1,,,,,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,,,1,,1,,,,,1,1,,1,1,1,,1,,1,,,,1,,,1,,,1,,,,,,,,,1,,,,,,1,1,1,1,,,,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santee/Wateree Mental Health Center,Lee County Clinic,817 Brown Street,,Bishopville,SC,29010,,Lee,803-484-9414,,,,http://www.scdmh.net,34.228375,-80.257515,MH,1,,,,,,,1,,1,1,1,1,,1,,1,1,,1,,1,,,,,1,,1,,,,,1,1,1,1,1,1,,1,1,,1,,,1,1,1,1,,,1,,1,1,,,,1,1,1,1,1,1,,1,1,1,,,,1,1,1,1,,,1,,,,,,,1,,1,,,,,,1,1,1,1,,,,,,1,,,,1,1,,,,,,,,1,,,,,,1,1,,1,1,1,1,,,,,1,1,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Catawba Community Mental Health Center,Chester Clinic,524 Doctors Court,,Chester,SC,29706,,Chester,803-581-8311,,,,http://www.scdmh.net,34.6887701,-81.1915863,MH,1,,,,,,,1,,1,1,1,1,,,,1,,,1,,1,,,,,1,,1,,,,,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,,,1,,1,1,,,,1,1,,1,1,1,,1,,1,,1,,1,,1,1,,,1,1,,1,,,,1,,1,,1,,,,1,1,1,1,,,,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beckman Center for Mental Health,Greenwood Offices,1547 Parkway,,Greenwood,SC,29646,,Greenwood,864-223-8331,,,,http://www.beckmancenter.com,34.1688048,-82.1547476,MH,1,,,,,,,1,,1,1,1,1,1,,1,1,,,1,,1,,,,,1,,1,,,,,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,,,1,,1,,,,,1,,,1,1,1,,1,,1,,1,,1,,1,1,1,,1,1,,1,,,,1,,1,1,1,,,,1,1,1,1,,,,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
