Site Name,EPA ID,City,County,State,ZIP Code,Site Location,Latitude,Longitude,Region,NPL Status,Superfund Alternative Agreement,Federal Facility,Operable Unit Number,Sequence ID,Decision Document Type,Actual Completion Date,Fiscal Year,Media,Contaminant Name,latitude,longitude,geo_method,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,Groundwater,DICHLOROMETHANE (METHYLENE CHLORIDE),33.39387,-81.398875,osm,33.396357,-81.397914,0.96,nearest_street,955,State Rd S-6-215,,,Williston,SC,Barnwell County,29853,US,TIGER/Line® dataset from the US Census Bureau
ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,Sludge,IRON,33.39387,-81.398875,osm,33.396357,-81.397914,0.96,nearest_street,955,State Rd S-6-215,,,Williston,SC,Barnwell County,29853,US,TIGER/Line® dataset from the US Census Bureau
ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,Soil,IRON,33.39387,-81.398875,osm,33.396357,-81.397914,0.96,nearest_street,955,State Rd S-6-215,,,Williston,SC,Barnwell County,29853,US,TIGER/Line® dataset from the US Census Bureau
ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,Groundwater,MERCURY,33.39387,-81.398875,osm,33.396357,-81.397914,0.96,nearest_street,955,State Rd S-6-215,,,Williston,SC,Barnwell County,29853,US,TIGER/Line® dataset from the US Census Bureau
ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,Groundwater,NICKEL,33.39387,-81.398875,osm,33.396357,-81.397914,0.96,nearest_street,955,State Rd S-6-215,,,Williston,SC,Barnwell County,29853,US,TIGER/Line® dataset from the US Census Bureau
ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,Sediment,NICKEL,33.39387,-81.398875,osm,33.396357,-81.397914,0.96,nearest_street,955,State Rd S-6-215,,,Williston,SC,Barnwell County,29853,US,TIGER/Line® dataset from the US Census Bureau
ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,Sludge,NICKEL,33.39387,-81.398875,osm,33.396357,-81.397914,0.96,nearest_street,955,State Rd S-6-215,,,Williston,SC,Barnwell County,29853,US,TIGER/Line® dataset from the US Census Bureau
ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,Soil,NICKEL,33.39387,-81.398875,osm,33.396357,-81.397914,0.96,nearest_street,955,State Rd S-6-215,,,Williston,SC,Barnwell County,29853,US,TIGER/Line® dataset from the US Census Bureau
ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,Surface Water,NICKEL,33.39387,-81.398875,osm,33.396357,-81.397914,0.96,nearest_street,955,State Rd S-6-215,,,Williston,SC,Barnwell County,29853,US,TIGER/Line® dataset from the US Census Bureau
ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,Groundwater,TETRACHLOROETHENE,33.39387,-81.398875,osm,33.396357,-81.397914,0.96,nearest_street,955,State Rd S-6-215,,,Williston,SC,Barnwell County,29853,US,TIGER/Line® dataset from the US Census Bureau
ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,Groundwater,TRICHLOROETHENE,33.39387,-81.398875,osm,33.396357,-81.397914,0.96,nearest_street,955,State Rd S-6-215,,,Williston,SC,Barnwell County,29853,US,TIGER/Line® dataset from the US Census Bureau
ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,Sediment,ZINC,33.39387,-81.398875,osm,33.396357,-81.397914,0.96,nearest_street,955,State Rd S-6-215,,,Williston,SC,Barnwell County,29853,US,TIGER/Line® dataset from the US Census Bureau
ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,Sludge,ZINC,33.39387,-81.398875,osm,33.396357,-81.397914,0.96,nearest_street,955,State Rd S-6-215,,,Williston,SC,Barnwell County,29853,US,TIGER/Line® dataset from the US Census Bureau
ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,Soil,ZINC,33.39387,-81.398875,osm,33.396357,-81.397914,0.96,nearest_street,955,State Rd S-6-215,,,Williston,SC,Barnwell County,29853,US,TIGER/Line® dataset from the US Census Bureau
ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,Surface Water,ZINC,33.39387,-81.398875,osm,33.396357,-81.397914,0.96,nearest_street,955,State Rd S-6-215,,,Williston,SC,Barnwell County,29853,US,TIGER/Line® dataset from the US Census Bureau
AQUA-TECH ENVIRONMENTAL INC (GROCE LABS),SCD058754789,GREER,SPARTANBURG,SC,29651,340 Robinson Road,34.9328,-82.1725,4,Currently on the Final NPL,N,N,1,1,Record of Decision,9/30/03,2003,Groundwater,"1,1,2,2-TETRACHLOROETHANE",34.9328,-82.1725,osm,34.9368,-82.172769,0.95,nearest_street,1685,State Hwy 290,,,Greer,SC,Spartanburg County,29651,US,TIGER/Line® dataset from the US Census Bureau
AQUA-TECH ENVIRONMENTAL INC (GROCE LABS),SCD058754789,GREER,SPARTANBURG,SC,29651,340 Robinson Road,34.9328,-82.1725,4,Currently on the Final NPL,N,N,1,1,Record of Decision,9/30/03,2003,Groundwater,"1,1-DICHLOROETHENE",34.9328,-82.1725,osm,34.9368,-82.172769,0.95,nearest_street,1685,State Hwy 290,,,Greer,SC,Spartanburg County,29651,US,TIGER/Line® dataset from the US Census Bureau
AQUA-TECH ENVIRONMENTAL INC (GROCE LABS),SCD058754789,GREER,SPARTANBURG,SC,29651,340 Robinson Road,34.9328,-82.1725,4,Currently on the Final NPL,N,N,1,1,Record of Decision,9/30/03,2003,Soil,AROCLOR 1242,34.9328,-82.1725,osm,34.9368,-82.172769,0.95,nearest_street,1685,State Hwy 290,,,Greer,SC,Spartanburg County,29651,US,TIGER/Line® dataset from the US Census Bureau
AQUA-TECH ENVIRONMENTAL INC (GROCE LABS),SCD058754789,GREER,SPARTANBURG,SC,29651,340 Robinson Road,34.9328,-82.1725,4,Currently on the Final NPL,N,N,1,1,Record of Decision,9/30/03,2003,Groundwater,BENZENE,34.9328,-82.1725,osm,34.9368,-82.172769,0.95,nearest_street,1685,State Hwy 290,,,Greer,SC,Spartanburg County,29651,US,TIGER/Line® dataset from the US Census Bureau
AQUA-TECH ENVIRONMENTAL INC (GROCE LABS),SCD058754789,GREER,SPARTANBURG,SC,29651,340 Robinson Road,34.9328,-82.1725,4,Currently on the Final NPL,N,N,1,1,Record of Decision,9/30/03,2003,Groundwater,CHLOROETHENE (VINYL CHLORIDE),34.9328,-82.1725,osm,34.9368,-82.172769,0.95,nearest_street,1685,State Hwy 290,,,Greer,SC,Spartanburg County,29651,US,TIGER/Line® dataset from the US Census Bureau
AQUA-TECH ENVIRONMENTAL INC (GROCE LABS),SCD058754789,GREER,SPARTANBURG,SC,29651,340 Robinson Road,34.9328,-82.1725,4,Currently on the Final NPL,N,N,1,1,Record of Decision,9/30/03,2003,Groundwater,"CIS-1,2-DICHLOROETHENE",34.9328,-82.1725,osm,34.9368,-82.172769,0.95,nearest_street,1685,State Hwy 290,,,Greer,SC,Spartanburg County,29651,US,TIGER/Line® dataset from the US Census Bureau
AQUA-TECH ENVIRONMENTAL INC (GROCE LABS),SCD058754789,GREER,SPARTANBURG,SC,29651,340 Robinson Road,34.9328,-82.1725,4,Currently on the Final NPL,N,N,1,1,Record of Decision,9/30/03,2003,Soil,IRON,34.9328,-82.1725,osm,34.9368,-82.172769,0.95,nearest_street,1685,State Hwy 290,,,Greer,SC,Spartanburg County,29651,US,TIGER/Line® dataset from the US Census Bureau
AQUA-TECH ENVIRONMENTAL INC (GROCE LABS),SCD058754789,GREER,SPARTANBURG,SC,29651,340 Robinson Road,34.9328,-82.1725,4,Currently on the Final NPL,N,N,1,1,Record of Decision,9/30/03,2003,Soil,LEAD,34.9328,-82.1725,osm,34.9368,-82.172769,0.95,nearest_street,1685,State Hwy 290,,,Greer,SC,Spartanburg County,29651,US,TIGER/Line® dataset from the US Census Bureau
AQUA-TECH ENVIRONMENTAL INC (GROCE LABS),SCD058754789,GREER,SPARTANBURG,SC,29651,340 Robinson Road,34.9328,-82.1725,4,Currently on the Final NPL,N,N,1,1,Record of Decision,9/30/03,2003,Soil,MERCURY,34.9328,-82.1725,osm,34.9368,-82.172769,0.95,nearest_street,1685,State Hwy 290,,,Greer,SC,Spartanburg County,29651,US,TIGER/Line® dataset from the US Census Bureau
AQUA-TECH ENVIRONMENTAL INC (GROCE LABS),SCD058754789,GREER,SPARTANBURG,SC,29651,340 Robinson Road,34.9328,-82.1725,4,Currently on the Final NPL,N,N,1,1,Record of Decision,9/30/03,2003,Groundwater,TETRACHLOROETHENE,34.9328,-82.1725,osm,34.9368,-82.172769,0.95,nearest_street,1685,State Hwy 290,,,Greer,SC,Spartanburg County,29651,US,TIGER/Line® dataset from the US Census Bureau
AQUA-TECH ENVIRONMENTAL INC (GROCE LABS),SCD058754789,GREER,SPARTANBURG,SC,29651,340 Robinson Road,34.9328,-82.1725,4,Currently on the Final NPL,N,N,1,1,Record of Decision,9/30/03,2003,Soil,THALLIUM,34.9328,-82.1725,osm,34.9368,-82.172769,0.95,nearest_street,1685,State Hwy 290,,,Greer,SC,Spartanburg County,29651,US,TIGER/Line® dataset from the US Census Bureau
AQUA-TECH ENVIRONMENTAL INC (GROCE LABS),SCD058754789,GREER,SPARTANBURG,SC,29651,340 Robinson Road,34.9328,-82.1725,4,Currently on the Final NPL,N,N,1,1,Record of Decision,9/30/03,2003,Groundwater,TRICHLOROETHENE,34.9328,-82.1725,osm,34.9368,-82.172769,0.95,nearest_street,1685,State Hwy 290,,,Greer,SC,Spartanburg County,29651,US,TIGER/Line® dataset from the US Census Bureau
AQUA-TECH ENVIRONMENTAL INC (GROCE LABS),SCD058754789,GREER,SPARTANBURG,SC,29651,340 Robinson Road,34.9328,-82.1725,4,Currently on the Final NPL,N,N,1,1,Record of Decision,9/30/03,2003,Soil,TRICHLOROETHENE,34.9328,-82.1725,osm,34.9368,-82.172769,0.95,nearest_street,1685,State Hwy 290,,,Greer,SC,Spartanburg County,29651,US,TIGER/Line® dataset from the US Census Bureau
BEAUNIT CORP. (CIRCULAR KNIT & DYEING PLANT),SCD000447268,FOUNTAIN INN,GREENVILLE,SC,29644,206 GEORGIA AVE,34.698061,-82.216111,4,Currently on the Final NPL,N,N,1,1,Record of Decision,9/29/95,1995,Groundwater,2-METHYLNAPHTHALENE,34.6912995,-82.19889996,osm,34.691601,-82.198283,1,rooftop,210,S Main St,,,Fountain Inn,SC,Greenville County,29644,US,Greenville
BEAUNIT CORP. (CIRCULAR KNIT & DYEING PLANT),SCD000447268,FOUNTAIN INN,GREENVILLE,SC,29644,206 GEORGIA AVE,34.698061,-82.216111,4,Currently on the Final NPL,N,N,1,1,Record of Decision,9/29/95,1995,Soil,ARSENIC,34.6912995,-82.19889996,osm,34.691601,-82.198283,1,rooftop,210,S Main St,,,Fountain Inn,SC,Greenville County,29644,US,Greenville
BEAUNIT CORP. (CIRCULAR KNIT & DYEING PLANT),SCD000447268,FOUNTAIN INN,GREENVILLE,SC,29644,206 GEORGIA AVE,34.698061,-82.216111,4,Currently on the Final NPL,N,N,1,1,Record of Decision,9/29/95,1995,Groundwater,BENZENE,34.6912995,-82.19889996,osm,34.691601,-82.198283,1,rooftop,210,S Main St,,,Fountain Inn,SC,Greenville County,29644,US,Greenville
BEAUNIT CORP. (CIRCULAR KNIT & DYEING PLANT),SCD000447268,FOUNTAIN INN,GREENVILLE,SC,29644,206 GEORGIA AVE,34.698061,-82.216111,4,Currently on the Final NPL,N,N,1,1,Record of Decision,9/29/95,1995,Groundwater,BERYLLIUM,34.6912995,-82.19889996,osm,34.691601,-82.198283,1,rooftop,210,S Main St,,,Fountain Inn,SC,Greenville County,29644,US,Greenville
BEAUNIT CORP. (CIRCULAR KNIT & DYEING PLANT),SCD000447268,FOUNTAIN INN,GREENVILLE,SC,29644,206 GEORGIA AVE,34.698061,-82.216111,4,Currently on the Final NPL,N,N,1,1,Record of Decision,9/29/95,1995,Groundwater,CHROMIUM,34.6912995,-82.19889996,osm,34.691601,-82.198283,1,rooftop,210,S Main St,,,Fountain Inn,SC,Greenville County,29644,US,Greenville
BEAUNIT CORP. (CIRCULAR KNIT & DYEING PLANT),SCD000447268,FOUNTAIN INN,GREENVILLE,SC,29644,206 GEORGIA AVE,34.698061,-82.216111,4,Currently on the Final NPL,N,N,1,1,Record of Decision,9/29/95,1995,Groundwater,MANGANESE,34.6912995,-82.19889996,osm,34.691601,-82.198283,1,rooftop,210,S Main St,,,Fountain Inn,SC,Greenville County,29644,US,Greenville
BEAUNIT CORP. (CIRCULAR KNIT & DYEING PLANT),SCD000447268,FOUNTAIN INN,GREENVILLE,SC,29644,206 GEORGIA AVE,34.698061,-82.216111,4,Currently on the Final NPL,N,N,1,1,Record of Decision,9/29/95,1995,Groundwater,NAPHTHALENE,34.6912995,-82.19889996,osm,34.691601,-82.198283,1,rooftop,210,S Main St,,,Fountain Inn,SC,Greenville County,29644,US,Greenville
BEAUNIT CORP. (CIRCULAR KNIT & DYEING PLANT),SCD000447268,FOUNTAIN INN,GREENVILLE,SC,29644,206 GEORGIA AVE,34.698061,-82.216111,4,Currently on the Final NPL,N,N,1,1,Record of Decision,9/29/95,1995,Soil,NICKEL,34.6912995,-82.19889996,osm,34.691601,-82.198283,1,rooftop,210,S Main St,,,Fountain Inn,SC,Greenville County,29644,US,Greenville
BREWER GOLD MINE,SCD987577913,JEFFERSON,CHESTERFIELD,SC,29718,299 Miller Street,34.652194,-80.411472,4,Currently on the Final NPL,N,N,1,2,Record of Decision,9/30/14,2014,Groundwater,ALUMINUM,34.6498886,-80.3895397,osm,34.649863,-80.38894,1,rooftop,221,Main,,,Jefferson,SC,Chesterfield County,29718,US,Chesterfield
BREWER GOLD MINE,SCD987577913,JEFFERSON,CHESTERFIELD,SC,29718,299 Miller Street,34.652194,-80.411472,4,Currently on the Final NPL,N,N,1,2,Record of Decision,9/30/14,2014,Surface Water,ALUMINUM,34.6498886,-80.3895397,osm,34.649863,-80.38894,1,rooftop,221,Main,,,Jefferson,SC,Chesterfield County,29718,US,Chesterfield
BREWER GOLD MINE,SCD987577913,JEFFERSON,CHESTERFIELD,SC,29718,299 Miller Street,34.652194,-80.411472,4,Currently on the Final NPL,N,N,1,2,Record of Decision,9/30/14,2014,Groundwater,ANTIMONY,34.6498886,-80.3895397,osm,34.649863,-80.38894,1,rooftop,221,Main,,,Jefferson,SC,Chesterfield County,29718,US,Chesterfield
BREWER GOLD MINE,SCD987577913,JEFFERSON,CHESTERFIELD,SC,29718,299 Miller Street,34.652194,-80.411472,4,Currently on the Final NPL,N,N,1,2,Record of Decision,9/30/14,2014,Surface Water,ANTIMONY,34.6498886,-80.3895397,osm,34.649863,-80.38894,1,rooftop,221,Main,,,Jefferson,SC,Chesterfield County,29718,US,Chesterfield
BREWER GOLD MINE,SCD987577913,JEFFERSON,CHESTERFIELD,SC,29718,299 Miller Street,34.652194,-80.411472,4,Currently on the Final NPL,N,N,1,2,Record of Decision,9/30/14,2014,Groundwater,ARSENIC,34.6498886,-80.3895397,osm,34.649863,-80.38894,1,rooftop,221,Main,,,Jefferson,SC,Chesterfield County,29718,US,Chesterfield
BREWER GOLD MINE,SCD987577913,JEFFERSON,CHESTERFIELD,SC,29718,299 Miller Street,34.652194,-80.411472,4,Currently on the Final NPL,N,N,1,2,Record of Decision,9/30/14,2014,Surface Water,ARSENIC,34.6498886,-80.3895397,osm,34.649863,-80.38894,1,rooftop,221,Main,,,Jefferson,SC,Chesterfield County,29718,US,Chesterfield
BREWER GOLD MINE,SCD987577913,JEFFERSON,CHESTERFIELD,SC,29718,299 Miller Street,34.652194,-80.411472,4,Currently on the Final NPL,N,N,1,2,Record of Decision,9/30/14,2014,Groundwater,CADMIUM,34.6498886,-80.3895397,osm,34.649863,-80.38894,1,rooftop,221,Main,,,Jefferson,SC,Chesterfield County,29718,US,Chesterfield
BREWER GOLD MINE,SCD987577913,JEFFERSON,CHESTERFIELD,SC,29718,299 Miller Street,34.652194,-80.411472,4,Currently on the Final NPL,N,N,1,2,Record of Decision,9/30/14,2014,Surface Water,CADMIUM,34.6498886,-80.3895397,osm,34.649863,-80.38894,1,rooftop,221,Main,,,Jefferson,SC,Chesterfield County,29718,US,Chesterfield
BREWER GOLD MINE,SCD987577913,JEFFERSON,CHESTERFIELD,SC,29718,299 Miller Street,34.652194,-80.411472,4,Currently on the Final NPL,N,N,1,2,Record of Decision,9/30/14,2014,Groundwater,COPPER,34.6498886,-80.3895397,osm,34.649863,-80.38894,1,rooftop,221,Main,,,Jefferson,SC,Chesterfield County,29718,US,Chesterfield
BREWER GOLD MINE,SCD987577913,JEFFERSON,CHESTERFIELD,SC,29718,299 Miller Street,34.652194,-80.411472,4,Currently on the Final NPL,N,N,1,2,Record of Decision,9/30/14,2014,Surface Water,COPPER,34.6498886,-80.3895397,osm,34.649863,-80.38894,1,rooftop,221,Main,,,Jefferson,SC,Chesterfield County,29718,US,Chesterfield
BREWER GOLD MINE,SCD987577913,JEFFERSON,CHESTERFIELD,SC,29718,299 Miller Street,34.652194,-80.411472,4,Currently on the Final NPL,N,N,1,2,Record of Decision,9/30/14,2014,Groundwater,CYANIDE,34.6498886,-80.3895397,osm,34.649863,-80.38894,1,rooftop,221,Main,,,Jefferson,SC,Chesterfield County,29718,US,Chesterfield
BREWER GOLD MINE,SCD987577913,JEFFERSON,CHESTERFIELD,SC,29718,299 Miller Street,34.652194,-80.411472,4,Currently on the Final NPL,N,N,1,2,Record of Decision,9/30/14,2014,Surface Water,CYANIDE,34.6498886,-80.3895397,osm,34.649863,-80.38894,1,rooftop,221,Main,,,Jefferson,SC,Chesterfield County,29718,US,Chesterfield
BREWER GOLD MINE,SCD987577913,JEFFERSON,CHESTERFIELD,SC,29718,299 Miller Street,34.652194,-80.411472,4,Currently on the Final NPL,N,N,1,2,Record of Decision,9/30/14,2014,Groundwater,IRON,34.6498886,-80.3895397,osm,34.649863,-80.38894,1,rooftop,221,Main,,,Jefferson,SC,Chesterfield County,29718,US,Chesterfield
BREWER GOLD MINE,SCD987577913,JEFFERSON,CHESTERFIELD,SC,29718,299 Miller Street,34.652194,-80.411472,4,Currently on the Final NPL,N,N,1,2,Record of Decision,9/30/14,2014,Surface Water,IRON,34.6498886,-80.3895397,osm,34.649863,-80.38894,1,rooftop,221,Main,,,Jefferson,SC,Chesterfield County,29718,US,Chesterfield
BREWER GOLD MINE,SCD987577913,JEFFERSON,CHESTERFIELD,SC,29718,299 Miller Street,34.652194,-80.411472,4,Currently on the Final NPL,N,N,1,2,Record of Decision,9/30/14,2014,Groundwater,LEAD,34.6498886,-80.3895397,osm,34.649863,-80.38894,1,rooftop,221,Main,,,Jefferson,SC,Chesterfield County,29718,US,Chesterfield
BREWER GOLD MINE,SCD987577913,JEFFERSON,CHESTERFIELD,SC,29718,299 Miller Street,34.652194,-80.411472,4,Currently on the Final NPL,N,N,1,2,Record of Decision,9/30/14,2014,Surface Water,LEAD,34.6498886,-80.3895397,osm,34.649863,-80.38894,1,rooftop,221,Main,,,Jefferson,SC,Chesterfield County,29718,US,Chesterfield
BREWER GOLD MINE,SCD987577913,JEFFERSON,CHESTERFIELD,SC,29718,299 Miller Street,34.652194,-80.411472,4,Currently on the Final NPL,N,N,1,2,Record of Decision,9/30/14,2014,Groundwater,MERCURY,34.6498886,-80.3895397,osm,34.649863,-80.38894,1,rooftop,221,Main,,,Jefferson,SC,Chesterfield County,29718,US,Chesterfield
BREWER GOLD MINE,SCD987577913,JEFFERSON,CHESTERFIELD,SC,29718,299 Miller Street,34.652194,-80.411472,4,Currently on the Final NPL,N,N,1,2,Record of Decision,9/30/14,2014,Surface Water,MERCURY,34.6498886,-80.3895397,osm,34.649863,-80.38894,1,rooftop,221,Main,,,Jefferson,SC,Chesterfield County,29718,US,Chesterfield
BREWER GOLD MINE,SCD987577913,JEFFERSON,CHESTERFIELD,SC,29718,299 Miller Street,34.652194,-80.411472,4,Currently on the Final NPL,N,N,1,2,Record of Decision,9/30/14,2014,Groundwater,NICKEL,34.6498886,-80.3895397,osm,34.649863,-80.38894,1,rooftop,221,Main,,,Jefferson,SC,Chesterfield County,29718,US,Chesterfield
BREWER GOLD MINE,SCD987577913,JEFFERSON,CHESTERFIELD,SC,29718,299 Miller Street,34.652194,-80.411472,4,Currently on the Final NPL,N,N,1,2,Record of Decision,9/30/14,2014,Surface Water,NICKEL,34.6498886,-80.3895397,osm,34.649863,-80.38894,1,rooftop,221,Main,,,Jefferson,SC,Chesterfield County,29718,US,Chesterfield
BREWER GOLD MINE,SCD987577913,JEFFERSON,CHESTERFIELD,SC,29718,299 Miller Street,34.652194,-80.411472,4,Currently on the Final NPL,N,N,1,2,Record of Decision,9/30/14,2014,Groundwater,SELENIUM,34.6498886,-80.3895397,osm,34.649863,-80.38894,1,rooftop,221,Main,,,Jefferson,SC,Chesterfield County,29718,US,Chesterfield
BREWER GOLD MINE,SCD987577913,JEFFERSON,CHESTERFIELD,SC,29718,299 Miller Street,34.652194,-80.411472,4,Currently on the Final NPL,N,N,1,2,Record of Decision,9/30/14,2014,Surface Water,SELENIUM,34.6498886,-80.3895397,osm,34.649863,-80.38894,1,rooftop,221,Main,,,Jefferson,SC,Chesterfield County,29718,US,Chesterfield
BREWER GOLD MINE,SCD987577913,JEFFERSON,CHESTERFIELD,SC,29718,299 Miller Street,34.652194,-80.411472,4,Currently on the Final NPL,N,N,1,2,Record of Decision,9/30/14,2014,Groundwater,ZINC,34.6498886,-80.3895397,osm,34.649863,-80.38894,1,rooftop,221,Main,,,Jefferson,SC,Chesterfield County,29718,US,Chesterfield
