clinic_name,address,specialty,hours_of_operation,geoid,tract_latitude,tract_longitude,lat,lon
FREE MEDICAL CLINIC OF CHEROKEE COUNTY,499 W Rutledge Ave,,,45021970201,+35.0819573,-081.7015857,-81.65972378,35.07128291
FREE MEDICAL CLINIC OF DARLINGTON COUNTY,203 Grove Street,,,45031011100,+34.3032610,-079.8702831,-79.87033265,34.30225264
FREE MEDICAL CLINIC OF DARLINGTON COUNTY – HARTSVILLE SATELLITE,500 West Carolina Avenue,,,45031010500,+34.3693401,-080.0874346,-80.08347029,34.37226968
"FREE MEDICAL CLINIC OF NEWBERRY COUNTY, INC.",2568 Kinard Street,,,45071950202,+34.2795093,-081.5635938,-81.60481257,34.29028458
FRIENDSHIP MEDICAL CLINIC & PHARMACY,1396 SC-544,,,45051060101,+33.7554846,-079.0416290,-79.02138016,33.78333577
GOOD NEIGHBOR FREE MEDICAL CLINIC OF BEAUFORT,30 Professional Village Circle,,,45013000902,+32.4453561,-080.6342550,-80.65178721,32.41879295
GOOD SAMARITAN CLINIC,1316 Leaphart Street,,,45063020509,+34.0041109,-081.0744651,-81.07889374,33.99887519
GOOD SAMARITAN CLINIC – CHAPIN SATELLITE,1808 Chapin Road,,,45063021204,+34.1597134,-081.3343000,-81.36458241,34.17430564
GOOD SAMARITAN CLINIC – CHARLESTON SATELLITE,1786 SC-174,,,45019002300,+32.5734128,-080.3153210,-80.28805406,32.57510937
GOOD SAMARITAN CLINIC – COLUMBIA SATELLITE,7915 Old Percival Road,,,45079011305,+34.0553078,-080.9267630,-80.9109414,34.06449363
GOOD SAMARITAN MEDICAL CLINIC,139 Church Street,,,45059920400,+34.4928213,-082.0269534,-82.01856274,34.49962989
GOOD SHEPHERD FREE MEDICAL CLINIC OF LAURENS COUNTY,245 Human Services Road,,,45059920700,+34.4682270,-081.9191816,-81.93639648,34.48510523
GREATER GREENWOOD UNITED MINISTRY,1404 Edgefield Street,,,45047970800,+34.1118770,-082.1861034,-82.15483856,34.17425028
GREENVILLE FREE MEDICAL CLINIC,600 Arlington Avenue Greenville,,,45045000500,+34.8376715,-082.4115284,-82.41797,34.842327
GREENVILLE FREE MEDICAL CLINIC – GOLDEN STRIP FREE CLINIC SATELLITE,1101 Howard Street,,,45045003011,+34.7317039,-082.2349019,-82.21813326,34.71770941
GREENVILLE FREE MEDICAL CLINIC – GREER FREE CLINIC SATELLITE,202 Victoria Street,,,45045002505,+34.9340064,-082.2349844,-82.22637,34.937744
GREENVILLE FREE MEDICAL CLINIC – NORTHWEST CRESCENT FREE CLINIC SATELLITE,925 N Franklin Road,,,45045002301,+34.8974078,-082.4242706,-82.42317262,34.89250355
HELPING HANDS FREE MEDICAL CLINIC,1328 North Main Street,,,45067950200,+34.2489777,-079.3850692,-79.3972221,34.19365423
HELPING HANDS FREE MEDICAL CLINIC – MULLINS SATELLITE,230 South Main Street,,,45067950500,+34.1533161,-079.2355042,-79.25347955,34.20091386
ICNA RELIEF USA SHIFA CLINIC,1092 Johnnie Dodds Blvd Mt Pleasant,,,45019004606,+32.8232078,-079.8820580,-79.85948195,32.81508856
LA CLINICA GRATIS/THE FREE CLINIC,929 Phoenix Street,,,45047970500,+34.1960292,-082.1475885,-82.15393858,34.18468831
MEDICAL MINISTRIES,7741 Dorchester Road,,,45019003108,+32.9160676,-080.0723760,-80.0848731,32.90518903
MEDICAL MINISTRIES – GREATER ST. PAUL AME CHURCH SATELLITE,633 Thomas-Kate Rd,,,45035010300,+33.1819144,-080.4332330,-80.48524961,33.20394509
MEDICAL MINISTRIES – NEW HOPE UMC SATELLITE,1568 Carter Road,,,45035010400,+33.0372476,-080.3509226,-80.33688595,33.02509259
MEDICAL MINISTRIES – ORANGEBURG SATELLITE,356 Lariat Rd,,,45075011600,+33.4474787,-080.9233131,-80.94296632,33.46296054
MEDICAL MINISTRIES – SHADY GROVE UMC SATELLITE,9140 Charleston Hwy,,,45035010300,+33.1819144,-080.4332330,-80.5927385,33.28130251
MEDICAL MINISTRIES – ST MARK UMC SATELLITE,8502 North Rd,,,45075012000,+33.6313521,-081.0559758,-81.0915469,33.61808002
MEDICAL MINISTRIES – WESLEY UMC SATELLITE,3250 Ladson Road,,,45019003106,+33.0022955,-080.1401076,-80.1019979,32.98917643
MERCY MEDICINE FREE CLINIC – FLORENCE,500 South Coit Street,,,45041001000,+34.1911403,-079.7695503,-79.769801,34.190019
ONE80 PLACE HEALTH CLINIC,35 Walnut Street,,,45019005300,+32.8001609,-079.9443767,-79.94379,32.799738
ORANGEBURG-CALHOUN FREE MEDICAL CLINIC,141 Centre Street,,,45075011400,+33.5011636,-080.8687913,-80.86106581,33.49322011
PREGNANCY CENTER AND CLINIC OF THE LOW COUNTRY,1 Cardinal Road,,,45013010800,+32.2397676,-080.6876677,-80.704956,32.22133
PREGNANCY CENTER MOBILE CLINIC – BEAUFORT COUNTY,29 Plantation Park Drive,,,45013002107,+32.2608068,-080.8659839,-80.86873681,32.27315708
PREGNANCY CENTER MOBILE CLINIC – JASPER COUNTY,19725 Whyte Hardee Blvd,,,45053950300,+32.2481288,-081.0599775,-81.08265684,32.28120819
SAMARITAN HEALTH CLINIC OF PICKENS COUNTY,303 Dacusville Hwy,,,45077010801,+34.8349715,-082.6269605,-82.60205,34.842197
SAMARITAN HEALTH CLINIC OF PICKENS COUNTY – PICKENS SATELLITE,111 Hillcrest Drive,,,45077010801,+34.8349715,-082.6269605,-82.6089212,34.8354209
SMITH MEDICAL CLINIC AT BASKERVILL,116 Baskervill Dr,,,45043920503,+33.4766920,-079.1281755,-79.11309188,33.46326476
SMITH MEDICAL CLINIC AT BASKERVILL – GEORGETOWN SATELLITE,1101 Highmarket Street,,,45043920302,+33.3895567,-079.2722447,-79.285065,33.371346
ST LUKE'S FREE MEDICAL CLINIC,162 South Dean Street,,,45083021200,+34.9509248,-081.9167596,-81.92674414,34.95357652
ST LUKE'S FREE MEDICAL CLINIC – MIDDLE TYGER COMMUNITY SATELLITE,84 Groce Road,,,45083023102,+34.9459973,-082.1019723,-82.12193014,34.94917153
SUMTER UNITED MINISTRIES MEDICAL CLINIC,36 South Artillery Drive,,,45085001300,+33.9165836,-080.3525729,-80.36102831,33.91826328
TAYLORS FREE MEDICAL CLINIC,400 West Main Street,,,45045002604,+34.9153567,-082.2848315,-82.31065362,34.92068158
THE FREE MEDICAL CLINIC,1875 Harden Street,,,45079003100,+34.0078902,-081.0307786,-81.02428831,34.01609815
"UNITED CHRISTIAN MINISTRIES OF ABBEVILLE COUNTY, FREE MEDICAL CLINIC",101 Center Drive,,,45001950500,+34.1266067,-082.3805235,-82.38098,34.158817
VOLUNTEERS IN MEDICINE CLINIC,15 Northridge Drive,,,45013010800,+32.2397676,-080.6876677,-80.70657264,32.21965898
WELLPARTNERS DENTAL & EYE CLINIC,2000 Hampton Street,,,45079003100,+34.0078902,-081.0307786,-81.02212443,34.01078148
WELLPARTNERS DENTAL & EYE HEALTH,2000 Hampton St,,,45079003100,+34.0078902,-081.0307786,-81.02212443,34.01078148
WELLPARTNERS DENTAL & EYE HEALTH – LEXINGTON SATELLITE,1070 S Lake Dr,,,45063021009,+33.9061845,-081.2781687,-81.23444488,33.95417058
WELLPARTNERS DENTAL & EYE HEALTH – STE 4090,2000 Hampton St,,,45079003100,+34.0078902,-081.0307786,-81.02212443,34.01078148
YORK COUNTY FREE CLINIC,410 Oakland Avenue,,,45091060102,+34.9430917,-081.0206451,-81.02657511,34.93736875
