libid,libname,phone,hours,GEOID,tract_latitude,tract_longitude,lat,lon
SC0007-002,CALHOUN COUNTY LIBRARY,8038743389,2456,45017950200,+33.6883735,-080.8061167,33.66335,-80.7783
SC0007-004,CALHOUN COUNTY LIBRARY BOOKMOBILE,8038743389,369,45017950200,+33.6883735,-080.8061167,33.66335,-80.7783
SC0008-002,CHAPIN MEMORIAL LIBRARY,8439181275,2964,45051050600,+33.7041378,-078.8898834,33.69695,-78.8771
SC0009-002,VILLAGE BRANCH LIBRARY,8438849741,1844,45019004701,+32.7801651,-079.8675218,32.78854,-79.8762
SC0009-003,COOPER RIVER MEMORIAL BRANCH,8437442489,2866,45019005500,+32.8532338,-079.9554747,32.8567,-79.9791
SC0009-004,EDISTO BRANCH LIBRARY,8438692355,1330,45019002300,+32.5734128,-080.3153210,32.5696,-80.283
SC0009-005,EDGAR ALLAN POE BRANCH LIBRARY,8438833914,1304,45019004800,+32.7709494,-079.8311365,32.75958,-79.8409
SC0009-006,MCCLELLANVILLE BRANCH LIBRARY,8438873699,1592,45019005000,+33.0393507,-079.5734552,33.0882,-79.4626
SC0009-007,FOLLY BEACH BRANCH LIBRARY,8435882001,1276,45019002004,+32.6626912,-079.9316597,32.65485,-79.9404
SC0009-008,ST. PAUL`S BRANCH LIBRARY,8438893600,1844,45019002502,+32.7290527,-080.2269830,32.73115,-80.2409
SC0009-009,JOHN L. DART BRANCH LIBRARY,8437227550,2456,45019005300,+32.8001609,-079.9443767,32.8053,-79.9508
SC0009-010,JAMES ISLAND BRANCH LIBRARY,8437956679,2866,45019002002,+32.7340159,-079.9611767,32.72789,-79.9496
SC0009-011,WEST ASHLEY BRANCH LIBRARY,8437666635,2866,45019003000,+32.7772471,-079.9726864,32.77701,-79.9761
SC0009-012,CHARLESTON COUNTY LIBRARY,8438056801,3326,45019005100,+32.7866809,-079.9264498,32.78822,-79.9308
SC0009-013,CHARLESTON COUNTY LIBRARY BOOKMOBILE,8438056881,1650,45019005100,+32.7866809,-079.9264498,32.78822,-79.9308
SC0009-014,DORCHESTER ROAD REGIONAL LIBRARY,8035526466,2866,45019003110,+32.8669862,-080.0576673,32.87509,-80.0596
SC0009-016,OTRANTO ROAD REGIONAL LIBRARY,8435724094,2866,45019003114,+32.9525906,-080.0509817,32.96477,-80.048
SC0009-017,CYNTHIA GRAHAM HURD ST. ANDREWS REGIONAL LIBRARY,8437662546,2866,45019002612,+32.8174841,-080.0204648,32.80653,-80.0138
SC0009-015,MT. PLEASANT REGIONAL LIBRARY,8438496161,2866,45019004606,+32.8232078,-079.8820580,32.81628,-79.865
SC0009-018,JOHN`S ISLAND REGIONAL LIBRARY,8435591945,2866,45019002101,+32.7430103,-080.0840064,32.72319,-80.077
SC0009-019,WANDO MOUNT PLEASANT LIBRARY,8438056930,-1,45019004608,+32.8973520,-079.7890349,32.89219,-79.7654
SC0009-020,BAXTER-PATRICK JAMES ISLAND LIBRARY,8437956679,-1,45019002003,+32.6854321,-079.9526678,32.70106,-79.9718
SC0010-002,BLACKSBURG PUBLIC LIBRARY,8648392630,1924,45021970402,+35.0931953,-081.4721855,35.1195,-81.5163
SC0010-003,CHEROKEE COUNTY PUBLIC LIBRARY BOOKMOBILE,8644872711,962,45021970601,+35.0111132,-081.6599835,35.06634,-81.6511
SC0010-004,CHEROKEE COUNTY PUBLIC LIBRARY,8644872711,2860,45021970601,+35.0111132,-081.6599835,35.06634,-81.6511
SC0011-002,CHESTER COUNTY LIBRARY BOOKMOBILE,8033778145,416,45023020200,+34.7003242,-081.2195686,34.70489,-81.2142
SC0011-003,GREAT FALLS BRANCH LIBRARY,8034822149,2548,45023021000,+34.5721311,-080.9053042,34.57029,-80.8972
SC0011-004,CHESTER COUNTY LIBRARY,8033778145,2990,45023020200,+34.7003242,-081.2195686,34.70489,-81.2142
SC0011-005,LEWISVILLE COMMUNITY LIBRARY,8037897800,2548,45023020700,+34.7364624,-081.0291076,34.71936,-81.0115
SC0012-003,MATHESON MEMORIAL LIBRARY,8435373571,2496,45025950600,+34.5951251,-079.8967144,34.69503,-79.8897
SC0012-004,PAGELAND COMMUNITY LIBRARY,8436726930,2236,45025950101,+34.7587822,-080.4600952,34.76949,-80.3911
SC0012-005,FANNIE D. LOWRY MEMORIAL LIBRARY,8436583966,936,45025950200,+34.6454671,-080.3337693,34.66075,-80.3876
SC0012-006,MCBEE DEPOT LIBRARY,8433357515,624,45025950800,+34.4978789,-080.2561591,34.46943,-80.2582
SC0012-007,CHESTERFIELD COUNTY LIBRARY SYSTEM,8436237489,2496,45025950400,+34.7255811,-080.1008750,34.73596,-80.0877
SC0013-002,CLARENDON COUNTY LIBRARY SYSTEM,8034358633,2668,45027960500,+33.7032431,-080.2749535,33.69957,-80.2105
SC0013-003,CLARENDON COUNTY LIBRARY SYSTEM BOOKMOBILE,8034358633,457,45027960500,+33.7032431,-080.2749535,33.69957,-80.2105
SC0014-002,COLLETON COUNTY MEMORIAL LIBRARY,8435495621,2040,45029970500,+32.9053462,-080.6718142,32.90171,-80.6569
SC0014-003,EDISTO BEACH LIBRARY,8438692499,740,45029970800,+32.6282954,-080.5036583,32.5207,-80.2988
SC0014-004,COLLETON COUNTY MEMORIAL LIBRARY BOOKMOBILE,8435495621,1224,45029970500,+32.9053462,-080.6718142,32.90171,-80.6569
SC0014-005,COTTAGEVILLE BRANCH LIBRARY,8438355621,49,45029970700,+32.9441939,-080.4785182,32.93432,-80.4824
SC0015-002,HARTSVILLE MEMORIAL LIBRARY,8433325115,3068,45031010500,+34.3693401,-080.0874346,34.37482,-80.0749
SC0015-003,LAMAR DISTRICT LIBRARY,8433265524,2444,45031011600,+34.1546333,-080.0807553,34.16858,-80.0625
SC0015-004,SOCIETY HILL LIBRARY,8433780026,2444,45031010100,+34.4505586,-079.8239245,34.51032,-79.8527
SC0015-005,DARLINGTON COUNTY LIBRARY SYSTEM,8433984940,3068,45031011100,+34.3032610,-079.8702831,34.30489,-79.8726
SC0016-003,SADIE CARMICHAEL BRANCH LIBRARY (LAKE VIEW),8037592692,1820,45033970500,+34.3339068,-079.2077718,34.34212,-79.1659
SC0016-004,DILLON COUNTY LIBRARY BOOKMOBILE,8437740330,520,45033970300,+34.4536751,-079.4414521,34.41438,-79.3668
SC0016-005,DILLON COUNTY LIBRARY SYSTEM,8437740330,2080,45033970300,+34.4536751,-079.4414521,34.41438,-79.3668
SC0016-006,LATTA BRANCH LIBRARY,8437525389,2080,45033970600,+34.3374526,-079.4823899,34.3393,-79.4342
SC0017-002,SUMMERVILLE BRANCH LIBRARY,8438715075,3172,45035010808,+32.9763518,-080.1774487,32.99772,-80.1822
SC0017-003,DORCHESTER COUNTY LIBRARY BOOKMOBILE,8435639189,346,45035010200,+33.1882779,-080.5663258,33.18831,-80.5716
SC0017-004,DORCHESTER COUNTY LIBRARY: SAINT GEORGE,8435639189,3172,45035010200,+33.1882779,-080.5663258,33.18831,-80.5716
SC0018-002,FAIRFIELD COUNTY LIBRARY,8036354971,2704,45039960400,+34.3646209,-081.0494245,34.37972,-81.0897
SC0018-004,FAIRFIELD COUNTY LIBRARY BOOKMOBILE,8036354971,300,45039960400,+34.3646209,-081.0494245,34.37972,-81.0897
SC0018-005,RIDGEWAY BRANCH LIBRARY,8033372068,832,45039960300,+34.3424663,-080.9219134,34.3067,-80.9598
SC0019-002,JOHNSONVILLE PUBLIC LIBRARY,8433862052,2496,45041001900,+33.8455832,-079.4838564,33.81533,-79.4418
SC0019-003,LAKE CITY PUBLIC LIBRARY,8433948071,2594,45041002202,+33.8389294,-079.7194929,33.87121,-79.7517
SC0019-004,OLANTA PUBLIC LIBRARY,8433964287,2184,45041002400,+33.9317418,-079.8698900,33.93878,-79.9293
SC0019-006,TIMMONSVILLE PUBLIC LIBRARY,8433462941,1923,45041002600,+34.0956922,-079.9204399,34.13014,-79.9425
SC0019-007,FLORENCE COUNTY LIBRARY BOOKMOBILE,8436628424,1300,45041001000,+34.1911403,-079.7695503,34.18924,-79.7653
SC0019-008,FLORENCE COUNTY LIBRARY,8436628424,3484,45041001000,+34.1911403,-079.7695503,34.18924,-79.7653
SC0019-010,PAMPLICO BRANCH LIBRARY,8434137077,2022,45041001800,+33.9396465,-079.5799293,33.99593,-79.5698
SC0020-002,GEORGETOWN COUNTY LIBRARY,8435453304,3240,45043920302,+33.3895567,-079.2722447,33.37359,-79.2848
SC0020-003,ANDREWS BRANCH LIBRARY,8435453621,2288,45043920201,+33.4085413,-079.4854138,33.45357,-79.5605
SC0020-004,GEORGETOWN COUNTY LIBRARY BOOKMOBILE,8435453300,1218,45043920302,+33.3895567,-079.2722447,33.37359,-79.2848
SC0020-005,WACCAMAW BRANCH LIBRARY,8435453623,3240,45043920503,+33.4766920,-079.1281755,33.44881,-79.1223
SC0020-006,CARVER`S BAY BRANCH LIBRARY,8435453515,2080,45043920400,+33.5532527,-079.2329199,33.61129,-79.3295
SC0021-002,GREENVILLE COUNTY LIBRARY: HUGHES LIBRARY,8642425000,3530,45045001000,+34.8606403,-082.4002483,34.85671,-82.4015
SC0021-003,AUGUSTA ROAD BRANCH,8642770161,3315,45045001502,+34.8028510,-082.3837910,34.80496,-82.3781
SC0021-004,BEREA BRANCH,8642461695,3315,45045003701,+34.9089437,-082.4780232,34.91947,-82.4598
SC0021-005,PELHAM ROAD BRANCH,8642886688,3315,45045002805,+34.8495102,-082.2900591,34.85697,-82.3006
SC0021-006,FOUNTAIN INN BRANCH,8648622576,3315,45045003101,+34.7043385,-082.2045941,34.6964,-82.2029
SC0021-007,GREER BRANCH,8648778722,3315,45045002505,+34.9340064,-082.2349844,34.94011,-82.247
SC0021-008,MAULDIN BRANCH,8642777397,3315,45045002904,+34.7790647,-082.3298211,34.77526,-82.3259
SC0021-009,SIMPSONVILLE BRANCH,8649639031,3315,45045003010,+34.7569276,-082.2476429,34.74759,-82.2609
SC0021-010,TRAVELERS REST BRANCH,8648343650,3315,45045003904,+34.9863586,-082.4422353,34.96906,-82.4401
SC0021-011,TAYLORS BRANCH,8642685955,3315,45045002604,+34.9153567,-082.2848315,34.9196,-82.307
SC0021-012,ANDERSON ROAD BRANCH,8642695210,3315,45045002107,+34.8167433,-082.4266676,34.81631,-82.4401
SC0021-013,GREENVILLE COUNTY LIBRARY BOOKMOBILE,8642425238,740,45045001000,+34.8606403,-082.4002483,34.85671,-82.4015
SC0021-017,FIVE FORKS BRANCH,8642344904,960,45045002814,+34.8299663,-082.2121214,34.80823,-82.2228
SC0022-002,CONWAY LIBRARY,8439157323,2340,45051070200,+33.8580120,-079.0476531,33.84182,-79.0505
SC0022-003,AYNOR LIBRARY,8433583324,1924,45051080102,+34.0039385,-079.2072429,33.99806,-79.2002
SC0022-004,NORTH MYRTLE BEACH LIBRARY,8439155281,1742,45051040300,+33.8340470,-078.6677196,33.82756,-78.6826
SC0022-005,LORIS LIBRARY,8437568101,1742,45051020200,+34.0490659,-078.8433664,34.05485,-78.8869
SC0022-006,SURFSIDE BEACH LIBRARY,8439155280,2080,45051051201,+33.6145803,-078.9706701,33.60734,-78.9748
SC0022-007,HORRY COUNTY MEMORIAL LIBRARY BOOKMOBILE,8439156388,2184,45051070300,+33.8534671,-079.0653864,33.83129,-79.0574
SC0022-008,SOCASTEE LIBRARY,8432154700,2964,45051051601,+33.6597535,-079.0227565,33.67515,-79.003
SC0022-009,BUCKSPORT LIBRARY,8433971950,1664,45051070602,+33.7107240,-079.1159442,33.70191,-79.1072
SC0022-010,LITTLE RIVER LIBRARY,8439155284,1664,45051040101,+33.8980755,-078.6953749,33.88482,-78.6851
SC0022-011,GREEN SEA FLOYDS LIBRARY,8433920994,1924,45051010100,+34.1740918,-079.0834546,34.1478,-79.0224
SC0022-012,CAROLINA FOREST LIBRARY,8439155282,1664,45051060206,+33.7481936,-078.9320200,33.76121,-78.89
SC0023-002,CAMDEN LIBRARY,8034251508,3276,45055970800,+34.2226390,-080.5951484,34.24996,-80.6074
SC0023-003,BETHUNE BRANCH LIBRARY,8033348420,936,45055970100,+34.4265586,-080.3805615,34.413,-80.3465
SC0023-004,KERSHAW COUNTY LIBRARY BOOKMOBILE,8034242353,391,45055970800,+34.2226390,-080.5951484,34.24639,-80.6081
SC0023-005,ELGIN BRANCH LIBRARY,8034387881,2496,45055970903,+34.1746939,-080.8163615,34.16628,-80.8017
SC0024-002,LANCASTER COUNTY LIBRARY SYSTEM,8032851502,3146,45057010700,+34.7180813,-080.7600821,34.71789,-80.7681
SC0024-003,KERSHAW BRANCH LIBRARY,8034752609,1976,45057010200,+34.5820726,-080.5578749,34.56975,-80.5868
SC0024-004,LANCASTER COUNTY LIBRARY BOOKMOBILE,8032851502,3146,45057010700,+34.7180813,-080.7600821,34.71789,-80.7681
SC0024-005,DEL WEBB LIBRARY AT INDIAN LAND,8035489260,2704,45057011202,+34.8889877,-080.8262996,34.93406,-80.8356
SC0025-002,LAURENS COUNTY LIBRARY SYSTEM,8646817323,2723,45059920400,+34.4928213,-082.0269534,34.49348,-82.035
SC0025-003,CLINTON PUBLIC LIBRARY,8648331853,2540,45059920800,+34.4227328,-081.8992407,34.45799,-81.8777
SC0025-005,LAURENS COUNTY LIBRARY BOOKMOBILE,8646817323,158,45059920400,+34.4928213,-082.0269534,34.49598,-82.0419
SC0026-002,LEE COUNTY PUBLIC LIBRARY SYSTEM,8034845921,2600,45061920302,+34.1505544,-080.2166106,34.21895,-80.2474
SC0027-002,LEXINGTON COUNTY PUBLIC LIBRARY SYSTEM,8037852600,3484,45063021030,+33.9818300,-081.2111492,33.97453,-81.2197
SC0027-003,CAYCE-WEST COLUMBIA BRANCH LIBRARY,8037946791,3484,45063020505,+33.9923387,-081.0921352,33.98635,-81.0778
SC0027-004,BATESBURG-LEESVILLE BRANCH LIBRARY,8035329223,2964,45063021402,+33.9067406,-081.5379320,33.91777,-81.5346
SC0027-005,IRMO BRANCH LIBRARY,8037987880,3484,45063021109,+34.0512270,-081.1754666,34.05939,-81.1628
SC0027-006,PELION BRANCH LIBRARY,8037853272,2080,45063020903,+33.7695612,-081.3006091,33.76918,-81.2427
SC0027-007,CHAPIN BRANCH LIBRARY,8033455479,2288,45063021204,+34.1597134,-081.3343000,34.17108,-81.3587
SC0027-008,GASTON BRANCH LIBRARY,8037913208,1716,45063020802,+33.7720562,-081.0791953,33.81449,-81.1022
SC0027-009,SWANSEA BRANCH LIBRARY,8037853519,1716,45063020802,+33.7720562,-081.0791953,33.73875,-81.0974
SC0027-010,GILBERT BRANCH LIBRARY,8037855387,1716,45063021305,+33.9090644,-081.4354958,33.91971,-81.4047
SC0027-011,LEXINGTON COUNTY PUBLIC LIBRARY BOOKMOBILE,8037852649,1500,45063021030,+33.9818300,-081.2111492,33.97453,-81.2197
SC0027-012,SOUTH CONGAREE - PINE RIDGE BRANCH,8037853050,1716,45063020703,+33.9136144,-081.1464299,33.91148,-81.1318
SC0028-002,MCCORMICK COUNTY LIBRARY,8648522821,2288,45065920200,+33.9241259,-082.2468990,33.91439,-82.2966
SC0029-002,MARION COUNTY LIBRARY,8434238300,2574,45067950600,+34.1309919,-079.3264614,34.17822,-79.3997
SC0029-003,MULLINS LIBRARY,8434649621,1950,45067950400,+34.2456525,-079.2054743,34.20691,-79.2548
SC0029-004,NICHOLS LIBRARY,8435262641,144,45067950400,+34.2456525,-079.2054743,34.23499,-79.1496
SC0029-005,MARION COUNTY LIBRARY BOOKMOBILE,8434238300,504,45067950600,+34.1309919,-079.3264614,34.17822,-79.3997
SC0030-002,MARLBORO COUNTY LIBRARY SYSTEM,8434795630,2652,45069960301,+34.6238660,-079.6508936,34.61429,-79.6822
SC0030-003,MARLBORO COUNTY LIBRARY BOOKMOBILE,8434795630,150,45069960301,+34.6238660,-079.6508936,34.61429,-79.6822
SC0032-002,OCONEE COUNTY PUBLIC LIBRARY,8646384133,2781,45073030401,+34.7713029,-083.0642802,34.76479,-83.0723
SC0032-003,SENECA BRANCH LIBRARY,8648824855,2922,45073030701,+34.6770968,-082.9344373,34.68239,-82.951
SC0032-004,WESTMINSTER BRANCH LIBRARY,8643645760,2182,45073031000,+34.6292891,-083.0946501,34.66685,-83.0969
SC0032-005,SALEM BRANCH LIBRARY,8649440912,1809,45073030200,+34.9536664,-082.9849556,34.89127,-82.9756
SC0032-006,OCONEE COUNTY PUBLIC LIBRARY BOOKMOBILE,8646384133,386,45073030401,+34.7713029,-083.0642802,34.76479,-83.0723
SC0033-002,ORANGEBURG COUNTY LIBRARY COMMISSION,8035314636,2647,45075011400,+33.5011636,-080.8687913,33.49564,-80.8623
SC0033-003,MENTOR BRANCH LIBRARY,8038972162,696,45075010400,+33.4713405,-080.5743439,33.53156,-80.571
SC0033-004,HOLLY HILL BRANCH LIBRARY,8034967177,1644,45075010200,+33.3204311,-080.3922399,33.32528,-80.416
SC0033-005,NORTH BRANCH LIBRARY,8032475880,696,45075012000,+33.6313521,-081.0559758,33.61552,-81.1039
SC0033-008,ORANGEBURG COUNTY LIBRARY BOOKMOBILE,8035314636,311,45075011400,+33.5011636,-080.8687913,33.49564,-80.8623
SC0033-009,SANTEE BRANCH LIBRARY,8038545300,696,45075010300,+33.4385177,-080.4719225,33.47435,-80.4849
SC0033-010,SPRINGFIELD BRANCH LIBRARY,8032581100,696,45075011800,+33.4920648,-081.1791302,33.49429,-81.2744
SC0034-002,PICKENS COUNTY LIBRARY,8648507077,3476,45077010804,+34.8226519,-082.5830564,34.8261,-82.58
SC0034-003,VILLAGE BRANCH LIBRARY,8648985747,2541,45077010402,+34.9027375,-082.7107738,34.88337,-82.7106
SC0034-004,SARLIN COMMUNITY BRANCH,8648435805,2180,45077011002,+34.7760173,-082.6984761,34.78724,-82.6951
SC0034-005,CENTRAL CLEMSON REGIONAL BRANCH,8646392711,3476,45077011102,+34.7109098,-082.7563613,34.71434,-82.7874
SC0035-002,RICHLAND LIBRARY MAIN,8037999084,3640,45079003100,+34.0078902,-081.0307786,34.00405,-81.0368
SC0035-003,RICHLAND LIBRARY COOPER,8037873462,3432,45079011301,+34.0374796,-080.9464728,34.02145,-80.9663
SC0035-004,RICHLAND LIBRARY WHEATLEY,8037995873,3016,45079002100,+33.9963901,-081.0085159,34.00157,-81.0052
SC0035-005,RICHLAND LIBRARY EASTOVER,8033538584,3224,45079012000,+33.9116689,-080.6752843,33.87732,-80.695
SC0035-006,RICHLAND LIBRARY SOUTHEAST,8037760855,3640,45079011607,+33.9539740,-080.9388575,33.96854,-80.9458
SC0035-007,RICHLAND LIBRARY NORTHEAST,8037366575,3432,45079011303,+34.0800258,-080.9404466,34.07565,-80.9582
SC0035-008,RICHLAND LIBRARY NORTH MAIN,8037547734,3432,45079000100,+34.0497425,-081.0201576,34.05214,-81.0222
SC0035-009,RICHLAND LIBRARY ST. ANDREWS,8037726675,3640,45079010407,+34.0504530,-081.0900867,34.04755,-81.103
SC0035-010,RICHLAND LIBRARY BALLENTINE,8037999084,3224,45079010306,+34.1347747,-081.2648753,34.12466,-81.235
SC0035-011,RICHLAND LIBRARY BLYTHEWOOD,8036919806,3224,45079010102,+34.1723843,-080.9792738,34.21584,-80.9759
SC0035-012,RICHLAND LIBRARY SANDHILLS,8036999230,3432,45079011417,+34.1485824,-080.8993483,34.13927,-80.8828
SC0035-014,RICHLAND LIBRARY EDGEWOOD,8037999084,-1,45079001000,+34.0186611,-081.0204553,34.01784,-81.021
SC0036-002,SPARTANBURG COUNTY PUBLIC LIBRARY SYSTEM,8645963507,3822,45083021200,+34.9509248,-081.9167596,34.94857,-81.9311
SC0036-003,BOILING SPRINGS LIBRARY,8645783665,2704,45083022406,+35.0323381,-081.9747638,35.04284,-81.9809
SC0036-004,CHESNEE BRANCH LIBRARY,8644612423,2704,45083022303,+35.1507291,-081.8682837,35.13777,-81.8605
SC0036-005,INMAN BRANCH LIBRARY,8644728363,2704,45083022900,+35.0471492,-082.0859382,35.04616,-82.0929
SC0036-006,LANDRUM BRANCH LIBRARY,8644572218,2912,45083022600,+35.1735263,-082.1860038,35.18007,-82.1741
SC0036-007,MIDDLE TYGER BRANCH LIBRARY,8644394759,3042,45083023102,+34.9459973,-082.1019723,34.94214,-82.1219
SC0036-008,WESTSIDE BRANCH LIBRARY,8645746815,3614,45083021902,+34.9240100,-082.0181976,34.92388,-82.0015
SC0036-009,WOODRUFF BRANCH LIBRARY,8644768770,2600,45083023600,+34.7198669,-082.0268573,34.73978,-82.0339
SC0036-010,SPARTANBURG COUNTY PUBLIC LIBRARIES BKMOBILE,8645963512,275,45083021200,+34.9509248,-081.9167596,34.94857,-81.9311
SC0036-012,PACOLET BRANCH LIBRARY,8644740421,2496,45083023900,+34.8869316,-081.7864815,34.90181,-81.7674
SC0036-013,COWPENS BRANCH LIBRARY,8644630430,2600,45083022202,+34.9887462,-081.7972162,35.01977,-81.8031
SC0037-002,SUMTER COUNTY PUBLIC LIBRARY,8037737273,2964,45085001300,+33.9165836,-080.3525729,33.92245,-80.3398
SC0037-003,SUMTER COUNTY LIBRARY BOOKMOBILE,8037737273,1040,45085001300,+33.9165836,-080.3525729,33.92245,-80.3398
SC0037-004,WESMARK BRANCH LIBRARY,8034698110,2340,45085000901,+33.9483910,-080.3732220,33.95093,-80.3847
SC0037-005,SOUTH SUMTER BRANCH LIBRARY,8037757132,1040,45085001500,+33.9057056,-080.3508863,33.90923,-80.3409
SC0038-002,UNION COUNTY CARNEGIE LIBRARY,8644277140,2597,45087030300,+34.7154252,-081.5908516,34.71348,-81.6208
SC0038-004,JONESVILLE BRANCH LIBRARY,8644277140,-1,45087030800,+34.8417937,-081.6902672,34.83683,-81.6811
SC0038-005,CARLISLE BRANCH LIBRARY,8644271505,-1,45087030600,+34.6087329,-081.4943191,34.59263,-81.4675
SC0038-006,LOCKHART BRANCH LIBRARY,8645452103,-1,45087030900,+34.8144497,-081.5303340,34.79011,-81.4594
