census_tract,state,county,urban,pop2010,ohu2010,group_quarters_flag,numgqtrs,pctgqtrs,lila_tracts_1and10,lila_tracts_half_and10,lila_tracts_1and20,lila_tracts_vehicle,hunv_flag,low_income_tracts,poverty_rate,median_family_income,la1and10,l_ahalfand10,la1and20,la_tracts_half,la_tracts1,la_tracts10,la_tracts20,la_tracts_vehicle_20,lapop1_10,lapop05_10,lapop1_20,lalowi1_10,lalowi05_10,lalowi1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,tract_lowi,tract_kids,tract_seniors,tract_white,tract_black,tract_asian,tract_nhopi,tract_aian,tract_o_multir,tract_hispanic,tract_hunv,tract_snap,tract_latitude,tract_longitude
45003020400,South Carolina,Aiken County,0,5647,2111,0,0,0,0,0,0,1,1,1,22.1,56071,0,0,0,0,0,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,5647,100.00,2496,44.19,1519,26.90,693,12.27,3727,66.00,1371,24.28,11,0.19,2,0.04,28,0.50,508,9.00,563,9.97,163,7.74,381,18.04,5647,99.99,2495,44.19,1519,26.90,693,12.27,3727,66.00,1371,24.27,11,0.19,2,0.04,28,0.50,508,9.00,563,9.97,163,7.73,381,18.04,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3784,1519,693,3727,1371,11,2,28,508,563,218,560,+33.5687354,-081.8385837
45003020500,South Carolina,Aiken County,1,7150,2673,0,169,2.36,0,0,0,0,0,0,6.3,98313,1,1,1,1,1,0,0,0,3531,6003,3531,627,1090,627,6003,83.96,1090,15.25,1470,20.56,716,10.01,4863,68.02,924,12.92,81,1.13,1,0.01,6,0.09,128,1.79,133,1.87,48,1.78,77,2.89,3531,49.39,627,8.77,846,11.83,399,5.58,2748,38.43,639,8.93,54,0.76,0,0.00,2,0.03,88,1.23,103,1.44,39,1.45,47,1.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1434,1734,950,5839,1059,100,1,8,143,160,63,110,+33.5803686,-081.9174472
45003020601,South Carolina,Aiken County,1,3725,1323,0,0,0,0,0,0,0,0,0,2.7,94479,1,1,1,1,1,0,0,0,3720,3725,3720,448,449,448,3725,100.00,449,12.04,1071,28.75,273,7.33,2808,75.38,791,21.23,26,0.70,0,0.00,21,0.56,79,2.12,73,1.96,10,0.78,36,2.75,3720,99.86,448,12.03,1070,28.72,272,7.29,2803,75.24,791,21.23,26,0.70,0,0.00,21,0.56,79,2.12,73,1.95,10,0.78,36,2.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,462,1071,273,2808,791,26,0,21,79,73,11,39,+33.5595196,-081.8939455
45003020602,South Carolina,Aiken County,1,6214,2434,0,14,0.23,1,1,1,1,1,1,20.7,47063,1,1,1,1,1,0,0,1,5824,6214,5824,2720,2870,2720,6214,100.00,2870,46.18,1619,26.05,830,13.36,3856,62.05,1912,30.77,32,0.51,3,0.05,17,0.27,394,6.34,378,6.08,202,8.29,259,10.64,5824,93.72,2720,43.78,1491,23.99,800,12.87,3776,60.76,1635,26.31,31,0.50,3,0.05,16,0.26,363,5.84,344,5.54,191,7.84,245,10.07,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2477,1619,830,3856,1912,32,3,17,394,378,211,236,+33.5393479,-081.9336458
45003020701,South Carolina,Aiken County,1,5583,2320,0,4,0.07,0,0,0,0,0,0,13.3,65694,1,1,1,1,1,0,0,0,3380,5090,3380,983,1523,983,5090,91.16,1523,27.27,1173,21.01,898,16.08,4032,72.22,866,15.51,45,0.81,0,0.00,14,0.26,132,2.37,78,1.40,68,2.92,292,12.57,3380,60.55,983,17.61,733,13.14,645,11.55,2834,50.77,418,7.48,33,0.59,0,0.00,10,0.18,85,1.53,52,0.94,5,0.23,186,8.03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1625,1264,999,4474,905,50,0,15,139,86,89,316,+33.5232476,-081.9710806
45003020702,South Carolina,Aiken County,1,4993,1997,0,129,2.58,0,1,0,1,1,1,24.1,43309,0,1,0,1,0,0,0,1,410,3089,410,260,1710,260,3089,61.86,1710,34.25,858,17.19,264,5.29,1259,25.21,1435,28.74,19,0.38,2,0.04,12,0.24,361,7.24,388,7.77,126,6.29,265,13.26,410,8.22,260,5.22,114,2.29,22,0.45,103,2.05,275,5.50,0,0.00,0,0.00,2,0.03,31,0.63,30,0.61,34,1.72,39,1.95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2769,1281,523,2376,1982,37,2,19,577,668,193,451,+33.5019859,-081.9498430
45003020801,South Carolina,Aiken County,1,3000,1210,0,4,0.13,0,0,0,0,0,0,0.8,88333,1,1,1,1,1,0,0,0,2716,3000,2716,464,515,464,3000,100.00,515,17.15,653,21.77,566,18.87,2743,91.43,165,5.50,21,0.70,4,0.13,7,0.23,60,2.00,57,1.90,8,0.70,54,4.43,2716,90.55,464,15.46,604,20.13,506,16.87,2497,83.23,141,4.69,19,0.63,4,0.13,6,0.19,50,1.68,50,1.67,7,0.57,48,3.96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,494,653,566,2743,165,21,4,7,60,57,8,51,+33.5217441,-081.9924680
45003020802,South Carolina,Aiken County,1,5010,2356,0,2,0.04,1,1,1,1,1,1,22.8,48500,1,1,1,1,1,0,0,1,913,3667,913,449,1929,449,3667,73.20,1929,38.51,814,16.25,572,11.41,2614,52.18,823,16.42,34,0.68,1,0.02,10,0.19,186,3.70,171,3.41,126,5.36,187,7.96,913,18.21,449,8.96,197,3.94,115,2.29,679,13.55,175,3.50,9,0.17,0,0.00,2,0.03,48,0.96,23,0.45,29,1.23,48,2.02,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2430,1090,749,3606,1054,48,1,14,287,336,128,272,+33.4918418,-081.9708285
45003020901,South Carolina,Aiken County,0,2318,917,0,0,0,0,0,0,0,0,0,16,51632,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2318,100.00,964,41.61,553,23.86,270,11.65,1544,66.61,655,28.26,7,0.30,0,0.00,11,0.47,101,4.36,120,5.18,24,2.60,164,17.86,2318,100.00,964,41.61,553,23.86,270,11.65,1544,66.61,655,28.26,7,0.30,0,0.00,11,0.47,101,4.36,120,5.18,24,2.60,164,17.86,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1091,553,270,1544,655,7,0,11,101,120,27,185,+33.3899311,-081.8925725
45003020902,South Carolina,Aiken County,0,5994,2234,0,0,0,0,0,0,1,1,1,14.9,50733,0,0,0,0,0,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,5980,99.77,2492,41.58,1442,24.06,666,11.11,3902,65.10,1775,29.61,26,0.43,1,0.02,27,0.45,250,4.16,282,4.70,100,4.48,245,10.95,5896,98.37,2430,40.54,1427,23.80,657,10.96,3861,64.41,1734,28.93,26,0.43,1,0.02,27,0.45,247,4.12,280,4.67,97,4.32,241,10.78,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2570,1445,667,3914,1776,26,1,27,250,282,103,235,+33.4770252,-081.8642791
45003021001,South Carolina,Aiken County,0,4621,1790,0,10,0.22,0,0,0,0,0,1,21.9,50281,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,4620,99.97,2380,51.51,1125,24.34,655,14.17,3386,73.28,828,17.92,31,0.67,2,0.04,24,0.52,349,7.55,352,7.62,95,5.32,307,17.13,4538,98.21,2346,50.77,1099,23.78,648,14.03,3346,72.40,796,17.23,31,0.67,2,0.04,24,0.52,340,7.35,344,7.45,94,5.25,302,16.86,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2223,1125,655,3387,828,31,2,24,349,352,95,300,+33.5096425,-081.8696608
45003021002,South Carolina,Aiken County,1,5396,2118,0,24,0.44,1,1,1,1,1,1,33.6,30882,1,1,1,1,1,0,0,1,1876,4212,1876,1002,2541,1002,4212,78.06,2541,47.09,1010,18.71,549,10.17,2604,48.25,1063,19.70,8,0.15,2,0.04,20,0.36,516,9.56,563,10.44,103,4.85,665,31.39,1876,34.77,1002,18.57,468,8.68,219,4.07,980,18.15,675,12.51,6,0.11,0,0.01,5,0.09,211,3.90,235,4.35,37,1.75,286,13.48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3339,1313,791,3442,1268,12,2,29,643,663,116,782,+33.5044854,-081.9155699
45003021101,South Carolina,Aiken County,1,3000,1209,0,3,0.1,1,1,1,1,1,1,35,29966,1,1,1,1,1,0,0,1,3000,3000,3000,2092,2092,2092,3000,100.00,2092,69.74,744,24.80,418,13.93,2518,83.93,329,10.97,7,0.23,1,0.03,20,0.67,125,4.17,125,4.17,205,16.94,349,28.85,3000,100.00,2092,69.74,744,24.80,418,13.93,2518,83.93,329,10.97,7,0.23,1,0.03,20,0.67,125,4.17,125,4.17,205,16.94,349,28.85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1918,744,418,2518,329,7,1,20,125,125,209,360,+33.5131735,-081.8298967
45003021102,South Carolina,Aiken County,1,3898,1607,0,0,0,0,0,0,0,0,0,16.9,52578,1,1,1,1,1,0,0,0,3898,3898,3898,1645,1645,1645,3898,100.00,1645,42.19,964,24.73,564,14.47,3223,82.68,410,10.52,15,0.38,0,0.00,22,0.56,228,5.85,176,4.52,53,3.31,156,9.68,3898,100.00,1645,42.19,964,24.73,564,14.47,3223,82.68,410,10.52,15,0.38,0,0.00,22,0.56,228,5.85,176,4.52,53,3.31,156,9.68,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1580,964,564,3223,410,15,0,22,228,176,44,139,+33.5290504,-081.8045716
