npi,basic_organization_name,NPI,Hours of Operation,MEDICAID ID,SPOKEN LANGUAGES,e-Rx,Delivery,Compound,Drive- Thru,Vaccines,Handicap Access,Cultural Comp- Training,Accepting New Customers,Website,basic_organizational_subpart,basic_enumeration_date,basic_last_updated,basic_status,basic_authorized_official_credential,basic_authorized_official_first_name,basic_authorized_official_last_name,basic_authorized_official_telephone_number,basic_authorized_official_title_or_position,basic_name,basic_parent_organization_ein,basic_parent_organization_legal_business_name,basic_authorized_official_middle_name,basic_authorized_official_name_prefix,basic_authorized_official_name_suffix,basic_certification_date,basic_name_prefix,basic_first_name,basic_last_name,basic_middle_name,basic_credential,basic_sole_proprietor,basic_gender,addresses_country_code,addresses_country_name,addresses_address_purpose,addresses_address_type,addresses_address_1,addresses_address_2,addresses_city,addresses_state,addresses_postal_code,addresses_telephone_number,addresses_fax_number,lat...37,long...38,geo_method,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
1003876244,RILEYS DRUGS INC,1003876244,,717083,ENG,N,N,N,Y,Y,Y,Y,Y,https://rileysdrugs.,NO,3/23/06,2/22/16,A,BS PHARM,ROBERTA,VINING,803-359-2587,PIC,RILEYS DRUGS INC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,1207 W MAIN ST,,LEXINGTON,SC,290722405,803-359-2587,803-359-2588,33.98331,-81.258934,census,33.98347,-81.259028,1,rooftop,1208,W Main St,,,Lexington,SC,Lexington County,29072,US,Lexington
1003919598,SOUTH CAROLINA CVS PHARMACY LLC,1003919598,,742008,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy,NO,9/7/06,8/12/16,A,,SUSAN,COLBERT,401-770-2751,"SR. DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,1869 GREAT FALLS HIGHWAY,,LANCASTER,SC,297207172,803-285-8491,,34.691196,-80.788536,census,34.691127,-80.788282,1,rooftop,1889,Great Falls Hwy,,,Lancaster,SC,Lancaster County,29720,US,Lancaster County G
1003919796,SOUTH CAROLINA CVS PHARMACY LLC,1003919796,,711471,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy,NO,9/7/06,12/6/11,A,,SUSAN,COLBERT,401-770-2751,"DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,3210 E PALMETTO ST,,FLORENCE,SC,295063832,843-662-3740,,34.196926,-79.70413,census,34.19646,-79.703977,1,rooftop,3204,E Palmetto St,,,Florence,SC,Florence County,29506,US,Florence
1013004217,"MEDICINE MART COLUMBIA, INC.",1013004217,,767123,ENG,Y,N,N,N,Y,Y,Y,Y,https://www.rxmedicinemart.com,NO,10/7/06,7/3/18,A,,ANDREW,WALL,803-231-2003,OWNER/PHARMACIST-IN-CHARGE,"MEDICINE MART COLUMBIA, INC.",,,DAVID,,,,,,,,,,,US,United States,LOCATION,DOM,3729 ROSEWOOD DR,,COLUMBIA,SC,29205,803-231-2003,803-231-2004,33.98785,-80.98966,census,33.987819,-80.988701,0.98,nearest_street,3800,State Hwy 16,,,Columbia,SC,Richland County,29205,US,TIGER/Line® dataset from the US Census Bureau
1013010552,SOUTH CAROLINA CVS PHARMACY LLC,1013010552,,711507,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy,NO,9/7/06,12/6/11,A,,SUSAN,COLBERT,401-770-2751,"DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,3055 BROAD RIVER RD,,COLUMBIA,SC,292105919,803-798-4460,,34.04902,-81.10466,census,34.048943,-81.104564,0.99,nearest_street,3039,US Hwy 176,,,Columbia,SC,Richland County,29210,US,TIGER/Line® dataset from the US Census Bureau
1013010875,SOUTH CAROLINA CVS PHARMACY LLC,1013010875,,745161,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy,NO,9/7/06,2/8/12,A,,SUSAN,COLBERT,401-770-2751,"DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,1080 ALICE DR,,SUMTER,SC,291502463,803-469-7150,,33.937443,-80.383446,census,33.937368,-80.382996,1,rooftop,1055,Alice Dr,,,Sumter,SC,Sumter County,29150,US,Sumter
1013010883,SOUTH CAROLINA CVS PHARMACY LLC,1013010883,,742646,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy,NO,9/7/06,2/8/12,A,,SUSAN,COLBERT,401-770-2751,"DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,210 INGLES PL,,SENECA,SC,296780847,864-882-6706,,34.70079,-82.937744,census,34.700437,-82.93774,1,rooftop,210,Ingles Pl,,,Seneca,SC,Oconee County,29678,US,Oconee
1013011410,WALGREEN CO,1013011410,,715812,ENG,Y,N,Y,Y,N/A,Y,Y,Y,https://www.walgreens.com/pharmacy/,YES,9/8/06,8/30/16,A,,ALAN,NIELSEN,847-315-3523,TREASURER,WALGREEN CO,<UNAVAIL>,WALGREENS BOOTS ALLIANCE INC,T,MR.,,,,,,,,,,US,United States,LOCATION,DOM,1106 JOHN C CALHOUN DR,,ORANGEBURG,SC,291156656,803-531-2079,,33.48644,-80.863174,census,33.486679,-80.862823,1,nearest_street,,US 601,,,Orangeburg,SC,Orangeburg County,29115,US,TIGER/Line® dataset from the US Census Bureau
1013264670,WALGREEN CO,1013264670,,715808,ENG,Y,N,Y,Y,N/A,Y,Y,Y,https://www.walgreens.com/pharmacy/,YES,8/13/12,10/31/16,A,,ALAN,NIELSEN,847-315-3523,TREASURER,WALGREEN CO,<UNAVAIL>,WALGREENS BOOTS ALLIANCE INC,T,MR.,,,,,,,,,,US,United States,LOCATION,DOM,1110 DICK POND RD,,MYRTLE BEACH,SC,295755503,843-232-0091,,33.630802,-78.96324,census,33.630533,-78.963402,1,rooftop,1149,Dick Pond Rd,,,Myrtle Beach,SC,Horry County,29575,US,Horry
1013428176,LONGS DRUGSTORES OF SC INC,1013428176,,717528,ENG,Y,Y,N,N,Y,Y,Y,Y,https://longsrx.com/,YES,10/17/17,10/17/17,A,,ASHLEY,ELLIS,803-254-5884,CORPORATE COUNSEL,LONGS DRUGSTORES OF SC INC,<UNAVAIL>,LONG'S DRUGSTORES OF SC INC,,,,,,,,,,,,US,United States,LOCATION,DOM,1481 TOBIAS GADSON BLVD STE 2D,,CHARLESTON,SC,294074794,843-996-1496,,32.809387,-80.03027,census,32.809563,-80.029636,1,rooftop,1470,Tobias Gadson Blvd,,,Charleston,SC,Charleston County,29407,US,City of Charleston
1013468404,HUMANA PHARMACY INC,1013468404,,716916,ENG,Y,N,N,N,Y,Y,Y,Y,https://www.hubcitypharmacy.info,NO,10/20/16,3/9/17,A,,BRIAN,DOHENY,502-476-4590,DIRECTOR,HUMANA PHARMACY INC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,2001 E GREENVILLE ST,,ANDERSON,SC,296211529,864-332-3101,,34.543526,-82.631256,census,34.543946,-82.631511,1,rooftop,500,Reed Rd,,,Anderson,SC,Anderson County,29621,US,Anderson
1013922962,INGLES MARKETS INC,1013922962,,761285,ENG,Y,N,Y,Y,Y,Y,Y,Y,www.ingles-markets.com/inside/pharmacy/pharmacy-info,NO,7/29/06,8/15/19,A,RPH,STEPHEN,CUCCHI,828-669-2941,VICE PRESIDENT OF PHARMACY,INGLES MARKETS INC,,,V,MR.,,,,,,,,,,US,United States,LOCATION,DOM,2120 E MAIN ST,,DUNCAN,SC,293349456,864-433-0422,864-433-0569,34.88881,-82.07156,census,34.888433,-82.071798,1,rooftop,2098,E Main St,,,Duncan,SC,Spartanburg County,29334,US,Spartanburg County G
1013934272,WAL-MART STORES EAST LP,1013934272,,724842,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.walmart.com/cp/pharmacy/5431,NO,7/16/06,2/16/17,A,,SARAH,LITTLE,479-277-2500,DIRECTOR OF HEALTHCARE CONTRACTING,WAL-MART STORES EAST LP,,,,,,,,,,,,,,US,United States,LOCATION,DOM,2240 W DEKALB ST,,CAMDEN,SC,290202069,803-425-1691,,34.252314,-80.6500855,Google Maps,34.251179,-80.645569,0.95,nearest_street,1612,State Rd S-28-130,,,Camden,SC,Kershaw County,29020,US,TIGER/Line® dataset from the US Census Bureau
1013972108,F.M. LINDER & SON LLC,1013972108,,732716,ENG,Y,Y,N,N,N,Y,Y,Y,,NO,4/20/06,3/22/21,A,,FRANKLIN,LINDER,912-427-4288,PHARMACIST/OWNER,F.M. LINDER & SON LLC,,,MAXWELL,MR.,,3/22/21,,,,,,,,US,United States,LOCATION,DOM,373 WASHINGTON STREET,,WALTERBORO,SC,29488,843-549-7222,,32.9026612,-80.66387321,osm,32.90263,-80.663781,1,rooftop,322,E Washington St,,,Walterboro,SC,Colleton County,29488,US,Colleton
1023058468,PUBLIX SUPER MARKETS INC,1023058468,,730147,ENG,Y,N,Y,N,Y,Y,Y,Y,www.publix.com/Pharmacy,NO,6/7/06,11/18/19,A,,DAIN,RUSK,863-688-1188,VP PHARMACY,PUBLIX SUPER MARKETS INC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,45 PEMBROKE DR,,HILTON HEAD ISLAND,SC,299262262,843-689-2276,843-689-6252,32.209423,-80.72346,census,32.20943,-80.723436,1,nearest_street,59,Pembroke Dr,,,Hilton Head Island,SC,Beaufort County,29926,US,TIGER/Line® dataset from the US Census Bureau
1023104890,PUBLIX SUPER MARKETS INC,1023104890,,791282,ENG,Y,N,Y,N,Y,Y,Y,Y,www.publix.com/Pharmacy,NO,10/5/06,11/18/19,A,,DAIN,RUSK,863-688-1188,VP PHARMACY,PUBLIX SUPER MARKETS INC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,1585 CENTRAL AVE,SUITE A,SUMMERVILLE,SC,294835587,843-832-4247,843-832-4325,33.01280486,-80.2351408,Google Maps,33.013165,-80.234626,1,rooftop,1581,Central Ave,,,Summerville,SC,Dorchester County,29483,US,Dorchester
1023111887,SOUTH CAROLINA CVS PHARMACY LLC,1023111887,,741870,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy,NO,9/7/06,3/1/12,A,,SUSAN,COLBERT,401-770-2751,"DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,609 CHERRY RD,,ROCK HILL,SC,297323119,803-328-6111,,34.94551025,-81.02928118,Google Maps,34.945396,-81.029502,1,rooftop,1039,Charlotte Ave,,,Rock Hill,SC,York County,29732,US,York
1023111895,SOUTH CAROLINA CVS PHARMACY LLC,1023111895,,745308,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy,NO,9/7/06,12/6/11,A,,SUSAN,COLBERT,401-770-2751,"DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,2500 BROAD ST,,CAMDEN,SC,290202225,803-432-5103,,34.27577,-80.60946,census,34.275731,-80.609468,0.99,nearest_street,2504,US Hwy 521,,,Camden,SC,Kershaw County,29020,US,TIGER/Line® dataset from the US Census Bureau
1023176658,"ELGIN PHARMACY, INC.",1023176658,,72037D,ENG,Y,N,Y,N,N,Y,Y,Y,www.mygnp.com,NO,12/5/06,5/19/21,A,PHARMD,TRAISHA,CAMPFIELD,803-438-5735,PHARMACIST,"ELGIN PHARMACY, INC.",,,W.,DR.,,5/19/21,,,,,,,,US,United States,LOCATION,DOM,1107 ROSS ST.,,ELGIN,SC,29045,803-438-5735,803-438-4657,34.1694282,-80.7944228,osm,34.168484,-80.793527,0.97,nearest_street,1406,State Rd S-28-102,,,Elgin,SC,Kershaw County,29045,US,TIGER/Line® dataset from the US Census Bureau
1033118757,COMMUNITY PHARMACY OF CHESTER LLC,1033118757,,765740,ENG,Y,Y,Y,N,Y,Y,Y,Y,,NO,7/15/05,6/16/18,A,,JAMES,RICHARDS,704-904-3287,VICE PRESIDENT,COMMUNITY PHARMACY OF CHESTER LLC,,,MARK,,,,,,,,,,,US,United States,LOCATION,DOM,121 CHURCH ST,,CHESTER,SC,297062903,803-581-2102,803-581-2121,34.703568,-81.211205,census,34.703544,-81.211218,1,nearest_street,125,Church St,,,Chester,SC,Chester County,29706,US,TIGER/Line® dataset from the US Census Bureau
1033122635,WALGREEN CO,1033122635,,715769,ENG,Y,N,Y,Y,N/A,Y,Y,Y,https://www.walgreens.com/pharmacy/,YES,8/14/06,1/26/18,A,,ALAN,NIELSEN,847-315-3523,TREASURER,WALGREEN CO,<UNAVAIL>,WALGREENS BOOTS ALLIANCE INC,T,MR.,,,,,,,,,,US,United States,LOCATION,DOM,7412 BROAD RIVER RD,,IRMO,SC,290639662,803-749-3046,,34.097927,-81.166176,census,34.097924,-81.166193,1,nearest_street,7447,US Hwy 176,,,Irmo,SC,Richland County,29063,US,TIGER/Line® dataset from the US Census Bureau
1033136205,SAMS EAST INC,1033136205,,782095,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.sAsclub.com/sAs/,YES,7/16/06,8/7/13,A,,LAURA,LEVINE,479-204-8550,MGR OF GOVERNMENT CONTRACTING,SAMS EAST INC,<UNAVAIL>,WAL-MART STORES INC,,,,,,,,,,,,US,United States,LOCATION,DOM,200 PEACHWOOD CENTRE DR,,SPARTANBURG,SC,293012586,864-595-2661,,34.934826,-81.99983,census,34.935172,-81.999445,1,rooftop,151,Peachwood Centre Dr,,,Spartanburg,SC,Spartanburg County,29301,US,Spartanburg County G
1033212527,SOUTH CAROLINA CVS PHARMACY LLC,1033212527,,711316,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy,NO,9/7/06,12/6/11,A,,SUSAN,COLBERT,401-770-2751,"DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,1401 BEN SAWYER BLVD,,MT PLEASANT,SC,294644574,843-881-1725,,32.79018,-79.85235,census,32.790264,-79.852391,0.99,nearest_street,1401,State Hwy 703,,,Mount Pleasant,SC,Charleston County,29464,US,TIGER/Line® dataset from the US Census Bureau
1033267695,T & B INC,1033267695,,744430,ENG,Y,Y,N,Y,N,Y,Y,Y,https://www.darlingtonfAilypharmacy.com/,NO,1/8/07,5/28/19,A,RPH,TERRY,LEWIS,843-395-6020,"CEO, PHARMACIST",T & B INC,,,,MR.,,,,,,,,,,US,United States,LOCATION,DOM,203 S MAIN ST,,DARLINGTON,SC,295323953,843-395-6020,843-395-2595,34.30112,-79.86984,census,34.301215,-79.870188,1,rooftop,202,Main St,,,Darlington,SC,Darlington County,29532,US,Darlington
1033291513,SOUTH CAROLINA ONCOLOGY ASSOCIATES PA,1033291513,,779872,ENG,Y,N,Y,N,N,Y,Y,Y,www.sconcology.net/pharmacy,NO,10/20/06,6/3/11,A,PHARM D,JAN,MONTGOMERY,803-461-3077,DIRECTOR,SOUTH CAROLINA ONCOLOGY ASSOCIATES PA,,,,,,,,,,,,,,US,United States,LOCATION,DOM,166 STONERIDGE DR,,COLUMBIA,SC,292108239,803-461-3709,803-461-3426,34.01483,-81.07479,census,34.014879,-81.075188,0.98,nearest_street,169,Stoneridge Dr,,,Columbia,SC,Richland County,29210,US,TIGER/Line® dataset from the US Census Bureau
1033633730,WALGREEN CO,1033633730,,717712,ENG,Y,N,N,Y,Y,Y,Y,Y,https://www.riteaid.com/pharmacy,YES,8/3/17,2/18/19,A,,ALYSSA,SWEETEN,217-709-2386,MANAGER,WALGREEN CO,<UNAVAIL>,WALGREENS BOOTS ALLIANCE INC,,MR.,,,,,,,,,,US,United States,LOCATION,DOM,6950 S PINE ST,,PACOLET,SC,293722243,864-474-1145,864-474-9973,34.897804,-81.76399,census,34.897935,-81.76368,1,rooftop,6951,S Pine St,,,Pacolet,SC,Spartanburg County,29372,US,Spartanburg County G
1033635933,WALGREEN CO,1033635933,,717682,ENG,Y,N,N,Y,Y,Y,Y,Y,https://www.riteaid.com/pharmacy,YES,8/22/17,1/29/19,A,,ALYSSA,SWEETEN,217-709-2386,MANAGER,WALGREEN CO,<UNAVAIL>,WALGREENS BOOTS ALLIANCE INC,,,,,,,,,,,,US,United States,LOCATION,DOM,11156 ASHEVILLE HWY,,INMAN,SC,293498931,864-472-3540,864-472-1707,35.04003783,-82.07760928,Google Maps,35.039882,-82.07765,1,rooftop,201,Gallman Rd,,,Inman,SC,Spartanburg County,29349,US,Spartanburg County G
1033641121,BANKS DRUG LTC LLC,1033641121,,71716D,ENG,Y,Y,Y,N,Y,Y,Y,Y,https://banksdrug.com,NO,3/29/17,3/29/17,A,,LEE,BANKS,803-685-5326,PRESIDENT,BANKS DRUG LTC LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,632 E MAIN ST,,RIDGE SPRING,SC,291299139,803-233-3557,803-250-2623,33.84734481,-81.66082358,Google Maps,33.847481,-81.660533,1,rooftop,104,Crawford Ln,,,Ridge Spring,SC,Saluda County,29129,US,Saluda
1033739024,MARUTI SQUARE INC.,1033739024,,7Z1114,ENG,Y,Y,Y,Y,Y,Y,Y,Y,,NO,4/20/20,9/23/20,A,,DIPAN,PATEL,843-799-1211,PIC,MARUTI SQUARE INC.,,,,,,8/14/20,,,,,,,,US,United States,LOCATION,DOM,822 PAMPLICO HWY,,FLORENCE,SC,295056018,843-799-1211,843-799-1217,34.16015,-79.75547,census,34.159658,-79.75581,1,rooftop,702,Pamplico Hwy,,,Florence,SC,Florence County,29505,US,Florence
1043279789,"INTRAMED PLUS, INC.",1043279789,,740306,ENG,N,Y,Y,N,N,Y,Y,Y,https://www.intrAedplus.com,NO,3/21/06,8/20/12,A,,SHELLEY,COOLEY,803-794-0200,REIMBURSEMENT DIRECTOR,"INTRAMED PLUS, INC.",,,Y,,,,,,,,,,,US,United States,LOCATION,DOM,4995 LACROSS RD,SUITE 1200,NORTH CHARLESTON,SC,294066542,843-763-2080,803-763-9916,32.881405,-80.01567,census,32.879733,-80.016919,0.99,nearest_street,,I 26,,,North Charleston,SC,Charleston County,29418,US,TIGER/Line® dataset from the US Census Bureau
1043313711,SOUTH CAROLINA CVS PHARMACY LLC,1043313711,,741868,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy,NO,9/7/06,2/8/12,A,,SUSAN,COLBERT,401-770-2751,"DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,6160 WADE HAMPTON BLVD,,TAYLORS,SC,296875350,864-879-7146,,34.936367,-82.27475,census,34.935957,-82.274504,1,rooftop,6130,Wade Hampton Blvd,,,Taylors,SC,Greenville County,29687,US,Greenville
1043313810,SOUTH CAROLINA CVS PHARMACY LLC,1043313810,,742715,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy,NO,9/7/06,3/1/12,A,,SUSAN,COLBERT,401-770-2751,"DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,11211 ASHEVILLE HWY,,INMAN,SC,293498951,864-472-2831,,35.03829,-82.07754,census,35.038594,-82.077374,1,rooftop,11150,Asheville Hwy,,,Inman,SC,Spartanburg County,29349,US,Spartanburg County G
1043365703,SOUTH CAROLINA DEPARTMENT OF MENTAL HEALTH,1043365703,,717835,ENG,N,N,N,N,N,Y,Y,Y,http://www.state.sc.us/dmh/,YES,1/24/07,10/18/11,A,M.D.,KIMBERLY,RUDD,803-737-5301,DIRECTOR OF PROFESSIONAL SERVICES,SOUTH CAROLINA DEPARTMENT OF MENTAL HEALTH,<UNAVAIL>,SOUTH CAROLINA DEPARTMENT OF MENTAL HEALTH,BUTTERFLY,,,,,,,,,,,US,United States,LOCATION,DOM,2200 HARDEN ST.,,COLUMBIA,SC,292037107,803-737-5339,803-737-5436,34.018543,-81.024666,census,34.018278,-81.024552,0.99,nearest_street,2200,Harden St,,,Columbia,SC,Richland County,29205,US,TIGER/Line® dataset from the US Census Bureau
