name,lat_34,long_35,address,city_2,state_2,zip_2,county_2,country,match_indicator,match_type,tiger_line_id,tiger_side,state_fips,county_fips,census_tract,census_block
King's Farm Market,32.581123,-80.334015,2559 Highway 174,Edisto Island,SC,29438,Charleston County,US,Match,Non_Exact,108891851,L,45,019,002300,2035
Freshfields Village Green Farmers Market,32.606728,-80.14868,600 Freshfields Dr,Johns Island,SC,29455,Charleston County,US,No_Match,,,,,,,
St. George Farmers' Market,33.19376,-80.591576,5856 W Jim Bilton Blvd,Saint George,SC,29477,Dorchester County,US,Match,Exact,178463497,R,45,035,010200,2079
Jasper County Farmer's Market,32.4700522,-80.98781428,9935 S Jacob Smart Blvd,Ridgeland,SC,29936,Jasper County,US,No_Match,,,,,,,
Whittle Farm Market,33.493378,-81.269165,1 Neeses Hwy,Springfield,SC,29146,Orangeburg County,US,No_Match,,,,,,,
Right Choice Fresh Start Farmer's Market,33.52709,-80.840004,1 Magnolia St,Orangeburg,SC,29115,Orangeburg County,US,No_Match,,,,,,,
Otis Daise Sr. & Son Produce,32.35011,-80.61837,104 Peaches Hill Cir,Saint Helena Island,SC,29920,Beaufort County,US,Match,Exact,647888409,R,45,013,001103,1023
North Charleston Farmers Market,32.8804352,-79.9860378,4814 W Park Pl,North Charleston,SC,29405,Charleston County,US,Match,Non_Exact,108799719,L,45,019,003500,2030
George And Pink Vegetable Stand,32.540413,-80.27532,7971 Edingsville Beach Rd,Edisto Island,SC,29438,Charleston County,US,Match,Non_Exact,108791238,L,45,019,002300,1063
West Ashley Farmer Market,32.78886422,-79.99098986,24 Sycamore Ave,Charleston,SC,29407,Charleston County,US,Match,Exact,108803880,L,45,019,002900,2036
Dora Farmer's Market,33.488434,-80.86363,136 Market St,Orangeburg,SC,29115,Orangeburg County,US,Match,Exact,19217614,R,45,075,011300,1041
Sullivan's Island Farmer's Market,32.7595,-79.84218,1902 Ion Ave,Sullivans Island,SC,29482,Charleston County,US,Match,Exact,108814283,L,45,019,004800,2012
Sunday Brunch Farmers Market,32.762455,-79.98674,1970 Maybank Hwy,Charleston,SC,29412,Charleston County,US,Match,Exact,615120065,R,45,019,001901,3014
Summers Corner,32.9888304,-80.1331216,103 Blue Beech Ct,Ladson,SC,29456,Dorchester County,US,Match,Exact,614149136,L,45,035,010814,1006
Stono Market And Tomato Shed Cafe,32.76281,-80.10647,807 Main Rd,Johns Island,SC,29455,Charleston County,US,Match,Exact,108837985,L,45,019,002106,1032
Geechie Boy Mill And Market,32.59729715,-80.34651891,2995 Highway 174,Edisto Island,SC,29438,Charleston County,US,No_Match,,,,,,,
Main Road Farmers Market,32.80058012,-80.10879246,138 Main Rd,Johns Island,SC,29455,Charleston County,US,No_Match,,,,,,,
Rest Park Farm,32.529583,-80.763626,194E Seabrook Rd,Seabrook,SC,29940,Beaufort County,US,Match,Exact,653317248,L,45,013,000200,2002
Gruber Farm,33.22512,-80.54004,1586 Highway 15 N,Saint George,SC,29477,Dorchester County,US,No_Match,,,,,,,
Hickory Bluff Berry Farm,33.258644,-80.33624,3029 Old Gilliard Rd,Holly Hill,SC,29059,Berkeley County,US,Match,Non_Exact,605117997,L,45,015,020102,2000
Coastal Produce Market,33.02621,-80.17282,500 N Cedar St,Summerville,SC,29483,Dorchester County,US,Match,Non_Exact,178459855,L,45,035,010700,1031
Summerville Farmers Market,33.018215,-80.176414,209 S Main St,Summerville,SC,29483,Dorchester County,US,Tie,,,,,,,
Hardeeville Farmers Market,32.282692,-81.075584,101 Horton St,Hardeeville,SC,29927,Jasper County,US,Match,Exact,33155214,R,45,053,950302,1031
The Market Village Of Wexford,32.15676,-80.75858,1016 US Hwy 278 Bus,Hilton Head Island,SC,29928,Beaufort County,US,No_Match,,,,,,,
Blackbird Market,32.715109,-80.0747488,1929 Bohicket Rd,Johns Island,SC,29455,Charleston County,US,Match,Exact,108896333,L,45,019,002107,2055
The Town Market On James Island,32.730595,-79.92819,872 Ft Johnson Rd,Charleston,SC,29412,Charleston County,US,No_Match,,,,,,,
Nano Farms Farm Stand,32.71397541,-79.96489284,1426 Folly Rd,Charleston,SC,29412,Charleston County,US,Match,Exact,640316440,L,45,019,002009,2013
Daniel Island Farmer's Market,32.862988,-79.90578,866 Island Park Dr,Daniel Island,SC,29492,Berkeley County,US,Match,Exact,650194574,R,45,015,020407,5005
Muddy Creek Farmers Market,32.9550869,-80.4867817,944 Rehoboth Rd,Cottageville,SC,29435,Colleton County,US,Match,Exact,19166455,R,45,029,970701,2021
Blue Pearl Farms,33.095863,-79.504005,9710 Randall Rd,Mc Clellanville,SC,29458,Charleston County,US,Match,Exact,108794136,L,45,019,005002,4052
Fresh Future Farm,32.853558,-79.97053,1998 Grayson St,North Charleston,SC,29405,Charleston County,US,Match,Exact,108804683,L,45,019,004300,4000
Jeremiah Fresh Produce,32.72189,-80.35039,5246 Highway 174,Adams Run,SC,29426,Charleston County,US,Match,Non_Exact,605704977,R,45,019,002402,2024
Legare Farms,32.67869,-80.0253,2689 Hanscombe Point Rd,Johns Island,SC,29455,Charleston County,US,Match,Exact,605835879,R,45,019,002103,3002
Cordray Farms And Processing,32.843494,-80.27585,6716 County Line Rd,Ravenel,SC,29470,Dorchester County,US,Match,Exact,605698275,R,45,035,010801,1061
Livingston Farms,33.66709,-81.11076,132 Waters Ferry Rd,North,SC,29112,Orangeburg County,US,Match,Exact,19213346,L,45,075,012000,2024
Cheraw Farmers Market,34.697075,-79.880295,105 Front,Cheraw,SC,29520,Chesterfield County,US,Match,Non_Exact,14331334,L,45,025,950602,1017
Dixon Produce,34.33919793,-80.08092849,428 Bobo Newsom Hwy,Hartsville,SC,29550,Darlington County,US,Tie,,,,,,,
Veggie Patch,34.826454,-81.66745,311 Poplar Rd,Jonesville,SC,29353,Union County,US,Match,Exact,638641270,R,45,087,030800,2003
Split Creek Farm,34.580135,-82.803055,3803 Centerville Rd,Anderson,SC,29625,Anderson County,US,Match,Exact,25483671,L,45,007,010800,1013
Hartsville Farmers Market,34.374348,-80.07307,100 Carolina Ave,Hartsville,SC,29550,Darlington County,US,Tie,,,,,,,
Swamp Rabbit Cafe And Grocery,34.87056,-82.42151,205 Cedar Lane Rd,Greenville,SC,29611,Greenville County,US,Match,Exact,38298369,L,45,045,002203,3028
Garret And Son,33.635974,-81.737618,1899 State Hwy 19,Aiken,SC,29801,Aiken County,US,No_Match,,,,,,,
Woods Market And Garden,33.514523,-81.72365,951 Dougherty Rd,Aiken,SC,29803,Aiken County,US,Match,Exact,647679581,R,45,003,021204,1045
Concord Market,34.5335,-82.66277,111 Concord Rd,Anderson,SC,29621,Anderson County,US,Match,Exact,25450949,L,45,007,001100,2019
South Greenville Farmers Market,34.70643,-82.391594,NA US 25,Piedmont,SC,29673,Greenville County,US,No_Match,,,,,,,
South 5th Street Open Air Market,34.352055,-80.06945,1505 5th St,Hartsville,SC,29550,Darlington County,US,Match,Non_Exact,78391877,R,45,031,010300,4027
Angela's Fresh Market,33.58393,-79.00956,523 Clam Cove Ave,Murrells Inlet,SC,29576,Horry County,US,No_Match,,,,,,,
Ann's Produce,33.7988,-79.01863,695 Hwy 544,Conway,SC,29526,Horry County,US,Match,Non_Exact,631943265,R,45,051,060405,1024
Davis Produce,33.641197,-78.94856,5600 S Kings Hwy,Myrtle Beach,SC,29575,Horry County,US,Match,Non_Exact,29058159,L,45,051,051403,3032
Myrtle Beach Produce,33.711468,-78.866776,605 29th Ave N,Myrtle Beach,SC,29577,Horry County,US,Match,Exact,647267600,L,45,051,050500,3025
Mr Potato Head Produce,33.943336,-79.16382,211 Hucks Rd,Aynor,SC,29511,Horry County,US,Match,Exact,29037630,L,45,051,080200,2009
Bars Produce And Feed,33.934223,-81.21386,2062 Old Barnwell Rd,Lexington,SC,29073,Lexington County,US,Match,Exact,641134004,L,45,063,021042,1000
P&D Old Country Store And Market,34.21765,-81.71485,1130 Main St,Silverstreet,SC,29145,Newberry County,US,Match,Exact,45375096,L,45,071,950700,3049
Laurens Produce,34.52364,-81.995,31 Hwy 49,Laurens,SC,29360,Laurens County,US,Match,Exact,44446167,L,45,059,920503,1005
Chattooga Belle Roadside Stand,34.671784,-83.106593,9200 US Hwy 76,Westminster,SC,29693,Oconee County,US,No_Match,,,,,,,
Lourie Center Seeds Of Hope Farmer's Market,33.994938,-81.022575,416 Henderson St,Columbia,SC,29205,Richland County,US,Match,Exact,636580250,R,45,079,002700,2006
SC DHEC Seeds Of Hope Farmer's Market,34.02250505,-81.03736037,2611 State Hwy 277,Columbia,SC,29202,Richland County,US,No_Match,,,,,,,
Tree Of Life Congregation Seeds Of Hope Farmer's Market,34.052605,-80.95889,6710 Cary Ln,Columbia,SC,29206,Richland County,US,Match,Exact,640034430,R,45,079,011306,1001
Ashland United Methodist Church Seeds Of Hope Farmer's Market,34.040257,-81.12846,761 Gardendale Dr,Columbia,SC,29210,Lexington County,US,Match,Exact,70050167,R,45,063,020510,1000
Grace United Methodist Church Seeds Of Hope Farmer's Market,34.08054925,-81.14970208,417 Harbison Blvd,Columbia,SC,29212,Richland County,US,Match,Exact,71857762,R,45,079,010304,3023
Shandon United Methodist Church Seeds Of Hope Farmer's Market,33.99746404,-80.99271395,3403 US Hwy 76,Columbia,SC,29205,Richland County,US,No_Match,,,,,,,
Carrols Produce - Hwy 501,33.8000194,-79.0055024,NA US 501,Conway,SC,29526,Horry County,US,No_Match,,,,,,,
Po Boys Produce,34.024743,-79.223407,NA US 501,Aynor,SC,29511,Horry County,US,No_Match,,,,,,,
Ragan Orchards,35.083008,-82.058365,2039 Highway 292,Inman,SC,29349,Spartanburg County,US,Match,Non_Exact,640663328,L,45,083,022803,1028
Bellews Market,34.972836,-81.927284,258 Boundary Dr,Spartanburg,SC,29303,Spartanburg County,US,Match,Exact,640602913,R,45,083,021500,2010
Woodruff Farmers Market,34.86075,-82.11373,115 Main St,Pacolet,SC,29372,Spartanburg County,US,Tie,,,,,,,
Union County Farmers Market,34.727394,-81.64858,100 Times Blvd,Union,SC,29379,Union County,US,Match,Non_Exact,653323627,R,45,087,030100,1019
Ables Orchard,34.79793601,-83.27093588,14161 Long Creek Hwy,Long Creek,SC,29658,Oconee County,US,Match,Exact,25671899,L,45,073,030100,4008
Hollifield's Orchard,34.77200296,-83.2589328,161 Hollifield Ln,Westminster,SC,29693,Oconee County,US,Match,Exact,25657441,R,45,073,030100,4023
Farm Fresh Market At Cold Creek,33.531048,-81.768817,134 Rhinehart Way,Aiken,SC,29801,Aiken County,US,No_Match,,,,,,,
Aiken County Farmers Market,33.55833007,-81.70735069,156 Williamsburg St NE,Aiken,SC,29801,Aiken County,US,Match,Exact,65006976,L,45,003,021401,2104
Abbeville Farmer's Market,34.1782,-82.37946,103 Washington St,Abbeville,SC,29620,Abbeville County,US,Match,Exact,38263670,L,45,001,950401,1040
Bob and Lisa's Produce,34.74844,-82.50188,9701 Anderson Rd,Piedmont,SC,29673,Anderson County,US,Match,Exact,25509089,L,45,007,010103,1012
Carolina Belle,34.564594,-82.89642,8814 Highway 24,Townville,SC,29689,Anderson County,US,Match,Non_Exact,25443729,L,45,007,010900,1026
Callaham Orchards,34.576492,-82.48326,555 Crawford Rd,Belton,SC,29627,Anderson County,US,Match,Exact,25446421,R,45,007,010406,2040
Berry Acres,34.47677,-82.737274,230 Strawberry Rd,Anderson,SC,29626,Anderson County,US,Match,Exact,25486393,R,45,007,012002,1024
Hurricane Creek Farms,34.5335,-82.66277,111 Concord Rd,Anderson,SC,29621,Anderson County,US,Match,Exact,25450949,L,45,007,001100,2019
Happy Cow Creamery,34.614132,-82.354904,331 McKelvey Rd,Pelzer,SC,29669,Greenville County,US,Match,Exact,38347431,L,45,045,003204,1027
Mccall's Produce Market,34.44586,-82.389946,303 E Greer St,Honea Path,SC,29654,Anderson County,US,Match,Exact,25437202,R,45,007,011502,1035
Pinebreeze Farm,34.604786,-82.36183,10025 Augusta Rd,Pelzer,SC,29669,Greenville County,US,Match,Exact,633404656,R,45,045,003202,1020
Walker Century Farms Market,34.645054,-82.627625,110 Walker Rd,Anderson,SC,29621,Anderson County,US,Match,Exact,25442043,L,45,007,010501,2034
Palmetto Farmers' Market,34.61794233,-82.4798001,121 W Main St,Williamston,SC,29697,Anderson County,US,Match,Exact,25446078,R,45,007,010403,3005
White Plains Produce,34.67348,-82.53323,1706 Easley Hwy,Pelzer,SC,29669,Anderson County,US,Match,Exact,25473396,R,45,007,010502,1015
Whitehall Produce,34.515984,-82.742294,2601 Whitehall Rd,Anderson,SC,29625,Anderson County,US,Match,Exact,25448728,L,45,007,012001,1018
Chappell Farms,33.125602,-81.342418,165 Railroad Ave,Barnwell,SC,29812,Barnwell County,US,Match,Exact,19073162,R,45,011,970500,2050
Sandy Acre Farm,33.26335,-81.322296,3015 Hwy 70,Barnwell,SC,29812,Barnwell County,US,Match,Non_Exact,19068369,L,45,011,970401,2005
City Of Barnwell Farmers Market,33.24511765,-81.36804511,10000 Dunbarton Blvd,Barnwell,SC,29812,Barnwell County,US,No_Match,,,,,,,
Gaffney Station Farmers Market,35.0767211,-81.6487039,220 W Frederick St,Gaffney,SC,29341,Cherokee County,US,Match,Exact,18996877,R,45,021,970301,3047
The Market At Cotton Hills Farm,34.7690879,-81.244448,1775 US Hwy 321,Chester,SC,29706,Chester County,US,Match,Exact,636760561,R,45,023,020601,2024
The Chester Market Of Cotton Hills Farm,34.70325,-81.21171,125 Church St,Chester,SC,29706,Chester County,US,Match,Exact,635515013,L,45,023,020200,4018
Chester Farmers And Artisan Market,34.704487,-81.21376,111 US Hwy 321 Bus,Chester,SC,29706,Chester County,US,No_Match,,,,,,,
McLeod Farms Market,34.4672468,-80.2515827,17 10th,McBee,SC,29101,Chesterfield County,US,No_Match,,,,,,,
Mcleod Farms Roadside Market,34.4672468,-80.2515827,17 10th,McBee,SC,29101,Chesterfield County,US,No_Match,,,,,,,
Pageland Farmers Market,34.7695939,-80.4005003,112 Vine,Pageland,SC,29728,Chesterfield County,US,No_Match,,,,,,,
Byrd's Little Market,34.39558964,-80.06531986,1300 5th St,Hartsville,SC,29550,Darlington County,US,Tie,,,,,,,
Ricks Produce,34.768116,-80.33274,55 Sand Castle,Pageland,SC,29728,Chesterfield County,US,Match,Non_Exact,636581772,R,45,025,950102,3005
Cook's Farm,33.74585,-81.871956,1236 Augusta,Trenton,SC,29847,Edgefield County,US,Match,Non_Exact,55839017,L,45,037,970400,1025
Jackies Market,33.679592,-81.873055,2671 Edgefield,Trenton,SC,29847,Edgefield County,US,Match,Non_Exact,55838671,R,45,037,970400,3015
Fairfield Farmers And Artisan Market,34.380736,-81.085275,121 E Washington St,Winnsboro,SC,29180,Fairfield County,US,Tie,,,,,,,
Mckenzie Farms & Nursery,33.91152,-79.84076,2025 Olanta Hwy,Scranton,SC,29591,Florence County,US,Match,Exact,28868674,R,45,041,002400,4003
Pee Dee State Farmers Market,34.241528,-79.81426,2611 W Lucas St,Florence,SC,29501,Florence County,US,Match,Non_Exact,639558943,R,45,041,000101,2004
Lake City Farmer's Market,33.87131,-79.75438,105 Henry St,Lake City,SC,29560,Florence County,US,Match,Exact,28871774,L,45,041,002202,2008
Florence City Center FM,34.19914,-79.77416,200 Sanborn St,Florence,SC,29501,Florence County,US,Match,Exact,28885099,R,45,041,000900,1030
Georgetown Farmers Market,33.365974,-79.28203,107 Screven St,Georgetown,SC,29440,Georgetown County,US,Match,Exact,28965399,L,45,043,920302,1006
Fountain Inn Farmers' Market,34.692986,-82.199974,104 A S Main St,Fountain Inn,SC,29644,Greenville County,US,Match,Exact,38350093,R,45,045,003101,2051
Fisher's Historical Taylors Shed,34.94799,-82.263054,1103 Locust Hill Rd,Greer,SC,29651,Greenville County,US,Match,Exact,38359047,R,45,045,002506,1044
Fisher's Orchard at Dillard,34.9310214,-82.2498922,500 S Buncombe Rd,Greer,SC,29650,Greenville County,US,No_Match,,,,,,,
Beechwood Farms,34.97016315,-82.43721198,114 N Poinsett Hwy,Travelers Rest,SC,29690,Greenville County,US,Tie,,,,,,,
Tomato Vine,34.89634,-82.43233,4120 Old Buncombe Rd,Greenville,SC,29617,Greenville County,US,Match,Non_Exact,624932058,L,45,045,002301,3015
Little Eddie's Produce Stand,34.634087,-82.41248,805 Hwy 8 E,Pelzer,SC,29669,Greenville County,US,No_Match,,,,,,,
"Perdeaux Fruit Farm, Llc",35.105854,-82.37578,2400 Hwy 11,Travelers Rest,SC,29690,Greenville County,US,Match,Non_Exact,38347980,R,45,045,004003,2000
Slow Food Upstate,34.87056,-82.42151,205 Cedar Lane Rd,Greenville,SC,29611,Greenville County,US,Match,Exact,38298369,L,45,045,002203,3028
Greenwood County Farmers Market,34.210182,-82.13422,221 Wilbanks Cir,Greenwood,SC,29649,Greenwood County,US,Match,Exact,645526119,L,45,047,970602,1004
Uptown Market,34.190247,-82.16301,203 Maxwell Ave,Greenwood,SC,29646,Greenwood County,US,Match,Exact,50812425,R,45,047,970401,1021
Mount Vernon Farm Market,33.947235,-78.86625,4000 Hwy 366,Loris,SC,29569,Horry County,US,Match,Non_Exact,29049704,L,45,051,020301,1017
Tylers Produce,33.835175,-79.17022,NA US 378,Conway,SC,29527,Horry County,US,No_Match,,,,,,,
Conway Farmers Market,33.834408,-79.046936,221 Laurel St,Conway,SC,29526,Horry County,US,Match,Exact,29042755,L,45,051,070200,2096
Little River Farmers Market,33.871815,-78.61051,4473 Mineola Ave,Little River,SC,29566,Horry County,US,Match,Exact,29069847,R,45,051,040105,2019
Kershaw County Farmers Market,34.24323,-80.60676,832 US Hwy 521,Camden,SC,29020,Kershaw County,US,No_Match,,,,,,,
521 Bait And Tackle,34.342705,-80.598,1455 US Hwy 601,Camden,SC,29020,Kershaw County,US,No_Match,,,,,,,
Lancaster County Farmers Market,34.722206,-80.72224,1941 Pageland Hwy,Lancaster,SC,29720,Lancaster County,US,No_Match,,,,,,,
Main St. Laurens Downtown Farmers Market,34.49932215,-82.01448821,300 Courthouse Public Sq,Laurens,SC,29360,Laurens County,US,Match,Exact,44449592,L,45,059,920400,2028
Stewart Farms,34.63653,-82.011856,6714 Hwy 92,Enoree,SC,29335,Laurens County,US,Match,Non_Exact,44451986,R,45,059,920501,1026
Myrtle's Market,33.7078857,-78.8960955,1890 Mr Joe White Ave,Myrtle Beach,SC,29577,Horry County,US,No_Match,,,,,,,
Market at Icehouse,33.98239,-81.23793,101 W Main St,Lexington,SC,29072,Lexington County,US,Match,Non_Exact,70068476,R,45,063,021029,2017
Wayne Taylor Family Farms,33.9524,-81.4203,4809 Augusta Hwy,Leesville,SC,29070,Lexington County,US,Match,Exact,70037319,R,45,063,021305,1000
Irmo Farmers Market,34.050555,-81.1025904,1436 St Andrews Rd,Columbia,SC,29210,Richland County,US,No_Match,,,,,,,
James R Sease Farms 2,33.9932852,-81.3078267,861 Highway 378,Lexington,SC,29072,Lexington County,US,No_Match,,,,,,,
James R Sease Farms 1,33.96861,-81.38394,3920 Augusta Hwy,Gilbert,SC,29054,Lexington County,US,Match,Exact,70037286,L,45,063,021310,1042
Cayce Farmer's Market,33.950283,-81.078575,2333 Charleston Hwy,Cayce,SC,29033,Lexington County,US,Match,Exact,640548074,L,45,063,020604,3016
Wingard's Market,34.018997,-81.222305,1403 N Lake Dr,Lexington,SC,29072,Lexington County,US,Match,Non_Exact,70062069,L,45,063,021025,1008
Livingston Farms The Shack,33.766716,-81.10556,A1424 Southbound Rd,Swansea,SC,29160,Lexington County,US,No_Match,,,,,,,
"Randall's Produce & Lands, LLC",33.912346,-81.53492,226 W Church St,Batesburg,SC,29006,Lexington County,US,Match,Exact,70035191,R,45,063,021402,1016
L & W Roadside Stand,34.15855,-79.38172,845 Foxboro Rd,Marion,SC,29571,Marion County,US,Match,Exact,645323282,L,45,067,950600,3018
Columbia State Farmers Market,33.904755,-81.065414,NA US 176,West Columbia,SC,29172,Lexington County,US,No_Match,,,,,,,
Rabon Produce,34.21179,-79.25604,521 State Hwy 41,Mullins,SC,29574,Marion County,US,No_Match,,,,,,,
The Produce Barn,34.722034,-79.86511,4263 Delta Heights Rd,Wallace,SC,29596,Marlboro County,US,Match,Exact,25856380,L,45,069,960100,1011
Mcarthur Farms,34.6060187,-79.6851173,260 US Hwy 401,Bennettsville,SC,29512,Marlboro County,US,No_Match,,,,,,,
Marlboro County Farmers Market,34.610863,-79.6809,292 Spencer St,Bennettsville,SC,29512,Marlboro County,US,Match,Exact,640409670,L,45,069,960201,2027
Mccormick County Farmers' Market,33.91289014,-82.2969623,201 State Hwy 28,McCormick,SC,29835,McCormick County,US,No_Match,,,,,,,
Mike's Produce,34.297672,-81.60963,2119 Wilson Rd,Newberry,SC,29108,Newberry County,US,Match,Exact,647229836,L,45,071,950204,2007
Chappells Nursery & Garden Center,34.177418,-81.86969,92 Dipner Rd,Chappells,SC,29037,Newberry County,US,Match,Exact,45374673,R,45,071,950700,1103
Lever Farms Dreher Island Produce,34.118343,-81.44845,2760 Dreher Island Rd,Prosperity,SC,29127,Newberry County,US,Match,Exact,45377699,R,45,071,950604,3016
Grow Newberry Farmers Market,34.274525,-81.62054,1101 Boyce St,Newberry,SC,29108,Newberry County,US,Match,Exact,45382819,L,45,071,950203,1054
Westminster Farmers Market,34.66618782,-83.09693456,104 E Main St,Westminster,SC,29693,Oconee County,US,Tie,,,,,,,
Mr.T's,34.774685,-83.02498,100 Scenic Heights Rd,West Union,SC,29696,Oconee County,US,Match,Exact,25634490,L,45,073,030402,2018
Six Mile Farmers Depot,34.80361417,-82.81827828,119 S Main St A,Six Mile,SC,29682,Pickens County,US,Tie,,,,,,,
Walhalla Farmers Market,34.766464,-83.06517,108 N College St,Walhalla,SC,29691,Oconee County,US,Match,Exact,25659781,R,45,073,030404,2019
Easley Farmers Market,34.83132533,-82.60516837,205 N 1st St,Easley,SC,29640,Pickens County,US,Match,Exact,26168087,R,45,077,010805,1041
Clemson Farmers Market,34.686493,-82.78774,597 Issaqueena Trl,Central,SC,29630,Pickens County,US,Match,Exact,26212273,L,45,077,011207,1000
Soda City,34.00273,-81.03414,1300 Main St,Columbia,SC,29201,Richland County,US,Match,Exact,71820794,R,45,079,003100,2032
City Roots,33.97795,-81.001434,1012 Airport Blvd,Columbia,SC,29205,Richland County,US,Match,Exact,71850641,L,45,079,002602,2034
Ringo's Produce Market,33.94205,-80.779366,10553 US Hwy 76,Eastover,SC,29044,Richland County,US,No_Match,,,,,,,
Forest Acres Farmer's Market,34.01841,-80.99197,3400 State Hwy 12,Columbia,SC,29204,Richland County,US,No_Match,,,,,,,
Lake Carolina Farmers Market,33.9928298,-81.02685166,1400 Us-21,Columbia,SC,29201,Richland County,US,No_Match,,,,,,,
Ridge Spring Farmers Market,32.482946,-80.984196,551 1st Ave,Ridgeland,SC,29936,Jasper County,US,No_Match,,,,,,,
Peaches N' Such I,33.86932,-81.593925,3771 Sc,Monetta,SC,29105,Saluda County,US,No_Match,,,,,,,
Landrum Farmers' Market,35.175163,-82.189092,101 E Rutherford St,Landrum,SC,29356,Spartanburg County,US,Tie,,,,,,,
Hub City Farmers Market,34.95639,-81.94221,225 Milan St,Spartanburg,SC,29303,Spartanburg County,US,Match,Exact,19509271,L,45,083,020301,1024
Hughey Farms,35.02166,-82.02638,9291 Asheville Hwy,Boiling Springs,SC,29316,Spartanburg County,US,Match,Exact,19462375,L,45,083,022804,1011
Inman Fresh Farmers Market,35.051827,-82.09024059,14 N Howard St,Inman,SC,29349,Spartanburg County,US,Match,Exact,19461855,L,45,083,022902,2033
Taylor Boys' Produce,34.69717,-81.934525,4141 Cross Anchor Rd,Enoree,SC,29335,Spartanburg County,US,Match,Exact,19517670,R,45,083,023700,1031
Poteat's Produce,35.02904,-82.040474,9710 Asheville Hwy,Inman,SC,29349,Spartanburg County,US,Match,Exact,19521890,R,45,083,022804,2021
Downtown Sumter Farmers Market,33.92078,-80.34723,301 W Liberty St,Sumter,SC,29150,Sumter County,US,Match,Exact,202670366,L,45,085,002000,1010
Springs Farm Farm Market,35.041954,-80.916534,206 Crowded Roots Rd,Fort Mill,SC,29715,York County,US,Match,Exact,640543032,R,45,091,061008,3000
South Forty Farm,35.13519,-81.08265,640 100 Highway 274,Clover,SC,29710,York County,US,Match,Non_Exact,640934321,R,45,091,061709,2021
The Peach Tree,35.0472,-81.25491,2029 Filbert Hwy,York,SC,29745,York County,US,Match,Exact,19785375,L,45,091,061504,3037
Blacks Peaches,35.023045,-81.27895,1805 Black Hwy,Clover,SC,29710,York County,US,No_Match,,,,,,,
Bush N Vine - Lake Wylie,35.108326,-81.042755,4044 Charlotte Hwy,Clover,SC,29710,York County,US,Match,Exact,19789110,L,45,091,061709,2014
Bush N Vine - York,35.036926,-81.25567,1720 Filbert Hwy,York,SC,29745,York County,US,Match,Exact,641133786,R,45,091,061504,3035
Bush N Vine - Rock Hill,34.954773,-81.0449,1615 Ebenezer Rd,Rock Hill,SC,29732,York County,US,Match,Exact,19790973,L,45,091,060700,1017
Windy Hill Orchard,35.023582,-81.27954,1805 Black Hwy,Clover,SC,29710,York County,US,No_Match,,,,,,,
Boyd Farms,34.86648,-81.140526,5061 101 Williamson Rd,Rock Hill,SC,29730,York County,US,No_Match,,,,,,,
Peach Stand,35.0194808,-80.95782076,1325 Highway 160 W,Fort Mill,SC,29715,York County,US,No_Match,,,,,,,
Old Town Farmers Market,34.925877,-81.02208,172 Elizabeth Ln N,Rock Hill,SC,29730,York County,US,No_Match,,,,,,,
Chattooga Belle Farm,34.766758,-83.267654,454 Damascus Church Rd,Long Creek,SC,29658,Oconee County,US,Match,Exact,25650358,L,45,073,030100,4015
