npi,basic_organization_name,hours_of_operation,medicaid_id,addresses_telephone_number,geoid,tract_latitude,tract_longitude,lat,lon
1114251337,"HAWTHORNE LUGOFF PHARMACY, LLC",,710632,803-408-9589,45055970402,+34.2346731,-080.6900046,34.23651903,-80.6663882
1114306735,WAL-MART STORES EAST LP,,716091,864-381-6366,45083022004,+34.9087801,-081.8635820,34.92066,-81.886696
1114325800,GREENVILLE HEALTH CORPORATION,,715530,864-455-6330,45045002103,+34.8059127,-082.4073509,34.81674,-82.414925
1114497435,"PUBLIX SUPER MARKETS, INC.",,719284,843-998-6047,45019001100,+32.7905077,-079.9565809,32.7879575,-79.95722114
1114545936,"R PH NOW, LLC",,7Z1126,843-546-2880,45043920600,+33.3933217,-079.3306841,33.386173,-79.28848
1114967551,PUBLIX SUPER MARKETS INC,,729718,843-569-7942,45015020707,+33.0619117,-080.0440881,33.006813,-80.04452
1124045398,WAL-MART STORES EAST LP,,773283,843-281-8176,45051040300,+33.8340470,-078.6677196,33.83097084,-78.67143034
1124069612,PUBLIX SUPER MARKETS INC,,743267,864-250-4709,45045001302,+34.8343593,-082.3606077,34.83760536,-82.36451537
1124121611,SOUTH CAROLINA CVS PHARMACY LLC,,745332,803-533-1390,45075011200,+33.4986800,-080.8440100,33.506756,-80.850136
1124121991,SOUTH CAROLINA CVS PHARMACY LLC,,742420,864-963-3446,45045003011,+34.7317039,-082.2349019,34.73292242,-82.25426049
1124122932,"SOUTH CAROLINA CVS PHARMACY, L.L.C.",,710822,864-288-8280,45045004400,+34.8479697,-082.3501653,34.83590164,-82.35251825
1124382478,FAMILY PHYSICIANS OF SPARTANBURG PHARMACY,,714016,864-316-2160,45083022005,+34.8963095,-082.0038734,34.91441,-82.00985
1124469473,THE KROGER CO,,714948,843-842-0550,45013011100,+32.1776296,-080.7213883,32.186584,-80.72009
1124672662,"PROXSYS RX - SC, LLC",,7Z1037,843-829-1001,45051060405,+33.7922107,-079.0120361,33.786587,-79.002625
1134131352,CORAM HEALTHCARE/CAROLINA HOME THERAPEUTICS,,798101,803-731-5076,45079010403,+34.0221797,-081.0849436,34.01612,-81.08561
1134185838,"BANKS DRUG, INC.",,724864,803-685-5326,45081960400,+33.8896333,-081.6851220,33.84791908,-81.66114583
1134222805,SOUTH CAROLINA CVS PHARMACY LLC,,745842,803-279-7470,45003020701,+33.5232476,-081.9710806,33.52282074,-81.9542092
1134222904,SOUTH CAROLINA CVS PHARMACY LLC,,711455,864-583-5428,45083021500,+34.9800448,-081.9284454,34.9657,-81.930664
1134384506,WALGREEN CO,,715822,803-773-4959,45085000700,+33.9552524,-080.3123100,33.924236,-80.33632
1134577331,WAL-MART STORES EAST LP,,716739,803-821-7048,45063021017,+33.9403109,-081.1950024,33.94465,-81.16931
1134668395,"MOSS COMPOUNDING PHARMACY, LLC",,716952,843-665-0289,45041000201,+34.1991944,-079.8244682,34.19834,-79.82035
1134680762,SOUTH CAROLINA CVS PHARMACY LLC,,7Z1024,843-208-2870,45053950201,+32.3984799,-080.9415727,32.30974389,-80.97545444
1134696230,"HOLY CITY PHARMACY, LLC",,718272,843-762-8155,45019001902,+32.7627874,-079.9653762,32.759243,-79.97409
1134770753,"JTJ MEDICAL SUPPLY, INC.",,7Z1059,800-939-2022,45079003100,+34.0078902,-081.0307786,34.008816,-81.02391
1144231713,LEES INLET APOTHECARY INC,,766208,843-651-7979,45043920501,+33.5608845,-079.0419987,33.57119406,-79.02651667
1144254871,THE KROGER CO,,740090,803-788-4141,45079011413,+34.1061891,-080.8804863,34.116257,-80.88515
1144298282,"ROCHE PHARMACY, INC.",,710674,803-694-2445,45071950300,+34.4418336,-081.6326682,34.50224,-81.614395
1144306713,"LYMAN DRUG, INC.",,780448,864-439-6127,45083023102,+34.9459973,-082.1019723,34.95559,-82.120316
1144323817,SOUTH CAROLINA CVS PHARMACY LLC,,742726,803-464-0372,45067950500,+34.1533161,-079.2355042,34.20107,-79.24778
1144323916,SOUTH CAROLINA CVS PHARMACY LLC,,711498,864-459-5406,45001950500,+34.1266067,-082.3805235,34.160778,-82.38358
1144362229,WAGENER DRUG CO INC,,762108,803-564-5381,45003021700,+33.6526535,-081.4246323,33.65361648,-81.36184388
1144572850,HARRIS TEETER LLC,,715160,843-556-5630,45019003000,+32.7772471,-079.9726864,32.78303,-79.99154
1144743170,WALGREEN CO,,717689,864-345-6066,45083022406,+35.0323381,-081.9747638,35.02044,-81.96271
1144744848,WALGREEN CO,,717701,864-845-8323,45007010200,+34.7136393,-082.4741527,34.701008,-82.47654
1144840026,"SALUBRIUS PHARMACY, LLC",,7Z1113,864-438-4872,45007010102,+34.7312026,-082.5183665,34.780388,-82.47407
1154330926,LAUREL PHARMACY INC.,,706262,803-254-2761,45079001100,+34.0228440,-081.0031652,34.01586,-81.01369
1154343804,SOUTH CAROLINA CVS PHARMACY LLC,,716310,843-572-8918,45019003104,+32.9290256,-080.0392057,32.93571119,-80.03709348
1154343895,SOUTH CAROLINA CVS PHARMACY LLC,,716305,864-286-0867,45045002805,+34.8495102,-082.2900591,34.831158,-82.30632
1154365468,"MAIN STREET PHARMACIES OF SOUTH CAROLINA, LLC",,764962,803-424-0064,45055970800,+34.2226390,-080.5951484,34.245857,-80.617165
1154400752,"PROPP DRUGS,INC.",,726863,864-226-8383,45007000200,+34.5217065,-082.6449925,34.518345,-82.65054
1154424828,SOUTH CAROLINA CVS PHARMACY LLC,,743708,843-871-7701,45035010505,+32.9883521,-080.2059747,32.96887383,-80.2011705
1154424836,SOUTH CAROLINA CVS PHARMACY LLC,,742180,864-461-3123,45083022303,+35.1507291,-081.8682837,35.14326367,-81.86141009
1154586063,"SOUTH CAROLINA CVS PHARMACY, L.L.C.",,710101,864-888-4022,45073030601,+34.7033834,-082.9775697,34.704918,-82.9894
1154588101,PLANTATION PHARMACY AT WAPPOO ROAD INC,,710532,843-556-1994,45019002802,+32.7748760,-080.0035774,32.78735,-80.02055
1154803831,"OAKS PHARMACY, LLC",,718255,864-844-9370,45007011202,+34.5595444,-082.6008259,34.55164,-82.63006
1154859494,"MCP OF SUMTER, INC.",,717096,#(803) 773-5605,45085001300,+33.9165836,-080.3525729,33.919483,-80.36675
1164449310,WAL-MART STORES EAST LP,,723995,803-279-1919,45003020702,+33.5019859,-081.9498430,33.502434,-81.95929
1164508941,"PRESCRIPTION SHOP,INC.",,754325,864-225-8246,45007000200,+34.5217065,-082.6449925,34.515297,-82.6489
1164525507,SOUTH CAROLINA CVS PHARMACY LLC,,743732,843-571-4461,45019002900,+32.7894663,-079.9838555,32.79244916,-79.98884407
1164525606,SOUTH CAROLINA CVS PHARMACY LLC,,743526,843-572-5707,45015020804,+32.9757600,-080.0134479,32.97247,-80.0194
1164747929,REGENESIS ORGANIZATION COMMUNITY HEALTH CENTER,,710852,864-699-3283,45083020900,+34.9352379,-081.9329353,34.93332,-81.93114
1164796215,INGLES MARKETS INC.,,713548,864-457-4598,45083022600,+35.1735263,-082.1860038,35.18306298,-82.16111924
1164987525,TRUE HEALTH INVESTORS,,7Z1025,803-240-9882,45063020202,+33.9592231,-081.0781384,33.970203,-81.07763
1174175038,SOUTH CAROLINA CVS PHARMACY LLC,,7Z1054,843-972-6530,45019004608,+32.8973520,-079.7890349,32.8887731,-79.7730578
1174540322,WAL-MART STORES EAST LP,,723335,864-682-8104,45059920302,+34.4434477,-081.9881019,34.49278419,-81.9849509
1174541973,WAL-MART STORES EAST LP,,725367,803-905-5510,45085000400,+34.0109741,-080.3232407,33.9617944,-80.38977796
1174626857,SOUTH CAROLINA CVS PHARMACY LLC,,741892,864-299-0234,45045003303,+34.6918423,-082.3925094,34.72647,-82.38868
1174779219,LONGS DRUGS OF LEXINGTON SC INC,,715052,803-358-3030,45063021028,+33.9760750,-081.2676397,33.98492315,-81.26018597
1174939078,GREENVILLE HEALTH CORPORATION,,715249,864-886-1911,45073030601,+34.7033834,-082.9775697,34.69471,-82.98549
1174985246,WAL-MART STORES EAST LP,,716540,843-395-8467,45031011400,+34.2667090,-079.8343225,34.28779523,-79.8560229
1184639254,WALGREEN CO,,715737,843-488-2000,45051070400,+33.8403088,-079.0952981,33.846333,-79.06442
1184639270,WALGREEN CO,,715804,864-226-7038,45007000700,+34.4939131,-082.6616905,34.50222,-82.68103
1184649055,REYNOLDS DRUG STRORE INC,,706307,843-264-5454,45043920201,+33.4085413,-079.4854138,33.45012341,-79.56130802
1184728982,"SOUTH CAROLINA CVS PHARMACY, L.L.C.",,710774,864-627-7231,45045002815,+34.8057857,-082.2423259,34.8068,-82.23292
1194057927,WALGREEN CO,,715743,803-548-4699,45091061104,+34.9813666,-080.8999384,35.007988,-80.92131
1194069880,PUBLIX SUPER MARKETS INC,,714279,803-799-0801,45079002602,+33.9798771,-081.0027441,33.987442,-81.00425
1194195925,PUBLIX SUPER MARKETS INC,,716190,803-831-5672,45091061707,+35.1328855,-081.0658123,35.121475,-81.0822
1194730044,INGLES MARKETS INC,,786228,864-654-3094,45077011203,+34.6792351,-082.8023449,34.68356999,-82.81672698
1194730283,WALGREEN CO,,771490,864-587-9486,45083021902,+34.9240100,-082.0181976,34.92244966,-81.99378602
1194742353,WAL-MART STORES EAST LP,,726954,803-259-0066,45011970300,+33.2731810,-081.3721662,33.23920923,-81.3921781
1194765537,PUBLIX SUPER MARKETS INC,,742830,864-609-7306,45045001700,+34.8964300,-082.3498565,34.900597,-82.33672
1194828889,SOUTH CAROLINA CVS PHARMACY LLC,,711371,803-635-3012,45039960400,+34.3646209,-081.0494245,34.37187617,-81.09952043
1205175932,WAL-MART STORES EAST LP,,714384,864-269-4338,45007010102,+34.7312026,-082.5183665,34.791203,-82.48023
1205226495,"HIBBITTS ENTERPRISES, LLC",,715942,803-443-0077,45003022002,+33.4164848,-081.7462502,33.4328991,-81.68649341
1205278322,SAMS EAST INC,,714811,803-372-6512,45091061201,+34.9106162,-080.9614516,34.94092,-80.95973
1205313517,"PUBLIX SUPER MARKETS, INC.",,718192,863-688-1188,45063020908,+33.8863124,-081.1832129,33.90848,-81.218636
1205352374,CAROLINA HEALTH PHARMACY LLC,,717565,843-236-6500,45051060308,+33.8055890,-078.8474659,33.75539502,-78.86526617
1205494184,ATLANTIC APOTHECARY INC.,,7Z1047,843-272-7900,45051040500,+33.7932933,-078.7441369,33.80468131,-78.7279089
1205823309,MCLEOD PHARMACY INC,,783646,803-484-6115,45061920200,+34.2712347,-080.3181752,34.22013573,-80.24801697
1205877792,PUBLIX SUPER MARKETS INC,,771683,803-407-2632,45063021113,+34.0905147,-081.2005491,34.098217,-81.2225
1205900735,ROGERS INVESTMENTS INC,,797368,864-233-7940,45045001101,+34.8804194,-082.3786068,34.88111,-82.38685
1205910338,INGLES MARKETS INC,,787883,864-574-3130,45083021902,+34.9240100,-082.0181976,34.93772896,-82.00477859
1205914629,NOTTAP INC,,763581,864-488-3036,45021970201,+35.0819573,-081.7015857,35.07333165,-81.65085344
1205939063,SOUTH CAROLINA CVS PHARMACY LLC,,745230,803-648-3203,45003021300,+33.5673561,-081.7526423,33.56822063,-81.74075533
1205939071,SOUTH CAROLINA CVS PHARMACY LLC,,745285,864-445-7580,45081960201,+33.9955697,-081.8669890,34.00746968,-81.77306165
1215007679,WALGREEN CO,,715764,803-699-7067,45079011415,+34.1482481,-080.8586460,34.13390063,-80.8772472
1215030085,SOUTH CAROLINA CVS PHARMACY LLC,,745241,803-435-8804,45027960500,+33.7032431,-080.2749535,33.69584553,-80.21820707
1215030705,SOUTH CAROLINA CVS PHARMACY LLC,,711328,843-667-0134,45041001300,+34.1682753,-079.8015603,34.176476,-79.81094
1215031026,SOUTH CAROLINA CVS PHARMACY LLC,,711264,864-489-3148,45021970201,+35.0819573,-081.7015857,35.073563,-81.652245
1215041298,PRESCRIPTION SHOPPE OF GEORGETOWN SC INC,,721644,843-546-2222,45043920600,+33.3933217,-079.3306841,33.40036608,-79.29032769
1215180591,SANDHILLS MEDICAL FOUNDATION INC,,710149,803-773-8148,45085002000,+33.9296368,-080.3508768,33.929707,-80.35061
1215335336,HEALTH AND WELLNESS PHARMACY LLC,,715588,843-742-5243,45051051502,+33.6708235,-078.9839079,33.680992,-78.999626
1215940945,WALGREEN CO,,715820,864-885-0889,45073030800,+34.6414943,-082.9517476,34.68792,-82.99649
1215954482,SAMS EAST INC,,770256,843-445-7179,45051050600,+33.7041378,-078.8898834,33.71358,-78.89966
1215973334,PUGH DRUG INC,,787575,803-364-2310,45071950601,+34.1917033,-081.5448551,34.20926,-81.533554
1215978705,PUBLIX SUPER MARKETS INC,,734282,864-231-1176,45007001000,+34.5398822,-082.6812250,34.55435,-82.68238
