Grant Recipient Name,Type Of Brownfields Grant,Type Of Funding,ACRES Property ID,Property Name,Property Address,Property City,Property State,Property ZIP Code,Property Size (Acres),Ownership Entity,Current Owner,Property Description,Source of Assessment Funding,Name of Entity Providing Assessment Funds,Amount of Assessment Funding,Assessment Phase,Assessment Completion Date,Cleanup Required,Contaminant Found-Petroleum,Contaminant Found-Controlled Substances,Contaminant Found-Asbestos,Contaminant Found-PCBs,Contaminant Found-VOCs,Contaminant Found-Lead,Contaminant Found-Other Metals,Contaminant Found-PAHs,Contaminant Found-Other,Contaminant Found-Other (Description),Media Affected-Soil,Media Affected-Air,Media Affected-Surface Water,Media Affected-Ground Water,Media Affected-Drinking Water,Media Affected-Sediments,Media Affected-No Media,Media Affected-Unknown,Cleanup Start Date,Cleanup Completion Date,Acres Cleaned Up,Source of Cleanup Funding,Name of Entity Providing Cleanup Funds,Amount of Cleanup Funding,Contaminant Clean Up-Petroleum,Contaminant Clean Up-Controlled Substances,Contaminant Clean Up-Asbestos,Contaminant Clean Up-PCBs,Contaminant Clean Up-VOCs,Contaminant Clean Up-Lead,Contaminant Clean Up-Other Metals,Contaminant Clean Up-PAHs,Contaminant Clean Up-Other,Contaminant Clean Up-Other (Description),Media Cleaned Up-Soil,Media Cleaned Up-Air,Media Cleaned Up-Surface Water,Media Cleaned Up-Ground Water,Media Cleaned Up-Drinking Water,Media Cleaned Up-Sediments,Source of Redevelopment Funding,Amount of Redevelopment Funding,Name of Entity Providing Redevelopment Funds,Redevelopment Start Date,Redevelopment Completion Date
South Carolina Department of Health and Environmental Control,Section 128(a) State/Tribal,,125962,Iva Farmers Market,707 E Front St,Iva,SC,29655-9089,0.36,Government,Town of Iva,,,,,,,Unknown,Yes,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina Department of Health and Environmental Control,Section 128(a) State/Tribal,,125982,Palmetto Petroleum,1824 US Hwy 301 S,Dillon,SC,29536-4645,2.89,Private,KOTA Enterprises,The property has been vacant for several years.  The single story bldg on the property has been vandalized but appears to be structurally sound.,EPA,US EPA - State & Tribal Section 128(a) Funding,750,Phase II Environmental Assessment,10/19/10,Unknown,Yes,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pelzer, Town of",Assessment,,125985,Lower Pelzer Mill,Lebby Street,Pelzer,SC,29669,16.51,Private,"Greenlight Enterprises, LLC","The subject property is the former location of the Lower Pelzer Mill complex, which included Mills 1, 2, and 3.  The majority of the mill structures have been demolished however, two warehouses and the former Mill Office building remain standing.&#10Mill 1 and Mill 2 were constructed by the Pelzer Manufacturing Company in 1881 and 1885, respectively, and were originally powered by water from the Saluda River.  Mill 3, which was built in 1888, was originally powered by a coal burning steam engine.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,4100,Phase I Environmental Assessment,2/8/11,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R4 Brownfields TBA (Pre-law Superfund TBA),TBA,,125985,Lower Pelzer Mill,Lebby Street,Pelzer,SC,29669,16.51,Private,"Greenlight Enterprises, LLC","The subject property is the former location of the Lower Pelzer Mill complex, which included Mills 1, 2, and 3.  The majority of the mill structures have been demolished however, two warehouses and the former Mill Office building remain standing.&#10Mill 1 and Mill 2 were constructed by the Pelzer Manufacturing Company in 1881 and 1885, respectively, and were originally powered by water from the Saluda River.  Mill 3, which was built in 1888, was originally powered by a coal burning steam engine.",EPA,US EPA - TBA Funding,17146,Supplemental Assessment,3/4/15,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pelzer, Town of",Assessment,,125985,Lower Pelzer Mill,Lebby Street,Pelzer,SC,29669,16.51,Private,"Greenlight Enterprises, LLC","The subject property is the former location of the Lower Pelzer Mill complex, which included Mills 1, 2, and 3.  The majority of the mill structures have been demolished however, two warehouses and the former Mill Office building remain standing.&#10Mill 1 and Mill 2 were constructed by the Pelzer Manufacturing Company in 1881 and 1885, respectively, and were originally powered by water from the Saluda River.  Mill 3, which was built in 1888, was originally powered by a coal burning steam engine.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,3245,Supplemental Assessment,3/24/11,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R4 Brownfields TBA (Pre-law Superfund TBA),TBA,,125985,Lower Pelzer Mill,Lebby Street,Pelzer,SC,29669,16.51,Private,"Greenlight Enterprises, LLC","The subject property is the former location of the Lower Pelzer Mill complex, which included Mills 1, 2, and 3.  The majority of the mill structures have been demolished however, two warehouses and the former Mill Office building remain standing.&#10Mill 1 and Mill 2 were constructed by the Pelzer Manufacturing Company in 1881 and 1885, respectively, and were originally powered by water from the Saluda River.  Mill 3, which was built in 1888, was originally powered by a coal burning steam engine.",EPA,US EPA - TBA Funding,3982,Supplemental Assessment,6/30/15,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pelzer, Town of",Assessment,,125985,Lower Pelzer Mill,Lebby Street,Pelzer,SC,29669,16.51,Private,"Greenlight Enterprises, LLC","The subject property is the former location of the Lower Pelzer Mill complex, which included Mills 1, 2, and 3.  The majority of the mill structures have been demolished however, two warehouses and the former Mill Office building remain standing.&#10Mill 1 and Mill 2 were constructed by the Pelzer Manufacturing Company in 1881 and 1885, respectively, and were originally powered by water from the Saluda River.  Mill 3, which was built in 1888, was originally powered by a coal burning steam engine.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,90000,Phase II Environmental Assessment,4/2/11,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pelzer, Town of",Assessment,,126001,Upper Pelzer Mill,1 Stevenson Drive,Pelzer,SC,29669,13.44,Private,Pelzer Heritage Commission,"The subject property is the former location of the Pelzer Mill complex, which consisted of Mill Number 4 and various support buildings.  Mill Number 4 was constructed by the Pelzer Manufacturing Company in 1895.  The majority of the mill structures have been demolished however, a warehouse remains standing.  The remainder of the subject property is vacant and overgrown.  Several debris piles remain on site from the demolition of the mill structures.  On-site observations also suggest that a coal",EPA,US EPA - Brownfields Assessment Cooperative Agreement,90000,Phase II Environmental Assessment,4/2/11,Yes,,,Yes,,,Yes,Yes,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pelzer, Town of",Assessment,,126001,Upper Pelzer Mill,1 Stevenson Drive,Pelzer,SC,29669,13.44,Private,Pelzer Heritage Commission,"The subject property is the former location of the Pelzer Mill complex, which consisted of Mill Number 4 and various support buildings.  Mill Number 4 was constructed by the Pelzer Manufacturing Company in 1895.  The majority of the mill structures have been demolished however, a warehouse remains standing.  The remainder of the subject property is vacant and overgrown.  Several debris piles remain on site from the demolition of the mill structures.  On-site observations also suggest that a coal",EPA,US EPA - Brownfields Assessment Cooperative Agreement,3245,Supplemental Assessment,3/24/11,Yes,,,Yes,,,Yes,Yes,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pelzer, Town of",Assessment,,126001,Upper Pelzer Mill,1 Stevenson Drive,Pelzer,SC,29669,13.44,Private,Pelzer Heritage Commission,"The subject property is the former location of the Pelzer Mill complex, which consisted of Mill Number 4 and various support buildings.  Mill Number 4 was constructed by the Pelzer Manufacturing Company in 1895.  The majority of the mill structures have been demolished however, a warehouse remains standing.  The remainder of the subject property is vacant and overgrown.  Several debris piles remain on site from the demolition of the mill structures.  On-site observations also suggest that a coal",EPA,US EPA - Brownfields Assessment Cooperative Agreement,4100,Phase I Environmental Assessment,2/8/11,Yes,,,Yes,,,Yes,Yes,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelzer Heritage Commission,Cleanup,,126001,Upper Pelzer Mill,1 Stevenson Drive,Pelzer,SC,29669,13.44,Private,Pelzer Heritage Commission,"The subject property is the former location of the Pelzer Mill complex, which consisted of Mill Number 4 and various support buildings.  Mill Number 4 was constructed by the Pelzer Manufacturing Company in 1895.  The majority of the mill structures have been demolished however, a warehouse remains standing.  The remainder of the subject property is vacant and overgrown.  Several debris piles remain on site from the demolition of the mill structures.  On-site observations also suggest that a coal",DHEC BCRLF,State/Tribal Funding (non-section 128(a))&#10,5000,Cleanup Planning,10/25/17,Yes,,,Yes,,,Yes,Yes,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina Department of Health and Environmental Control,Section 128(a) State/Tribal,,126021,Former Garage Site,910 S Main St,Darlington,SC,29532-5200,0.24,Private,Marie Williamson,A garage and UST system for retail sale of petroleum was previously located on site.  The property owner is in the process of razing the existing cinderblock building.,,,,,,Unknown,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richland County,Assessment,,126102,2628 Decker Boulevard,2628 Decker Boulevard,Columbia SC,SC,29223,2.92,Private,Robert C & Judy S Chen,"The subject property is improved by a former restaurant structure currently used as a nightclub. The central portion of the subject property is asphalt paved and used for parking. A stand-alone ATM is located on the western portion of the subject property. According to Richland County tax records, the restaurant structure located on the subject property was built in 1971.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,3000,Phase I Environmental Assessment,3/2/11,Unknown,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina Department of Health and Environmental Control,Section 128(a) State/Tribal,,126122,C E Phillips Farms,1165 Pleasant Grove Rd,Lynchburg,SC,29080-9403,1,Private,Marion Huggins,Property has been used as a farm.,EPA,US EPA - State & Tribal Section 128(a) Funding,250,Phase II Environmental Assessment,11/20/08,No,Yes,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Columbia, City of",Assessment,,129581,Former McCorys Store Building,1556 Main Street,Columbia,SC,29201,0.72,Private,Ameris Bank,"The site contains a three-story structure that is vacant. The interior of the building has been gutted. The rectangular-shaped building is approximately 31,440 square feet ft? and contains a basement. The building was constructed in 1939, has a flat tar roof, wood and steel beam  support, and the exterior walls are constructed of brick and concrete block. A gated ten-foot wide ingress-egress easement is located on the eastern side of the building. Buildings are located on the eastern corner and",EPA,US EPA - Brownfields Assessment Cooperative Agreement,3000,Phase I Environmental Assessment,4/22/11,Unknown,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,2200000,Private/Other Funding,4/18/11,
"Columbia, City of",Assessment,,126281,Meeting Street Motors,932 Meeting Street,West Columbia,SC,29169,0.57,Private,Leon C. Hall,"The subject property consists of three structures with two structures on parcel number 004557-12-011 and a single structure on parcel number 004657-12-012. The first structure on parcel 004557-12-011 is a rectangular 30 feet x 60 feet, single storey, stucco building with an asphalt roof that is currently acting as the main office to the Meeting Street Motors company. The structure is located on the northern section of parcel 004557-12-011 and was constructed in 1928.&#10The structure later had an a",EPA,US EPA - Brownfields Assessment Cooperative Agreement,3000,Phase I Environmental Assessment,2/28/11,Unknown,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Columbia, City of",Assessment,,140781,1527 Gervais Street,1527 Gervais Street,Columbia,SC,29201,1.15,Private,,"The property contains one 2.5 story building, a 2 story carriage house, and a one story crematorium. The main building is approximately 6,020 square feet. There is a basement beneath the main building. The carriage house is approximately 4,118 square feet. The crematorium is approximately 750 square feet.The upper portion of the main building consisted of approximately 5,900 square feet of multipurpose rooms. The basement is approximately 300 square feet and appears to be only used as utility sp",EPA,US EPA - Brownfields Assessment Cooperative Agreement,3000,Phase I Environmental Assessment,2/20/12,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richland County,Assessment,,126423,4000 River Drive,4000 River Drive,Columbia,SC,29203,4.27,Government,Mr. Ronnie C. Wood,"The subject property is located in a mixed-use area used for both commercial and&#10residential purposes. The topography in the area slopes towards the Columbia Canal and Broad River, which is located to the west of the subject property. River Drive borders the property to the south, Gibson Street to the east, railroad tracks to the west, and a wooded area to the north.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,3000,Phase I Environmental Assessment,2/28/11,Unknown,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charleston County,Assessment,,163681,O'Hear Ave - Noisette Creek,O'Hear Avenue,North Charleston,SC,29405,2.1,Government,The City of North Charleston,"The site is currently undeveloped upland and marsh.  The site originally consisted mostly of marsh, which has been filled with unknown materials.  Reportedly, some of the materials were general trash and debris, which would be burned after depositing on the site.  Additionally, the deed for the property states that asbestos containing materials are on the property.  Past ownership has been owned by individual people with no commercial/industrial ownership indicated.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,2722,Phase I Environmental Assessment,7/24/13,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charleston County,Assessment,,163682,O'Hear Ave - Noisette Creek,O'Hear Avenue,North Charleston,SC,29405,0.74,Government,The City of North Charleston,,,,,,,Unknown,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richland County,Assessment,,130182,500 Vanboklen Street,500 Vanboklen Street,Eastover,SC,29044,8.82,Private,Eastover Grammar School,"The subject property is currently improved by three structures. The main structure was originally used as a school. It consists of classroom and office space, cafeteria space, and an auditorium. This structure is in poor condition with extensive roof collapse observed. An older school building, constructed in 1935, was also observed on the subject property. This structure was in poor condition with extensive roof and floor collapse observed. A small utility shed was also noted on the subject pro",EPA,US EPA - Brownfields Assessment Cooperative Agreement,3000,Phase I Environmental Assessment,4/18/11,Unknown,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richland County,Assessment,,130261,Emmanuel Church,1723 Blue Ridge Terrace,Columbia,SC,29203,1.94,Government,Emmanuel Church of Our Lord Jesus Christ,"The main structure, constructed in 1999, is the current church sanctuary with classroom and office space. A second structure, constructed in the 1980s, is the church fellowship hall. A third structure, constructed in the 1960s, is the former church sanctuary which is currently not in use. A small shed used for grounds maintenance equipment and other supplies is also located on the subject property. An asphalt paved parking lot is located southwest of the main structure.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,3000,Phase I Environmental Assessment,4/18/11,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charleston County,Assessment,,163961,CMMC - Building 13,Pipefitter Street,North Charleston,SC,29405,1.61,Private,"CMMC, LLC","The site is developed with Building 13 and associated boiler room of the former Charleston Naval Shipyard.  Originally built as a clothing factory, the building was converted as use as the Quality Assurance Office.  The use and presence of various chemicals were identified as RECs.  Additionally, the site contains several solid waste management units (SWMUs) and USTs, which have been closed by the applicable regulatory agencies.  Several offsite SWMUs were identified, but are all the responsibil",EPA,US EPA - Brownfields Assessment Cooperative Agreement,4139,Phase I Environmental Assessment,10/30/13,Yes,,,Yes,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charleston County,Assessment,,163961,CMMC - Building 13,Pipefitter Street,North Charleston,SC,29405,1.61,Private,"CMMC, LLC","The site is developed with Building 13 and associated boiler room of the former Charleston Naval Shipyard.  Originally built as a clothing factory, the building was converted as use as the Quality Assurance Office.  The use and presence of various chemicals were identified as RECs.  Additionally, the site contains several solid waste management units (SWMUs) and USTs, which have been closed by the applicable regulatory agencies.  Several offsite SWMUs were identified, but are all the responsibil",EPA,US EPA - Brownfields Assessment Cooperative Agreement,17614,Phase II Environmental Assessment,8/29/14,Yes,,,Yes,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charleston County,Assessment,,163962,Express Cab Property,1836 Meeting Street Road,Charleston,SC,29405,1.43,Private,Tooly Properties LLC,"Property is occupied by taxi company and auto repair facility.  Activities associated with the former and current maintenance of vehicles were identified as recognized environmental conditions (RECs).  Several offsite RECs were identified by former service stations, drycleaners, and auto repair facilities.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,2379,Phase I Environmental Assessment,9/25/13,Unknown,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charleston County,Assessment,,163963,Town of Hollywood Property,6326 Highway 162,Hollywood,SC,29449,0.51,,The Town of Hollywood,"The structure on the property has been used for various commercial and residential activities, but nothing of any environmental concern.  The structure is in need of renovation, but was suspected to contain asbestos containing materials.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,2400,Phase I Environmental Assessment,7/16/13,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charleston County,Assessment,,163963,Town of Hollywood Property,6326 Highway 162,Hollywood,SC,29449,0.51,,The Town of Hollywood,"The structure on the property has been used for various commercial and residential activities, but nothing of any environmental concern.  The structure is in need of renovation, but was suspected to contain asbestos containing materials.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,3457,Phase I Environmental Assessment,7/16/13,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charleston County,Assessment,,163964,Independent Ave Site,4721 Independent Avenue,North Charleston,SC,29405,0.18,Government,The City of North Charleston,"The Phase I ESA found that the site has only been used for residential purposes.  Until recently, the site has remained in private ownership.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,2461,Phase I Environmental Assessment,6/28/13,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Greenville, South Carolina, City of",Assessment,,130621,Pete Hollis Site,Echols Street and Pete Hollis Boulevard,Greenville,SC,29601,1,Private,,"The property has uncertainties related to over 100 years of on-site development.  Currently the site is vacant and unoccupied however, previous tenants have included a laundry/dry cleaners in the mid-1900's and an auto sales/service facility thereafter.  The Phase II assessment revealed impact to shallow soil above residential use for multiple PAHs and Arsenic.  There were no groundwater impacts above applicable standards.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,30000,Phase II Environmental Assessment,3/25/11,Unknown,Yes,,,,Yes,,,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
