property_name,GEOID,INTPTLAT,INTPTLON,geometry
818 Dixie Avenue,45079010600,+34.0595573,-081.0263513,-81.039295|34.051748
2701 Decker Boulevard Parking Lot,45079011304,+34.0638032,-080.9420083,-80.954168|34.062649
Palmetto Properties,45041000900,+34.2077622,-079.7859632,-79.768113|34.199754
312 N Irby Street,45041000900,+34.2077622,-079.7859632,-79.768246|34.200999
2701 Decker Boulevard Former Red Lobster,45079011304,+34.0638032,-080.9420083,-80.954168|34.062649
2547 Decker Boulevard Former Olive Garden,45079011301,+34.0374796,-080.9464728,-80.951132|34.059708
2547 Decker Boulevard Former Olive Garden,45079011304,+34.0638032,-080.9420083,-80.951132|34.059708
106 /154 Augusta Street,45045000700,+34.8504139,-082.4126907,-82.406666|34.8423
McLeod Regional Developement Center & Abdallah Property,45041001000,+34.1911403,-079.7695503,-79.765918|34.197426
Fairgrounds,45083021700,+34.9611074,-081.9692797,-81.953781|34.958063
Aden Bonded Warehouse,45083020400,+34.9541386,-081.9489874,-81.94828|34.95511
Spartan Grain & Mill Co.,45083020800,+34.9367442,-081.9385301,-81.936227|34.941919
Warrenville Tract,45003021001,+33.5096425,-081.8696608,-81.869803|33.511401
Beaumont - Mill Tract,45083021500,+34.9800448,-081.9284454,-81.925335|34.961382
Graniteville Lagoons,45003020400,+33.5687354,-081.8385837,-81.844266|33.594498
Spartan Mills,45083020301,+34.9629269,-081.9384470,-81.939094|34.956186
SCRA Property,45079002800,+33.9821485,-081.0333383,-81.030416|33.98997
Colite Industries,45063020601,+33.9745750,-081.0894477,-81.076944|33.986151
SE Electrical / USC Catawba,45079002800,+33.9821485,-081.0333383,-81.035234|33.988453
Louries Bldg,45079003100,+34.0078902,-081.0307786,-81.035921|34.006659
Roadway Inn,45079003100,+34.0078902,-081.0307786,-81.034098|34.002621
Bethel AME Church/Renaissance Foundation,45079003100,+34.0078902,-081.0307786,-81.033709|34.005775
Lincoln St. Property,45079001600,+34.0035118,-081.0483875,-81.039084|34.001077
Boozer Lumber,45079011702,+33.9347890,-080.9620891,-80.958173|33.953668
Wiley St. Property,45079002602,+33.9798771,-081.0027441,-81.011941|33.980868
SC Ag Lab,45079002900,+33.9936414,-081.0372080,-81.046172|33.996538
601 Catawba Property,45079002800,+33.9821485,-081.0333383,-81.036936|33.986378
Gervais St. Property,45079002900,+33.9936414,-081.0372080,-81.037989|33.998547
Main & Taylor Shoe Store,45079003100,+34.0078902,-081.0307786,-81.036491|34.007959
622/624 Green Avenue,45045000500,+34.8376715,-082.4115284,-82.413112|34.836168
Republic Mills Site,45023021000,+34.5721311,-080.9053042,-80.904618|34.566068
1801 Gervais Street Property,45079003000,+34.0011753,-081.0215931,-81.023934|34.004274
Brennan Building,45079003100,+34.0078902,-081.0307786,-81.033648|34.00155
Law Range Building,45079003100,+34.0078902,-081.0307786,-81.037084|34.009287
Phung Property,45091060501,+34.9325443,-081.0382008,-81.0273|34.927715
Curtiss-Wright Hanger,45079002602,+33.9798771,-081.0027441,-81.001357|33.978045
Palmetto Club,45079003100,+34.0078902,-081.0307786,-81.032038|34.002057
Creason Building,45079003100,+34.0078902,-081.0307786,-81.032038|34.002057
Commercial Property 805 S Main St,45007000600,+34.4882459,-082.6349474,-82.648819|34.49871
Former Globe Service Station,45007000700,+34.4939131,-082.6616905,-82.649585|34.49266
S Murray Avenue Properties,45007000700,+34.4939131,-082.6616905,-82.650381|34.495111
Hoopers Auto Service,45007000600,+34.4882459,-082.6349474,-82.648491|34.497504
Former RACO Station,45079002900,+33.9936414,-081.0372080,-81.043291|33.998263
Taylor St. Parking Lot,45079003100,+34.0078902,-081.0307786,-81.035921|34.006659
Randolph Trucking (Commerce Dr.) Property,45079002602,+33.9798771,-081.0027441,-81.00994|33.978496
Libert Hill Site,45019003300,+32.8846062,-080.0074054,-79.995172|32.881019
Liberty Hill Site,45019003300,+32.8846062,-080.0074054,-79.995172|32.881019
Former Dee's Service Station,45019004300,+32.8501669,-079.9673955,-79.969072|32.856389
Cone Mill,45045000900,+34.8607575,-082.4098233,-82.409364|34.862795
Former Springsteen Plant Property,45023020300,+34.7207553,-081.2148403,-81.207642|34.705626
Victor Mill,45083023302,+34.9348111,-082.2098924,-82.206568|34.926919
Curtis Young Property,45079010600,+34.0595573,-081.0263513,-81.044756|34.051536
Arcade Textile Mill / Parcel 3,45091060502,+34.9213349,-081.0520735,-81.041164|34.925535
"Masjid As-Salaam, Inc",45079010600,+34.0595573,-081.0263513,-81.044721|34.051124
Oakwood Commons Tract 2,45063020505,+33.9923387,-081.0921352,-81.102423|33.996447
Western Auto,45085001300,+33.9165836,-080.3525729,-80.341705|33.922464
Easter Seals Building,45079000900,+34.0295244,-081.0156371,-81.025789|34.029126
Shaw Manufacturing Site,45007012002,+34.4883851,-082.7367187,-82.689573|34.471922
Beaumont - Land Tract,45083021500,+34.9800448,-081.9284454,-81.926875|34.963231
CSX,45083021200,+34.9509248,-081.9167596,-81.936293|34.948371
Springs Industries Lancaster Mill,45057010800,+34.7162854,-080.7786524,-80.773225|34.712431
"Dewey Duckett, Jr.",45079010600,+34.0595573,-081.0263513,-81.044625|34.050776
Former Newsome Chevrolet Site,45079002604,+33.9785836,-080.9804952,-80.982917|33.987641
National Guard Armory,45031010500,+34.3693401,-080.0874346,-80.084203|34.369689
Home Avenue Property,45031010600,+34.3700380,-080.0231357,-80.062308|34.380016
Pedigreed 1  Property,45031010600,+34.3700380,-080.0231357,-80.057672|34.355573
Pedigreed 2 Property,45031010700,+34.3541929,-080.0756425,-80.074091|34.371174
Hartsville Oil Mill Property,45031010600,+34.3700380,-080.0231357,-80.067498|34.373204
Coker College Property,45031010600,+34.3700380,-080.0231357,-80.067785|34.376053
Poe Mill,45045000900,+34.8607575,-082.4098233,-82.405085|34.858553
Cannon Roofing Property,45083021200,+34.9509248,-081.9167596,-81.923835|34.948789
Wakefield Buick Pontiac GMC,45083020500,+34.9469448,-081.9517727,-81.939039|34.94876
Proposed Blenheim School Site,45069960600,+34.4523897,-079.6514364,-79.649841|34.501183
Former Raco Station,45079002900,+33.9936414,-081.0372080,-81.043291|33.998263
Rownd Property,45033970300,+34.4536751,-079.4414521,-79.370489|34.42481
Gregg Plant Tract,45003020400,+33.5687354,-081.8385837,-81.813509|33.566961
2510 North Main Street,45079000700,+34.0177977,-081.0406649,-81.041801|34.019885
209_217 Laurens Rd,45045001900,+34.8200676,-082.3474849,-82.348292|34.831761
128 Biltmore Drive Property,45045000400,+34.8381271,-082.3983635,-82.397785|34.834962
320 South Hudson Street,45045000700,+34.8504139,-082.4126907,-82.409617|34.849825
Washington and Hudson Street Properties,45045001000,+34.8606403,-082.4002483,-82.407233|34.853964
Fairforest Way Properties,45045002901,+34.7895220,-082.3456019,-82.349905|34.787871
Mayberry Street Properties,45045000700,+34.8504139,-082.4126907,-82.417433|34.853862
Granite Plant Tract,45003020400,+33.5687354,-081.8385837,-81.813509|33.566961
Post & Courier Property,45019005300,+32.8001609,-079.9443767,-79.940365|32.796454
Former Milliken Plant,45089970501,+33.6474741,-079.7149055,-79.819328|33.647031
Former Butler High School,45031010700,+34.3541929,-080.0756425,-80.071768|34.364336
Shipwatch Square,45019003700,+32.8671057,-079.9825338,-79.982705|32.858679
Pressley Property,45019005400,+32.8200646,-079.9429888,-79.962149|32.83939
Multi-Tenant Retail Building,45079002900,+33.9936414,-081.0372080,-81.037989|33.998547
806 Green Avenue Property,45045002108,+34.8289154,-082.4158114,-82.414111|34.833555
1527 Charleston Highway Property,45063020202,+33.9592231,-081.0781384,-81.076925|33.971998
Former Fox Theater,45079003100,+34.0078902,-081.0307786,-81.036491|34.007959
107 Pete Hollis Blvd.,45045000900,+34.8607575,-082.4098233,-82.407919|34.862786
Markley Street Properties,45045000700,+34.8504139,-082.4126907,-82.410095|34.845694
Springfield Holt Property,45089970600,+33.6990298,-079.8814089,-79.828814|33.664459
Former Belk Property,45089970600,+33.6990298,-079.8814089,-79.828814|33.664459
Former City Hall Property,45019003111,+32.8740625,-080.0295600,-80.013221|32.878872
Hess Property,45019003400,+32.8958105,-079.9746618,-79.972865|32.889502
Amtrak Station & CSX Right-of-Way,45019003300,+32.8846062,-080.0074054,-79.996724|32.873646
Park South Tract,45019003700,+32.8671057,-079.9825338,-79.979565|32.864164
SCE&G - Stall Road Property,45019003104,+32.9290256,-080.0392057,-80.051019|32.926352
City Market Arts & Antiques,45079001600,+34.0035118,-081.0483875,-81.040674|34.000585
Oscar Street Properties,45045000700,+34.8504139,-082.4126907,-82.407955|34.852097
Garners Ferry Road Properties,45079011607,+33.9539740,-080.9388575,-80.913804|33.944179
916-924 GERVAIS STREET PROPERTIES,45079001600,+34.0035118,-081.0483875,-81.037475|34.001571
Meeting Street Properties,45063020505,+33.9923387,-081.0921352,-81.077089|33.987659
Babcock Center?s David E. Stewart Facility,45079000300,+34.0467069,-081.0624544,-81.048216|34.056936
,,,,0|0
