site_name,bhcmis_org_id,bphc_assigned_number,site_telephone_number,GEOID,tract_latitude,tract_longitude,lat,lon
"COMMUNITY MEDICINE FOUNDATION, INC.",042600,BPS-H80-003766,803-325-7744,45091060300,+34.9144554,-081.0197342,34.90748384,-81.02996696
Denmark-Olar Middle School,041180,BPS-H80-024670,803-793-3383,45009960100,+33.3261599,-081.1667580,33.30217584,-81.14365181
LOW COUNTRY HEALTH CARE SYSTEM,0416080,BPS-H80-003494,803-632-2533,45005970400,+32.8745690,-081.3241455,32.96615935,-81.25438788
Williams Center Camp,041110,BPS-H80-020780,843-866-7850,45029970200,+32.9765716,-080.9462173,32.99305783,-80.88407742
SANDHILLS MEDICAL  Inc. - MCBEE site,045050,BPS-H80-000140,843-335-8291,45025950800,+34.4978789,-080.2561591,34.45982576,-80.26020147
RIDGELAND MEDICAL CENTER,041190,BPS-H80-001677,843-726-3979,45053950202,+32.5364880,-080.8861724,32.48534615,-80.98440767
WAVERLY WOMEN'S HEALTH CENTER,043270,BPS-H80-002994,803-744-0540,45079001300,+34.0080154,-081.0131624,34.00713798,-81.01914601
JAMES J DAVIS EARLY LEARNING CENTER,041190,BPS-H80-002431,843-466-3579,45013000100,+32.5821594,-080.7263936,32.55578859,-80.70944409
Sterling Sharpe Pediatric Center,043270,BPS-H80-014747,803-252-7001,45079000300,+34.0467069,-081.0624544,34.0455828,-81.04275867
Five Points Pediatrics Behavioral Health @ Hand Middle School,043270,BPS-H80-027189,803-748-7002,45079002100,+33.9963901,-081.0085159,33.99549732,-81.00743474
CSC LAKE VIEW CENTER,045230,BPS-H80-002114,843-759-2189,45033970500,+34.3339068,-079.2077718,34.34330538,-79.16717775
"FAMILY HEALTH CENTERS, INC.",041180,BPS-H80-000515,803-531-8951,45075011100,+33.5450483,-080.8457594,33.52886919,-80.83889586
NORFIELD MEDICAL CENTER,041180,BPS-H80-002632,803-263-4086,45075011800,+33.4920648,-081.1791302,33.47395041,-81.1865928
ReGenesis Health Care - Gaffney,0421000,BPS-H80-020810,864-582-2411,45021970302,+35.0992561,-081.6011090,35.08561672,-81.6388466
Elijah Wright Family Health Center,041110,BPS-H80-015188,843-753-2334,45015020101,+33.3435539,-080.1699561,33.363554,-80.19158001
NEW HORIZON FAMILY DENTAL CARE,042610,BPS-H80-003257,864-351-2400 x3005,45045002107,+34.8167433,-082.4266676,34.81667388,-82.42107397
Temporary Site - Andrews Healthcare Center Annex,048430,BPS-H80-030724,843-887-3274,45043920202,+33.5087031,-079.4737419,33.45008713,-79.55591271
GREER,042610,BPS-H80-002239,864-801-2035,45045002504,+34.9441768,-082.2341056,34.94623489,-82.22302728
BARNWELL FAMILY MEDICINE,0416080,BPS-H80-003809,843-259-5762,45011970300,+33.2731810,-081.3721662,33.25529588,-81.3628387
LRMC - Mobile Van # 4,047060,BPS-H80-028302,843-663-8000,45051060209,+33.7718668,-078.9473766,33.76189464,-78.96459276
Charleston Family Health Center,041110,BPS-H80-002798,843-722-4112,45019000700,+32.7893794,-079.9385460,32.79392862,-79.93860134
BROAD RIVER ELEM SCHOOL HLTH CTR,041190,BPS-H80-005025,843-322-8379,45013000501,+32.4255231,-080.7676172,32.420724,-80.75530633
Genesis Health Care,04E01160,BPS-H80-015665,803-254-3676,45079000500,+34.0325295,-081.0314226,34.03045774,-81.03235388
Whale Branch Elementary School,041190,BPS-H80-010169,843-466-1000,45013000200,+32.5007617,-080.7468659,32.53149838,-80.74329236
Fairfield Elementary School,043270,BPS-H80-029408,803-653-1052,45039960500,+34.2860838,-081.1792971,34.34868397,-81.08867945
ReGenesis Health Care-Phoenix Center,0421000,BPS-H80-031524,864-467-3790,45045001400,+34.8159886,-082.3754469,34.82254273,-82.37401486
EB Ellington Elementary,041110,BPS-H80-019145,843-889-9411,45019005800,+32.8077688,-080.1815928,32.78485668,-80.21135359
The Pendergrass Family Health Center,042780,BPS-H80-005484,864-456-7436,45047970102,+34.3181322,-082.2696150,34.38891888,-82.23830917
LAKELANDS FAMILY PRACTICE CTR,042780,BPS-H80-000210,864-393-1020,45059921001,+34.3629151,-082.0389254,34.28702385,-82.05009322
Affinity Health Center- Fort Mill,04E00154,BPS-H80-015685,803-909-9748,45091061101,+35.0203157,-080.9347880,35.00907838,-80.94050247
Tandem Health,0423590,BPS-H80-003139,803-774-4501,45085001901,+33.8036072,-080.4217087,33.73988527,-80.46211381
Denmark-Olar Elementary School,041180,BPS-H80-024669,803-793-3112,45009960100,+33.3261599,-081.1667580,33.3096271,-81.13039172
Careteam + Family Health and Specialty Care,04E01301,BPS-LAL-022173,843-234-0005,45051060405,+33.7922107,-079.0120361,33.78210861,-79.01167919
LRMC-Mobile Van #2,047060,BPS-H80-008485,843-455-8217,45051040104,+33.8868648,-078.6108585,33.88282526,-78.59913944
"Foothills Community Health Care, Inc",04E00503,BPS-H80-030955,864-722-0283,45077010801,+34.8349715,-082.6269605,34.83787243,-82.61013483
New Horizon Family Health Services Main Site,042610,BPS-H80-014725,864-729-8330 x2259,45045002103,+34.8059127,-082.4073509,34.81634741,-82.41414004
LRMC: MYRTLE BEACH MEDICAL CENTER,047060,BPS-H80-002005,843-663-8040,45051050303,+33.7568838,-078.8111818,33.74813801,-78.81726313
Barnwell Family Medicine Administrative Office,0416080,BPS-H80-010572,803-259-5762,45011970300,+33.2731810,-081.3721662,33.25517767,-81.36249632
CareSouth Carolina Bennettsville Women's Services,045230,BPS-H80-017636,843-454-2294,45069960301,+34.6238660,-079.6508936,34.63620878,-79.69537239
WACCAMAW CENTER FOR MENTAL HEALTH,047060,BPS-H80-007350,843-347-5060,45051060405,+33.7922107,-079.0120361,33.78679698,-78.9967351
St. Matthews K-8 School,041180,BPS-H80-024656,803-655-2750,45017950200,+33.6883735,-080.8061167,33.66635583,-80.79673049
Calhoun County High School,041180,BPS-H80-024664,803-874-3071,45017950200,+33.6883735,-080.8061167,33.66524698,-80.79881696
Affinity Health Center- York,04E00154,BPS-H80-015697,803-909-6363,45091061601,+34.9915480,-081.2629540,34.98462937,-81.2480438
"Pelion Pediatrics, Family &amp; Dental Practice",043270,BPS-H80-011150,803-894-3736,45063020904,+33.7310064,-081.2106588,33.77029017,-81.24199315
ReGenesis Health Care - Family Dentistry,0421000,BPS-H80-017594,864-398-4185,45083021200,+34.9509248,-081.9167596,34.95851417,-81.92352017
CareSouth Carolina Dillon Center,045230,BPS-H80-014178,843-774-4337,45033970300,+34.4536751,-079.4414521,34.42443124,-79.36507264
Waverly Family Practice,043270,BPS-H80-015200,803-748-1181,45079001300,+34.0080154,-081.0131624,34.00697764,-81.01949201
EAU CLAIRE INTERNAL MEDICINE,043270,BPS-H80-011147,803-754-0151,45079000300,+34.0467069,-081.0624544,34.0455828,-81.04275867
SALUDA FAMILY PRACTICE,042780,BPS-H80-002111,864-445-2181,45081960201,+33.9955697,-081.8669890,34.00732289,-81.77880519
Women's Health and Pediatric &amp; Adolescent Center,042600,BPS-H80-016865,803-325-7744,45091060401,+34.9148169,-081.0342626,34.9066159,-81.03027139
Aiken Specialty Services,0416080,BPS-H80-028388,803-306-1433,45003021400,+33.5732059,-081.7228476,33.56686427,-81.71854131
CSC ROSA LEE GERALD CENTER,045230,BPS-H80-003367,843-378-4501,45031010100,+34.4505586,-079.8239245,34.50111652,-79.86336253
HopeHealth Second Loop Rd,0452150,BPS-H80-031426,843-432-3700,45041001300,+34.1682753,-079.8015603,34.17143682,-79.80128515
Baptist Hill Middle High School,041110,BPS-H80-019147,843-889-2276,45019002502,+32.7290527,-080.2269830,32.72783731,-80.26162791
Village Family Practice,042780,BPS-H80-016917,864-547-8250,45047970800,+34.1118770,-082.1861034,34.17132295,-82.15753427
Summerville Support Services Center,041110,BPS-H80-004317,843-722-4112,45035010700,+33.0271006,-080.1731660,33.02945804,-80.17231479
Five Points Walk-in Center,043270,BPS-H80-014706,803-748-7002,45079001300,+34.0080154,-081.0131624,34.00713798,-81.01914601
Health Care Partners of SC Admin. #2,047000,BPS-H80-029968,843-248-4700,45051070200,+33.8580120,-079.0476531,33.85054601,-79.05621702
"Ridgeway Pediatrics, Family &amp; Dental Practice",043270,BPS-H80-003306,803-337-2920,45039960300,+34.3424663,-080.9219134,34.2985128,-80.95216052
SANDHILLS MEDICAL FOUNDATION Inc. - Jefferson Site,045050,BPS-H80-003604,843-335-8291,45025950200,+34.6454671,-080.3337693,34.65629023,-80.38141229
Whiskey Road,045220,BPS-H80-024842,803-380-7000,45003022001,+33.4469771,-081.6399794,33.465049,-81.68758804
Cayce/West Columbia Primary Care Center,043270,BPS-H80-017093,803-995-8936,45063020505,+33.9923387,-081.0921352,33.98995521,-81.08107134
Pediatrics of Batesburg - Leesville,043270,BPS-H80-001268,803-532-2208,45063021402,+33.9067406,-081.5379320,33.91437951,-81.52825538
Port Royal Medical Center II,041190,BPS-H80-017991,843-987-7400,45013000800,+32.3847275,-080.6965888,32.40039832,-80.68696602
LCHCS dba Barnwell Family Specialty Services,0416080,BPS-H80-027132,803-632-2533,45011970300,+33.2731810,-081.3721662,33.25507476,-81.36219868
Fetter Mobile Medical Unit 2,041110,BPS-H80-031930,843-722-4112,45019000700,+32.7893794,-079.9385460,32.79392862,-79.93860134
LRMC - Loris Site,047060,BPS-H80-008713,843-663-8000 x5400,45051020200,+34.0490659,-078.8433664,34.05759528,-78.89326654
McCune Branch Camp,041110,BPS-H80-018939,843-722-4112,45029970200,+32.9765716,-080.9462173,33.05845568,-80.96195424
ST GEORGE MEDICAL CENTER,041180,BPS-H80-005099,843-563-5315,45035010200,+33.1882779,-080.5663258,33.18881529,-80.57483733
Elijah Washington Medical Center,041190,BPS-H80-001163,843-846-8148,45013000100,+32.5821594,-080.7263936,32.5658728,-80.78505049
Tandem Health,0423590,BPS-H80-013422,803-774-4500,45085002000,+33.9296368,-080.3508768,33.92570167,-80.34114275
Sandy Run K-8 School,041180,BPS-H80-024673,803-655-2746,45017950100,+33.7420117,-080.9452527,33.81251648,-80.94092575
COMMUNITY KITCHEN,047060,BPS-H80-005675,843-663-8067,45051050600,+33.7041378,-078.8898834,33.70236201,-78.88929603
Donald E. Gatch Medical Center,041190,BPS-H80-000226,843-784-2181,45053950300,+32.2481288,-081.0599775,32.29790322,-81.08236853
HopeHealth @ FMU,0452150,BPS-H80-010450,843-432-2935,45041000500,+34.1727846,-079.6571958,34.19591047,-79.65859884
Sandhills Medical Foundation - Ruby,045050,BPS-H80-022340,843-823-0363,45025950300,+34.7507742,-080.2423477,34.74123198,-80.18476861
ReGenesis Health Care-Spartanburg,0421000,BPS-H80-001734,864-582-2411,45083020900,+34.9352379,-081.9329353,34.93299919,-81.93129589
"Sandhills Medical, Camden Office",045050,BPS-H80-010352,803-432-3447,45055970500,+34.2954753,-080.6158639,34.2773319,-80.61108504
NCFMC-Administrative Site,042600,BPS-H80-030362,803-325-7744,45091060300,+34.9144554,-081.0197342,34.92293198,-81.021445
Enterprise Pediatrics Health Center,041110,BPS-H80-002514,843-747-8893,45019005400,+32.8200646,-079.9429888,32.83925598,-79.96022179
New Directions,047060,BPS-H80-007598,843-663-8067,45051050600,+33.7041378,-078.8898834,33.70658833,-78.89368583
Andrews Elementary School Based Health Clinic,048430,BPS-H80-027910,843-264-3419,45043920201,+33.4085413,-079.4854138,33.46294853,-79.57037931
Family Health Care,045220,BPS-H80-010948,803-614-1404,45003022001,+33.4469771,-081.6399794,33.46551889,-81.68716777
C A R E Team Express Mobile Medical Unit,042610,BPS-H80-003838,864-801-2035 x1212,45045002504,+34.9441768,-082.2341056,34.94627447,-82.2233295
HopeHealth - Lake City,0452150,BPS-H80-012289,843-394-1051,45041002201,+33.8669969,-079.7884800,33.87738315,-79.75714177
Eau Claire - Walk-In,043270,BPS-H80-012699,803-744-0540,45079000300,+34.0467069,-081.0624544,34.0455828,-81.04275867
Willow Swamp Road Camp,041110,BPS-H80-020779,843-866-7850,45029970200,+32.9765716,-080.9462173,33.01032984,-80.93679174
RUTH P. FIELD MEDICAL CENTER,041190,BPS-H80-001803,843-987-7400,45013002202,+32.3376045,-080.8200441,32.36085148,-80.87219837
Health Care Partners of SC Women's Care,047000,BPS-H80-027989,843-248-4700,45051060405,+33.7922107,-079.0120361,33.78909187,-78.99856973
Eau Claire Family Dentistry at Monticello Road,043270,BPS-H80-029783,803-733-5969,45079000300,+34.0467069,-081.0624544,34.0455828,-81.04275867
"CAROLINA HEALTH CENTERS, INC.",042780,BPS-H80-002333,864-388-0301,45047970500,+34.1960292,-082.1475885,34.19055523,-82.16028228
Charleston Dorchester Mental Health Center,041110,BPS-H80-010849,843-852-4100,45019002613,+32.8200495,-080.0433739,32.81431052,-80.04599515
CSC BISHOPVILLE CENTER,045230,BPS-H80-003903,803-484-5317,45061920200,+34.2712347,-080.3181752,34.20824536,-80.26333522
HCPSC School Based Health at Johnsonville High School,047000,BPS-H80-031109,843-248-4700,45041001900,+33.8455832,-079.4838564,33.81536536,-79.44195397
Laurens Community Care Medical Home Referral Center,042780,BPS-H80-011836,864-396-0200,45059920302,+34.4434477,-081.9881019,34.47979601,-81.94128696
Waverly Women’s Healthcare and Internal Medicine of Batesburg/Leesville,043270,BPS-H80-007534,803-532-1580,45063021402,+33.9067406,-081.5379320,33.91478228,-81.51621257
Little River Medical Center Annex,047060,BPS-H80-024472,843-663-8000,45051040104,+33.8868648,-078.6108585,33.88562423,-78.5978529
Andrews Healthcare Annex,048430,BPS-H80-031369,843-264-1223,45043920202,+33.5087031,-079.4737419,33.45008713,-79.55591271
"Health Care Partners of South Carolina, Inc. - JOHNSONVILLE OFFICE",047000,BPS-H80-002857,843-386-3573,45041001900,+33.8455832,-079.4838564,33.81789104,-79.44831633
"St. James-SanteeFamily Health Center, Inc-Sampit Site",048430,BPS-H80-008943,843-527-7533,45043920800,+33.2899077,-079.4344696,33.33027868,-79.47273801
BROOKLAND-CAYCE MEDICAL PRACTICE,043270,BPS-H80-001508,803-939-0174,45063020201,+33.9783035,-081.0571089,33.98331167,-81.05555281
Tandem Health,0423590,BPS-H80-027395,803-774-4500,45085000901,+33.9483910,-080.3732220,33.95027482,-80.36251115
Pediatrics of Newberry,043270,BPS-H80-011152,803-405-0220,45071950202,+34.2795093,-081.5635938,34.28813764,-81.60577546
LCHCS Administrative Office,0416080,BPS-H80-031297,803-259-5762,45011970300,+33.2731810,-081.3721662,33.25626455,-81.3599728
HopeHealth Bethea,0452150,BPS-H80-021667,843-432-2960 x14410,45031011400,+34.2667090,-079.8343225,34.2549585,-79.83951579
Little River Medical Center at Carolina Forest,047060,BPS-H80-017195,800-663-8000,45051060209,+33.7718668,-078.9473766,33.76189464,-78.96459276
Fetter Mobile Medical Unit 1,041110,BPS-H80-030917,843-722-4112,45019000700,+32.7893794,-079.9385460,32.79392862,-79.93860134
CALHOUN FALLS FAMILY PRACTICE,042780,BPS-H80-000417,864-418-8578,45001950600,+34.1246804,-082.5850722,34.09224948,-82.58604152
Berkeley Community Mental Health,041110,BPS-H80-024847,843-761-8282,45015020506,+33.1834737,-079.9987130,33.1963282,-79.99170481
"Sandhills Medical Foundation, Inc - Admin Annex",045050,BPS-H80-022180,803-335-8291,45055970800,+34.2226390,-080.5951484,34.24694662,-80.60721294
UPTOWN FAMILY PRACTICE CENTER,042780,BPS-H80-003974,864-229-4446,45047970500,+34.1960292,-082.1475885,34.19055523,-82.16028228
Toby's Place (Oliver Gospel Mission),043270,BPS-H80-031747,803-730-0742,45079001600,+34.0035118,-081.0483875,33.99882,-81.04536999
PORT ROYAL MEDICAL CENTER,041190,BPS-H80-003203,843-986-0900,45013000800,+32.3847275,-080.6965888,32.39984585,-80.68524425
SouthStrand Medical Center,047060,BPS-H80-011668,843-663-1013,45051051601,+33.6597535,-079.0227565,33.62535839,-79.00934626
Sandhills Medical Foundation- Bethune,045050,BPS-H80-031866,843-334-7145,45055970100,+34.4265586,-080.3805615,34.41517108,-80.34862418
SCPHCA/SCMHP Administration Office,0438110,BPS-H80-008699,803-788-2778,45079011404,+34.1092531,-080.9554245,34.10289901,-80.96447806
ReGenesis Health Care - Administration/Family Medicine,0421000,BPS-H80-015062,864-582-2411,45083021200,+34.9509248,-081.9167596,34.95865119,-81.92272576
HopeHealth Lake City School-based Health Center,0452150,BPS-H80-012324,843-432-3677,45041002201,+33.8669969,-079.7884800,33.88829475,-79.76485245
Estill Medical Center,041190,BPS-H80-001382,803-625-2548,45049920400,+32.7786383,-081.2056929,32.75250253,-81.23331051
Hollywood Family Health Center,041110,BPS-H80-011207,843-889-2272,45019002502,+32.7290527,-080.2269830,32.73576739,-80.24141218
"Health Care Partners of South Carolina, Inc. - CONWAY OFFICE",047000,BPS-H80-002223,843-248-4700,45051070200,+33.8580120,-079.0476531,33.8516533,-79.05663729
Eau Claire Behavioral Medicine,043270,BPS-H80-014748,803-252-0266,45079000300,+34.0467069,-081.0624544,34.0455828,-81.04275867
Affinity Health Center- Clover,04E00154,BPS-H80-015702,803-909-6363,45091061802,+35.0920972,-081.2223217,35.10512648,-81.21980425
Dental Mobile Unit (DMU),045230,BPS-H80-030012,866-815-9845,45031010100,+34.4505586,-079.8239245,34.50111652,-79.86336253
Transitions Center,043270,BPS-H80-014487,803-260-7593,45079003100,+34.0078902,-081.0307786,34.01267985,-81.03861558
Georgetown Pediatric Center,048430,BPS-H80-014475,843-546-8686,45043920600,+33.3933217,-079.3306841,33.4091789,-79.28736495
Care ROADS,045230,BPS-H80-030062,843-309-8102,45031010700,+34.3541929,-080.0756425,34.35781196,-80.06000508
EAST COAST MIGRANT HEAD START PROGRAM,041110,BPS-H80-009949,843-768-9518,45029970200,+32.9765716,-080.9462173,32.99472926,-80.88623073
HopeHealth Timmonsville,0452150,BPS-H80-012450,843-346-3730,45041002600,+34.0956922,-079.9204399,34.13428974,-79.93899378
TRAVELERS REST,042610,BPS-H80-008140,864-836-1109,45045003903,+34.9881191,-082.4811278,34.99604712,-82.47336791
Foothills Community Health Care - Clemson,04E00503,BPS-H80-021590,864-722-0283 x201,45077011203,+34.6792351,-082.8023449,34.68742213,-82.80978498
NORTH CENTRAL FAMILY MEDICAL CTR. CHESTER,042600,BPS-H80-003684,803-581-0574,45023020200,+34.7003242,-081.2195686,34.70232798,-81.20945519
CSC Bennettsville Pediatric Center,045230,BPS-H80-004940,843-479-1200,45069960200,+34.5638971,-079.7572819,34.61592158,-79.68586404
WORKMAN STREET PHPC,042600,BPS-H80-006562,803-325-7710,45091060300,+34.9144554,-081.0197342,34.91480254,-81.01200396
Walterboro Family Health Center,041110,BPS-H80-008450,843-549-6853,45029970402,+32.9671267,-080.6527418,32.92345501,-80.67034401
BJHCHS Mobile Unit,041190,BPS-H80-014501,843-943-2233,45049920200,+32.8590563,-081.0106074,32.86553614,-81.10722632
HopeHealth Kingstree,0452150,BPS-H80-012459,843-355-5628,45089970501,+33.6474741,-079.7149055,33.66064689,-79.81674807
LRMC Health Access,047060,BPS-H80-003303,843-663-8067,45051050600,+33.7041378,-078.8898834,33.69988222,-78.88633328
Johns Island Family Health Center,041110,BPS-H80-014185,843-628-0284,45019002101,+32.7430103,-080.0840064,32.71829816,-80.08221914
Lamar Family Care,04E01160,BPS-H80-017256,843-395-8400,45031011600,+34.1546333,-080.0807553,34.17227993,-80.06605457
Sandhills Medical Foundation--Lugoff Baldwin Ave,045050,BPS-H80-008626,843-335-8291,45055970402,+34.2346731,-080.6900046,34.2245708,-80.68849938
Rosa Clark Medical Clinic - Mobile Dental,04E01242,BPS-H80-029771,864-882-4664 x86461,45073030601,+34.7033834,-082.9775697,34.69402719,-82.98776539
RIDGE SPRING FAMILY PRACTICE,042780,BPS-H80-004413,803-685-3100,45081960400,+33.8896333,-081.6851220,33.8411328,-81.66229715
HomeTown Pediatrics,042780,BPS-H80-021965,864-547-8300,45059920700,+34.4682270,-081.9191816,34.47567363,-81.93338299
ReGenesis Health Care - Union,0421000,BPS-H80-029609,864-594-0790,45087030200,+34.7080486,-081.6317056,34.71504452,-81.63108294
ST. MATTHEW'S FAMILY HEALTH CTR,041180,BPS-H80-001022,803-874-2006,45017950200,+33.6883735,-080.8061167,33.65975495,-80.79108255
Minnie Hughes Elementary,041110,BPS-H80-019146,843-889-2976,45019002400,+32.7481866,-080.3518239,32.70057974,-80.3742516
HopeHealth Manning Adults,0452150,BPS-H80-012452,803-433-4321,45027960701,+33.6390856,-080.2315868,33.68913681,-80.21234122
Denmark Medical Center,041180,BPS-H80-017937,803-531-6905,45009960100,+33.3261599,-081.1667580,33.31314481,-81.14386236
MARGARET J. WESTON HEALTH CENTER,045220,BPS-H80-000709,803-593-9283,45003021002,+33.5044854,-081.9155699,33.49447794,-81.89730418
"Family Health Centers, Inc. Mobile Dental Unit",041180,BPS-H80-018178,803-531-6905,45075011100,+33.5450483,-080.8457594,33.52886919,-80.83889586
WHALE BRANCH MIDDLE SCHOOL,041190,BPS-H80-003587,843-486-3015,45013000200,+32.5007617,-080.7468659,32.5333704,-80.74672896
ReGenesis Health Care - Woodruff,0421000,BPS-H80-012724,864-670-9415,45083023600,+34.7198669,-082.0268573,34.74267836,-82.03811076
Georgetown Health Services Center,048430,BPS-H80-012121,843-436-1333,45043920302,+33.3895567,-079.2722447,33.37622597,-79.28773055
SANDHILLS MEDICAL FOUNDATION Inc - Sumter Site,045050,BPS-H80-002611,803-778-2442,45085002000,+33.9296368,-080.3508768,33.93033297,-80.35038413
Fields Farm Camp,041110,BPS-H80-020783,843-559-5349,45019002103,+32.6727041,-080.0718045,32.68148656,-80.02388453
"Health Care Partners of South Carolina, Inc. - MARION OFFICE",047000,BPS-H80-011364,843-423-2400,45067950200,+34.2489777,-079.3850692,34.18571502,-79.3705679
Brookland Community Pediatrics,043270,BPS-H80-002540,803-739-6982,45063020300,+33.9896272,-081.0628508,33.99345494,-81.07453698
Jerry Zucker Middle School of Science,041110,BPS-H80-024844,843-767-8383,45019003110,+32.8669862,-080.0576673,32.87634594,-80.06240691
McCormick Family Practice,042780,BPS-H80-015233,864-852-3336,45065920200,+33.9241259,-082.2468990,33.90196668,-82.27974753
Freedom ROADS,045230,BPS-H80-030063,843-309-8102 x84385,45031010700,+34.3541929,-080.0756425,34.35781196,-80.06000508
Eau Claire Family Dentistry,043270,BPS-H80-014389,803-733-5969,45079000200,+34.0408728,-081.0377278,34.0359668,-81.04156244
Olanta Family Care,04E01160,BPS-H80-015674,843-396-9730,45041002400,+33.9317418,-079.8698900,33.93514267,-79.93730357
Administrative Services,042780,BPS-H80-029706,864-889-9980,45047970301,+34.2232322,-082.1807949,34.21839631,-82.18212083
"LITTLE RIVER MEDICAL CENTER, INC.: MAIN SITE",047060,BPS-H80-005180,843-663-8024,45051040104,+33.8868648,-078.6108585,33.88282526,-78.59913944
Clyburn Center for Primary Care,045220,BPS-H80-011343,803-380-7000,45003021400,+33.5732059,-081.7228476,33.57281068,-81.71151887
Archibald Rutledge,0421000,BPS-H80-021017,864-582-2411,45083020301,+34.9629269,-081.9384470,34.96467365,-81.94233913
One80 Place,041110,BPS-H80-020782,843-723-9477,45019005300,+32.8001609,-079.9443767,32.79994695,-79.9439904
Williston Family Medicine,0416080,BPS-H80-031746,803-266-0060,45011970100,+33.3910823,-081.3942081,33.40350319,-81.43416919
Leroy E. Browne Medical Center,041190,BPS-H80-009246,843-987-7400,45013001102,+32.3630229,-080.5792222,32.38486602,-80.57557324
LRMC- Mobile Van #1,047060,BPS-H80-008484,843-222-6594,45051040104,+33.8868648,-078.6108585,33.88282526,-78.59913944
Eau Claire Podiatry,043270,BPS-H80-013768,803-799-8407,45079000200,+34.0408728,-081.0377278,34.0359668,-81.04156244
Kershaw Office,045050,BPS-H80-011225,843-335-8291,45057010200,+34.5820726,-080.5578749,34.54779348,-80.5832351
ReGenesis Health Care - Spartanburg Early Learning Center at Park Hills,0421000,BPS-H80-011418,864-596-8442,45083020701,+34.9279307,-081.9512610,34.92936928,-81.95057838
Lake Monticello Family Practice @ McCrorey-Liston,043270,BPS-H80-013771,803-635-9490,45039960100,+34.4273558,-081.3174179,34.39309068,-81.29204557
Mobile Medical Team,042610,BPS-H80-030021,864-729-8330,45045000500,+34.8376715,-082.4115284,34.83888643,-82.41454756
ReGenesis Health Care - CC Woodson Community Center,0421000,BPS-H80-020809,864-582-2817,45083021001,+34.9324506,-081.9235445,34.92913183,-81.92936965
HopeHealth Manning Pediatrics,0452150,BPS-H80-012449,803-433-4124,45027960701,+33.6390856,-080.2315868,33.68796735,-80.21234646
HARDEEVILLE RIDGELAND MIDDLE SCHOOL,041190,BPS-H80-001982,843-717-1280,45053950300,+32.2481288,-081.0599775,32.32725049,-81.04136744
CareSouth Carolina Special Programs Administrative Office,045230,BPS-H80-009835,843-378-3441,45031010100,+34.4505586,-079.8239245,34.5098417,-79.85399047
Fetter Mobile Dental Unit,041110,BPS-H80-022268,843-723-9582,45019000700,+32.7893794,-079.9385460,32.79392862,-79.93860134
CareSouth Carolina Chesterfield Center,045230,BPS-H80-031755,843-623-5080,45025950400,+34.7255811,-080.1008750,34.73603,-80.08856499
"ST. JAMES-SANTEE FAMILY HEALTH CENTER, INC.",048430,BPS-H80-001926,843-887-3274,45019005000,+33.0393507,-079.5734552,33.08210645,-79.51144145
"Low Country Health Care System, Inc. dba Padgett Family Practice",0416080,BPS-H80-022082,803-245-2433,45009960200,+33.2528574,-080.9598246,33.30747479,-81.02919776
HopeHealth Manning School-based Clinic,0452150,BPS-H80-031385,803-433-4124,45027960500,+33.7032431,-080.2749535,33.69803611,-80.22878116
