Site Name,Site ID,EPA ID,Address,Address (cont),Zip Code,National Priorities List Status,Contaminated Ground Water Migration Status,Human Exposure to Contamination Status,lat...12,long...13,geo_method,address,place_id,licence,osm_type,osm_id,osm_lat,osm_lon,house_number,road,city,county,state,postcode,country,country_code,commercial,hamlet,town,amenity,village,neighbourhood,building,street,lat...39,long...40,id,input_address,match_indicator,match_type,matched_address,tiger_line_id,tiger_side,state_fips,county_fips,census_tract,census_block,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
HELENA CHEMICAL CO. LANDFILL,403309,SCD058753971,2519 Hampton Ave S,,29827,Currently on the Final NPL,Under Control,Under Control,32.9586792,-81.235766,osm,"321, Hampton Avenue, Fairfax, Allendale County, South Carolina, 29827, United States",288499591,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,12090312,32.957928,-81.235871,321,Hampton Avenue,NA Fairfax,Allendale County,South Carolina,29827,United States,us,,,Fairfax,,,,,321 Hampton Avenue,,,11,"321 Hampton Avenue, NA Fairfax, South Carolina, 29827",No_Match,,,,,,,,,32.958697,-81.235095,0.98,nearest_street,140,7th St,,,Fairfax,SC,Allendale County,29827,US,TIGER/Line® dataset from the US Census Bureau
AQUA-TECH ENVIRONMENTAL INC (GROCE LABS),403310,SCD058754789,340 ROBINSON ROAD,,29651,Currently on the Final NPL,Under Control,Under Control,34.9328,-82.1725,osm,,,,,,,,,,NA NA,,,,,,,,,,,,,NA NA,,,12,"NA NA, NA NA, , ",No_Match,,,,,,,,,34.9368,-82.172769,0.95,nearest_street,1685,State Hwy 290,,,Greer,SC,Spartanburg County,29651,US,TIGER/Line® dataset from the US Census Bureau
BRASWELL SHIPYARDS INC/FED-SERV,403313,SCD061528956,3 BRASWELL ST,,29405,Site is Part of NPL Site,,,32.82378,-79.95386,census,"Braswell Street, Hibernian Heights, Charleston, Charleston County, South Carolina, 29405, United States",318171630,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,12152838,32.82378872,-79.95386473,,Braswell Street,NA NA,Charleston County,South Carolina,29405,United States,us,,Hibernian Heights,,,,,,NA Braswell Street,,,13,"NA Braswell Street, NA NA, South Carolina, 29405",No_Match,,,,,,,,,32.823863,-79.954174,1,rooftop,4,Braswell St,,,North Charleston,SC,Charleston County,29405,US,City of Charleston
KALAMA SPECIALTY CHEMICALS,403343,SCD094995503,3090 Trask Parkway,,29906,Currently on the Final NPL,Under Control,Under Control,32.47422,-80.73755,census,"Trask Parkway, Beaufort, Beaufort County, South Carolina, 29906, United States",220087812,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,633080827,32.47424058,-80.73746384,,Trask Parkway,NA Beaufort,Beaufort County,South Carolina,29906,United States,us,,,Beaufort,,,,,NA Trask Parkway,,,14,"NA Trask Parkway, NA Beaufort, South Carolina, 29906",No_Match,,,,,,,,,32.474787,-80.738353,0.99,rooftop,3076,Trask Pkwy,,,Beaufort,SC,Beaufort County,29906,US,Beaufort
"KOPPERS CO., INC. (CHARLESTON PLANT)",403350,SCD980310239,CHARLESTON HEIGHTS,,29405,Currently on the Final NPL,Under Control,Under Control,32.8551799,-79.9717552,osm,"Charleston Heights Baptist Church, Grayson Street, Chicora Place, North Charleston, Charleston County, South Carolina, 29405, United States",2518790,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",node,357122930,32.8551799,-79.9717552,,Grayson Street,NA NA,Charleston County,South Carolina,29405,United States,us,,Chicora Place,,Charleston Heights Baptist Church,,,,NA Grayson Street,,,15,"NA Grayson Street, NA NA, South Carolina, 29405",No_Match,,,,,,,,,32.855311,-79.971252,0.98,nearest_street,1998,Grayson St,,,North Charleston,SC,Charleston County,29405,US,TIGER/Line® dataset from the US Census Bureau
LEXINGTON COUNTY LANDFILL AREA,403362,SCD980558043,1959 Middleton Street,,29033,Currently on the Final NPL,Under Control,Under Control,33.965687,-81.074066,census,"1959, Middleton Street, Cayce, Lexington County, South Carolina, 29033, United States",288889001,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,12491411,33.96570326,-81.07397709,1959,Middleton Street,NA Cayce,Lexington County,South Carolina,29033,United States,us,,,Cayce,,,,,1959 Middleton Street,33.965687,-81.074066,16,"1959 Middleton Street, NA Cayce, South Carolina, 29033",Match,Non_Exact,"1959 MIDDLETON ST, CAYCE, SC, 29033",70056493,L,45,63,20202,1040,33.965582,-81.073833,1,rooftop,1620,Dunbar Rd,,,Cayce,SC,Lexington County,29033,US,Lexington
TOWNSEND SAW CHAIN CO.,403363,SCD980558050,910 Spears Creek Court,,29045,Currently on the Final NPL,Under Control,Under Control,34.1208083,-80.8516547,osm,"Spears Drive, Pontiac, Richland County, South Carolina, 29045, United States",158479395,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,276292789,34.1208083,-80.8516547,,Spears Drive,NA NA,Richland County,South Carolina,29045,United States,us,,Pontiac,,,,,,NA Spears Drive,,,17,"NA Spears Drive, NA NA, South Carolina, 29045",No_Match,,,,,,,,,34.120979,-80.851957,0.99,nearest_street,152,Pepper Grass Dr,,,Elgin,SC,Richland County,29045,US,TIGER/Line® dataset from the US Census Bureau
MEDLEY FARM DRUM DUMP,403371,SCD980558142,SC HIGHWAY 18,,29340,Currently on the Final NPL,Under Control,Under Control,35.03247,-81.642055,osm,"Union Highway, Dogwood Park, Gaffney, Cherokee County, South Carolina, 29340, United States",307671577,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,916123475,35.03247,-81.642055,,Union Highway,NA Gaffney,Cherokee County,South Carolina,29340,United States,us,,Dogwood Park,Gaffney,,,,,NA Union Highway,,,18,"NA Union Highway, NA Gaffney, South Carolina, 29340",No_Match,,,,,,,,,35.03247,-81.642055,1,nearest_street,2728,Union Hwy,,,Gaffney,SC,Cherokee County,29340,US,TIGER/Line® dataset from the US Census Bureau
"CAROLAWN, INC.",403388,SCD980558316,5602 Ponderosa Street,,29714,Currently on the Final NPL,Under Control,Under Control,34.701813,-80.90121,census,"5600, Ponderosa Street, Fort Lawn, Chester County, South Carolina, 29714, United States",288634743,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,12166865,34.70177,-80.901126,5600,Ponderosa Street,NA Fort Lawn,Chester County,South Carolina,29714,United States,us,,,Fort Lawn,,,,,5600 Ponderosa Street,34.70179,-80.90122,19,"5600 Ponderosa Street, NA Fort Lawn, South Carolina, 29714",Match,Non_Exact,"5600 PONDEROSA ST, FORT LAWN, SC, 29714",40559711,R,45,23,20800,3009,34.701689,-80.901276,0.99,nearest_street,5600,State Rd 518,,,Fort Lawn,SC,Chester County,29714,US,TIGER/Line® dataset from the US Census Bureau
CLEARWATER FINISHING,403391,SCD003303120,359 Belvedere Road,,29851,Currently on the Final NPL,,,33.500907,-81.89213,osm,,,,,,,,,,NA NA,,,,,,,,,,,,,NA NA,,,12,"NA NA, NA NA, , ",No_Match,,,,,,,,,33.500022,-81.895405,0.96,nearest_street,1,Seminole St,,,Clearwater,SC,Aiken County,29822,US,TIGER/Line® dataset from the US Census Bureau
GEIGER (C & M OIL),403400,SCD980711279,Baptist Hill Road,,29449,Deleted from the Final NPL,Under Control,Under Control,32.7258633,-80.2586797,osm,"Baptist Hill Road, Laroche, Hollywood, Charleston County, South Carolina, 29449, United States",304995091,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,12156442,32.7258633,-80.2586797,,Baptist Hill Road,Hollywood NA,Charleston County,South Carolina,29449,United States,us,,Laroche,,,Hollywood,,,NA Baptist Hill Road,,,20,"NA Baptist Hill Road, Hollywood NA, South Carolina, 29449",No_Match,,,,,,,,,32.724954,-80.257505,0.99,rooftop,5066,Baptist Hill Rd,,,Hollywood,SC,Charleston County,29449,US,Charleston
SCRDI DIXIANA,403402,SCD980711394,124 Ballard Court,,29172,Currently on the Final NPL,Under Control,Under Control,33.905224,-81.06277,census,"South Carolina State Farmers Market, Whitener Lane, Lexington County, South Carolina, 29172, United States",209512632,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,556279057,33.9066209,-81.05813956,,Whitener Lane,NA NA,Lexington County,South Carolina,29172,United States,us,,,,South Carolina State Farmers Market,,,,NA Whitener Lane,,,21,"NA Whitener Lane, NA NA, South Carolina, 29172",No_Match,,,,,,,,,33.904995,-81.06277,1,rooftop,132,Ballard Ct,,,West Columbia,SC,Lexington County,29172,US,Lexington
GOLDEN STRIP SEPTIC TANK SERVICE,403404,SCD980799456,ROUTE 1 ADAMS MILL RD,,29681,Deleted from the Final NPL,,Under Control,34.783499,-82.243911,osm,"308, Adams Mill Road, Simpsonville, Greenville County, South Carolina, 29681, United States",288776359,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,123986380,34.7834265,-82.24385433,308,Adams Mill Road,NA Simpsonville,Greenville County,South Carolina,29681,United States,us,,,Simpsonville,,,,,308 Adams Mill Road,34.78359,-82.243805,22,"308 Adams Mill Road, NA Simpsonville, South Carolina, 29681",Match,Non_Exact,"308 ADAMS MILL RD, SIMPSONVILLE, SC, 29681",38334825,R,45,45,3008,3003,34.783499,-82.243911,1,nearest_street,335,County Rd 142,,,Simpsonville,SC,Greenville County,29681,US,TIGER/Line® dataset from the US Census Bureau
ELMORE WASTE DISPOSAL,403409,SCD980839542,117 HIGHLAND AVE,,29651,Currently on the Final NPL,Under Control,Under Control,34.937283,-82.22185,census,"107, Highland Avenue, Sunnydale, Victor Heights, Greer, Spartanburg County, South Carolina, 29651, United States",69776543,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",node,6359546042,34.9374921,-82.2217094,107,Highland Avenue,NA Greer,Spartanburg County,South Carolina,29651,United States,us,,Victor Heights,Greer,,,Sunnydale,,107 Highland Avenue,34.937325,-82.22205,23,"107 Highland Avenue, NA Greer, South Carolina, 29651",Match,Non_Exact,"107 HIGHLAND AVE, GREER, SC, 29651",19459907,R,45,83,23302,3023,34.936994,-82.222528,1,rooftop,15,N Line St,,,Greer,SC,Greenville County,29651,US,Greenville
ROCHESTER PROPERTY,403415,SCD980840698,475 Ledbetter Road,,29690,Deleted from the Final NPL,Under Control,Under Control,34.96957,-82.50307,census,"408, Ledbetter Road, Travelers Rest, Greenville County, South Carolina, 29690, United States",239907415,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,763393906,34.96986475,-82.50342684,408,Ledbetter Road,Travelers Rest NA,Greenville County,South Carolina,29690,United States,us,,,,,Travelers Rest,,,408 Ledbetter Road,34.96994,-82.50214,24,"408 Ledbetter Road, Travelers Rest NA, South Carolina, 29690",Match,Non_Exact,"408 LEDBETTER RD, TRAVELERS REST, SC, 29690",38341563,L,45,45,3903,2015,34.969224,-82.502967,1,rooftop,403,Ledbetter Rd,,,Travelers Rest,SC,Greenville County,29690,US,Greenville
ROCK HILL CHEMICAL CO.,403425,SCD980844005,NORTH CHERRY RD,,29730,Currently on the Final NPL,Under Control,Under Control,34.9467474,-81.024179,osm,"866, North Cherry Road, Beaty Estates, Rock Hill, York County, South Carolina, 29732, United States",289110580,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,143207360,34.94664284,-81.02409318,866,North Cherry Road,NA Rock Hill,York County,South Carolina,29732,United States,us,,Beaty Estates,Rock Hill,,,,,866 North Cherry Road,34.9467,-81.024155,25,"866 North Cherry Road, NA Rock Hill, South Carolina, 29732",Match,Non_Exact,"866 N CHERRY RD, ROCK HILL, SC, 29732",641133687,R,45,91,60102,1007,34.94651,-81.02389,1,rooftop,852,Cherry Rd,,,Rock Hill,SC,York County,29732,US,York
OLD CAYCE DUMP SITE,403432,SCD980844328,3174 Charleston Highway,,29172,Site is Part of NPL Site,,,33.91888,-81.07509,census,"Charleston Highway, Cayce, Lexington County, South Carolina, 29172, United States",131198879,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,172467495,33.9188665,-81.07515803,,Charleston Highway,NA Cayce,Lexington County,South Carolina,29172,United States,us,,,Cayce,,,,,NA Charleston Highway,,,26,"NA Charleston Highway, NA Cayce, South Carolina, 29172",No_Match,,,,,,,,,33.919015,-81.075108,1,nearest_street,,US 176,,,West Columbia,SC,Lexington County,29172,US,TIGER/Line® dataset from the US Census Bureau
BRAY PARK DUMP,403434,SCD980844500,3174 Charleston Highway,,29033,Site is Part of NPL Site,,,33.9662209,-81.0787719,osm,"Charleston Highway, West Columbia, Lexington County, South Carolina, 29033, United States",238281534,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,754156168,33.9662209,-81.0787719,,Charleston Highway,NA West Columbia,Lexington County,South Carolina,29033,United States,us,,,West Columbia,,,,,NA Charleston Highway,,,27,"NA Charleston Highway, NA West Columbia, South Carolina, 29033",No_Match,,,,,,,,,33.966052,-81.078422,1,rooftop,1729,Charleston Hwy,,,West Columbia,SC,Lexington County,29169,US,Lexington
"FED SERV, INC.",403449,SCD981024193,MILFORD ROAD,,29407,Site is Part of NPL Site,,,32.8272654,-79.946299,osm,"1850, Milford Street, Hibernian Heights, Charleston, Charleston County, South Carolina, 29405, United States",288596995,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,12160645,32.82734386,-79.94631966,1850,Milford Street,NA NA,Charleston County,South Carolina,29405,United States,us,,Hibernian Heights,,,,,,1850 Milford Street,32.827267,-79.94629,28,"1850 Milford Street, NA NA, South Carolina, 29405",Match,Non_Exact,"1850 MILFORD ST, CHARLESTON, SC, 29405",108829091,R,45,19,5400,1045,32.827261,-79.946274,1,nearest_street,1877,Milford St,,,North Charleston,SC,Charleston County,29405,US,TIGER/Line® dataset from the US Census Bureau
"LEONARD CHEMICAL CO., INC.",403481,SCD991279324,5080 CURETON FERRY RD,,29704,Currently on the Final NPL,Not Under Control,Under Control,34.8555195,-80.9161347,osm,"Cureton Ferry Road, Catawba, York County, South Carolina, 29704, United States",295888700,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,880822292,34.8555195,-80.9161347,,Cureton Ferry Road,NA NA,York County,South Carolina,29704,United States,us,,Catawba,,,,,,NA Cureton Ferry Road,,,29,"NA Cureton Ferry Road, NA NA, South Carolina, 29704",No_Match,,,,,,,,,34.855754,-80.915898,1,rooftop,4693,Cureton Ferry Rd,,,Rock Hill,SC,York County,29730,US,York
SAVANNAH RIVER SITE (USDOE),403485,SC1890008989,SR-1 & Green Pond Road,,29802,Currently on the Final NPL,Not Under Control,Under Control,33.62157315,-81.85540399,osm,"Bridgestone, 1, Bettis Academy Road, Springdale, Aiken County, South Carolina, 29829, United States",244890152,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,790546694,33.62157315,-81.85540399,1,Bettis Academy Road,NA NA,Aiken County,South Carolina,29829,United States,us,,Springdale,,,,,Bridgestone,1 Bettis Academy Road,,,30,"1 Bettis Academy Road, NA NA, South Carolina, 29829",No_Match,,,,,,,,,33.622148,-81.855254,1,rooftop,1,Bridgestone Pkwy,,,Graniteville,SC,Aiken County,29829,US,Aiken
PARRIS ISLAND MARINE CORPS RECRUIT DEPOT,403488,SC6170022762,283 De France,,29902,Currently on the Final NPL,Not Under Control,,32.3528,-80.7031,osm,,,,,,,,,,NA NA,,,,,,,,,,,,,NA NA,,,12,"NA NA, NA NA, , ",No_Match,,,,,,,,,32.352485,-80.692701,0.92,nearest_street,498,Boki St,,,Beaufort,SC,Beaufort County,29902,US,TIGER/Line® dataset from the US Census Bureau
TROTTER HILL RD.,404341,SCD981750334,538 Sangamo Road,,29671,Site is Part of NPL Site,,,34.89352,-82.72126,census,"516, Sangamo Road, Pickens, Pickens County, South Carolina, 29671, United States",288978674,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,12521317,34.89358366,-82.72131741,516,Sangamo Road,NA Pickens,Pickens County,South Carolina,29671,United States,us,,,Pickens,,,,,516 Sangamo Road,34.893818,-82.72085,31,"516 Sangamo Road, NA Pickens, South Carolina, 29671",Match,Non_Exact,"516 SANGAMO RD, PICKENS, SC, 29671",26224840,L,45,77,10405,3027,34.893398,-82.721421,0.99,nearest_street,533,State Rd S-39-190,,,Pickens,SC,Pickens County,29671,US,TIGER/Line® dataset from the US Census Bureau
BURLINGTON INDUSTRIES CHERAW,404896,SCN000404896,650 CHESTERFIELD HIGHWAY,,29520,Currently on the Final NPL,,,34.696617,-79.92253,census,"756, Chesterfield Highway, Cheraw, Chesterfield County, South Carolina, 29520, United States",288636277,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,539433836,34.69669899,-79.92251412,756,Chesterfield Highway,Cheraw NA,Chesterfield County,South Carolina,29520,United States,us,,,,,Cheraw,,,756 Chesterfield Highway,34.696842,-79.923325,32,"756 Chesterfield Highway, Cheraw NA, South Carolina, 29520",Match,Non_Exact,"756 CHESTERFIELD HWY, CHERAW, SC, 29520",639254546,R,45,25,950504,2000,34.696559,-79.922588,1,rooftop,821,Chesterfield Hwy,,,Cheraw,SC,Chesterfield County,29520,US,Chesterfield
BREWER GOLD MINE,405550,SCD987577913,299 Miller St,,29718,Currently on the Final NPL,,Under Control,34.65007,-80.39183,census,"227, Miller Street, Jefferson, Chesterfield County, South Carolina, 29718, United States",288640567,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,12307312,34.649996,-80.391791,227,Miller Street,Jefferson NA,Chesterfield County,South Carolina,29718,United States,us,,,,,Jefferson,,,227 Miller Street,34.65023,-80.390495,33,"227 Miller Street, Jefferson NA, South Carolina, 29718",Match,Non_Exact,"227 MILLER ST, JEFFERSON, SC, 29718",14323177,R,45,25,950200,4027,34.650202,-80.391737,1,rooftop,218,Miller,,,Jefferson,SC,Chesterfield County,29718,US,Chesterfield
SHURON INC.,405643,SCD003357589,100 CLINTON ST,,29812,Currently on the Final NPL,Under Control,Under Control,33.22721437,-81.36300834,osm,"Clinton Street, Barnwell, Barnwell County, South Carolina, 29812, United States",317953109,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,948202891,33.22731319,-81.36300781,,Clinton Street,NA Barnwell,Barnwell County,South Carolina,29812,United States,us,,,Barnwell,,,,,NA Clinton Street,,,34,"NA Clinton Street, NA Barnwell, South Carolina, 29812",No_Match,,,,,,,,,33.227189,-81.361819,0.99,rooftop,91,Clinton St,,,Barnwell,SC,Barnwell County,29812,US,Barnwell County G
MACALLOY CORPORATION,406784,SCD003360476,1800 PITTSBURGH AVENUE,,29405,Currently on the Final NPL,Under Control,Under Control,32.83462,-79.94883,census,"1800, Pittsburgh Avenue, Rosemont, North Charleston, Charleston County, South Carolina, 29405, United States",288607656,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,12161897,32.834653,-79.948962,1800,Pittsburgh Avenue,NA NA,Charleston County,South Carolina,29405,United States,us,,Rosemont,,,,,,1800 Pittsburgh Avenue,32.83462,-79.94883,35,"1800 Pittsburgh Avenue, NA NA, South Carolina, 29405",Match,Non_Exact,"1800 PITTSBURGH AVE, CHARLESTON, SC, 29405",645438648,R,45,19,5400,2001,32.834269,-79.949008,1,rooftop,1875,Pittsburgh Ave,,,North Charleston,SC,Charleston County,29405,US,City of Charleston
