Site Name,Site ID,EPA ID,Address,Address (cont),City,State,Zip Code,National Priorities List Status,Contaminated Ground Water Migration Status,Human Exposure to Contamination Status
"FED SERV, INC.",403449,SCD981024193,MILFORD ROAD,,CHARLESTON,SC,29407,Site is Part of NPL Site,,
"LEONARD CHEMICAL CO., INC.",403481,SCD991279324,5080 CURETON FERRY RD,,Catawba,SC,29704,Currently on the Final NPL,Not Under Control,Under Control
SAVANNAH RIVER SITE (USDOE),403485,SC1890008989,SR-1 & Green Pond Road,,AIKEN,SC,29802,Currently on the Final NPL,Not Under Control,Under Control
PARRIS ISLAND MARINE CORPS RECRUIT DEPOT,403488,SC6170022762,283 De France,,PARRIS ISLAND,SC,29902,Currently on the Final NPL,Not Under Control,
TROTTER HILL RD.,404341,SCD981750334,538 Sangamo Road,,PICKENS,SC,29671,Site is Part of NPL Site,,
BURLINGTON INDUSTRIES CHERAW,404896,SCN000404896,650 CHESTERFIELD HIGHWAY,,CHERAW,SC,29520,Currently on the Final NPL,,
BREWER GOLD MINE,405550,SCD987577913,299 Miller St,,JEFFERSON,SC,29718,Currently on the Final NPL,,Under Control
SHURON INC.,405643,SCD003357589,100 CLINTON ST,,BARNWELL,SC,29812,Currently on the Final NPL,Under Control,Under Control
MACALLOY CORPORATION,406784,SCD003360476,1800 PITTSBURGH AVENUE,,NORTH CHARLESTON,SC,29405,Currently on the Final NPL,Under Control,Under Control
BARITE HILL/NEVADA GOLDFIELDS,407714,SCN000407714,State Road S-33-44 & Troy West Road,,MCCORMICK,SC,29835,Currently on the Final NPL,,
,,,,,,,,,,
Location: South Carolina (State),,,,,,,,,,
,,,,,,,,,,
Point source: US EPA,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:",,,,,,,,,,
https://www.policymap.com/terms/,,,,,,,,,,
https://www.policymap.com/citing/,,,,,,,,,,
